date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,161.7499,154.83,154.0,1.0,163.72,163.03,66625484.0,0.0
2018-02-07,158.2873,163.085,159.0685,1.0,163.4,159.54,50852130.0,0.0
2018-02-08,153.9317,160.29,155.03,1.0,161.0,155.15,49594129.0,0.0
2018-02-09,155.8069,157.07,150.24,1.0,157.89,156.41,66723743.0,0.63
2018-02-12,162.0826,158.5,157.51,1.0,163.89,162.71,60560145.0,0.0
2018-02-13,163.7063,161.95,161.65,1.0,164.75,164.34,32104756.0,0.0
2018-02-14,166.7246,163.045,162.88,1.0,167.54,167.37,39669178.0,0.0
2018-02-15,172.323,169.79,169.0,1.0,173.09,172.99,50609595.0,0.0
2018-02-16,171.7651,172.36,171.77,1.0,174.82,172.43,39638793.0,0.0
2018-02-20,171.1874,172.05,171.42,1.0,174.26,171.85,33531012.0,0.0
2018-02-21,170.4104,172.83,171.01,1.0,174.12,171.07,35833514.0,0.0
2018-02-22,171.8349,171.8,171.71,1.0,173.95,172.5,30504116.0,0.0
2018-02-23,174.8233,173.67,173.54,1.0,175.65,175.5,33329232.0,0.0
2018-02-26,178.2799,176.35,176.21,1.0,179.39,178.97,36886432.0,0.0
2018-02-27,177.7021,179.1,178.16,1.0,180.48,178.39,38685165.0,0.0
2018-02-28,177.4332,179.26,178.05,1.0,180.615,178.12,33604574.0,0.0
2018-03-01,174.3252,178.54,172.66,1.0,179.775,175.0,48801970.0,0.0
2018-03-02,175.5306,172.8,172.45,1.0,176.3,176.21,38453950.0,0.0
2018-03-05,176.1382,175.21,174.52,1.0,177.74,176.82,28401366.0,0.0
2018-03-06,175.9888,177.91,176.13,1.0,178.25,176.67,23788506.0,0.0
2018-03-07,174.3551,174.94,174.27,1.0,175.85,175.03,31703462.0,0.0
2018-03-08,176.2577,175.48,175.07,1.0,177.12,176.94,23163767.0,0.0
2018-03-09,179.286,177.96,177.39,1.0,180.0,179.98,31385134.0,0.0
2018-03-12,181.0193,180.29,180.21,1.0,182.39,181.72,32055405.0,0.0
2018-03-13,179.2761,182.59,179.24,1.0,183.5,179.97,31168404.0,0.0
2018-03-14,177.752,180.32,177.81,1.0,180.52,178.44,29075469.0,0.0
2018-03-15,177.9611,178.5,178.0701,1.0,180.24,178.65,22584565.0,0.0
2018-03-16,177.3336,178.65,177.62,1.0,179.12,178.02,36836456.0,0.0
2018-03-19,174.6241,177.32,173.66,1.0,177.47,175.3,32804695.0,0.0
2018-03-20,174.5643,175.24,174.94,1.0,176.8,175.24,19314039.0,0.0
2018-03-21,170.6096,175.04,171.26,1.0,175.09,171.27,35247358.0,0.0
2018-03-22,168.1989,170.0,168.6,1.0,172.68,168.85,41051076.0,0.0
2018-03-23,164.304,168.39,164.94,1.0,169.92,164.94,40248954.0,0.0
2018-03-26,172.1038,168.07,166.44,1.0,173.1,172.77,36272617.0,0.0
2018-03-27,167.6909,173.68,166.92,1.0,175.15,168.34,38962839.0,0.0
