date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,90.7844,92.58,86.9403,1.0,93.37,91.54,4568675.0,0.0
2018-02-07,93.4423,91.6,91.1,1.0,95.34,94.22,2508323.0,0.0
2018-02-08,90.7943,94.56,91.46,1.0,95.56,91.55,1739942.0,0.0
2018-02-09,88.4538,92.54,85.8,1.0,92.54,89.19,3431302.0,0.0
2018-02-12,88.7117,89.85,88.755,1.0,91.54,89.45,2103093.0,0.0
2018-02-13,96.963,101.67,95.94,1.0,101.9999,97.77,9706692.0,0.0
2018-02-14,95.6043,97.25,95.6,1.0,98.19,96.4,3976852.0,0.0
2018-02-15,96.7944,96.93,94.505,1.0,97.62,97.6,2881470.0,0.0
2018-02-16,98.9564,96.73,96.55,1.0,100.055,99.4,2786233.0,0.38
2018-02-20,99.494,98.98,98.52,1.0,100.05,99.94,1681955.0,0.0
2018-02-21,98.1301,99.82,98.34,1.0,99.96,98.57,2811680.0,0.0
2018-02-22,96.6866,98.75,96.65,1.0,99.19,97.12,3416724.0,0.0
2018-02-23,97.9808,97.57,96.67,1.0,98.49,98.42,1111956.0,0.0
2018-02-26,100.1311,98.59,98.1,1.0,100.9586,100.58,1538952.0,0.0
2018-02-27,97.2043,101.01,93.16,1.0,101.56,97.64,4738328.0,0.0
2018-02-28,94.7353,97.94,95.15,1.0,99.75,95.16,1424957.0,0.0
2018-03-01,92.8836,94.84,92.51,1.0,95.34,93.3,2178479.0,0.0
2018-03-02,93.5407,92.7,92.56,1.0,94.58,93.96,1489868.0,0.0
2018-03-05,94.4765,93.01,92.84,1.0,95.26,94.9,1317605.0,0.0
2018-03-06,94.2774,95.49,94.0763,1.0,95.53,94.7,1338205.0,0.0
2018-03-07,95.1734,93.78,93.12,1.0,95.89,95.6,1025425.0,0.0
2018-03-08,95.8105,96.26,95.21,1.0,98.03,96.24,1025902.0,0.0
2018-03-09,98.5582,96.89,96.76,1.0,99.05,99.0,963099.0,0.0
2018-03-12,99.8424,99.21,98.9698,1.0,101.02,100.29,1586177.0,0.0
2018-03-13,100.1511,100.44,100.34,1.0,101.39,100.6,1498040.0,0.0
2018-03-14,98.1401,100.88,98.151,1.0,101.12,98.58,1287897.0,0.0
2018-03-15,96.9255,99.05,97.33,1.0,99.25,97.36,1251230.0,0.0
2018-03-16,96.1789,97.43,96.46,1.0,98.23,96.61,1575851.0,0.0
2018-03-19,92.585,96.34,92.82,1.0,96.34,93.0,1121037.0,0.0
2018-03-20,88.792,92.96,88.152,1.0,93.19,89.19,2598425.0,0.0
2018-03-21,89.1006,89.45,89.27,1.0,91.46,89.5,1714450.0,0.0
2018-03-22,84.6207,88.4,84.66,1.0,88.4,85.0,4612992.0,0.0
2018-03-23,83.655,85.34,83.81,1.0,86.46,84.03,1607013.0,0.0
2018-03-26,84.5709,84.89,82.88,1.0,85.08,84.95,1647364.0,0.0
2018-03-27,83.6351,84.93,83.38,1.0,85.205,84.01,1438764.0,0.0
2018-03-28,84.7302,84.45,84.1268,1.0,85.75,85.11,1969574.0,0.0
2018-03-29,85.8253,85.13,85.04,1.0,86.62,86.21,1528085.0,0.0
2018-04-02,82.3011,86.1,81.82,1.0,86.59,82.67,1957684.0,0.0
2018-04-03,83.5554,83.19,81.58,1.0,84.01,83.93,1318566.0,0.0
2018-04-04,85.8651,82.76,82.72,1.0,86.68,86.25,1485583.0,0.0
2018-04-05,86.99,85.6,85.14,1.0,88.57,87.38,3188226.0,0.0
2018-04-06,85.0288,86.29,84.62,1.0,87.08,85.41,1592695.0,0.0
2018-04-09,86.4027,85.81,85.34,1.0,87.69,86.79,1119640.0,0.0
2018-04-10,88.5132,87.62,87.35,1.0,89.47,88.91,1167507.0,0.0
2018-04-11,88.6924,87.95,87.82,1.0,89.9034,89.09,724736.0,0.0
2018-04-12,87.7964,89.55,87.89,1.0,89.84,88.19,649423.0,0.0
2018-04-13,86.4325,88.39,86.11,1.0,88.78,86.82,1235726.0,0.0
2018-04-16,88.3738,86.82,84.19,1.0,89.67,88.77,5103493.0,0.0
2018-04-17,90.6337,89.5,89.44,1.0,91.39,91.04,2832580.0,0.0
2018-04-18,92.3361,91.67,91.4,1.0,94.22,92.75,2130081.0,0.0
2018-04-19,91.2808,92.59,90.28,1.0,92.59,91.69,1075527.0,0.0
2018-04-20,89.4689,92.0,89.12,1.0,92.02,89.87,886708.0,0.0
2018-04-23,90.3351,90.15,89.84,1.0,90.82,90.74,959891.0,0.0
2018-04-24,89.7377,91.4,89.385,1.0,91.98,90.14,994343.0,0.0
2018-04-25,91.022,89.92,89.3,1.0,91.46,91.43,721838.0,0.0
2018-04-26,91.6691,91.85,91.12,1.0,92.82,92.08,1059266.0,0.0
2018-04-27,92.6547,91.93,91.725,1.0,93.25,93.07,1080625.0,0.0
2018-04-30,90.1758,93.28,90.53,1.0,93.28,90.58,1108237.0,0.0
2018-05-01,88.8019,90.45,87.69,1.0,90.685,89.2,1672882.0,0.0
2018-05-02,91.7686,88.56,87.05,1.0,95.0,92.18,3502257.0,0.0
2018-05-03,84.989,89.25,85.27,1.0,89.49,85.37,3482534.0,0.0
2018-05-04,85.9846,84.51,83.49,1.0,87.3,86.37,1962449.0,0.0
2018-05-07,84.3121,86.45,84.6,1.0,87.48,84.69,1285238.0,0.0
2018-05-08,84.3121,84.58,83.765,1.0,85.47,84.69,1593349.0,0.0
2018-05-09,84.3419,84.82,84.28,1.0,85.61,84.72,2054238.0,0.0
2018-05-10,85.1483,85.41,85.41,1.0,87.83,85.53,1996543.0,0.0
2018-05-11,86.4923,85.6,84.64,1.0,87.5,86.88,1853279.0,0.0
2018-05-14,86.8905,87.43,86.91,1.0,88.475,87.28,1014965.0,0.0
2018-05-15,85.2877,86.6,85.43,1.0,87.48,85.67,1028198.0,0.0
2018-05-16,85.6063,85.93,85.31,1.0,86.73,85.99,1017531.0,0.0
2018-05-17,86.6814,85.94,85.33,1.0,87.86,87.07,1531683.0,0.0
2018-05-18,84.77,86.84,84.7,1.0,87.03,84.77,1309254.0,0.38
2018-05-21,84.34,85.23,84.04,1.0,85.61,84.34,972450.0,0.0
2018-05-22,84.51,84.59,84.26,1.0,85.74,84.51,1058271.0,0.0
2018-05-23,83.96,83.88,83.35,1.0,84.63,83.96,923507.0,0.0
2018-05-24,84.09,83.56,82.34,1.0,85.23,84.09,1224084.0,0.0
2018-05-25,85.49,84.46,83.985,1.0,86.13,85.49,786150.0,0.0
2018-05-29,82.57,84.57,82.0975,1.0,84.845,82.57,1390587.0,0.0
