date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,52.1301,53.52,51.89,1.0,53.66,53.0,2418197.0,0.0
2018-02-07,52.3169,53.0,52.8,1.0,53.82,53.19,2555707.0,0.0
2018-02-08,51.7268,53.02,52.57,1.0,54.3,52.59,3890296.0,0.0
2018-02-09,54.5103,53.07,53.05,1.0,55.72,55.42,4525204.0,0.0
2018-02-12,54.1661,55.42,54.49,1.0,55.44,55.07,1754978.0,0.0
2018-02-13,54.3431,54.85,54.321,1.0,55.45,55.25,1201128.0,0.0
2018-02-14,53.7825,54.89,54.36,1.0,55.27,54.68,1384559.0,0.0
2018-02-15,55.3365,54.87,54.77,1.0,56.27,56.26,2484537.0,0.0
2018-02-16,55.3956,56.4,55.665,1.0,56.85,56.32,2576136.0,0.0
2018-02-20,54.1759,56.02,54.8,1.0,56.27,55.08,2328129.0,0.0
2018-02-21,53.5071,55.03,54.38,1.0,55.45,54.4,1720299.0,0.0
2018-02-22,53.694,54.68,54.23,1.0,55.32,54.59,1655249.0,0.0
2018-02-23,55.4251,54.7,54.63,1.0,56.39,56.35,1984016.0,0.0
2018-02-26,54.8349,56.38,55.38,1.0,56.4595,55.75,1448156.0,0.0
2018-02-27,53.989,55.93,54.8,1.0,56.3,54.89,1837520.0,0.0
2018-02-28,53.4087,55.12,54.28,1.0,55.24,54.3,1845362.0,0.0
2018-03-01,53.0743,54.28,53.68,1.0,54.84,53.96,1844624.0,0.0
2018-03-02,53.1431,54.05,53.47,1.0,54.62,54.03,1444483.0,0.0
2018-03-05,54.2153,53.94,53.68,1.0,55.32,55.12,1915050.0,0.0
2018-03-06,53.0546,55.02,53.865,1.0,55.02,53.94,1719637.0,0.0
2018-03-07,52.7005,53.77,53.08,1.0,54.0,53.58,1800625.0,0.0
2018-03-08,52.9759,53.84,53.58,1.0,54.08,53.86,998692.0,0.0
2018-03-09,53.1038,53.82,53.43,1.0,54.06,53.99,2056445.0,0.0
2018-03-12,53.5169,54.15,54.0985,1.0,54.6,54.41,1559040.0,0.0
2018-03-13,53.6522,54.14,53.88,1.0,54.65,54.09,1598750.0,0.4575
2018-03-14,54.1878,54.22,54.19,1.0,54.87,54.63,1907030.0,0.0
2018-03-15,54.3266,54.66,54.53,1.0,55.43,54.77,1500291.0,0.0
2018-03-16,55.0408,54.88,54.87,1.0,55.64,55.49,2602767.0,0.0
2018-03-19,54.7532,55.48,54.93,1.0,55.79,55.2,1102808.0,0.0
2018-03-20,54.6837,55.28,54.99,1.0,55.54,55.13,970065.0,0.0
2018-03-21,54.4556,55.27,54.77,1.0,55.89,54.9,1126738.0,0.0
2018-03-22,54.4754,54.88,54.72,1.0,55.96,54.92,1231907.0,0.0
2018-03-23,53.5728,55.08,53.91,1.0,55.51,54.01,1236659.0,0.0
2018-03-26,54.406,54.3,54.1,1.0,54.95,54.85,1325829.0,0.0
2018-03-27,55.4277,55.07,54.77,1.0,56.67,55.88,1785885.0,0.0
2018-03-28,55.4872,56.07,55.79,1.0,56.51,55.94,1322762.0,0.0
2018-03-29,56.1716,55.97,55.97,1.0,56.79,56.63,2023816.0,0.0
2018-04-02,56.2311,57.08,56.22,1.0,57.66,56.69,2217729.0,0.0
2018-04-03,56.6775,56.61,56.29,1.0,57.4601,57.14,2083117.0,0.0
2018-04-04,56.3501,56.92,56.15,1.0,57.08,56.81,2216645.0,0.0
2018-04-05,56.975,56.89,56.5,1.0,57.65,57.44,3252933.0,0.0
2018-04-06,56.6675,57.53,56.86,1.0,57.92,57.13,2826107.0,0.0
2018-04-09,56.4989,57.12,56.7,1.0,57.55,56.96,1366910.0,0.0
2018-04-10,55.7451,57.01,56.175,1.0,57.12,56.2,1294539.0,0.0
2018-04-11,55.5566,56.15,55.73,1.0,56.42,56.01,1246223.0,0.0
2018-04-12,54.8821,56.05,55.005,1.0,56.18,55.33,1128384.0,0.0
2018-04-13,55.0607,55.58,55.26,1.0,55.83,55.51,1585503.0,0.0
2018-04-16,55.9038,55.69,55.67,1.0,56.49,56.36,1651537.0,0.0
2018-04-17,56.4295,56.42,56.24,1.0,57.15,56.89,1242897.0,0.0
2018-04-18,56.1022,57.06,56.53,1.0,57.49,56.56,1277891.0,0.0
2018-04-19,56.3898,56.4,56.32,1.0,56.91,56.85,885406.0,0.0
2018-04-20,55.8145,56.73,56.03,1.0,56.73,56.27,1007734.0,0.0
2018-04-23,56.1716,56.49,56.3,1.0,57.16,56.63,1487464.0,0.0
2018-04-24,56.737,56.54,56.5,1.0,57.56,57.2,1678524.0,0.0
2018-04-25,56.7469,57.09,56.8,1.0,57.75,57.21,1207997.0,0.0
2018-04-26,57.4016,57.23,56.95,1.0,57.96,57.87,895882.0,0.0
2018-04-27,58.1256,57.74,57.73,1.0,58.715,58.6,1226534.0,0.0
2018-04-30,58.1455,58.77,58.44,1.0,58.95,58.62,1504500.0,0.0
2018-05-01,57.8578,58.66,58.28,1.0,58.84,58.33,1177941.0,0.0
2018-05-02,57.9074,58.33,58.02,1.0,58.68,58.38,874277.0,0.0
2018-05-03,58.2645,58.28,57.65,1.0,58.93,58.74,918418.0,0.0
2018-05-04,58.4232,58.81,58.68,1.0,59.18,58.9,808828.0,0.0
2018-05-07,58.0661,58.88,58.44,1.0,58.98,58.54,1053508.0,0.0
2018-05-08,56.4493,58.25,56.75,1.0,58.32,56.91,1751806.0,0.0
2018-05-09,55.7649,57.76,56.08,1.0,57.77,56.22,1818336.0,0.0
2018-05-10,55.8839,56.68,56.07,1.0,56.72,56.34,1540769.0,0.0
2018-05-11,56.4096,56.43,56.32,1.0,57.03,56.87,1674081.0,0.0
2018-05-14,56.1319,56.98,56.08,1.0,57.06,56.59,1447083.0,0.0
2018-05-15,55.9633,56.32,56.08,1.0,56.67,56.42,1768768.0,0.0
2018-05-16,55.4872,56.41,55.82,1.0,56.58,55.94,1593732.0,0.0
2018-05-17,55.388,56.01,55.72,1.0,56.26,55.84,1604722.0,0.0
2018-05-18,55.8046,55.95,55.8,1.0,56.51,56.26,1662418.0,0.0
2018-05-21,55.8839,56.3,55.8,1.0,56.48,56.34,980087.0,0.0
2018-05-22,56.241,57.46,56.01,1.0,57.46,56.7,1205822.0,0.0
2018-05-23,57.4214,57.07,57.02,1.0,57.93,57.89,2572305.0,0.0
2018-05-24,58.3042,58.3,58.11,1.0,59.225,58.78,2021584.0,0.0
2018-05-25,58.3935,58.81,58.4601,1.0,58.97,58.87,1347111.0,0.0
2018-05-29,58.3538,58.94,58.57,1.0,59.31,58.83,2019089.0,0.0
2018-05-30,58.9092,58.56,58.56,1.0,59.51,59.39,1344162.0,0.0
2018-05-31,58.7109,59.23,58.94,1.0,59.79,59.19,1628639.0,0.0
2018-06-01,57.6396,59.07,58.06,1.0,59.1,58.11,2214737.0,0.0
2018-06-04,57.5107,58.4,57.76,1.0,58.59,57.98,1280358.0,0.0
2018-06-05,56.9453,58.01,57.255,1.0,58.18,57.41,1607231.0,0.0
2018-06-06,56.1121,57.72,56.47,1.0,57.79,56.57,2065260.0,0.0
2018-06-07,56.4394,56.6,56.19,1.0,57.36,56.9,1871916.0,0.0
2018-06-08,56.2311,57.13,56.52,1.0,57.32,56.69,1396200.0,0.0
2018-06-11,55.2987,56.86,55.68,1.0,57.02,55.75,1952487.0,0.0
2018-06-12,56.06,55.43,55.2124,1.0,56.14,56.06,2307864.0,0.4575
2018-06-13,55.76,56.14,55.64,1.0,56.33,55.76,1874452.0,0.0
2018-06-14,56.37,55.82,55.81,1.0,56.47,56.37,1619992.0,0.0
2018-06-15,56.97,56.29,56.02,1.0,57.02,56.97,3256697.0,0.0
2018-06-18,57.64,56.98,56.97,1.0,57.77,57.64,2136255.0,0.0
2018-06-19,58.28,57.7,57.67,1.0,58.41,58.28,1619313.0,0.0
2018-06-20,58.31,58.27,57.93,1.0,58.39,58.31,1356593.0,0.0
2018-06-21,58.51,58.31,58.175,1.0,58.65,58.51,737759.0,0.0
2018-06-22,58.68,58.47,58.27,1.0,58.82,58.68,1574630.0,0.0
2018-06-25,59.65,58.74,58.74,1.0,59.765,59.65,1625448.0,0.0
2018-06-26,59.94,59.49,59.49,1.0,60.11,59.94,1554359.0,0.0
2018-06-27,60.49,59.83,59.7,1.0,60.63,60.49,1306441.0,0.0
2018-06-28,60.75,60.73,60.41,1.0,61.1,60.75,746783.0,0.0
