date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,181.4802,179.36,178.8,1.0,183.51,182.01,3283397.0,0.0
2018-02-07,180.9617,181.49,181.39,1.0,184.12,181.49,2048437.0,0.0
2018-02-08,177.4819,181.8,178.0,1.0,181.9,178.0,3686735.0,0.0
2018-02-09,175.8766,178.66,173.61,1.0,178.85,176.39,4039244.0,0.0
2018-02-12,176.8637,176.58,175.4,1.0,178.86,177.38,4541018.0,0.0
2018-02-13,178.0004,177.04,176.82,1.0,178.75,178.52,2010730.0,0.0
2018-02-14,176.2554,177.81,176.73,1.0,178.57,176.77,1912793.0,0.0
2018-02-15,176.6543,177.28,175.89,1.0,178.02,177.17,2269461.0,0.0
2018-02-16,177.9904,176.74,176.63,1.0,178.87,178.51,2135227.0,0.0
2018-02-20,177.5118,178.0,176.66,1.0,178.69,178.03,1705057.0,0.0
2018-02-21,175.2584,178.0,175.77,1.0,178.66,175.77,3269181.0,0.0
2018-02-22,174.5504,176.54,174.99,1.0,176.89,175.06,1411836.0,0.0
2018-02-23,175.039,175.12,174.27,1.0,176.04,175.55,1801579.0,0.0
2018-02-26,175.2384,175.83,174.92,1.0,176.53,175.75,1515096.0,0.0
2018-02-27,175.7569,176.1,176.02,1.0,177.43,176.27,1221481.0,0.0
2018-02-28,176.5446,176.67,176.3435,1.0,178.24,177.06,2099456.0,0.0
2018-03-01,175.9364,177.06,175.921,1.0,178.39,176.45,1737915.0,0.0
2018-03-02,177.0132,176.22,175.56,1.0,177.83,177.53,1386502.0,0.0
2018-03-05,177.9405,177.2,176.74,1.0,178.91,178.46,1736775.0,0.0
2018-03-06,177.7112,178.6,177.59,1.0,178.67,178.23,1347095.0,0.0
2018-03-07,178.12,177.5,177.02,1.0,178.64,178.64,2097535.0,0.0
2018-03-08,175.737,178.49,175.61,1.0,178.53,176.25,3263872.0,0.0
2018-03-09,176.8637,176.81,176.14,1.0,178.02,177.38,1428683.0,0.0
2018-03-12,176.5546,177.4,177.07,1.0,178.12,177.07,3338736.0,0.0
2018-03-13,176.9235,177.46,176.8742,1.0,177.62,177.44,2328371.0,0.0
2018-03-14,176.1059,177.58,176.16,1.0,177.68,176.62,1885201.0,0.0
2018-03-15,174.0818,176.5,174.151,1.0,176.86,174.59,1865866.0,0.0
2018-03-16,173.4038,174.88,173.85,1.0,175.19,173.91,1704349.0,0.0
2018-03-19,171.5592,173.9,171.54,1.0,174.26,172.06,1396713.0,0.0
2018-03-20,171.1304,172.29,171.01,1.0,172.77,171.63,1761849.0,0.0
