date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,166.8258,166.3,160.3,1.0,175.0,168.33,8233573.0,0.0
2018-02-07,168.8674,168.93,167.07,1.0,172.98,170.39,3480616.0,0.0
2018-02-08,162.7328,170.64,164.11,1.0,172.58,164.2,3452019.0,0.0
2018-02-09,161.3155,165.04,157.7,1.0,166.58,162.77,4233822.0,0.0
2018-02-12,161.0083,164.04,160.27,1.0,164.74,162.46,3064147.0,0.0
2018-02-13,157.3017,161.25,156.11,1.0,162.46,158.72,3239435.0,0.0
2018-02-14,165.141,157.19,156.0,1.0,167.0,166.63,4799344.0,0.0
2018-02-15,163.0003,168.14,162.71,1.0,169.5,164.47,3402381.0,0.0
2018-02-16,162.5742,164.35,162.9,1.0,165.75,164.04,2647430.0,0.0
2018-02-20,159.155,163.07,160.2464,1.0,164.0,160.59,2462273.0,0.0
2018-02-21,157.8864,160.25,159.23,1.0,162.02,159.31,2682218.0,0.0
2018-02-22,157.9756,159.7,158.99,1.0,161.66,159.4,2761197.0,0.0
2018-02-23,160.6416,161.53,160.05,1.0,162.56,162.09,2566425.0,0.0
2018-02-26,164.2788,162.11,161.51,1.0,166.17,165.76,2694742.0,0.0
2018-02-27,159.1947,164.7,159.86,1.0,165.89,159.91,3250935.0,0.72
2018-02-28,153.5301,160.9,153.26,1.0,161.09,154.22,5928651.0,0.0
2018-03-01,147.5271,150.76,144.75,1.0,151.8,148.19,9340223.0,0.0
2018-03-02,143.3757,147.18,143.1,1.0,147.27,144.02,8464754.0,0.0
2018-03-05,148.0647,143.42,142.81,1.0,149.65,148.73,4028970.0,0.0
2018-03-06,150.0358,149.25,148.21,1.0,151.7,150.71,3305224.0,0.0
2018-03-07,152.5346,149.28,148.89,1.0,153.28,153.22,2927674.0,0.0
2018-03-08,152.8133,153.96,151.51,1.0,154.4655,153.5,3242909.0,0.0
2018-03-09,156.5764,154.96,153.79,1.0,157.43,157.28,3291115.0,0.0
2018-03-12,157.7014,157.59,157.52,1.0,160.04,158.41,2733848.0,0.0
2018-03-13,162.46,159.19,158.74,1.0,164.6,163.19,4250323.0,0.0
2018-03-14,166.3127,163.24,163.24,1.0,168.85,167.06,5032757.0,0.0
2018-03-15,165.3769,167.22,164.98,1.0,168.5799,166.12,3641273.0,0.0
2018-03-16,168.2042,166.8,166.74,1.0,170.81,168.96,3681367.0,0.0
2018-03-19,165.5262,167.99,164.65,1.0,169.6863,166.27,2834296.0,0.0
2018-03-20,162.8881,166.37,162.5,1.0,167.23,163.62,3914393.0,0.0
2018-03-21,162.9677,163.8,163.14,1.0,165.87,163.7,2075524.0,0.0
2018-03-22,161.8527,162.52,162.0,1.0,164.93,162.58,2455333.0,0.0
2018-03-23,158.7666,163.44,159.26,1.0,164.675,159.48,2354600.0,0.0
2018-03-26,159.4834,161.5,155.7,1.0,162.05,160.2,3200680.0,0.0
2018-03-27,159.6028,160.87,158.81,1.0,163.52,160.32,2249138.0,0.0
2018-03-28,164.909,161.0,161.0,1.0,168.36,165.65,3829159.0,0.0
2018-03-29,167.5372,167.08,165.35,1.0,169.7,168.29,2860124.0,0.0
2018-04-02,161.5441,167.35,160.49,1.0,168.29,162.27,3305935.0,0.0
2018-04-03,164.003,163.21,158.4301,1.0,164.9,164.74,1803481.0,0.0
2018-04-04,165.7253,163.47,162.4,1.0,166.97,166.47,2158446.0,0.0
2018-04-05,164.3913,167.43,164.53,1.0,167.43,165.13,1870999.0,0.0
2018-04-06,160.7975,164.0,159.8,1.0,164.0,161.52,2105830.0,0.0
2018-04-09,161.1558,162.86,161.02,1.0,164.64,161.88,1844579.0,0.0
2018-04-10,163.575,163.02,161.7055,1.0,164.71,164.31,1852991.0,0.0
2018-04-11,164.3216,163.64,163.3,1.0,166.55,165.06,1267448.0,0.0
2018-04-12,165.566,165.94,164.91,1.0,167.0,166.31,1038476.0,0.0
2018-04-13,163.6347,167.45,163.38,1.0,168.89,164.37,1487651.0,0.0
