date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,87.4266,86.71,85.91,1.0,89.02,88.49,540769.0,0.0
2018-02-07,87.4266,88.04,87.21,1.0,89.72,88.49,453135.0,0.0
2018-02-08,84.1366,88.45,85.15,1.0,88.51,85.16,500760.0,0.0
2018-02-09,86.9524,86.5,84.98,1.0,88.45,88.01,647129.0,0.0
2018-02-12,86.4683,88.32,86.07,1.0,88.8825,87.52,518835.0,0.0
2018-02-13,87.2587,87.1,86.41,1.0,88.56,88.32,500518.0,0.0
2018-02-14,88.5628,87.91,87.7,1.0,89.73,89.64,310417.0,0.0
2018-02-15,88.9876,90.32,89.435,1.0,90.62,90.07,423627.0,0.0
2018-02-16,88.8394,89.68,89.4735,1.0,90.84,89.92,428588.0,0.0
2018-02-20,87.5155,89.71,88.17,1.0,89.9822,88.58,302175.0,0.0
2018-02-21,87.1994,88.52,88.225,1.0,89.76,88.26,266062.0,0.0
2018-02-22,86.7844,88.65,87.61,1.0,89.57,87.84,319572.0,0.0
2018-02-23,88.049,87.82,87.34,1.0,88.595,88.56,270486.0,0.56
2018-02-26,87.9297,88.63,87.39,1.0,89.07,88.44,419477.0,0.0
2018-02-27,86.846,88.33,87.35,1.0,89.24,87.35,303799.0,0.0
2018-02-28,84.9769,87.74,85.46,1.0,87.96,85.47,556417.0,0.0
2018-03-01,85.1956,85.72,84.9,1.0,86.41,85.69,773585.0,0.0
2018-03-02,85.9413,85.39,84.34,1.0,86.59,86.44,823930.0,0.0
2018-03-05,88.1485,86.27,85.575,1.0,88.71,88.66,1081918.0,0.0
2018-03-06,89.2421,89.04,88.07,1.0,90.225,89.76,461270.0,0.0
2018-03-07,88.566,89.04,88.76,1.0,91.09,89.08,1272620.0,0.0
2018-03-08,87.8502,88.94,86.98,1.0,89.28,88.36,1367353.0,0.0
2018-03-09,90.2861,88.88,88.3,1.0,91.05,90.81,854031.0,0.0
2018-03-12,88.4865,90.67,88.39,1.0,90.8,89.0,664819.0,0.0
2018-03-13,88.5859,89.42,88.88,1.0,89.87,89.1,434938.0,0.0
2018-03-14,87.5221,89.27,87.96,1.0,89.78,88.03,689260.0,0.0
2018-03-15,88.3672,88.37,87.46,1.0,89.15,88.88,793697.0,0.0
2018-03-16,89.4111,88.88,88.57,1.0,90.2,89.93,1342367.0,0.0
2018-03-19,89.61,89.91,89.88,1.0,90.7,90.13,817813.0,0.0
2018-03-20,90.4054,90.53,90.26,1.0,91.64,90.93,667713.0,0.0
2018-03-21,90.4849,91.08,90.07,1.0,91.83,91.01,592358.0,0.0
2018-03-22,88.9637,90.0,89.44,1.0,91.68,89.48,558459.0,0.0
2018-03-23,86.9852,89.9,87.26,1.0,90.36,87.49,557178.0,0.0
2018-03-26,90.3159,88.37,88.37,1.0,91.1,90.84,657281.0,0.0
2018-03-27,89.1725,90.84,89.22,1.0,90.97,89.69,516377.0,0.0
2018-03-28,90.4054,90.09,89.63,1.0,91.75,90.93,536914.0,0.0
2018-03-29,90.8826,91.22,90.97,1.0,91.86,91.41,441214.0,0.0
2018-04-02,87.6712,90.82,87.08,1.0,91.58,88.18,660766.0,0.0
2018-04-03,89.4509,88.38,88.38,1.0,90.58,89.97,526757.0,0.0
2018-04-04,90.6539,88.78,88.7,1.0,91.34,91.18,421984.0,0.0
2018-04-05,91.2703,91.49,90.44,1.0,92.3,91.8,408724.0,0.0
2018-04-06,89.0234,91.03,89.0,1.0,91.77,89.54,509682.0,0.0
2018-04-09,89.2023,89.89,89.53,1.0,91.1,89.72,418085.0,0.0
2018-04-10,90.2065,90.52,90.07,1.0,91.3,90.73,421123.0,0.0
2018-04-11,90.0673,90.1,89.5,1.0,91.115,90.59,644239.0,0.0
2018-04-12,91.2703,91.28,91.06,1.0,91.94,91.8,681013.0,0.0
2018-04-13,90.982,92.36,90.83,1.0,92.49,91.51,478169.0,0.0
2018-04-16,91.9663,92.2,91.2,1.0,92.8,92.5,709181.0,0.0
2018-04-17,92.3541,92.99,92.25,1.0,94.21,92.89,643666.0,0.0
2018-04-18,92.1751,93.03,92.21,1.0,93.34,92.71,460628.0,0.0
2018-04-19,92.0657,92.76,92.01,1.0,93.35,92.6,594795.0,0.0
2018-04-20,92.8711,92.83,92.76,1.0,93.65,93.41,645412.0,0.0
2018-04-23,92.8114,93.57,92.82,1.0,93.85,93.35,355136.0,0.0
2018-04-24,92.8213,93.42,92.51,1.0,94.5002,93.36,440561.0,0.0
2018-04-25,92.8512,93.55,92.69,1.0,93.87,93.39,351565.0,0.0
2018-04-26,92.8711,93.32,92.92,1.0,93.86,93.41,286008.0,0.0
2018-04-27,93.4477,93.25,93.17,1.0,94.21,93.99,278569.0,0.0
2018-04-30,92.2845,94.33,92.74,1.0,94.46,92.82,419013.0,0.0
2018-05-01,91.3101,92.35,91.2,1.0,92.375,91.84,574518.0,0.0
2018-05-02,89.1228,91.51,89.38,1.0,91.53,89.64,522705.0,0.0
2018-05-03,88.1087,89.11,85.41,1.0,89.11,88.62,1019469.0,0.0
2018-05-04,87.4227,87.73,84.88,1.0,88.78,87.93,1110940.0,0.0
2018-05-07,86.7864,88.5,86.23,1.0,88.5,87.29,624972.0,0.0
2018-05-08,86.0109,87.46,85.97,1.0,87.6,86.51,644869.0,0.0
2018-05-09,85.8916,86.72,85.14,1.0,86.82,86.39,618567.0,0.0
2018-05-10,87.0548,86.5,85.8,1.0,87.65,87.56,540746.0,0.0
2018-05-11,87.0648,87.68,87.03,1.0,88.4,87.57,373353.0,0.0
2018-05-14,86.7665,87.69,86.99,1.0,87.969,87.27,362358.0,0.0
2018-05-15,89.1924,87.27,87.03,1.0,89.82,89.71,838967.0,0.0
2018-05-16,93.398,90.09,90.08,1.0,94.39,93.94,1869692.0,0.0
2018-05-17,93.746,94.18,93.59,1.0,95.47,94.29,1195020.0,0.0
2018-05-18,95.3666,94.6,93.97,1.0,97.055,95.92,878826.0,0.0
2018-05-21,97.3849,96.39,96.01,1.0,98.25,97.95,1058588.0,0.0
2018-05-22,95.5356,98.0,95.93,1.0,99.48,96.09,888855.0,0.0
2018-05-23,94.7999,95.9,94.92,1.0,96.665,95.35,614876.0,0.0
2018-05-24,96.5795,95.07,95.0,1.0,97.73,97.14,861032.0,0.0
2018-05-25,96.5,96.09,95.99,1.0,97.7,96.5,586836.0,0.56
2018-05-29,95.32,95.71,94.6,1.0,97.34,95.32,659731.0,0.0
2018-05-30,95.39,95.81,94.63,1.0,96.13,95.39,787256.0,0.0
2018-05-31,93.35,95.27,93.01,1.0,95.72,93.35,846143.0,0.0
2018-06-01,94.06,94.52,93.55,1.0,94.9,94.06,778500.0,0.0
2018-06-04,94.21,94.24,93.19,1.0,94.39,94.21,599594.0,0.0
2018-06-05,94.28,94.11,93.4,1.0,94.6,94.28,601363.0,0.0
2018-06-06,95.5,94.72,94.08,1.0,95.84,95.5,617403.0,0.0
2018-06-07,97.5,95.5,95.01,1.0,97.7,97.5,1068285.0,0.0
2018-06-08,98.29,97.43,97.07,1.0,98.36,98.29,589335.0,0.0
2018-06-11,95.12,98.41,95.1,1.0,98.65,95.12,762126.0,0.0
2018-06-12,95.95,95.13,95.04,1.0,96.5,95.95,658566.0,0.0
2018-06-13,97.19,96.49,96.18,1.0,97.99,97.19,1085975.0,0.0
2018-06-14,95.76,97.43,95.64,1.0,97.96,95.76,608664.0,0.0
2018-06-15,95.49,95.08,93.7,1.0,95.91,95.49,1065716.0,0.0
2018-06-18,95.23,94.82,94.58,1.0,95.7,95.23,488944.0,0.0
2018-06-19,99.6,94.68,94.68,1.0,99.84,99.6,1999553.0,0.0
2018-06-20,101.29,99.84,99.32,1.0,102.13,101.29,1665087.0,0.0
2018-06-21,102.2,101.36,101.12,1.0,103.58,102.2,1131229.0,0.0
2018-06-22,102.37,102.65,102.13,1.0,104.33,102.37,1475002.0,0.0
2018-06-25,102.59,102.5,101.44,1.0,104.0,102.59,1087877.0,0.0
2018-06-26,101.34,102.74,99.99,1.0,102.825,101.34,1022405.0,0.0
2018-06-27,102.34,101.06,101.05,1.0,103.63,102.34,1462141.0,0.0
2018-06-28,104.62,102.15,101.8701,1.0,105.76,104.62,671347.0,0.0
