date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,106.8001,103.51,103.31,1.0,108.5199,107.54,2898636.0,0.0
2018-02-07,105.8964,107.46,106.56,1.0,109.48,106.63,1663015.0,0.0
2018-02-08,104.4564,106.94,105.14,1.0,108.7,105.18,2375923.0,0.0
2018-02-09,106.9789,106.0,103.75,1.0,108.71,107.72,2572130.0,0.0
2018-02-12,110.8223,109.28,109.01,1.0,112.15,111.59,2636101.0,0.0
2018-02-13,107.7039,111.6,108.084,1.0,112.6,108.45,2756593.0,0.0
2018-02-14,110.9514,107.18,106.63,1.0,112.16,111.72,2051713.0,0.0
2018-02-15,113.8215,112.43,111.38,1.0,114.65,114.61,1746847.0,0.0
2018-02-16,111.4678,114.36,111.96,1.0,114.59,112.24,1668940.0,0.0
2018-02-20,113.7917,112.0,112.0,1.0,115.39,114.58,1420025.0,0.0
2018-02-21,112.2325,115.35,112.87,1.0,116.5,113.01,1765680.0,0.0
2018-02-22,112.8979,113.88,113.155,1.0,114.7499,113.68,1021914.0,0.0
2018-02-23,117.933,115.84,115.61,1.0,118.83,118.75,2136021.0,0.0
2018-02-26,109.3425,114.35,107.12,1.0,114.9,110.1,7148406.0,0.0
2018-02-27,110.8024,110.56,110.56,1.0,113.1,111.57,2627333.0,0.0
2018-02-28,99.739,112.6,98.93,1.0,112.9,100.43,6710548.0,0.0
2018-03-01,95.3494,101.27,94.7,1.0,101.31,96.01,7170806.0,0.0
2018-03-02,94.3663,95.69,90.49,1.0,95.85,95.02,5718042.0,0.0
2018-03-05,95.7765,94.22,93.5,1.0,97.66,96.44,2503289.0,0.0
2018-03-06,99.451,98.4,97.79,1.0,100.89,100.14,3587430.0,0.0
2018-03-07,99.3617,99.0,98.58,1.0,100.622,100.05,1567896.0,0.0
2018-03-08,98.597,100.16,98.65,1.0,101.35,99.28,1257230.0,0.0
2018-03-09,101.0599,99.71,99.08,1.0,102.42,101.76,1510028.0,0.0
2018-03-12,102.2814,101.99,101.6,1.0,103.97,102.99,1507959.0,0.0
2018-03-13,102.4205,103.0,102.55,1.0,104.39,103.13,1371498.0,0.0
2018-03-14,99.9724,103.13,100.1,1.0,104.31,100.33,1963319.0,0.335
2018-03-15,97.7205,100.53,97.85,1.0,100.93,98.07,1503186.0,0.0
2018-03-16,98.0194,97.91,96.5,1.0,98.81,98.37,2073316.0,0.0
2018-03-19,96.5646,97.57,95.812,1.0,98.0,96.91,1181739.0,0.0
2018-03-20,94.9803,96.96,94.0,1.0,96.96,95.32,3645531.0,0.0
2018-03-21,97.1226,95.68,94.61,1.0,98.77,97.47,1766537.0,0.0
2018-03-22,93.7746,96.31,94.05,1.0,97.7,94.11,1516474.0,0.0
2018-03-23,92.9077,94.0,93.03,1.0,95.58,93.24,1349106.0,0.0
2018-03-26,94.0237,94.57,93.14,1.0,95.33,94.36,1679650.0,0.0
2018-03-27,93.097,94.78,92.81,1.0,95.75,93.43,1631162.0,0.0
2018-03-28,89.2408,93.43,89.282,1.0,93.84,89.56,2906311.0,0.0
2018-03-29,92.4095,90.46,90.05,1.0,93.69,92.74,2275749.0,0.0
2018-04-02,88.6429,92.05,88.63,1.0,92.45,88.96,1919757.0,0.0
2018-04-03,90.0977,89.58,87.56,1.0,90.65,90.42,1883826.0,0.0
2018-04-04,91.2735,87.78,86.75,1.0,91.64,91.6,2281030.0,0.0
2018-04-05,95.4287,92.28,91.86,1.0,98.49,95.77,2884327.0,0.0
2018-04-06,91.4728,94.51,91.23,1.0,95.62,91.8,2707922.0,0.0
2018-04-09,90.8949,92.77,90.78,1.0,92.77,91.22,1161478.0,0.0
2018-04-10,92.0009,92.87,91.68,1.0,93.63,92.33,1480307.0,0.0
2018-04-11,92.9774,91.84,91.21,1.0,93.99,93.31,1072775.0,0.0
2018-04-12,93.0572,93.65,92.32,1.0,94.09,93.39,1185371.0,0.0
2018-04-13,95.1596,96.14,94.44,1.0,96.44,95.5,1999271.0,0.0
2018-04-16,96.5248,96.45,94.54,1.0,97.5748,96.87,1415807.0,0.0
2018-04-17,96.2856,97.64,95.84,1.0,97.9599,96.63,1164197.0,0.0
2018-04-18,98.4379,97.26,97.0501,1.0,99.78,98.79,1145685.0,0.0
2018-04-19,98.2386,99.0,96.92,1.0,99.7,98.59,1526433.0,0.0
2018-04-20,97.4016,98.23,97.105,1.0,98.315,97.75,912310.0,0.0
2018-04-23,96.9931,97.67,97.03,1.0,98.5,97.34,804855.0,0.0
2018-04-24,95.4386,97.85,94.11,1.0,98.5,95.78,1328573.0,0.0
2018-04-25,95.1198,95.8,94.48,1.0,96.22,95.46,870795.0,0.0
2018-04-26,96.2059,95.84,94.56,1.0,97.31,96.55,1030420.0,0.0
2018-04-27,96.6045,96.41,96.14,1.0,97.66,96.95,857223.0,0.0
2018-04-30,96.6144,96.96,96.71,1.0,98.84,96.96,1441949.0,0.0
2018-05-01,97.2721,96.27,95.66,1.0,97.62,97.62,1221587.0,0.0
2018-05-02,97.4913,97.6,97.56,1.0,99.77,97.84,1398328.0,0.0
2018-05-03,97.5411,97.85,96.51,1.0,99.24,97.89,1384027.0,0.0
2018-05-04,99.7034,97.61,97.5201,1.0,100.78,100.06,1294627.0,0.0
2018-05-07,99.7532,100.11,99.69,1.0,102.38,100.11,1388214.0,0.0
2018-05-08,100.361,100.0,99.5,1.0,101.39,100.72,1680616.0,0.0
2018-05-09,101.3874,101.72,100.17,1.0,102.769,101.75,1934866.0,0.0
2018-05-10,98.0393,101.46,96.64,1.0,101.89,98.39,3860677.0,0.0
2018-05-11,98.1888,98.0,97.76,1.0,99.03,98.54,1683234.0,0.0
2018-05-14,98.8863,99.3,98.98,1.0,101.13,99.24,1525206.0,0.0
2018-05-15,100.4507,99.08,98.03,1.0,101.75,100.81,1728376.0,0.0
2018-05-16,101.9852,101.15,101.0684,1.0,102.9,102.35,1545807.0,0.0
2018-05-17,104.4265,102.62,102.5,1.0,105.87,104.8,2770397.0,0.0
2018-05-18,104.5461,105.0,104.15,1.0,106.3,104.92,2305822.0,0.0
2018-05-21,103.6991,105.5,103.51,1.0,106.4,104.07,1853949.0,0.0
2018-05-22,101.9753,104.54,102.13,1.0,105.14,102.34,1034258.0,0.0
2018-05-23,101.477,101.34,100.8,1.0,102.25,101.84,907212.0,0.0
2018-05-24,94.6813,99.58,94.95,1.0,99.97,95.02,3516922.0,0.0
2018-05-25,94.4821,94.4,93.37,1.0,95.31,94.82,1742042.0,0.0
2018-05-29,92.6984,94.58,92.61,1.0,94.79,93.03,1612172.0,0.0
2018-05-30,93.2564,93.59,93.0,1.0,94.45,93.59,1241027.0,0.0
2018-05-31,93.1369,93.56,93.25,1.0,94.32,93.47,1430047.0,0.0
2018-06-01,93.9241,93.5,93.5,1.0,95.076,94.26,1242808.0,0.0
2018-06-04,94.1034,94.57,93.83,1.0,95.0,94.44,962280.0,0.0
2018-06-05,94.3127,94.5,94.285,1.0,95.335,94.65,973273.0,0.0
2018-06-06,95.329,94.8,93.95,1.0,95.68,95.67,1738079.0,0.0
2018-06-07,94.8806,95.64,94.69,1.0,96.43,95.22,887529.0,0.0
2018-06-08,95.0301,95.2,94.64,1.0,95.8002,95.37,1044249.0,0.0
2018-06-11,95.0301,95.45,94.63,1.0,96.38,95.37,815815.0,0.0
2018-06-12,95.3988,97.11,95.36,1.0,97.75,95.74,1584642.0,0.0
2018-06-13,93.8443,95.83,94.1,1.0,96.03,94.18,1598200.0,0.0
2018-06-14,93.66,94.19,93.35,1.0,94.965,93.66,1148198.0,0.335
2018-06-15,93.33,93.13,92.2,1.0,93.62,93.33,1698922.0,0.0
2018-06-18,92.87,93.11,92.28,1.0,93.14,92.87,1675556.0,0.0
2018-06-19,91.4,91.81,90.24,1.0,91.87,91.4,1841110.0,0.0
2018-06-20,91.61,92.08,91.31,1.0,92.63,91.61,1333691.0,0.0
2018-06-21,91.97,91.41,91.25,1.0,92.5552,91.97,1319731.0,0.0
2018-06-22,93.46,92.38,92.16,1.0,93.62,93.46,1449961.0,0.0
2018-06-25,91.96,93.65,91.29,1.0,94.97,91.96,1414901.0,0.0
2018-06-26,92.52,92.33,91.89,1.0,93.1,92.52,1070704.0,0.0
2018-06-27,93.41,93.74,93.27,1.0,96.3274,93.41,1967828.0,0.0
2018-06-28,93.09,93.25,92.5,1.0,93.705,93.09,408639.0,0.0
