date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,241.45,232.71,228.0,1.0,245.65,241.45,2267153.0,0.0
2018-02-07,234.33,241.0,233.6,1.0,242.22,234.33,1153421.0,0.0
2018-02-08,220.71,233.57,220.7,1.0,233.96,220.71,1830911.0,0.0
2018-02-09,229.37,223.75,219.11,1.0,232.41,229.37,1470611.0,0.0
2018-02-12,233.13,233.25,225.91,1.0,235.0,233.13,1205694.0,0.0
2018-02-13,233.73,230.76,229.68,1.0,236.7,233.73,705777.0,0.0
2018-02-14,246.34,231.98,231.3482,1.0,246.9,246.34,1205274.0,0.0
2018-02-15,252.77,250.0,245.39,1.0,253.71,252.77,1406701.0,0.0
2018-02-16,251.5,253.85,249.04,1.0,255.3899,251.5,1048722.0,0.0
2018-02-20,255.45,250.57,250.5,1.0,259.75,255.45,1135555.0,0.0
2018-02-21,252.14,255.36,252.0,1.0,262.8235,252.14,1071419.0,0.0
2018-02-22,259.68,254.16,253.26,1.0,262.33,259.68,1073496.0,0.0
2018-02-23,265.07,261.99,258.14,1.0,266.8,265.07,924448.0,0.0
2018-02-26,266.58,266.8,262.42,1.0,268.4,266.58,714167.0,0.0
2018-02-27,263.87,265.48,263.5,1.0,267.27,263.87,614593.0,0.0
2018-02-28,262.52,264.9,262.44,1.0,267.78,262.52,649310.0,0.0
2018-03-01,245.55,255.0,244.15,1.0,259.8375,245.55,1833437.0,0.0
2018-03-02,253.71,243.65,241.3,1.0,254.89,253.71,1016135.0,0.0
2018-03-05,255.49,252.84,247.6404,1.0,256.64,255.49,818321.0,0.0
2018-03-06,255.97,256.01,252.16,1.0,257.39,255.97,741077.0,0.0
2018-03-07,262.9,252.46,252.13,1.0,263.92,262.9,679264.0,0.0
2018-03-08,268.18,264.92,263.57,1.0,268.6899,268.18,609138.0,0.0
2018-03-09,271.74,270.0,269.99,1.0,273.22,271.74,816920.0,0.0
2018-03-12,275.61,272.07,271.13,1.0,277.315,275.61,814856.0,0.0
2018-03-13,269.71,276.56,267.29,1.0,276.98,269.71,833874.0,0.0
2018-03-14,272.48,271.29,269.27,1.0,274.07,272.48,607787.0,0.0
2018-03-15,272.87,272.23,269.7617,1.0,276.14,272.87,555647.0,0.0
2018-03-16,270.41,273.76,267.5741,1.0,274.15,270.41,792775.0,0.0
2018-03-19,265.39,268.65,262.13,1.0,274.4,265.39,861923.0,0.0
2018-03-20,270.4,266.92,264.77,1.0,270.67,270.4,536505.0,0.0
2018-03-21,270.14,270.67,267.2,1.0,271.99,270.14,571794.0,0.0
2018-03-22,260.13,266.55,260.0,1.0,269.8,260.13,704850.0,0.0
2018-03-23,250.92,260.13,250.28,1.0,265.84,250.92,979925.0,0.0
2018-03-26,261.52,254.0,250.15,1.0,261.87,261.52,870834.0,0.0
2018-03-27,248.3,263.98,245.821,1.0,264.7398,248.3,1001212.0,0.0
2018-03-28,244.42,248.52,241.03,1.0,248.9,244.42,1175005.0,0.0
2018-03-29,251.13,245.98,243.08,1.0,257.4668,251.13,1259386.0,0.0
2018-04-02,242.69,251.0,238.17,1.0,254.8,242.69,927845.0,0.0
2018-04-03,243.62,244.01,240.08,1.0,248.0924,243.62,847526.0,0.0
2018-04-04,248.93,239.72,238.5,1.0,250.015,248.93,752945.0,0.0
2018-04-05,255.35,251.32,251.32,1.0,259.73,255.35,1096548.0,0.0
2018-04-06,245.23,252.4,243.2,1.0,255.718,245.23,909745.0,0.0
2018-04-09,249.06,248.37,247.62,1.0,255.26,249.06,578875.0,0.0
2018-04-10,258.27,254.17,252.34,1.0,259.96,258.27,942501.0,0.0
2018-04-11,257.02,255.58,254.525,1.0,260.4587,257.02,490842.0,0.0
2018-04-12,263.76,259.62,258.47,1.0,264.88,263.76,579685.0,0.0
2018-04-13,261.72,266.22,259.5,1.0,267.21,261.72,594139.0,0.0
2018-04-16,265.5,264.77,263.02,1.0,268.32,265.5,533568.0,0.0
2018-04-17,272.65,269.17,267.78,1.0,274.52,272.65,958148.0,0.0
2018-04-18,277.05,274.0,270.57,1.0,280.23,277.05,885870.0,0.0
2018-04-19,252.78,265.82,250.27,1.0,267.0153,252.78,2458586.0,0.0
2018-04-20,247.07,253.38,245.41,1.0,256.66,247.07,1323286.0,0.0
2018-04-23,247.2,248.63,245.0069,1.0,251.37,247.2,846489.0,0.0
2018-04-24,239.66,248.62,235.825,1.0,251.47,239.66,1267377.0,0.0
2018-04-25,245.63,238.47,234.4,1.0,245.78,245.63,1298132.0,0.0
2018-04-26,259.89,261.99,242.71,1.0,266.095,259.89,2927841.0,0.0
2018-04-27,257.9,259.99,251.48,1.0,260.84,257.9,981712.0,0.0
2018-04-30,249.85,258.63,249.58,1.0,258.63,249.85,1103485.0,0.0
2018-05-01,251.34,249.21,247.51,1.0,252.69,251.34,570351.0,0.0
2018-05-02,249.47,250.4,249.17,1.0,252.93,249.47,746038.0,0.0
2018-05-03,255.14,249.0,244.4,1.0,255.41,255.14,964708.0,0.0
2018-05-04,258.97,251.99,246.38,1.0,260.26,258.97,1020927.0,0.0
2018-05-07,265.03,259.25,259.23,1.0,267.04,265.03,1186251.0,0.0
2018-05-08,265.46,263.54,260.23,1.0,266.08,265.46,820822.0,0.0
2018-05-09,268.0,265.49,265.49,1.0,270.6,268.0,747026.0,0.0
2018-05-10,277.73,268.01,267.13,1.0,280.25,277.73,1202471.0,0.0
2018-05-11,286.49,278.29,277.99,1.0,288.36,286.49,1471608.0,0.0
2018-05-14,286.42,286.99,284.75,1.0,296.4699,286.42,1231448.0,0.0
2018-05-15,283.77,283.53,276.81,1.0,284.26,283.77,868337.0,0.0
2018-05-16,287.96,283.5,281.61,1.0,292.82,287.96,881111.0,0.0
2018-05-17,292.72,289.52,287.73,1.0,294.91,292.72,927859.0,0.0
2018-05-18,298.0,293.49,292.76,1.0,299.46,298.0,900783.0,0.0
2018-05-21,302.46,300.0,299.47,1.0,304.99,302.46,853905.0,0.0
2018-05-22,297.86,305.96,294.0,1.0,306.11,297.86,856189.0,0.0
2018-05-23,308.2,297.86,297.17,1.0,308.67,308.2,1243445.0,0.0
2018-05-24,317.04,310.13,308.005,1.0,318.59,317.04,1354331.0,0.0
2018-05-25,318.54,318.08,316.38,1.0,322.6717,318.54,1268089.0,0.0
2018-05-29,326.18,318.19,317.86,1.0,326.815,326.18,1027815.0,0.0
2018-05-30,331.45,327.92,327.225,1.0,333.34,331.45,903312.0,0.0
2018-05-31,331.95,331.7,330.21,1.0,338.5,331.95,1421679.0,0.0
2018-06-01,333.09,333.17,325.28,1.0,335.35,333.09,1081700.0,0.0
2018-06-04,343.2,335.54,333.22,1.0,343.88,343.2,794570.0,0.0
2018-06-05,346.08,343.21,341.54,1.0,346.55,346.08,925154.0,0.0
2018-06-06,346.37,347.25,342.831,1.0,347.969,346.37,768034.0,0.0
2018-06-07,339.32,346.86,333.3,1.0,347.85,339.32,1225350.0,0.0
2018-06-08,346.67,337.03,333.0,1.0,347.4399,346.67,774356.0,0.0
2018-06-11,348.44,345.28,343.72,1.0,349.785,348.44,634959.0,0.0
2018-06-12,354.25,349.6,349.29,1.0,355.98,354.25,861886.0,0.0
2018-06-13,363.49,356.0,354.59,1.0,365.76,363.49,1231819.0,0.0
2018-06-14,366.27,364.35,363.7,1.0,370.47,366.27,872402.0,0.0
2018-06-15,362.66,364.81,358.27,1.0,366.885,362.66,1143538.0,0.0
2018-06-18,370.1,361.01,357.11,1.0,371.55,370.1,874673.0,0.0
2018-06-19,365.24,366.2,358.67,1.0,369.08,365.24,847541.0,0.0
2018-06-20,364.7,368.01,362.69,1.0,369.2,364.7,794169.0,0.0
2018-06-21,359.6,365.66,359.15,1.0,369.0,359.6,1019538.0,0.0
2018-06-22,353.27,361.57,347.15,1.0,363.96,353.27,1296514.0,0.0
2018-06-25,346.3,350.0,341.28,1.0,350.47,346.3,1174116.0,0.0
2018-06-26,352.42,349.27,348.3,1.0,357.69,352.42,940213.0,0.0
2018-06-27,342.78,352.42,342.26,1.0,356.4741,342.78,1009813.0,0.0
2018-06-28,340.67,340.57,334.4364,1.0,344.75,340.67,679594.0,0.0
