date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,62.5349,62.24,61.08,1.0,63.65,63.19,4770198.0,0.0
2018-02-07,63.5641,63.14,63.04,1.0,64.96,64.23,2021488.0,0.0
2018-02-08,63.3761,64.25,63.82,1.0,65.23,64.04,4230143.0,0.0
2018-02-09,64.0491,64.67,63.64,1.0,65.23,64.72,5136156.0,0.0
2018-02-12,65.3257,65.11,64.95,1.0,66.79,66.01,3345533.0,0.0
2018-02-13,66.1966,65.45,65.25,1.0,67.18,66.89,2906768.0,0.0
2018-02-14,66.0679,66.6,65.72,1.0,67.5,66.76,2370063.0,0.0
2018-02-15,65.484,66.68,64.77,1.0,67.27,66.17,3555109.0,0.0
2018-02-16,64.6131,65.83,64.82,1.0,66.34,64.97,1860468.0,0.32
2018-02-20,64.0363,64.94,63.99,1.0,65.0,64.39,1523081.0,0.0
2018-02-21,64.3347,64.5,64.36,1.0,66.61,64.69,2232853.0,0.0
2018-02-22,63.8175,65.14,64.03,1.0,65.7,64.17,1246442.0,0.0
2018-02-23,64.6231,64.45,63.94,1.0,65.17,64.98,1345569.0,0.0
2018-02-26,65.7867,65.46,64.44,1.0,66.31,66.15,1617993.0,0.0
2018-02-27,64.5336,66.24,64.8,1.0,66.635,64.89,1481505.0,0.0
2018-02-28,64.1457,65.03,64.25,1.0,65.459,64.5,1123494.0,0.0
2018-03-01,64.2949,64.29,63.85,1.0,66.07,64.65,2448512.0,0.0
2018-03-02,63.0319,64.0,62.42,1.0,64.355,63.38,2071243.0,0.0
2018-03-05,63.2706,63.05,62.52,1.0,64.16,63.62,2347007.0,0.0
2018-03-06,63.9468,63.75,63.22,1.0,64.45,64.3,1379410.0,0.0
2018-03-07,63.6485,63.88,63.53,1.0,64.41,64.0,1290522.0,0.0
2018-03-08,64.4441,64.23,64.03,1.0,65.47,64.8,1472007.0,0.0
2018-03-09,64.4441,65.1,63.82,1.0,65.3,64.8,3008355.0,0.0
2018-03-12,65.4187,64.99,64.39,1.0,66.04,65.78,3380052.0,0.0
2018-03-13,68.4122,65.87,65.87,1.0,68.85,68.79,3270978.0,0.0
2018-03-14,65.3093,68.54,65.5,1.0,69.16,65.67,2517150.0,0.0
2018-03-15,65.5579,65.89,65.5001,1.0,66.34,65.92,1075722.0,0.0
2018-03-16,66.1447,66.16,66.12,1.0,67.22,66.51,1480826.0,0.0
2018-03-19,64.7424,66.31,64.65,1.0,66.57,65.1,1263391.0,0.0
2018-03-20,64.8319,65.39,64.59,1.0,65.43,65.19,998897.0,0.0
2018-03-21,63.8573,63.99,62.95,1.0,64.56,64.21,2249878.0,0.0
2018-03-22,62.475,63.72,62.73,1.0,64.4,62.82,1672185.0,0.0
2018-03-23,61.5401,62.67,61.81,1.0,63.2998,61.88,1402354.0,0.0
2018-03-26,61.8186,62.22,61.39,1.0,62.5,62.16,1446740.0,0.0
2018-03-27,61.1523,62.43,61.2034,1.0,62.59,61.49,2186343.0,0.0
2018-03-28,61.2318,61.49,61.25,1.0,62.04,61.57,1788909.0,0.0
2018-03-29,61.6197,61.65,61.5,1.0,62.345,61.96,2232249.0,0.0
2018-04-02,57.4328,61.67,57.6,1.0,61.67,57.75,3570488.0,0.0
2018-04-03,59.7798,58.46,57.6,1.0,60.24,60.11,4137902.0,0.0
2018-04-04,60.8837,59.54,59.01,1.0,61.31,61.22,2019053.0,0.0
2018-04-05,61.7689,61.51,61.21,1.0,62.34,62.11,1448575.0,0.0
2018-04-06,60.4362,61.73,60.31,1.0,62.02,60.77,2201058.0,0.0
2018-04-09,59.4815,60.99,59.7,1.0,61.319,59.81,1561307.0,0.0
2018-04-10,59.5213,60.38,58.67,1.0,60.55,59.85,1814231.0,0.0
2018-04-11,58.7356,59.47,59.03,1.0,60.22,59.06,1551252.0,0.0
2018-04-12,59.939,59.57,59.3126,1.0,60.7405,60.27,1515891.0,0.0
2018-04-13,63.5987,61.02,60.93,1.0,65.1,63.95,4581044.0,0.0
2018-04-16,64.8518,64.6,64.3,1.0,65.68,65.21,2808860.0,0.0
2018-04-17,64.633,65.67,64.66,1.0,66.17,64.99,1580082.0,0.0
2018-04-18,65.6077,65.64,65.16,1.0,66.89,65.97,2212480.0,0.0
2018-04-19,65.1601,65.94,64.61,1.0,66.01,65.52,1434360.0,0.0
2018-04-20,65.0308,65.69,65.01,1.0,66.14,65.39,1755112.0,0.0
2018-04-23,68.7304,67.34,66.89,1.0,70.25,69.11,6424599.0,0.0
2018-04-24,64.9016,68.41,64.46,1.0,68.6,65.26,3480394.0,0.0
2018-04-25,66.0253,65.26,64.3301,1.0,66.61,66.39,2327162.0,0.0
2018-04-26,65.538,65.79,64.76,1.0,66.45,65.9,2188022.0,0.0
2018-04-27,65.6574,65.89,65.8288,1.0,67.06,66.02,1628945.0,0.0
2018-04-30,64.5734,66.17,64.5,1.0,66.47,64.93,1329950.0,0.0
2018-05-01,65.0806,65.06,64.4,1.0,65.64,65.44,1119861.0,0.0
2018-05-02,63.0418,65.01,63.33,1.0,65.71,63.39,3762148.0,0.0
2018-05-03,62.5744,63.25,62.11,1.0,63.82,62.92,2706034.0,0.0
2018-05-04,62.4551,62.48,61.95,1.0,62.91,62.8,2741536.0,0.0
2018-05-07,61.3114,62.79,61.18,1.0,62.8,61.65,2063966.0,0.0
2018-05-08,61.2915,61.58,61.02,1.0,62.31,61.63,2308886.0,0.0
2018-05-09,60.0583,61.54,60.29,1.0,61.79,60.39,3331097.0,0.0
2018-05-10,60.2274,60.65,59.86,1.0,60.79,60.56,2548885.0,0.0
2018-05-11,60.1975,60.6,60.06,1.0,60.91,60.53,1456243.0,0.0
2018-05-14,59.7202,60.41,59.45,1.0,60.71,60.05,2433270.0,0.0
2018-05-15,58.4273,59.9,58.705,1.0,60.16,58.75,2713538.0,0.0
2018-05-16,58.7754,58.7,57.83,1.0,59.8,59.1,2761999.0,0.0
2018-05-17,58.2781,59.16,58.47,1.0,59.78,58.6,1457447.0,0.0
2018-05-18,57.8903,58.46,58.01,1.0,58.7,58.21,1254200.0,0.0
2018-05-21,57.94,58.28,57.53,1.0,58.85,57.94,2016725.0,0.32
2018-05-22,58.18,58.12,58.01,1.0,58.55,58.18,1646975.0,0.0
2018-05-23,58.42,58.03,57.65,1.0,58.45,58.42,1547306.0,0.0
2018-05-24,59.87,58.5,58.28,1.0,60.1,59.87,2145198.0,0.0
2018-05-25,61.87,60.1,59.91,1.0,62.67,61.87,2630494.0,0.0
2018-05-29,60.57,61.26,60.17,1.0,61.6475,60.57,1799743.0,0.0
2018-05-30,60.28,60.64,59.31,1.0,60.87,60.28,2424513.0,0.0
2018-05-31,60.81,60.35,60.17,1.0,61.4,60.81,1871617.0,0.0
2018-06-01,60.86,61.0,60.46,1.0,61.58,60.86,1618905.0,0.0
2018-06-04,61.82,61.84,61.29,1.0,62.46,61.82,5296291.0,0.0
2018-06-05,61.24,61.51,60.82,1.0,61.89,61.24,2814141.0,0.0
2018-06-06,62.01,60.74,60.4,1.0,62.16,62.01,1761128.0,0.0
2018-06-07,62.17,62.1,61.9,1.0,62.67,62.17,2570326.0,0.0
2018-06-08,62.33,62.07,61.55,1.0,62.55,62.33,1438739.0,0.0
2018-06-11,62.87,62.39,62.14,1.0,63.24,62.87,2155358.0,0.0
2018-06-12,62.28,62.74,61.94,1.0,63.21,62.28,2327316.0,0.0
2018-06-13,61.64,62.26,61.2114,1.0,62.26,61.64,2543405.0,0.0
2018-06-14,62.5,61.96,61.73,1.0,63.29,62.5,2403374.0,0.0
2018-06-15,63.04,62.06,61.75,1.0,63.66,63.04,2856493.0,0.0
2018-06-18,62.77,62.52,61.53,1.0,62.87,62.77,1433455.0,0.0
2018-06-19,62.47,62.24,62.2,1.0,62.94,62.47,1714220.0,0.0
2018-06-20,63.2,62.6,62.6,1.0,63.55,63.2,1360081.0,0.0
2018-06-21,64.05,63.3,63.22,1.0,64.75,64.05,1707927.0,0.0
2018-06-22,62.91,63.55,62.73,1.0,64.86,62.91,2330101.0,0.0
