date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,49.963,47.41,46.4,1.0,50.26,50.25,20726996.0,0.0
2018-02-07,48.4119,49.87,48.67,1.0,50.58,48.69,14570054.0,0.0
2018-02-08,45.4887,48.98,45.74,1.0,49.15,45.75,18095862.0,0.0
2018-02-09,47.8054,46.84,45.13,1.0,48.5,48.08,21258164.0,0.0
2018-02-12,49.2173,48.96,48.41,1.0,49.88,49.5,16134229.0,0.0
2018-02-13,49.267,49.26,48.5,1.0,49.65,49.55,12777703.0,0.0
2018-02-14,51.6632,49.4,49.1502,1.0,52.12,51.96,20004099.0,0.0
2018-02-15,53.6816,52.16,50.58,1.0,54.0,53.99,26497808.0,0.0
2018-02-16,54.7157,53.8,53.67,1.0,56.09,55.03,27106419.0,0.0
2018-02-20,56.4358,54.74,54.351,1.0,57.36,56.66,21461851.0,0.1
2018-02-21,55.9079,57.0,56.08,1.0,57.34,56.13,15972650.0,0.0
2018-02-22,55.8481,56.49,55.81,1.0,56.98,56.07,14704434.0,0.0
2018-02-23,56.7844,56.59,56.31,1.0,57.13,57.01,13273501.0,0.0
2018-02-26,58.5773,57.515,57.34,1.0,58.995,58.81,14325217.0,0.0
2018-02-27,57.4119,58.64,57.63,1.0,58.9,57.64,12876903.0,0.0
2018-02-28,57.3621,57.9,57.58,1.0,58.769,57.59,13014321.0,0.0
2018-03-01,56.8442,57.54,56.12,1.0,58.44,57.07,17330221.0,0.0
2018-03-02,57.8004,55.9,55.12,1.0,58.14,58.03,15719349.0,0.0
2018-03-05,57.4019,57.31,57.11,1.0,58.42,57.63,13326704.0,0.0
2018-03-06,59.7526,58.32,58.1,1.0,60.18,59.99,23269604.0,0.0
2018-03-07,59.1849,59.15,58.6,1.0,60.09,59.42,17284037.0,0.0
2018-03-08,59.1351,59.76,59.0,1.0,59.91,59.37,11739668.0,0.0
2018-03-09,61.3662,59.71,59.47,1.0,61.76,61.61,16809967.0,0.0
2018-03-12,60.7287,61.91,60.88,1.0,62.4,60.97,15598512.0,0.0
2018-03-13,59.4538,61.38,59.485,1.0,62.24,59.69,15449563.0,0.0
2018-03-14,59.9917,59.99,59.385,1.0,60.71,60.23,11847348.0,0.0
2018-03-15,60.0415,60.4,59.59,1.0,61.24,60.28,11754057.0,0.0
2018-03-16,59.2048,60.38,59.2301,1.0,60.52,59.44,14375820.0,0.0
2018-03-19,58.2685,58.82,57.47,1.0,59.08,58.5,13292653.0,0.0
2018-03-20,58.9956,58.42,58.32,1.0,59.52,59.23,8163303.0,0.0
2018-03-21,60.5395,59.59,59.46,1.0,61.57,60.78,16977951.0,0.0
2018-03-22,58.7267,59.67,58.9,1.0,60.62,58.96,14494507.0,0.0
2018-03-23,55.1608,58.67,55.37,1.0,58.83,55.38,18689293.0,0.0
2018-03-26,58.2386,57.21,56.61,1.0,58.52,58.47,14100037.0,0.0
2018-03-27,55.2206,59.0,54.84,1.0,59.22,55.44,16959820.0,0.0
2018-03-28,53.8461,55.0,53.731,1.0,55.43,54.06,16677761.0,0.0
2018-03-29,55.3899,54.6,54.19,1.0,56.61,55.61,12580231.0,0.0
2018-04-02,52.6807,55.27,52.42,1.0,55.53,52.89,21063622.0,0.0
2018-04-03,53.7664,53.52,53.01,1.0,54.44,53.98,10802242.0,0.0
2018-04-04,55.3401,52.29,52.29,1.0,55.76,55.56,11991886.0,0.0
2018-04-05,54.0752,55.87,53.8643,1.0,56.21,54.29,12344356.0,0.0
2018-04-06,52.1329,53.26,51.92,1.0,53.87,52.34,15088608.0,0.0
2018-04-09,52.8102,52.98,52.8,1.0,54.9833,53.02,11143484.0,0.0
2018-04-10,54.5831,54.61,53.8,1.0,55.26,54.8,10624821.0,0.0
2018-04-11,54.7325,54.49,54.35,1.0,55.9125,54.95,9364806.0,0.0
2018-04-12,56.2067,55.3,55.16,1.0,56.67,56.43,9133679.0,0.0
2018-04-13,55.8481,56.88,55.687,1.0,57.0578,56.07,6786432.0,0.0
2018-04-16,56.645,56.44,56.18,1.0,57.24,56.87,7982836.0,0.0
2018-04-17,57.631,57.2,57.17,1.0,58.4,57.86,9833030.0,0.0
2018-04-18,54.5134,56.0,54.57,1.0,56.4,54.73,18705542.0,0.0
2018-04-19,50.9874,53.68,50.8,1.0,54.18,51.19,24443494.0,0.0
2018-04-20,50.8878,51.08,50.68,1.0,52.04,51.09,16258049.0,0.0
2018-04-23,49.9814,51.53,49.93,1.0,51.74,50.18,12427907.0,0.0
2018-04-24,48.5272,50.7052,48.18,1.0,51.05,48.72,16358910.0,0.0
2018-04-25,48.9455,48.76,47.74,1.0,49.47,49.14,13284571.0,0.0
2018-04-26,50.2902,50.01,49.55,1.0,50.66,50.49,12701536.0,0.0
2018-04-27,49.2045,51.04,49.235,1.0,51.39,49.4,11514288.0,0.0
2018-04-30,49.4734,49.52,49.17,1.0,49.95,49.67,12694967.0,0.0
2018-05-01,50.7085,49.74,49.51,1.0,50.95,50.91,10935468.0,0.0
2018-05-02,50.33,50.66,50.37,1.0,51.28,50.53,10284964.0,0.0
2018-05-03,50.5093,50.27,49.88,1.0,50.91,50.71,11661534.0,0.0
2018-05-04,52.352,50.39,50.18,1.0,52.69,52.56,12523268.0,0.0
2018-05-07,52.3819,52.74,52.15,1.0,52.9,52.59,10071105.0,0.0
2018-05-08,53.2385,52.7,52.6,1.0,53.49,53.45,13492941.0,0.0
