date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,74.4368,72.41,71.585,1.0,75.32,74.71,2344093.0,0.0
2018-02-07,73.8888,74.25,74.1,1.0,75.0,74.16,1560403.0,0.0
2018-02-08,71.7866,74.13,72.01,1.0,74.49,72.05,1512601.0,0.0
2018-02-09,72.0356,72.73,71.16,1.0,72.92,72.3,2036877.0,0.0
2018-02-12,73.7294,73.05,72.64,1.0,74.33,74.0,1731646.0,0.0
2018-02-13,74.1479,73.86,73.51,1.0,74.56,74.42,962932.0,0.0
2018-02-14,74.4368,74.05,73.84,1.0,74.87,74.71,900500.0,0.0
2018-02-15,75.5627,75.35,74.55,1.0,75.87,75.84,1019181.0,0.0
2018-02-16,76.2701,75.56,75.42,1.0,76.94,76.55,1390604.0,0.0
2018-02-20,75.4431,76.14,75.64,1.0,77.06,75.72,1136965.0,0.0
2018-02-21,76.0708,75.82,75.82,1.0,77.11,76.35,1183856.0,0.0
2018-02-22,76.1904,76.49,76.29,1.0,77.135,76.47,715419.0,0.0
2018-02-23,76.4793,76.89,75.9,1.0,77.05,76.76,996638.0,0.0
2018-02-26,78.1133,77.19,76.95,1.0,78.62,78.4,889445.0,0.0
2018-02-27,77.396,78.35,77.67,1.0,79.1,77.68,1050797.0,0.0
2018-02-28,75.4631,77.88,75.71,1.0,78.02,75.74,1491486.0,0.0
2018-03-01,73.9088,75.75,73.73,1.0,75.88,74.18,985410.0,0.0
2018-03-02,74.2475,73.56,73.191,1.0,74.7,74.52,997209.0,0.0
2018-03-05,74.925,73.97,73.605,1.0,75.49,75.2,935073.0,0.0
2018-03-06,75.8317,75.53,74.78,1.0,76.125,76.11,1074018.0,0.0
2018-03-07,76.2402,75.28,74.29,1.0,76.68,76.52,1322219.0,0.0
2018-03-08,76.9675,76.75,76.35,1.0,77.28,77.25,838861.0,0.0
2018-03-09,78.5019,77.8,77.57,1.0,78.81,78.79,777396.0,0.0
2018-03-12,78.0635,78.81,78.11,1.0,78.87,78.35,969040.0,0.0
2018-03-13,78.0934,78.52,78.13,1.0,79.3199,78.38,804348.0,0.0
2018-03-14,77.9141,78.95,78.075,1.0,79.01,78.2,766082.0,0.0
2018-03-15,77.8144,78.36,77.82,1.0,78.58,77.96,612428.0,0.14
2018-03-16,78.5331,77.95,77.73,1.0,78.83,78.68,1264645.0,0.0
2018-03-19,77.7246,78.36,77.17,1.0,78.52,77.87,719115.0,0.0
2018-03-20,78.2836,78.2,78.07,1.0,78.96,78.43,963754.0,0.0
2018-03-21,77.9841,78.6,78.13,1.0,79.15,78.13,968086.0,0.0
2018-03-22,76.0378,77.4,76.12,1.0,77.84,76.18,1211234.0,0.0
2018-03-23,74.4707,76.4,74.53,1.0,76.82,74.61,859779.0,0.0
2018-03-26,76.6466,75.71,74.98,1.0,76.93,76.79,860629.0,0.0
