date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,174.0388,177.99,172.04,1.0,180.28,176.65,7296032.0,0.0
2018-02-07,174.8466,176.25,176.0,1.0,180.99,177.47,5562273.0,0.0
2018-02-08,170.561,177.93,173.0,1.0,180.42,173.12,4841957.0,0.0
2018-02-09,170.8959,174.13,168.251,1.0,175.46,173.46,5424288.0,0.0
2018-02-12,172.2851,174.3,173.0,1.0,176.67,174.87,4192667.0,0.0
2018-02-13,173.3393,173.87,172.46,1.0,176.7,175.94,3716086.0,0.0
2018-02-14,178.1668,174.08,174.06,1.0,180.31,179.52,5867413.0,1.32
2018-02-15,182.2161,180.0,179.895,1.0,185.0,183.6,4443412.0,0.0
2018-02-16,182.1665,183.8,182.68,1.0,186.12,183.55,4285543.0,0.0
2018-02-20,181.6008,182.89,182.14,1.0,184.31,182.98,3910704.0,0.0
2018-02-21,181.0549,183.19,182.4,1.0,185.5,182.43,3860736.0,0.0
2018-02-22,181.0747,182.51,182.01,1.0,185.16,182.45,3792357.0,0.0
2018-02-23,185.2629,183.63,182.7701,1.0,186.79,186.67,3965923.0,0.0
2018-02-26,187.0791,187.46,187.03,1.0,190.37,188.5,4772310.0,0.0
2018-02-27,184.3896,188.83,185.55,1.0,190.1,185.79,4864471.0,0.0
2018-02-28,182.3848,185.88,183.69,1.0,187.39,183.77,4376987.0,0.0
2018-03-01,181.9084,184.21,180.3847,1.0,185.57,183.29,11757819.0,0.0
2018-03-02,183.6849,181.06,181.05,1.0,185.8,185.08,19115483.0,0.0
2018-03-05,188.6969,185.05,185.0,1.0,190.69,190.13,15187803.0,0.0
2018-03-06,188.9152,188.2,186.93,1.0,191.64,190.35,18446497.0,0.0
2018-03-07,186.1165,189.73,186.41,1.0,190.22,187.53,7009925.0,0.0
2018-03-08,185.7492,187.9,185.51,1.0,188.4,187.16,6852912.0,0.0
2018-03-09,189.6595,188.0,186.32,1.0,191.38,191.1,5009212.0,0.0
2018-03-12,187.8731,189.5,188.32,1.0,190.39,189.3,6846564.0,0.0
2018-03-13,188.3197,189.6,188.631,1.0,190.83,189.75,4697342.0,0.0
2018-03-14,189.1335,191.18,189.8,1.0,192.62,190.57,3383315.0,0.0
2018-03-15,188.3197,190.05,187.91,1.0,190.88,189.75,3283262.0,0.0
2018-03-16,186.8211,189.75,187.23,1.0,190.25,188.24,15400215.0,0.0
2018-03-19,181.174,187.29,180.665,1.0,187.93,182.55,3874385.0,0.0
2018-03-20,180.6579,183.06,181.1675,1.0,184.02,182.03,2518929.0,0.0
2018-03-21,180.2212,181.43,181.4,1.0,184.04,181.59,2469090.0,0.0
2018-03-22,174.7528,179.92,176.0,1.0,180.75,176.08,3506698.0,0.0
2018-03-23,168.1529,176.57,169.35,1.0,179.18,169.43,4429012.0,0.0
2018-03-26,173.8695,172.78,170.11,1.0,175.87,175.19,4045224.0,0.0
2018-03-27,169.8599,176.16,169.82,1.0,176.36,171.15,3802844.0,0.0
2018-03-28,169.1751,171.35,168.02,1.0,172.5,170.46,4545862.0,0.0
2018-03-29,169.195,170.99,169.64,1.0,172.235,170.48,3769788.0,0.0
2018-04-02,164.7984,169.92,163.31,1.0,170.58,166.05,4759751.0,0.0
2018-04-03,166.952,166.97,165.08,1.0,169.22,168.22,3373984.0,0.0
2018-04-04,172.2121,166.17,165.88,1.0,174.27,173.52,3796683.0,0.0
2018-04-05,170.7035,174.0,170.99,1.0,174.43,172.0,2766596.0,0.0
2018-04-06,166.8726,170.86,166.2,1.0,171.72,168.14,3747770.0,0.0
2018-04-09,168.3415,169.2,167.99,1.0,172.95,169.62,3856821.0,0.0
2018-04-10,171.825,170.89,170.11,1.0,173.88,173.13,2907981.0,0.0
2018-04-11,171.1104,171.8,171.6,1.0,174.07,172.41,2575883.0,0.0
2018-04-12,169.7309,172.68,170.96,1.0,174.11,171.02,3471370.0,0.0
2018-04-13,170.1874,172.11,170.79,1.0,172.43,171.48,2656377.0,0.0
2018-04-16,170.0882,172.75,171.07,1.0,173.13,171.38,2656361.0,0.0
2018-04-17,173.5618,173.0,171.58,1.0,175.6321,174.88,3283901.0,0.0
2018-04-18,173.7901,174.61,174.44,1.0,176.16,175.11,2205595.0,0.0
2018-04-19,171.6265,174.47,171.79,1.0,175.4,172.93,2269424.0,0.0
2018-04-20,170.2668,173.1,170.57,1.0,173.47,171.56,2958550.0,0.0
2018-04-23,173.3435,171.62,171.25,1.0,176.97,174.66,3568697.0,0.0
2018-04-24,170.644,175.55,170.53,1.0,175.76,171.94,4389385.0,0.0
2018-04-25,173.5122,173.66,170.34,1.0,175.44,174.83,4693756.0,0.0
2018-04-26,174.0481,175.42,171.7901,1.0,176.68,175.37,3682396.0,0.0
2018-04-27,176.1224,174.92,174.8554,1.0,177.92,177.46,2424823.0,0.0
2018-04-30,173.1648,177.91,174.35,1.0,178.74,174.48,3608703.0,0.0
2018-05-01,168.004,172.15,167.98,1.0,173.99,169.28,4799360.0,0.0
2018-05-02,168.1529,169.3,168.3,1.0,171.07,169.43,4085731.0,0.0
2018-05-03,165.1358,169.28,166.05,1.0,170.34,166.39,4152914.0,0.0
2018-05-04,166.7138,165.96,165.22,1.0,169.5,167.98,3429998.0,0.0
2018-05-07,166.7932,168.58,167.5,1.0,169.9299,168.06,3175776.0,0.0
2018-05-08,167.22,168.81,167.5,1.0,170.5,168.49,3937743.0,0.0
2018-05-09,168.3613,168.7,167.09,1.0,170.53,169.64,2861407.0,0.0
2018-05-10,169.4828,170.26,169.36,1.0,171.49,170.77,2947132.0,0.0
