date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,157.1,152.84,151.79,1.0,157.65,157.1,549476.0,0.0
2018-02-07,155.03,156.23,154.58,1.0,157.95,155.03,440570.0,0.0
2018-02-08,148.84,155.03,148.79,1.0,157.47,148.84,464531.0,0.0
2018-02-09,150.41,150.33,146.01,1.0,152.34,150.41,488771.0,0.0
2018-02-12,153.74,151.08,150.64,1.0,154.62,153.74,451104.0,0.0
2018-02-13,154.2,152.7,152.62,1.0,154.57,154.2,270783.0,0.0
2018-02-14,157.7,153.07,152.69,1.0,157.85,157.7,319151.0,0.0
2018-02-15,162.41,158.94,158.07,1.0,162.64,162.41,378219.0,0.0
2018-02-16,164.14,161.81,160.2104,1.0,165.5,164.14,664009.0,0.0
2018-02-20,167.81,164.0,163.53,1.0,169.45,167.81,904560.0,0.0
2018-02-21,163.54,167.74,163.11,1.0,168.77,163.54,724604.0,0.0
2018-02-22,160.94,164.49,154.02,1.0,164.77,160.94,1075852.0,0.0
2018-02-23,160.89,162.09,159.28,1.0,162.52,160.89,617878.0,0.0
2018-02-26,161.67,161.09,160.63,1.0,163.1,161.67,449097.0,0.0
2018-02-27,161.34,161.99,160.71,1.0,162.94,161.34,351821.0,0.0
2018-02-28,159.94,162.37,159.9,1.0,164.21,159.94,539860.0,0.0
2018-03-01,158.74,160.42,157.58,1.0,162.87,158.74,433786.0,0.0
2018-03-02,162.63,157.79,157.79,1.0,163.06,162.63,363736.0,0.0
2018-03-05,163.21,160.99,160.27,1.0,164.37,163.21,446041.0,0.0
2018-03-06,163.77,163.15,161.8,1.0,164.28,163.77,378599.0,0.0
2018-03-07,165.37,161.9,161.9,1.0,165.67,165.37,368354.0,0.0
2018-03-08,168.0,165.82,164.51,1.0,168.93,168.0,512793.0,0.0
2018-03-09,171.18,169.0,168.5,1.0,171.21,171.18,428165.0,0.0
2018-03-12,169.94,171.17,169.9,1.0,171.92,169.94,407892.0,0.0
2018-03-13,167.75,171.11,166.855,1.0,171.76,167.75,388817.0,0.0
2018-03-14,166.95,168.48,166.23,1.0,168.48,166.95,423602.0,0.0
2018-03-15,167.36,167.6,166.08,1.0,168.48,167.36,333622.0,0.0
2018-03-16,166.31,167.75,165.205,1.0,168.49,166.31,637852.0,0.0
2018-03-19,164.96,165.93,163.41,1.0,166.31,164.96,308828.0,0.0
2018-03-20,165.49,165.08,163.29,1.0,166.975,165.49,577816.0,0.0
2018-03-21,166.41,165.82,164.277,1.0,167.89,166.41,450391.0,0.0
2018-03-22,162.41,164.72,162.3,1.0,166.48,162.41,308959.0,0.0
2018-03-23,157.74,162.47,157.67,1.0,164.1,157.74,413817.0,0.0
2018-03-26,161.01,160.19,158.56,1.0,162.65,161.01,638197.0,0.0
2018-03-27,157.05,161.83,156.06,1.0,162.81,157.05,379062.0,0.0
2018-03-28,154.87,157.08,154.83,1.0,158.35,154.87,500536.0,0.0
2018-03-29,156.69,156.01,154.18,1.0,158.91,156.69,600557.0,0.0
2018-04-02,153.87,156.66,152.64,1.0,158.96,153.87,446004.0,0.0
2018-04-03,156.07,154.39,153.68,1.0,157.78,156.07,437056.0,0.0
2018-04-04,157.92,153.91,152.77,1.0,158.535,157.92,406686.0,0.0
2018-04-05,157.79,158.61,157.14,1.0,160.37,157.79,289042.0,0.0
2018-04-06,153.51,156.19,152.27,1.0,157.39,153.51,404516.0,0.0
2018-04-09,154.35,154.96,154.08,1.0,157.5,154.35,406289.0,0.0
2018-04-10,157.92,156.48,155.6,1.0,158.86,157.92,421670.0,0.0
2018-04-11,157.01,156.69,156.67,1.0,158.83,157.01,288470.0,0.0
2018-04-12,159.04,157.84,157.075,1.0,159.75,159.04,228844.0,0.0
2018-04-13,156.98,159.59,156.22,1.0,159.62,156.98,155734.0,0.0
2018-04-16,159.99,158.35,156.99,1.0,160.25,159.99,574327.0,0.0
2018-04-17,164.58,161.27,160.9,1.0,164.95,164.58,604071.0,0.0
2018-04-18,166.5,164.67,162.955,1.0,166.6,166.5,643897.0,0.0
2018-04-19,165.48,165.9,164.5,1.0,166.89,165.48,923405.0,0.0
2018-04-20,163.78,165.39,162.18,1.0,165.455,163.78,889286.0,0.0
