date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,233.3006,225.82,224.61,1.0,236.35,234.83,2337381.0,0.0
2018-02-07,236.8871,233.88,232.71,1.0,240.68,238.44,2311720.0,0.0
2018-02-08,229.0683,238.02,230.42,1.0,240.25,230.57,2351397.0,0.0
2018-02-09,230.2009,232.29,225.34,1.0,233.43,231.71,2502929.0,0.0
2018-02-12,231.254,232.68,230.46,1.0,234.45,232.77,1622273.0,0.0
2018-02-13,231.9296,230.83,229.36,1.0,234.83,233.45,1386533.0,0.0
2018-02-14,233.4894,231.71,231.46,1.0,235.73,235.02,1491591.0,0.0
2018-02-15,230.5486,237.1,229.331,1.0,237.1,232.06,1511372.0,0.0
2018-02-16,233.4894,231.36,231.36,1.0,236.3,235.02,1064380.0,0.0
2018-02-20,230.7076,233.28,231.62,1.0,234.85,232.22,987946.0,0.0
2018-02-21,230.5188,233.0,232.0,1.0,235.44,232.03,955455.0,0.0
2018-02-22,232.1581,233.27,232.0,1.0,235.17,233.68,1004446.0,0.0
2018-02-23,233.7079,234.98,232.83,1.0,235.56,235.24,1020386.0,0.0
2018-02-26,236.6685,235.43,234.35,1.0,238.66,238.22,853525.0,0.0
2018-02-27,235.6651,238.88,237.04,1.0,240.77,237.21,1283718.0,0.0
2018-02-28,233.847,237.47,235.34,1.0,239.69,235.38,1282090.0,0.0
2018-03-01,230.5288,234.65,229.3,1.0,236.645,232.04,1498414.0,0.0
2018-03-02,231.562,230.88,229.31,1.0,233.77,233.08,989788.0,0.0
2018-03-05,230.5288,231.83,228.44,1.0,232.91,232.04,1244494.0,0.0
2018-03-06,231.2341,232.31,230.05,1.0,233.39,232.75,991771.0,0.0
2018-03-07,230.3499,230.64,229.99,1.0,232.16,231.86,972972.0,0.0
2018-03-08,228.045,231.99,227.36,1.0,232.135,228.79,1973118.0,0.75
2018-03-09,232.042,230.44,228.2,1.0,233.29,232.8,1825377.0,0.0
2018-03-12,229.1116,232.2,229.25,1.0,232.73,229.86,1949840.0,0.0
2018-03-13,229.4704,230.95,227.27,1.0,231.89,230.22,1777942.0,0.0
2018-03-14,228.2843,230.55,228.11,1.0,230.98,229.03,1653495.0,0.0
2018-03-15,229.2511,229.39,228.38,1.0,231.365,230.0,1329676.0,0.0
2018-03-16,227.3673,230.79,228.0,1.0,230.92,228.11,1781528.0,0.0
2018-03-19,227.2477,228.18,226.19,1.0,229.15,227.99,997474.0,0.0
2018-03-20,229.2312,228.45,227.85,1.0,230.91,229.98,1310149.0,0.0
2018-03-21,225.2542,229.65,225.98,1.0,229.65,225.99,1301490.0,0.0
2018-03-22,218.1374,224.78,218.31,1.0,225.61,218.85,1534784.0,0.0
2018-03-23,214.9279,219.15,215.52,1.0,220.74,215.63,1455873.0,0.0
2018-03-26,220.3602,217.58,217.58,1.0,221.34,221.08,1586409.0,0.0
2018-03-27,218.7255,221.74,218.16,1.0,223.72,219.44,1332559.0,0.0
2018-03-28,220.7588,220.21,219.545,1.0,223.06,221.48,1509718.0,0.0
2018-03-29,218.9846,222.66,219.37,1.0,223.48,219.7,1633991.0,0.0
2018-04-02,219.4132,221.36,217.49,1.0,224.64,220.13,1935804.0,0.0
2018-04-03,226.7692,221.75,220.24,1.0,228.34,227.51,1648448.0,0.0
2018-04-04,227.6763,224.4,224.17,1.0,229.0,228.42,1572156.0,0.0
2018-04-05,229.9787,229.34,227.64,1.0,231.31,230.73,1227390.0,0.0
2018-04-06,224.0481,228.59,222.425,1.0,230.17,224.78,1786025.0,0.0
2018-04-09,222.1443,225.65,222.59,1.0,227.76,222.87,2151672.0,0.0
2018-04-10,224.2176,225.1,222.94,1.0,226.18,224.95,1417621.0,0.0
2018-04-11,219.6026,223.31,219.34,1.0,224.58,220.32,1355014.0,0.0
2018-04-12,219.7422,221.92,220.33,1.0,224.19,220.46,2027268.0,0.0
2018-04-13,221.2971,221.55,221.44,1.0,223.67,222.02,987525.0,0.0
2018-04-16,224.5365,223.84,222.34,1.0,226.64,225.27,1195665.0,0.0
2018-04-17,228.7727,228.04,226.97,1.0,231.91,229.52,2355286.0,0.0
2018-04-18,229.899,229.99,228.5,1.0,231.55,230.65,1089769.0,0.0
2018-04-19,226.9287,230.79,226.91,1.0,231.17,227.67,1011060.0,0.0
2018-04-20,225.3339,228.36,225.33,1.0,229.76,226.07,1129901.0,0.0
2018-04-23,226.4602,226.76,225.52,1.0,228.5,227.2,1071269.0,0.0
2018-04-24,224.2674,227.85,223.5444,1.0,229.25,225.0,2278188.0,0.0
2018-04-25,238.0623,230.0,223.18,1.0,239.45,238.84,3849489.0,0.0
2018-04-26,236.2283,241.55,236.21,1.0,245.8,237.0,3899333.0,0.0
2018-04-27,238.3713,236.84,235.61,1.0,240.19,239.15,2773210.0,0.0
2018-04-30,235.2216,239.71,235.55,1.0,241.33,235.99,1472573.0,0.0
2018-05-01,234.7631,235.83,233.07,1.0,237.94,235.53,1261074.0,0.0
2018-05-02,228.4338,234.25,228.81,1.0,234.9358,229.18,1743183.0,0.0
2018-05-03,230.0186,229.62,224.13,1.0,231.3,230.77,1685701.0,0.0
2018-05-04,232.4208,230.0,227.685,1.0,233.805,233.18,1089160.0,0.0
2018-05-07,228.5135,233.15,228.09,1.0,233.64,229.26,1427821.0,0.0
2018-05-08,223.3703,228.18,223.41,1.0,229.29,224.1,1415740.0,0.0
2018-05-09,221.0479,224.71,219.96,1.0,224.77,221.77,1529175.0,0.0
2018-05-10,224.9352,222.87,221.78,1.0,226.46,225.67,1289004.0,0.0
2018-05-11,231.2944,225.56,224.74,1.0,233.16,232.05,1866376.0,0.0
2018-05-14,231.5536,232.96,229.91,1.0,234.69,232.31,1769048.0,0.0
2018-05-15,230.1183,231.99,230.07,1.0,234.12,230.87,975817.0,0.0
2018-05-16,231.6433,231.21,230.37,1.0,233.35,232.4,818874.0,0.0
2018-05-17,231.0353,232.13,230.86,1.0,233.0,231.79,976048.0,0.0
2018-05-18,231.115,231.57,230.78,1.0,232.45,231.87,899921.0,0.0
2018-05-21,232.8892,232.62,232.62,1.0,234.39,233.65,644578.0,0.0
2018-05-22,233.1683,233.42,232.08,1.0,235.07,233.93,919595.0,0.0
2018-05-23,231.3044,233.35,230.0,1.0,234.28,232.06,907214.0,0.0
2018-05-24,229.8691,232.35,229.05,1.0,232.35,230.62,678364.0,0.0
2018-05-25,231.6333,231.03,230.13,1.0,233.71,232.39,795573.0,0.0
2018-05-29,228.5434,230.06,227.81,1.0,231.59,229.29,924475.0,0.0
2018-05-30,230.826,230.27,229.0,1.0,232.45,231.58,896817.0,0.0
2018-05-31,220.699,231.43,221.26,1.0,231.43,221.42,2424492.0,0.0
2018-06-01,220.7788,222.78,220.8,1.0,223.767,221.5,1697730.0,0.0
2018-06-04,224.5066,222.56,221.425,1.0,225.46,225.24,1237643.0,0.0
2018-06-05,227.128,225.26,224.7,1.0,228.5,227.87,1253834.0,0.0
2018-06-06,227.1181,227.59,225.56,1.0,228.6,227.86,1099727.0,0.0
2018-06-07,229.59,227.85,227.26,1.0,230.5,229.59,1448639.0,0.75
2018-06-08,228.3,229.63,226.81,1.0,229.78,228.3,1016783.0,0.0
2018-06-11,232.33,228.11,226.75,1.0,234.22,232.33,1458931.0,0.0
2018-06-12,231.68,231.97,226.23,1.0,232.65,231.68,1464504.0,0.0
2018-06-13,236.3,232.5,232.0,1.0,236.95,236.3,1709283.0,0.0
2018-06-14,241.74,236.96,236.8858,1.0,242.62,241.74,2480986.0,0.0
2018-06-15,245.16,241.04,239.81,1.0,245.655,245.16,2479649.0,0.0
2018-06-18,244.04,244.72,243.03,1.0,246.82,244.04,1614372.0,0.0
2018-06-19,244.49,242.32,242.21,1.0,245.47,244.49,1362079.0,0.0
2018-06-20,243.95,244.0,242.685,1.0,245.57,243.95,1268408.0,0.0
2018-06-21,243.08,243.95,241.34,1.0,244.84,243.08,804319.0,0.0
2018-06-22,244.82,243.08,241.55,1.0,246.3,244.82,1181186.0,0.0
2018-06-25,243.34,243.89,241.61,1.0,245.445,243.34,1204654.0,0.0
2018-06-26,241.27,242.9,240.71,1.0,244.4,241.27,1125666.0,0.0
2018-06-27,240.54,241.27,238.97,1.0,243.575,240.54,1094639.0,0.0
2018-06-28,236.24,239.64,233.48,1.0,239.93,236.24,768453.0,0.0
