date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,139.5283,137.63,135.49,1.0,140.36,139.92,3265154.0,0.0
2018-02-07,140.1565,139.65,139.35,1.0,142.63,140.55,1880959.0,0.0
2018-02-08,135.6691,140.28,135.93,1.0,141.16,136.05,1982240.0,0.0
2018-02-09,137.5239,137.5,134.79,1.0,138.8,137.91,2358869.0,0.0
2018-02-12,139.5681,138.75,138.29,1.0,140.97,139.96,1321888.0,0.0
2018-02-13,138.8402,139.03,137.92,1.0,139.8858,139.23,1182956.0,0.0
2018-02-14,139.5781,138.79,138.2,1.0,140.6,139.97,1511629.0,0.0
2018-02-15,140.4955,140.46,139.87,1.0,141.32,140.89,1186091.0,0.0
2018-02-16,140.4656,140.36,139.79,1.0,141.65,140.86,1235530.0,0.0
2018-02-20,140.326,140.23,139.89,1.0,141.98,140.72,940385.0,0.0
2018-02-21,138.9798,140.63,139.325,1.0,142.06,139.37,1001277.0,0.0
2018-02-22,138.7305,139.93,137.7,1.0,140.01,139.12,1474982.0,0.0
2018-02-23,141.5127,139.72,138.41,1.0,142.04,141.91,1067968.0,0.0
2018-02-26,142.8988,142.38,141.52,1.0,143.32,143.3,993577.0,0.0
2018-02-27,142.0611,142.94,142.42,1.0,144.31,142.46,1358686.0,0.0
2018-02-28,139.9271,143.01,140.28,1.0,144.27,140.32,1797804.0,0.0
2018-03-01,137.0652,140.12,137.0,1.0,141.16,137.45,1174275.0,0.0
2018-03-02,138.1023,136.82,136.3,1.0,138.68,138.49,819714.0,0.0
2018-03-05,140.9842,137.79,136.63,1.0,141.97,141.38,1136518.0,0.0
2018-03-06,141.772,141.42,139.19,1.0,142.26,142.17,1007314.0,0.0
2018-03-07,142.0911,140.99,140.69,1.0,142.92,142.49,891099.0,0.0
2018-03-08,143.8262,143.0,142.305,1.0,144.75,144.23,760808.0,0.0
2018-03-09,147.6156,145.0,144.98,1.0,148.16,148.03,1486082.0,0.0
2018-03-12,145.9004,148.2,145.58,1.0,148.44,146.31,1006190.0,0.0
2018-03-13,145.5513,146.72,145.67,1.0,147.09,145.96,868514.0,0.0
2018-03-14,143.8162,146.72,143.83,1.0,146.72,144.22,1191599.0,0.0
2018-03-15,144.5641,145.13,143.94,1.0,145.5911,144.97,1535670.0,0.0
2018-03-16,145.5613,144.84,144.79,1.0,146.49,145.97,1390719.0,0.0
2018-03-19,144.594,146.0,144.4,1.0,146.92,145.0,788643.0,0.0
2018-03-20,144.8733,145.63,144.93,1.0,146.12,145.28,856842.0,0.0
2018-03-21,143.0085,145.29,143.41,1.0,145.48,143.41,1372921.0,0.0
2018-03-22,138.92,142.54,139.12,1.0,143.8099,139.31,1561254.0,0.0
2018-03-23,136.786,139.77,137.13,1.0,140.72,137.17,1365270.0,0.0
2018-03-26,140.4058,138.22,137.92,1.0,141.1,140.8,932101.0,0.0
2018-03-27,138.4313,140.8,137.941,1.0,141.93,138.82,1257095.0,0.0
2018-03-28,139.0695,139.12,138.4,1.0,140.5499,139.46,911616.0,0.0
2018-03-29,139.9371,140.29,139.18,1.0,141.98,140.33,1342124.0,0.0
2018-04-02,137.8031,140.89,136.49,1.0,141.2299,138.19,1148056.0,0.0
2018-04-03,138.3516,138.61,137.3,1.0,139.43,138.74,725638.0,0.0
2018-04-04,139.7377,137.55,137.09,1.0,140.39,140.13,633603.0,0.0
2018-04-05,139.7776,140.75,139.62,1.0,141.145,140.17,625565.0,0.0
2018-04-06,137.8131,139.21,137.07,1.0,140.38,138.2,682642.0,0.0
2018-04-09,138.6208,138.62,137.97,1.0,140.81,139.01,1014071.0,0.0
2018-04-10,139.7676,140.06,139.31,1.0,141.18,140.16,719962.0,0.0
2018-04-11,139.6479,139.0,138.7901,1.0,140.2,140.04,759586.0,0.0
2018-04-12,141.2036,140.71,140.67,1.0,142.61,141.6,1018309.0,0.0
2018-04-13,141.6224,142.48,141.64,1.0,143.34,142.02,668349.0,0.0
2018-04-16,143.3775,143.14,142.25,1.0,145.69,143.78,646229.0,0.0
2018-04-17,143.6766,144.18,143.28,1.0,144.67,144.08,857592.0,0.0
2018-04-18,143.7963,144.7,143.7,1.0,144.775,144.2,654850.0,0.0
2018-04-19,144.4145,144.24,143.68,1.0,145.58,144.82,947207.0,0.0
2018-04-20,143.6367,145.24,143.3,1.0,145.72,144.04,974713.0,0.0
2018-04-23,143.3775,144.46,143.48,1.0,145.0,143.78,789653.0,0.0
2018-04-24,141.9315,143.84,141.69,1.0,144.395,142.33,998279.0,0.0
2018-04-25,141.5725,142.2,140.99,1.0,142.38,141.97,1022540.0,0.0
2018-04-26,143.0982,142.73,140.96,1.0,144.62,143.5,1019815.0,0.0
2018-04-27,143.8262,143.0,142.82,1.0,144.52,144.23,646553.0,0.0
2018-04-30,142.47,144.14,142.43,1.0,144.61,142.47,1000877.0,0.4
2018-05-01,142.86,142.29,141.32,1.0,143.12,142.86,632404.0,0.0
2018-05-02,139.79,142.15,139.67,1.0,142.73,139.79,930488.0,0.0
2018-05-03,140.0,138.98,137.3,1.0,140.31,140.0,943830.0,0.0
2018-05-04,139.49,139.11,136.99,1.0,140.44,139.49,1124173.0,0.0
2018-05-07,140.37,139.43,139.39,1.0,141.25,140.37,755064.0,0.0
2018-05-08,140.91,139.93,139.72,1.0,141.36,140.91,716602.0,0.0
2018-05-09,141.29,141.28,140.39,1.0,141.89,141.29,911676.0,0.0
2018-05-10,144.24,141.45,140.95,1.0,144.4,144.24,1090055.0,0.0
2018-05-11,144.09,144.19,143.59,1.0,144.93,144.09,814916.0,0.0
2018-05-14,143.23,144.38,142.92,1.0,144.81,143.23,678975.0,0.0
2018-05-15,140.77,142.94,140.48,1.0,143.78,140.77,1021095.0,0.0
2018-05-16,139.99,140.98,139.74,1.0,142.47,139.99,1076902.0,0.0
2018-05-17,140.94,139.75,138.93,1.0,141.2,140.94,742751.0,0.0
2018-05-18,141.3,141.2,140.77,1.0,142.23,141.3,876122.0,0.0
2018-05-21,142.08,141.56,141.54,1.0,143.61,142.08,656974.0,0.0
2018-05-22,142.91,142.07,142.02,1.0,143.6,142.91,778319.0,0.0
2018-05-23,142.14,142.01,141.68,1.0,143.14,142.14,776578.0,0.0
2018-05-24,142.39,141.86,140.74,1.0,142.77,142.39,746179.0,0.0
2018-05-25,142.22,142.35,141.64,1.0,143.55,142.22,695171.0,0.0
2018-05-29,138.36,140.85,137.66,1.0,140.94,138.36,1176922.0,0.0
2018-05-30,140.23,139.32,139.11,1.0,141.03,140.23,749750.0,0.0
2018-05-31,139.87,140.08,139.24,1.0,141.535,139.87,1393403.0,0.0
2018-06-01,140.08,141.27,139.75,1.0,141.27,140.08,689437.0,0.0
2018-06-04,141.38,140.74,140.57,1.0,141.885,141.38,577944.0,0.0
2018-06-05,140.72,140.77,140.0,1.0,141.58,140.72,977255.0,0.0
2018-06-06,141.63,141.39,140.93,1.0,142.37,141.63,796618.0,0.0
2018-06-07,142.04,141.91,141.28,1.0,142.25,142.04,700508.0,0.0
2018-06-08,142.97,142.31,141.76,1.0,143.02,142.97,777681.0,0.0
2018-06-11,142.64,143.1,142.29,1.0,143.34,142.64,838552.0,0.0
2018-06-12,141.87,143.0,141.66,1.0,143.0,141.87,642608.0,0.0
2018-06-13,141.27,142.26,141.22,1.0,142.76,141.27,759929.0,0.0
2018-06-14,140.21,141.76,140.02,1.0,141.85,140.21,819687.0,0.0
2018-06-15,139.53,139.94,137.8,1.0,139.99,139.53,2139176.0,0.0
2018-06-18,140.26,138.82,138.49,1.0,140.3,140.26,771072.0,0.0
2018-06-19,139.7,139.52,139.11,1.0,140.07,139.7,1066856.0,0.0
2018-06-20,137.6,139.69,137.49,1.0,140.0,137.6,1044796.0,0.0
2018-06-21,136.55,136.93,136.25,1.0,137.56,136.55,926769.0,0.0
2018-06-22,137.14,137.0,135.32,1.0,137.68,137.14,1084176.0,0.0
2018-06-25,137.7,137.12,136.475,1.0,138.21,137.7,980278.0,0.0
2018-06-26,137.75,137.7,137.35,1.0,138.49,137.75,999616.0,0.0
