date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,57.0457,55.95,53.97,1.0,57.56,57.49,8726408.0,0.0
2018-02-07,58.2662,60.76,57.67,1.0,61.23,58.72,11982159.0,0.0
2018-02-08,55.7657,59.07,56.18,1.0,59.78,56.2,7927965.0,0.0
2018-02-09,55.6962,56.76,53.8476,1.0,57.24,56.13,8738166.0,0.0
2018-02-12,57.3731,57.0,56.83,1.0,58.6932,57.82,6576252.0,0.0
2018-02-13,56.7381,57.33,56.77,1.0,57.89,57.18,4224322.0,0.0
2018-02-14,59.318,56.4,56.2,1.0,59.94,59.78,5698170.0,0.0
2018-02-15,59.1592,59.96,58.54,1.0,60.0,59.62,5430068.0,0.0
2018-02-16,58.7226,59.34,59.07,1.0,60.115,59.18,3785964.0,0.0
2018-02-20,58.7921,59.3,59.16,1.0,61.05,59.25,5969988.0,0.0
2018-02-21,56.8274,59.24,57.23,1.0,59.69,57.27,6516241.0,0.0
2018-02-22,57.8296,57.85,57.67,1.0,59.54,58.28,4804662.0,0.0
2018-02-23,60.35,58.89,58.5,1.0,60.99,60.82,5023301.0,0.0
2018-02-26,59.9332,61.24,59.91,1.0,61.46,60.4,4278063.0,0.0
2018-02-27,58.0181,60.21,58.45,1.0,60.4,58.47,5498377.0,0.0
2018-02-28,56.5992,58.45,57.02,1.0,58.995,57.04,5403563.0,0.0
2018-03-01,56.6785,57.19,56.65,1.0,57.83,57.12,4270399.0,0.0
2018-03-02,57.006,56.71,56.04,1.0,57.63,57.45,6565576.0,0.0
2018-03-05,58.4944,57.24,57.04,1.0,59.35,58.95,6540703.0,0.0
2018-03-06,58.3555,59.34,58.35,1.0,59.34,58.81,3803490.0,0.0
2018-03-07,57.2739,58.24,57.46,1.0,59.14,57.72,5257298.0,0.0
2018-03-08,56.6389,57.65,56.63,1.0,58.0,57.08,4644336.0,0.0
2018-03-09,57.5815,57.58,57.48,1.0,58.38,58.03,4253765.0,0.0
2018-03-12,58.5242,58.0,57.87,1.0,59.26,58.98,4065161.0,0.0
2018-03-13,58.3456,59.09,58.28,1.0,59.5,58.55,3096387.0,0.25
2018-03-14,58.7143,58.71,58.58,1.0,59.37,58.92,4075381.0,0.0
2018-03-15,57.7078,59.24,57.72,1.0,59.87,57.91,6345374.0,0.0
2018-03-16,58.3256,58.07,58.07,1.0,59.33,58.53,4542777.0,0.0
2018-03-19,56.8209,57.91,56.6261,1.0,58.46,57.02,4265882.0,0.0
2018-03-20,58.2758,57.64,57.54,1.0,59.35,58.48,4318970.0,0.0
2018-03-21,61.2853,58.92,58.86,1.0,61.63,61.5,7331497.0,0.0
2018-03-22,60.4482,60.54,60.13,1.0,61.465,60.66,6456471.0,0.0
2018-03-23,61.3451,61.36,61.07,1.0,63.05,61.56,6816152.0,0.0
2018-03-26,62.3715,62.39,60.73,1.0,62.69,62.59,4923812.0,0.0
2018-03-27,60.5877,63.0,60.38,1.0,63.05,60.8,4397246.0,0.0
2018-03-28,58.6943,60.81,58.75,1.0,61.59,58.9,6661276.0,0.0
2018-03-29,60.1991,59.51,59.21,1.0,60.68,60.41,5891234.0,0.0
2018-04-02,57.9669,60.09,56.79,1.0,60.13,58.17,5988784.0,0.0
2018-04-03,58.9933,58.66,57.36,1.0,59.3199,59.2,3837846.0,0.0
2018-04-04,58.8737,58.02,57.63,1.0,59.245,59.08,3572658.0,0.0
2018-04-05,59.9001,59.42,59.37,1.0,60.78,60.11,5008262.0,0.0
2018-04-06,58.6545,59.5,57.74,1.0,60.27,58.86,10749711.0,0.0
2018-04-09,59.6211,59.38,59.12,1.0,61.025,59.83,5066539.0,0.0
2018-04-10,61.5942,60.76,60.7,1.0,62.7,61.81,6270964.0,0.0
2018-04-11,62.9793,61.87,61.86,1.0,63.47,63.2,5536215.0,0.0
2018-04-12,62.5309,63.11,62.42,1.0,63.55,62.75,4137199.0,0.0
2018-04-13,62.8099,63.43,62.69,1.0,63.72,63.03,5187583.0,0.0
2018-04-16,63.2384,63.58,62.82,1.0,63.81,63.46,4362071.0,0.0
2018-04-17,63.8363,63.66,63.35,1.0,64.37,64.06,5225825.0,0.0
2018-04-18,66.1183,64.81,64.81,1.0,67.13,66.35,8189900.0,0.0
2018-04-19,65.8493,66.44,65.525,1.0,67.24,66.08,5278880.0,0.0
2018-04-20,66.2578,65.92,65.37,1.0,66.94,66.49,5226002.0,0.0
2018-04-23,66.5468,66.14,65.87,1.0,67.34,66.78,6245686.0,0.0
2018-04-24,65.8592,66.88,65.04,1.0,67.25,66.09,4285893.0,0.0
2018-04-25,66.5967,65.95,65.71,1.0,67.08,66.83,3053846.0,0.0
2018-04-26,67.2643,67.02,66.62,1.0,67.7,67.5,2587745.0,0.0
2018-04-27,66.8159,66.97,66.48,1.0,67.47,67.05,3474907.0,0.0
2018-04-30,67.0849,66.62,66.5,1.0,68.18,67.32,4030832.0,0.0
2018-05-01,66.2877,67.17,65.905,1.0,67.21,66.52,5781835.0,0.0
2018-05-02,65.3411,66.69,65.09,1.0,66.8,65.57,6070552.0,0.0
2018-05-03,65.7994,65.33,64.89,1.0,66.55,66.03,4927759.0,0.0
2018-05-04,66.3475,65.95,65.51,1.0,66.76,66.58,3667823.0,0.0
2018-05-07,65.7696,67.18,65.93,1.0,68.75,66.0,4392326.0,0.0
2018-05-08,66.8059,65.69,64.79,1.0,67.09,67.04,3766527.0,0.0
2018-05-09,67.2045,68.44,66.73,1.0,68.84,67.44,7238678.0,0.0
2018-05-10,68.1512,68.23,67.525,1.0,68.85,68.39,5652749.0,0.0
2018-05-11,68.0715,68.68,68.025,1.0,69.28,68.31,3622345.0,0.0
2018-05-14,68.9584,68.66,68.66,1.0,69.93,69.2,3804824.0,0.0
