date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,25.1907,26.19,25.0006,1.0,26.4,25.28,9969608.0,0.0
2018-02-07,25.0114,25.1,24.87,1.0,25.46,25.1,5546356.0,0.0
2018-02-08,24.3637,25.13,24.19,1.0,25.19,24.45,7444028.0,0.0
2018-02-09,24.5729,24.65,23.32,1.0,24.9,24.66,8102602.0,0.0
2018-02-12,24.7523,24.81,24.53,1.0,25.18,24.84,4935437.0,0.0
2018-02-13,24.6925,24.61,24.465,1.0,24.87,24.78,5314966.0,0.0
2018-02-14,25.39,24.55,24.55,1.0,25.7,25.48,4538961.0,0.0
2018-02-15,25.1309,25.74,24.91,1.0,25.76,25.22,4485553.0,0.0
2018-02-16,25.2704,25.18,25.07,1.0,25.87,25.36,5351530.0,0.0
2018-02-20,24.7722,25.1,24.755,1.0,25.47,24.86,3316260.0,0.0
2018-02-21,24.5729,24.91,24.65,1.0,25.41,24.66,2627083.0,0.0
2018-02-22,24.4533,24.83,24.435,1.0,24.995,24.54,2518215.0,0.0
2018-02-23,25.0413,24.59,24.53,1.0,25.14,25.13,3621116.0,0.0
2018-02-26,25.0413,25.22,24.995,1.0,25.29,25.13,2514935.0,0.0
2018-02-27,24.6526,25.14,24.71,1.0,25.34,24.74,2726458.0,0.0
2018-02-28,24.3039,24.82,24.39,1.0,25.025,24.39,5232188.0,0.0
2018-03-01,23.9352,24.46,23.83,1.0,24.66,24.02,3461488.0,0.0
2018-03-02,23.8256,23.84,23.4,1.0,24.1,23.91,2803108.0,0.0
2018-03-05,24.2441,23.7,23.63,1.0,24.435,24.33,3767970.0,0.0
2018-03-06,24.4633,24.45,24.38,1.0,24.75,24.55,3446351.0,0.0
2018-03-07,24.5331,24.28,24.22,1.0,24.73,24.62,1969543.0,0.0
2018-03-08,24.7124,24.75,24.355,1.0,24.87,24.8,2163553.0,0.0
2018-03-09,25.101,24.94,24.77,1.0,25.19,25.19,2314308.0,0.0
2018-03-12,24.842,25.22,24.72,1.0,25.24,24.93,3100840.0,0.0
2018-03-13,24.8619,25.05,24.84,1.0,25.22,24.95,3134295.0,0.0
2018-03-14,23.975,25.01,23.8899,1.0,25.1,24.06,4987702.0,0.0
2018-03-15,24.1544,24.13,23.85,1.0,24.32,24.24,3794332.0,0.0
2018-03-16,24.4733,24.33,24.11,1.0,24.68,24.56,5289074.0,0.0
2018-03-19,23.9451,24.47,23.8,1.0,24.546,24.03,3487422.0,0.0
2018-03-20,24.0049,24.07,23.82,1.0,24.25,24.09,4621905.0,0.0
2018-03-21,24.0747,24.09,23.95,1.0,24.55,24.16,2047153.0,0.0
2018-03-22,22.5999,23.92,22.655,1.0,23.98,22.68,4485345.0,0.0
2018-03-23,22.6697,22.91,22.57,1.0,23.23,22.75,4188651.0,0.0
2018-03-26,23.2974,23.1,22.81,1.0,23.39,23.38,3020260.0,0.0
2018-03-27,22.9686,23.5,22.92,1.0,23.52,23.05,3501442.0,0.0
2018-03-28,22.6198,23.11,22.584,1.0,23.305,22.7,2236778.0,0.0
2018-03-29,22.9586,22.75,22.625,1.0,23.24,23.04,2449165.0,0.0
2018-04-02,22.002,22.94,21.98,1.0,23.02,22.08,4564268.0,0.0
2018-04-03,22.2711,22.18,21.985,1.0,22.41,22.35,5259292.0,0.0
2018-04-04,22.5501,21.93,21.85,1.0,22.64,22.63,2689969.0,0.0
2018-04-05,22.9985,22.82,22.8,1.0,23.215,23.08,3333610.0,0.0
2018-04-06,22.4604,22.84,22.3,1.0,22.99,22.54,3439316.0,0.0
2018-04-09,22.6896,22.82,22.685,1.0,23.26,22.77,3407621.0,0.0
2018-04-10,22.9487,23.11,22.9,1.0,23.29,23.03,2498556.0,0.0
2018-04-11,22.8789,22.83,22.8,1.0,23.17,22.96,1536445.0,0.0
2018-04-12,23.3971,23.13,23.02,1.0,23.51,23.48,2203798.0,0.0
2018-04-13,23.148,23.68,23.14,1.0,23.875,23.23,2287713.0,0.0
2018-04-16,23.4768,23.47,23.29,1.0,23.67,23.56,1650408.0,0.0
2018-04-17,23.6661,23.65,23.64,1.0,24.0,23.75,1732293.0,0.0
2018-04-18,23.5964,23.9,23.68,1.0,24.07,23.68,2726840.0,0.0
2018-04-19,23.4469,23.67,23.19,1.0,23.78,23.53,3577538.0,0.0
2018-04-20,23.1779,23.57,23.18,1.0,23.67,23.26,2741985.0,0.0
2018-04-23,21.9721,22.1,21.97,1.0,22.97,22.05,6127076.0,0.0
2018-04-24,21.9024,22.3,21.52,1.0,22.655,21.98,6176569.0,0.0
2018-04-25,22.0718,21.93,21.54,1.0,22.205,22.15,3365572.0,0.0
2018-04-26,22.1615,22.19,21.95,1.0,22.426,22.24,4816213.0,0.0
2018-04-27,22.3608,22.25,22.1,1.0,22.505,22.44,4616391.0,0.0
2018-04-30,17.7471,20.29,17.6,1.0,20.67,17.81,27056604.0,0.0
2018-05-01,17.6176,18.01,17.58,1.0,18.399,17.68,14794706.0,0.0
2018-05-02,17.3087,17.8,17.3,1.0,18.095,17.37,11512622.0,0.0
2018-05-03,16.93,17.25,16.66,1.0,17.3299,16.93,8645829.0,0.06
2018-05-04,17.22,16.9,16.82,1.0,17.36,17.22,5732210.0,0.0
2018-05-07,17.56,17.21,17.15,1.0,17.69,17.56,5404820.0,0.0
2018-05-08,17.8,17.5,17.4101,1.0,17.845,17.8,5417900.0,0.0
2018-05-09,18.02,18.15,17.98,1.0,18.34,18.02,5437027.0,0.0
2018-05-10,18.14,18.08,17.91,1.0,18.31,18.14,6564155.0,0.0
2018-05-11,18.22,18.05,17.855,1.0,18.24,18.22,5656525.0,0.0
2018-05-14,18.32,18.24,18.19,1.0,18.365,18.32,3005834.0,0.0
2018-05-15,17.98,18.23,17.875,1.0,18.25,17.98,4901700.0,0.0
2018-05-16,18.01,18.15,17.95,1.0,18.17,18.01,3197812.0,0.0
2018-05-17,18.15,18.05,17.87,1.0,18.19,18.15,3024887.0,0.0
2018-05-18,18.08,18.11,17.9802,1.0,18.2,18.08,2899311.0,0.0
2018-05-21,18.44,18.16,18.14,1.0,18.505,18.44,3590112.0,0.0
2018-05-22,18.57,18.51,18.36,1.0,18.71,18.57,3396003.0,0.0
2018-05-23,18.64,18.49,18.49,1.0,18.93,18.64,4428183.0,0.0
2018-05-24,18.48,18.64,18.41,1.0,18.67,18.48,3469377.0,0.0
2018-05-25,18.43,18.45,18.33,1.0,18.58,18.43,2776765.0,0.0
2018-05-29,17.93,18.26,17.87,1.0,18.34,17.93,3486422.0,0.0
2018-05-30,18.12,17.95,17.73,1.0,18.19,18.12,3936028.0,0.0
2018-05-31,17.65,17.95,17.62,1.0,18.13,17.65,5038796.0,0.0
2018-06-01,17.75,17.69,17.58,1.0,17.86,17.75,4847955.0,0.0
2018-06-04,17.74,17.8,17.74,1.0,18.07,17.74,2824478.0,0.0
2018-06-05,17.72,17.75,17.57,1.0,17.82,17.72,4142417.0,0.0
2018-06-06,17.93,17.78,17.65,1.0,17.98,17.93,3275436.0,0.0
2018-06-07,17.95,17.97,17.91,1.0,18.21,17.95,2922064.0,0.0
2018-06-08,17.94,17.96,17.73,1.0,18.0398,17.94,3176767.0,0.0
2018-06-11,18.16,17.98,17.92,1.0,18.27,18.16,4452130.0,0.0
2018-06-12,18.0,18.14,17.97,1.0,18.225,18.0,3419040.0,0.0
2018-06-13,17.97,17.97,17.81,1.0,18.04,17.97,4944187.0,0.0
2018-06-14,18.0,18.02,17.63,1.0,18.045,18.0,5061123.0,0.0
2018-06-15,17.53,17.79,17.42,1.0,17.95,17.53,7585993.0,0.0
2018-06-18,17.64,17.36,17.36,1.0,17.73,17.64,2776326.0,0.0
2018-06-19,17.4,17.43,17.17,1.0,17.545,17.4,4786820.0,0.0
2018-06-20,17.32,17.41,17.28,1.0,17.44,17.32,2636902.0,0.0
2018-06-21,16.96,17.3,16.91,1.0,17.37,16.96,2927888.0,0.0
2018-06-22,17.04,17.08,16.965,1.0,17.19,17.04,2988427.0,0.0
2018-06-25,16.87,16.9,16.47,1.0,16.95,16.87,3909046.0,0.0
2018-06-26,17.03,16.84,16.7,1.0,17.14,17.03,2488507.0,0.0
2018-06-27,16.96,17.07,16.955,1.0,17.455,16.96,3101290.0,0.0
2018-06-28,16.83,16.94,16.765,1.0,16.99,16.83,948533.0,0.0
