date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,69.3426,66.0,65.72,1.0,69.84,69.7,10184870.0,0.0
2018-02-07,69.1038,69.62,69.43,1.0,70.86,69.46,6093640.0,0.0
2018-02-08,65.4925,69.63,65.76,1.0,69.79,65.83,9778437.0,0.0
2018-02-09,66.7361,66.99,63.32,1.0,67.78,67.08,17754889.0,0.0
2018-02-12,67.9697,67.16,67.16,1.0,69.2,68.32,8163088.0,0.0
2018-02-13,67.6812,67.96,67.18,1.0,68.21,68.03,5012493.0,0.0
2018-02-14,69.2929,67.21,67.11,1.0,69.9,69.65,7074660.0,0.0
2018-02-15,71.6209,70.0,69.05,1.0,72.07,71.99,6150809.0,0.0
2018-02-16,69.8301,71.96,69.79,1.0,72.1252,70.19,6382932.0,0.0
2018-02-20,70.4768,69.97,69.75,1.0,71.29,70.84,5240786.0,0.0
2018-02-21,69.86,70.9,70.22,1.0,71.84,70.22,5533239.0,0.0
2018-02-22,69.1337,70.06,69.07,1.0,70.7,69.49,5093076.0,0.0
2018-02-23,71.7005,69.95,69.79,1.0,72.07,72.07,5633355.0,0.0
2018-02-26,72.7849,72.68,72.68,1.0,74.12,73.16,4835168.0,0.0
2018-02-27,72.2377,73.05,72.0221,1.0,73.36,72.61,4013404.0,0.0
2018-02-28,72.755,73.15,72.97,1.0,74.82,73.13,7396064.0,0.0
2018-03-01,71.6408,73.16,71.52,1.0,73.42,72.01,8123915.0,0.0
2018-03-02,73.6305,71.22,70.74,1.0,74.35,74.01,6942413.0,0.0
2018-03-05,74.7149,73.66,72.92,1.0,75.35,75.1,6276549.0,0.0
2018-03-06,73.541,75.4,72.86,1.0,75.48,73.92,8413256.0,0.0
2018-03-07,73.6902,73.38,72.75,1.0,74.14,74.07,5834774.0,0.0
2018-03-08,76.4162,74.51,74.23,1.0,76.91,76.81,8576294.0,0.0
2018-03-09,77.8189,76.855,76.41,1.0,78.25,78.22,8834722.0,0.0
2018-03-12,76.4659,79.24,76.29,1.0,79.63,76.86,8343328.0,0.0
2018-03-13,75.5407,77.49,75.805,1.0,77.85,75.93,5010331.0,0.0
2018-03-14,73.8394,76.35,73.93,1.0,76.46,74.22,11744094.0,0.0
2018-03-15,73.0037,72.99,72.51,1.0,73.7,73.38,9924358.0,0.0
2018-03-16,71.3125,73.87,71.61,1.0,73.9,71.68,10308708.0,0.0
2018-03-19,70.6857,71.0,69.81,1.0,72.15,71.05,7787476.0,0.0
2018-03-20,71.0041,71.34,70.84,1.0,72.08,71.37,3849084.0,0.0
2018-03-21,71.2428,71.2,71.11,1.0,72.63,71.61,4714769.0,0.0
2018-03-22,69.4023,70.63,69.645,1.0,71.625,69.76,5057479.0,0.0
2018-03-23,67.6911,69.86,68.02,1.0,70.52,68.04,5237847.0,0.0
