date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,158.8268,157.41,156.01,1.0,161.36,160.25,1826775.0,0.0
2018-02-07,156.8743,159.84,158.21,1.0,162.52,158.28,1112955.0,0.0
2018-02-08,153.564,158.52,154.82,1.0,161.2,154.94,1424758.0,0.0
2018-02-09,158.1925,156.0,154.935,1.0,160.69,159.61,1304906.0,0.0
2018-02-12,157.3401,160.02,155.74,1.0,160.67,158.75,1361596.0,0.0
2018-02-13,157.9844,157.77,157.64,1.0,160.32,159.4,1106803.0,0.0
2018-02-14,157.5086,157.95,157.25,1.0,159.07,158.92,826028.0,0.0
2018-02-15,159.6693,159.57,159.18,1.0,161.6199,161.1,732762.0,0.0
2018-02-16,161.1262,161.34,160.51,1.0,163.0,162.57,869107.0,0.0
2018-02-20,158.9953,161.92,160.33,1.0,163.65,160.42,893153.0,0.0
2018-02-21,154.6344,159.92,155.735,1.0,160.67,156.02,967739.0,0.0
2018-02-22,155.7246,156.66,156.45,1.0,158.14,157.12,884176.0,0.0
2018-02-23,158.5889,157.93,156.97,1.0,160.1,160.01,514555.0,0.0
2018-02-26,158.7277,160.42,158.97,1.0,160.72,160.15,557818.0,0.0
2018-02-27,154.6938,159.66,155.705,1.0,160.11,156.08,909354.0,0.0
2018-02-28,154.6344,156.08,155.45,1.0,157.4,156.02,1391648.0,0.0
2018-03-01,153.673,155.18,154.15,1.0,157.91,155.05,1268132.0,0.0
2018-03-02,152.5332,154.9,152.92,1.0,155.58,153.9,902766.0,0.0
2018-03-05,154.6938,153.09,152.65,1.0,156.74,156.08,1094278.0,0.0
2018-03-06,154.5749,156.03,153.71,1.0,156.585,155.96,853881.0,0.0
2018-03-07,156.7058,155.79,155.52,1.0,158.63,158.11,914690.0,0.0
2018-03-08,158.0835,158.24,157.43,1.0,159.62,159.5,671550.0,0.0
2018-03-09,159.9864,159.61,158.82,1.0,161.42,161.42,632709.0,0.0
2018-03-12,160.1053,161.06,160.26,1.0,161.995,161.54,730229.0,0.0
2018-03-13,160.0855,162.46,161.1,1.0,162.97,161.52,589236.0,0.0
2018-03-14,162.0182,161.84,161.63,1.0,163.49,163.47,794757.0,0.0
2018-03-15,162.2164,163.22,162.77,1.0,164.14,163.67,877792.0,0.0
2018-03-16,164.278,164.03,163.38,1.0,166.02,165.75,1425127.0,0.0
2018-03-19,163.6238,165.58,163.8,1.0,165.63,165.09,825412.0,0.0
2018-03-20,162.8507,164.95,163.56,1.0,166.15,164.31,1085498.0,0.0
2018-03-21,161.7902,164.27,162.63,1.0,165.7247,163.24,673068.0,0.0
2018-03-22,158.8367,162.53,159.96,1.0,164.23,160.26,1064522.0,0.0
2018-03-23,156.6067,160.3,157.6295,1.0,160.93,158.01,790966.0,0.0
2018-03-26,157.4194,159.09,157.5876,1.0,159.59,158.83,544975.0,0.0
2018-03-27,159.2133,158.74,156.4,1.0,162.75,160.64,735030.0,0.0
2018-03-28,164.05,160.52,159.98,1.0,164.51,164.05,842075.0,1.47
2018-03-29,164.46,164.48,161.22,1.0,165.435,164.46,842893.0,0.0
2018-04-02,162.66,164.3,161.34,1.0,164.65,162.66,668342.0,0.0
2018-04-03,164.96,162.72,161.51,1.0,165.39,164.96,670527.0,0.0
2018-04-04,166.02,163.95,163.5,1.0,166.665,166.02,635274.0,0.0
2018-04-05,166.23,166.17,164.21,1.0,166.365,166.23,591788.0,0.0
2018-04-06,166.0,166.82,165.4,1.0,167.52,166.0,600822.0,0.0
2018-04-09,165.42,166.2,164.59,1.0,166.78,165.42,469950.0,0.0
2018-04-10,166.79,166.27,165.33,1.0,167.0,166.79,643795.0,0.0
2018-04-11,166.03,166.38,165.82,1.0,167.96,166.03,847632.0,0.0
2018-04-12,165.2,166.24,164.54,1.0,166.24,165.2,663676.0,0.0
2018-04-13,166.53,165.28,164.55,1.0,166.74,166.53,568493.0,0.0
2018-04-16,166.0,166.87,165.77,1.0,168.23,166.0,604559.0,0.0
2018-04-17,166.97,166.32,165.53,1.0,167.66,166.97,628045.0,0.0
2018-04-18,165.95,167.19,165.79,1.0,167.52,165.95,617838.0,0.0
2018-04-19,162.54,165.5,161.78,1.0,165.74,162.54,669442.0,0.0
2018-04-20,160.87,162.91,160.42,1.0,162.91,160.87,1129753.0,0.0
2018-04-23,161.0,161.39,160.12,1.0,161.78,161.0,602271.0,0.0
2018-04-24,161.9,161.39,160.67,1.0,162.58,161.9,840615.0,0.0
2018-04-25,161.79,161.36,160.29,1.0,162.615,161.79,773461.0,0.0
2018-04-26,161.58,160.32,157.9,1.0,163.63,161.58,766518.0,0.0
2018-04-27,164.33,161.1,161.1,1.0,164.96,164.33,476012.0,0.0
2018-04-30,163.0,164.8,162.47,1.0,165.48,163.0,748225.0,0.0
2018-05-01,164.55,163.15,162.37,1.0,164.97,164.55,529222.0,0.0
2018-05-02,162.62,163.82,162.48,1.0,164.41,162.62,749464.0,0.0
2018-05-03,162.85,162.08,161.54,1.0,164.44,162.85,408713.0,0.0
2018-05-04,164.35,162.55,162.44,1.0,164.76,164.35,510792.0,0.0
2018-05-07,165.2,164.97,163.7885,1.0,165.4,165.2,340437.0,0.0
2018-05-08,164.47,164.94,163.7,1.0,164.94,164.47,678768.0,0.0
2018-05-09,165.72,164.83,164.07,1.0,165.82,165.72,481809.0,0.0
2018-05-10,167.7,166.69,165.8,1.0,167.88,167.7,778903.0,0.0
2018-05-11,166.38,168.22,166.14,1.0,168.305,166.38,616269.0,0.0
2018-05-14,164.54,166.34,163.54,1.0,166.55,164.54,380495.0,0.0
2018-05-15,160.65,163.81,160.33,1.0,163.94,160.65,749184.0,0.0
2018-05-16,159.5,161.06,158.82,1.0,161.52,159.5,689873.0,0.0
2018-05-17,158.52,159.25,158.165,1.0,159.955,158.52,729162.0,0.0
2018-05-18,157.76,158.69,157.03,1.0,159.11,157.76,626955.0,0.0
2018-05-21,158.77,158.31,156.93,1.0,159.53,158.77,890229.0,0.0
2018-05-22,159.25,158.86,158.06,1.0,159.59,159.25,819053.0,0.0
2018-05-23,161.49,159.66,159.07,1.0,162.57,161.49,1026122.0,0.0
2018-05-24,160.72,161.64,159.45,1.0,161.84,160.72,863381.0,0.0
2018-05-25,161.76,161.13,160.93,1.0,162.61,161.76,462503.0,0.0
2018-05-29,161.47,161.29,160.5,1.0,162.27,161.47,627465.0,0.0
2018-05-30,165.86,160.94,160.63,1.0,166.48,165.86,749580.0,0.0
2018-05-31,165.54,164.22,163.21,1.0,165.75,165.54,1244104.0,0.0
2018-06-01,167.11,165.56,164.31,1.0,167.43,167.11,688246.0,0.0
2018-06-04,169.0,167.73,167.01,1.0,169.0,169.0,735050.0,0.0
2018-06-05,166.9,169.51,166.83,1.0,169.7,166.9,811607.0,0.0
2018-06-06,167.43,166.62,165.52,1.0,167.97,167.43,618669.0,0.0
2018-06-07,166.86,167.62,166.5,1.0,168.06,166.86,485388.0,0.0
2018-06-08,167.82,167.5,166.76,1.0,168.54,167.82,384642.0,0.0
2018-06-11,166.61,167.56,165.78,1.0,168.12,166.61,595349.0,0.0
2018-06-12,168.52,166.4,165.5,1.0,169.42,168.52,843471.0,0.0
2018-06-13,166.56,168.99,165.53,1.0,169.9,166.56,782598.0,0.0
2018-06-14,168.18,167.04,166.075,1.0,169.65,168.18,760745.0,0.0
2018-06-15,168.72,168.32,167.91,1.0,169.83,168.72,1194130.0,0.0
2018-06-18,167.58,168.16,166.22,1.0,168.99,167.58,641085.0,0.0
2018-06-19,167.29,166.65,166.65,1.0,168.39,167.29,742547.0,0.0
2018-06-20,169.31,168.35,167.37,1.0,169.59,169.31,891246.0,0.0
2018-06-21,169.91,169.59,169.07,1.0,170.53,169.91,905577.0,0.0
