date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,237.0921,225.62,224.9,1.0,240.4,240.38,7610956.0,0.0
2018-02-07,234.1331,238.76,237.0,1.0,243.1,237.38,4018443.0,0.0
2018-02-08,226.4299,237.39,229.51,1.0,238.52,229.57,3819573.0,0.0
2018-02-09,232.2788,232.79,226.25,1.0,237.12,235.5,4032928.0,0.0
2018-02-12,241.0571,237.86,237.5,1.0,245.48,244.4,3490978.0,0.0
2018-02-13,242.4971,241.01,240.06,1.0,246.03,245.86,2341692.0,0.0
2018-02-14,244.2725,245.0,243.48,1.0,248.65,247.66,2516121.0,0.0
2018-02-15,248.3854,249.28,244.43,1.0,251.84,251.83,2540629.0,0.0
2018-02-16,245.4857,251.27,248.04,1.0,252.37,248.89,3171750.0,0.0
2018-02-20,246.2057,248.75,247.52,1.0,255.74,249.62,4134753.0,0.0
2018-02-21,245.2193,252.49,248.448,1.0,253.47,248.62,2794204.0,0.0
2018-02-22,245.9394,249.12,248.27,1.0,253.1,249.35,1925608.0,0.0
2018-02-23,250.2397,252.14,250.29,1.0,255.03,253.71,1796122.0,0.0
2018-02-26,249.4901,251.96,251.0,1.0,254.44,252.95,2841594.0,0.0
2018-02-27,248.3657,252.09,251.68,1.0,255.67,251.81,2086168.0,0.0
2018-02-28,243.0889,254.08,245.98,1.0,254.49,246.46,2858161.0,0.0
2018-03-01,239.982,245.86,241.31,1.0,249.12,243.31,2604435.0,0.0
2018-03-02,247.4386,240.43,240.23,1.0,251.18,250.87,2740164.0,0.0
2018-03-05,243.6018,249.9,243.42,1.0,251.335,246.98,2589960.0,0.0
2018-03-06,247.5273,249.31,247.32,1.0,251.3,250.96,3003004.0,0.0
2018-03-07,243.6708,248.69,244.332,1.0,249.4,247.05,3154859.0,0.0
2018-03-08,243.5722,248.26,245.915,1.0,248.3,246.95,3287738.0,0.0
2018-03-09,250.3088,248.58,247.63,1.0,254.275,253.78,2754628.0,0.0
2018-03-12,259.2448,260.65,259.62,1.0,264.2993,262.84,5244235.0,0.0
2018-03-13,257.647,266.43,260.23,1.0,273.85,261.22,6666205.0,0.0
2018-03-14,257.0256,262.0,255.15,1.0,262.34,260.59,3894301.0,0.0
2018-03-15,264.0975,263.73,263.5,1.0,268.9,267.76,5399341.0,0.0
2018-03-16,251.3839,263.0,254.41,1.0,263.6,254.87,11241709.0,0.0
2018-03-19,241.5995,253.1,242.772,1.0,256.49,244.95,6970189.0,0.0
2018-03-20,239.045,245.1,241.28,1.0,248.05,242.36,6121449.0,0.0
2018-03-21,244.3612,240.58,240.06,1.0,250.59,246.0,5439448.0,1.75
2018-03-22,241.9474,242.03,241.5,1.0,246.7195,243.57,4215848.0,0.0
