date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,30.9536,29.41,29.3,1.0,31.29,31.2,161141551.0,0.0
2018-02-07,31.0032,31.12,30.86,1.0,31.74,31.25,99831300.0,0.0
2018-02-08,29.5051,31.31,29.73,1.0,31.38,29.74,128282047.0,0.0
2018-02-09,30.0905,30.17,29.13,1.0,30.61,30.33,142693575.0,0.0
2018-02-12,30.8742,30.62,30.54,1.0,31.44,31.12,94696662.0,0.0
2018-02-13,30.9338,31.04,30.76,1.0,31.4,31.18,76559902.0,0.0
2018-02-14,31.7473,31.17,31.055,1.0,32.03,32.0,92773022.0,0.0
2018-02-15,31.9556,32.39,31.87,1.0,32.47,32.21,67806215.0,0.0
2018-02-16,31.7175,32.0,31.92,1.0,32.26,31.97,61805677.0,0.0
2018-02-20,31.6778,31.96,31.75,1.0,32.16,31.93,58356720.0,0.0
2018-02-21,31.6183,31.8,31.77,1.0,32.365,31.87,71980440.0,0.0
2018-02-22,31.4397,31.99,31.59,1.0,32.14,31.69,64394876.0,0.0
2018-02-23,31.7771,31.8,31.76,1.0,32.06,32.03,50959564.0,0.0
2018-02-26,32.164,32.17,32.05,1.0,32.44,32.42,60441481.0,0.0
2018-02-27,32.0747,32.32,32.32,1.0,32.85,32.33,68943159.0,0.0
2018-02-28,31.8465,32.49,32.09,1.0,32.77,32.1,70351619.0,0.0
2018-03-01,31.3505,32.07,31.36,1.0,32.345,31.48,90547117.0,0.12
2018-03-02,31.4998,31.12,30.63,1.0,31.69,31.63,82739099.0,0.0
2018-03-05,31.9978,31.35,31.165,1.0,32.355,32.13,70543121.0,0.0
2018-03-06,31.9779,32.3,31.95,1.0,32.32,32.11,50832605.0,0.0
2018-03-07,32.0476,31.7,31.58,1.0,32.23,32.18,52763869.0,0.0
2018-03-08,32.0675,32.19,31.81,1.0,32.27,32.2,51206287.0,0.0
2018-03-09,32.5853,32.47,32.4,1.0,32.73,32.72,73075006.0,0.0
2018-03-12,32.7049,32.69,32.64,1.0,33.05,32.84,59301639.0,0.0
2018-03-13,32.2268,32.97,32.3,1.0,32.99,32.36,62823477.0,0.0
2018-03-14,32.0077,32.55,31.93,1.0,32.55,32.14,57889408.0,0.0
2018-03-15,31.9679,32.29,31.93,1.0,32.34,32.1,41825422.0,0.0
2018-03-16,32.0376,32.11,32.08,1.0,32.57,32.17,82176070.0,0.0
2018-03-19,31.8484,32.13,31.68,1.0,32.22,31.98,57068585.0,0.0
2018-03-20,31.8484,32.06,31.88,1.0,32.2,31.98,44455976.0,0.0
2018-03-21,31.7388,32.0,31.68,1.0,32.45,31.87,64135559.0,0.0
2018-03-22,30.4243,31.44,30.42,1.0,31.49,30.55,109386636.0,0.0
2018-03-23,29.05,30.69,29.05,1.0,30.82,29.17,114544472.0,0.0
2018-03-26,30.3147,29.89,29.65,1.0,30.555,30.44,81989080.0,0.0
2018-03-27,29.3985,30.65,29.21,1.0,30.67,29.52,85188716.0,0.0
2018-03-28,29.2691,29.79,29.01,1.0,29.96,29.39,79396116.0,0.0
2018-03-29,29.8666,29.57,29.31,1.0,30.14,29.99,65678285.0,0.0
2018-04-02,29.1894,29.8,28.75,1.0,30.055,29.31,86644166.0,0.0
2018-04-03,29.4682,29.54,29.1001,1.0,29.65,29.59,69698726.0,0.0
2018-04-04,29.757,29.0,28.95,1.0,29.97,29.88,66640759.0,0.0
2018-04-05,30.1952,30.18,30.115,1.0,30.55,30.32,55765513.0,0.0
2018-04-06,29.5081,30.01,29.37,1.0,30.29,29.63,79687623.0,0.0
2018-04-09,29.7471,29.82,29.76,1.0,30.625,29.87,65917535.0,0.0
2018-04-10,30.3546,30.48,30.23,1.0,30.58,30.48,60686336.0,0.0
2018-04-11,29.777,30.15,29.89,1.0,30.24,29.9,62211487.0,0.0
2018-04-12,30.5239,30.22,30.165,1.0,30.8,30.65,57989106.0,0.0
2018-04-13,29.6774,31.13,29.56,1.0,31.17,29.8,99254533.0,0.0
2018-04-16,29.8068,30.08,29.47,1.0,30.37,29.93,110588918.0,0.0
2018-04-17,29.9164,30.17,29.88,1.0,30.37,30.04,83475898.0,0.0
2018-04-18,29.4085,30.03,29.5,1.0,30.22,29.53,79743217.0,0.0
2018-04-19,30.0558,29.55,29.54,1.0,30.24,30.18,80902612.0,0.0
2018-04-20,30.1355,30.26,30.13,1.0,30.53,30.26,65554554.0,0.0
2018-04-23,30.1952,30.27,30.12,1.0,30.4,30.32,50686347.0,0.0
2018-04-24,30.0658,30.46,30.0,1.0,30.86,30.19,81486781.0,0.0
2018-04-25,30.016,30.09,29.8,1.0,30.34,30.14,65857332.0,0.0
2018-04-26,29.9463,30.04,29.99,1.0,30.28,30.07,45936713.0,0.0
2018-04-27,30.0259,29.99,29.97,1.0,30.21,30.15,47411234.0,0.0
2018-04-30,29.7969,30.27,29.92,1.0,30.43,29.92,55153947.0,0.0
2018-05-01,29.8267,29.92,29.62,1.0,29.96,29.95,52871713.0,0.0
2018-05-02,29.4583,29.95,29.56,1.0,30.07,29.58,68234557.0,0.0
2018-05-03,29.0798,29.51,28.43,1.0,29.52,29.2,110672740.0,0.0
2018-05-04,29.1794,28.99,28.82,1.0,29.42,29.3,58281856.0,0.0
2018-05-07,29.518,29.44,29.33,1.0,29.7879,29.64,46765219.0,0.0
2018-05-08,29.8068,29.77,29.665,1.0,30.125,29.93,65119831.0,0.0
2018-05-09,30.5936,30.1,30.08,1.0,30.79,30.72,72266529.0,0.0
2018-05-10,30.7629,30.61,30.42,1.0,31.07,30.89,54773215.0,0.0
2018-05-11,30.7928,30.91,30.81,1.0,31.03,30.92,42024768.0,0.0
2018-05-14,30.9919,31.04,31.03,1.0,31.23,31.12,41791621.0,0.0
2018-05-15,31.0915,30.92,30.85,1.0,31.36,31.22,64433546.0,0.0
2018-05-16,30.9322,31.18,31.02,1.0,31.25,31.06,43590053.0,0.0
2018-05-17,30.6832,31.04,30.67,1.0,31.08,30.81,45981500.0,0.0
2018-05-18,30.1355,30.77,30.23,1.0,30.79,30.26,58641738.0,0.0
2018-05-21,30.4243,30.52,30.48,1.0,30.68,30.55,34983266.0,0.0
2018-05-22,30.7629,30.6,30.54,1.0,31.14,30.89,61103045.0,0.0
2018-05-23,30.3147,30.71,30.0815,1.0,30.76,30.44,73893110.0,0.0
2018-05-24,30.0857,30.4,29.83,1.0,30.41,30.21,62146183.0,0.0
2018-05-25,30.0359,30.01,29.88,1.0,30.19,30.16,44166742.0,0.0
2018-05-29,28.8408,29.76,28.7,1.0,29.8,28.96,135895025.0,0.0
2018-05-30,29.3686,29.29,29.16,1.0,29.6,29.49,79435291.0,0.0
2018-05-31,29.04,29.2,28.825,1.0,29.26,29.04,97509300.0,0.12
2018-06-01,29.4,29.49,29.31,1.0,29.66,29.4,64796588.0,0.0
2018-06-04,29.4,29.55,29.33,1.0,29.59,29.4,43777001.0,0.0
2018-06-05,29.12,29.31,29.06,1.0,29.34,29.12,47690803.0,0.0
2018-06-06,30.04,29.29,29.28,1.0,30.05,30.04,74995766.0,0.0
2018-06-07,30.09,30.2,29.89,1.0,30.31,30.09,68402664.0,0.0
2018-06-08,30.01,30.01,29.81,1.0,30.05,30.01,49572935.0,0.0
2018-06-11,30.06,30.13,30.06,1.0,30.41,30.06,46732804.0,0.0
2018-06-12,29.9,30.17,29.75,1.0,30.27,29.9,49644578.0,0.0
2018-06-13,29.84,29.98,29.695,1.0,30.355,29.84,68900241.0,0.0
2018-06-14,29.5,30.04,29.38,1.0,30.05,29.5,77863246.0,0.0
2018-06-15,29.28,29.25,28.865,1.0,29.41,29.28,105079500.0,0.0
2018-06-18,29.4,28.94,28.81,1.0,29.5,29.4,52644116.0,0.0
2018-06-19,29.26,29.04,28.95,1.0,29.37,29.26,65466248.0,0.0
2018-06-20,29.24,29.42,29.18,1.0,29.5,29.24,52256491.0,0.0
2018-06-21,29.29,29.21,29.0,1.0,29.45,29.29,68322596.0,0.0
2018-06-22,28.99,29.46,28.99,1.0,29.52,28.99,77348906.0,0.0
2018-06-25,28.48,28.86,28.26,1.0,28.91,28.48,73616371.0,0.0
