date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,332.86,322.52,321.11,1.0,332.95,332.86,1671988.0,0.0
2018-02-07,326.89,329.9,326.25,1.0,333.59,326.89,1198410.0,0.0
2018-02-08,311.79,326.67,311.5,1.0,328.6958,311.79,1047217.0,0.0
2018-02-09,316.78,313.27,302.28,1.0,319.93,316.78,2009303.0,0.0
2018-02-12,316.63,319.25,315.5,1.0,323.18,316.63,1283037.0,0.0
2018-02-13,316.99,315.01,312.35,1.0,319.0,316.99,703074.0,0.0
2018-02-14,296.08,315.36,288.0,1.0,316.45,296.08,5374879.0,0.0
2018-02-15,299.38,298.85,289.27,1.0,300.75,299.38,2967489.0,0.0
2018-02-16,291.87,297.75,290.8813,1.0,298.5,291.87,2809022.0,0.0
2018-02-20,287.45,292.0,286.51,1.0,294.88,287.45,1881685.0,0.0
2018-02-21,286.1,287.56,285.11,1.0,290.66,286.1,1898211.0,0.0
2018-02-22,284.81,287.7,283.97,1.0,291.91,284.81,2471586.0,0.0
2018-02-23,292.78,287.59,285.6,1.0,294.24,292.78,2518480.0,0.0
2018-02-26,290.01,294.0,288.8,1.0,296.1,290.01,1441722.0,0.0
2018-02-27,290.1,290.83,289.42,1.0,294.03,290.1,1601840.0,0.0
2018-02-28,288.99,291.26,287.39,1.0,292.895,288.99,1693411.0,0.0
2018-03-01,282.35,288.11,281.36,1.0,291.44,282.35,2339235.0,0.0
2018-03-02,286.96,278.22,277.0,1.0,288.0,286.96,1511910.0,0.0
2018-03-05,286.95,284.16,282.59,1.0,288.125,286.95,904335.0,0.0
2018-03-06,285.98,286.86,283.76,1.0,288.68,285.98,881660.0,0.0
2018-03-07,284.54,285.47,282.0,1.0,285.83,284.54,1404930.0,0.0
2018-03-08,284.69,285.47,283.225,1.0,286.82,284.69,1194464.0,0.0
2018-03-09,286.1,285.87,281.7,1.0,286.76,286.1,1627459.0,0.0
2018-03-12,279.9,286.0,279.29,1.0,286.68,279.9,2322374.0,0.0
2018-03-13,283.24,282.21,280.52,1.0,286.54,283.24,2235621.0,0.0
2018-03-14,285.72,285.03,282.71,1.0,289.17,285.72,1941383.0,0.0
