date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,60.5115,59.83,58.44,1.0,61.205,60.9,18036237.0,0.0
2018-02-07,62.2305,60.64,60.3,1.0,62.77,62.63,11892004.0,0.0
2018-02-08,62.2901,62.55,62.53,1.0,64.7652,62.69,14656754.0,0.0
2018-02-09,62.3001,63.3,60.57,1.0,63.32,62.7,11131473.0,0.0
2018-02-12,62.7571,62.95,62.3,1.0,63.588,63.16,7393782.0,0.0
2018-02-13,63.4626,62.8,62.69,1.0,64.11,63.87,7353515.0,0.0
2018-02-14,64.9332,63.59,63.27,1.0,65.94,65.35,10094012.0,0.0
2018-02-15,68.54,67.31,67.1816,1.0,69.44,68.98,15325969.0,0.0
2018-02-16,68.5201,68.86,68.52,1.0,70.05,68.96,10516977.0,0.0
2018-02-20,66.9204,68.49,67.04,1.0,68.83,67.35,8599301.0,0.0
2018-02-21,66.1056,67.34,66.51,1.0,67.75,66.53,6937322.0,0.0
2018-02-22,65.5194,67.0,65.86,1.0,67.0,65.94,6186717.0,0.0
2018-02-23,67.5166,66.17,66.17,1.0,68.03,67.95,5081211.0,0.0
2018-02-26,68.1922,67.99,67.88,1.0,68.865,68.63,4222018.0,0.0
2018-02-27,67.4073,68.54,67.82,1.0,68.8796,67.84,4120852.0,0.0
2018-02-28,65.7777,67.85,66.17,1.0,67.94,66.2,8276238.0,0.0
2018-03-01,65.271,66.1,64.83,1.0,66.52,65.69,7801327.0,0.0
2018-03-02,65.7479,65.45,65.13,1.0,66.5,66.17,5391365.0,0.0
2018-03-05,66.3938,65.83,65.6,1.0,67.14,66.82,6339604.0,0.0
2018-03-06,65.0524,67.22,65.185,1.0,67.4,65.47,6543428.0,0.0
2018-03-07,65.6784,64.9,64.7,1.0,66.26,66.1,5927647.0,0.0
2018-03-08,66.3242,66.2,66.08,1.0,66.96,66.75,3620269.0,0.0
2018-03-09,67.4868,66.95,66.67,1.0,68.05,67.92,5272609.0,0.0
2018-03-12,67.0198,67.9,67.18,1.0,68.18,67.45,5029470.0,0.0
2018-03-13,66.2547,67.81,66.27,1.0,68.22,66.68,5882456.0,0.0
2018-03-14,66.205,67.08,66.27,1.0,67.26,66.63,4825890.0,0.0
