date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,114.5772,112.95,111.87,1.0,115.66,115.32,1619691.0,0.0
2018-02-07,114.5971,114.96,114.96,1.0,116.965,115.34,854328.0,0.0
2018-02-08,111.368,114.99,112.05,1.0,116.47,112.09,1095448.0,0.0
2018-02-09,114.607,113.1,111.82,1.0,116.38,115.35,935958.0,0.0
2018-02-12,114.3984,115.59,111.57,1.0,115.8223,115.14,818249.0,0.0
2018-02-13,115.4416,115.06,114.05,1.0,116.665,116.19,708125.0,0.0
2018-02-14,114.7163,115.67,113.32,1.0,115.67,115.46,1001099.0,0.0
2018-02-15,116.6438,116.51,116.425,1.0,118.5,117.4,1062272.0,0.0
2018-02-16,118.8694,117.45,117.45,1.0,120.19,119.64,876736.0,0.0
2018-02-20,118.621,119.49,119.1,1.0,121.17,119.39,932967.0,0.0
2018-02-21,115.1038,119.0,115.85,1.0,119.58,115.85,1039391.0,0.0
2018-02-22,117.7069,116.49,116.27,1.0,119.92,118.47,805255.0,0.0
2018-02-23,120.1908,118.61,118.35,1.0,120.99,120.97,646053.0,0.0
2018-02-26,120.6478,121.41,119.87,1.0,121.905,121.43,687732.0,0.0
2018-02-27,118.7402,121.91,119.2,1.0,122.23,119.51,979296.0,0.0
2018-02-28,118.1043,119.98,118.84,1.0,120.71,118.87,1006942.0,0.0
2018-03-01,117.2399,117.87,117.08,1.0,119.7,118.0,963510.0,0.0
2018-03-02,118.1639,118.0,117.16,1.0,119.15,118.93,639876.0,0.0
2018-03-05,120.5783,119.27,118.92,1.0,121.81,121.36,503085.0,0.0
2018-03-06,121.3135,121.1,120.31,1.0,122.25,122.1,495358.0,0.0
2018-03-07,121.9494,121.7,121.11,1.0,122.85,122.74,655823.0,0.0
2018-03-08,121.5222,123.1,121.46,1.0,123.34,122.31,515623.0,0.0
2018-03-09,122.8237,122.45,121.44,1.0,123.76,123.62,674863.0,0.0
2018-03-12,124.7512,123.3,123.3,1.0,125.92,125.56,878519.0,0.0
2018-03-13,124.4532,125.81,124.73,1.0,126.39,125.26,707861.0,0.0
2018-03-14,124.781,125.66,124.3,1.0,125.75,125.59,560026.0,0.0
2018-03-15,125.099,125.84,124.66,1.0,126.12,125.91,682299.0,0.0
2018-03-16,126.3409,125.71,124.805,1.0,127.31,127.16,859925.0,0.0
2018-03-19,125.4666,127.3,125.57,1.0,127.42,126.28,439248.0,0.0
2018-03-20,124.8605,126.53,125.38,1.0,127.54,125.67,673893.0,0.0
2018-03-21,123.549,125.51,123.5,1.0,126.03,124.35,751147.0,0.0
2018-03-22,121.7904,123.99,122.47,1.0,125.62,122.58,653202.0,0.0
2018-03-23,117.6672,122.05,117.94,1.0,122.77,118.43,1192750.0,0.0
2018-03-26,119.0979,119.78,118.705,1.0,120.135,119.87,817203.0,0.0
2018-03-27,120.0914,119.97,118.73,1.0,123.01,120.87,674921.0,0.0
2018-03-28,123.4,120.85,119.81,1.0,123.79,123.4,759944.0,0.8
2018-03-29,123.22,123.8,122.34,1.0,124.47,123.22,640407.0,0.0
2018-04-02,121.46,123.44,120.31,1.0,123.725,121.46,750386.0,0.0
2018-04-03,122.19,121.46,120.2,1.0,122.975,122.19,863802.0,0.0
2018-04-04,122.92,120.99,120.99,1.0,123.38,122.92,871177.0,0.0
2018-04-05,122.27,123.06,121.44,1.0,123.18,122.27,578129.0,0.0
2018-04-06,120.96,122.23,120.29,1.0,122.99,120.96,597899.0,0.0
2018-04-09,120.12,121.16,120.03,1.0,121.47,120.12,661843.0,0.0
2018-04-10,121.45,120.75,120.12,1.0,121.99,121.45,779885.0,0.0
2018-04-11,120.95,121.09,120.88,1.0,122.15,120.95,611789.0,0.0
2018-04-12,118.83,121.42,118.29,1.0,121.42,118.83,952327.0,0.0
2018-04-13,119.9,118.86,118.34,1.0,119.97,119.9,544489.0,0.0
2018-04-16,120.52,120.36,119.37,1.0,121.21,120.52,539483.0,0.0
2018-04-17,121.62,121.18,120.18,1.0,122.49,121.62,740207.0,0.0
2018-04-18,120.84,122.07,120.55,1.0,122.3,120.84,431686.0,0.0
2018-04-19,119.34,120.56,118.23,1.0,120.74,119.34,637234.0,0.0
2018-04-20,118.75,119.88,118.3,1.0,119.97,118.75,520765.0,0.0
2018-04-23,118.56,118.86,117.57,1.0,119.07,118.56,506570.0,0.0
2018-04-24,118.44,118.68,117.54,1.0,119.13,118.44,944282.0,0.0
2018-04-25,118.32,118.65,116.43,1.0,119.07,118.32,1348761.0,0.0
2018-04-26,120.57,118.51,118.4,1.0,120.74,120.57,903325.0,0.0
2018-04-27,122.45,120.25,120.25,1.0,123.13,122.45,606064.0,0.0
2018-04-30,121.41,122.66,121.32,1.0,123.29,121.41,635623.0,0.0
2018-05-01,122.67,121.7,120.86,1.0,122.96,122.67,673727.0,0.0
2018-05-02,120.81,121.83,118.68,1.0,122.39,120.81,884179.0,0.0
2018-05-03,121.82,120.44,120.361,1.0,122.33,121.82,537891.0,0.0
