date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,33.213,33.08,32.64,1.0,33.825,33.7,3985713.0,0.0
2018-02-07,33.5087,33.55,33.45,1.0,34.4,34.0,4073162.0,0.0
2018-02-08,32.188,33.93,32.64,1.0,33.93,32.66,3809299.0,0.0
2018-02-09,32.9666,33.01,32.47,1.0,33.74,33.45,4115337.0,0.0
2018-02-12,33.5284,33.63,33.63,1.0,34.13,34.02,2862482.0,0.0
2018-02-13,33.6861,33.91,33.83,1.0,34.205,34.18,2325834.0,0.0
2018-02-14,34.2478,33.95,33.76,1.0,34.79,34.75,2985373.0,0.0
2018-02-15,34.7307,34.93,34.65,1.0,35.36,35.24,2113455.0,0.0
2018-02-16,34.8293,35.29,35.235,1.0,35.74,35.34,1770418.0,0.0
2018-02-20,34.5533,35.14,34.935,1.0,35.4,35.06,2192403.0,0.0
2018-02-21,34.44,34.9,34.675,1.0,35.22,34.69,3343420.0,0.255
2018-02-22,34.5989,34.81,34.77,1.0,35.26,34.85,3053049.0,0.0
2018-02-23,35.1747,35.06,34.955,1.0,35.47,35.43,3180916.0,0.0
2018-02-26,35.1052,35.5,35.24,1.0,35.67,35.36,3041100.0,0.0
2018-02-27,34.996,35.46,35.25,1.0,35.82,35.25,2867300.0,0.0
2018-02-28,34.8471,35.42,35.1,1.0,35.71,35.1,2880556.0,0.0
2018-03-01,34.9463,35.21,34.9,1.0,35.56,35.2,4296464.0,0.0
2018-03-02,35.0655,35.2,34.985,1.0,35.39,35.32,2657112.0,0.0
2018-03-05,35.2839,35.11,35.045,1.0,35.67,35.54,2282959.0,0.0
2018-03-06,35.4626,35.64,35.35,1.0,35.735,35.72,1619412.0,0.0
2018-03-07,35.7009,35.59,35.5798,1.0,36.05,35.96,1899921.0,0.0
2018-03-08,35.8994,36.05,35.77,1.0,36.215,36.16,2113586.0,0.0
2018-03-09,36.8525,36.47,36.31,1.0,37.13,37.12,3278240.0,0.0
2018-03-12,36.5447,37.16,36.475,1.0,37.25,36.81,2886081.0,0.0
2018-03-13,36.0086,36.95,36.15,1.0,37.03,36.27,2873208.0,0.0
2018-03-14,35.5817,36.5,35.75,1.0,36.57,35.84,2375177.0,0.0
2018-03-15,35.4328,35.87,35.58,1.0,35.92,35.69,2161566.0,0.0
2018-03-16,35.5321,35.73,35.61,1.0,36.16,35.79,4016108.0,0.0
2018-03-19,35.125,35.64,35.09,1.0,35.79,35.38,1905907.0,0.0
2018-03-20,35.1449,35.41,35.255,1.0,35.81,35.4,2502889.0,0.0
2018-03-21,35.0555,35.42,35.2,1.0,35.68,35.31,2311032.0,0.0
2018-03-22,34.0627,33.11,33.11,1.0,35.08,34.31,2554943.0,0.0
2018-03-23,33.0005,34.32,33.23,1.0,34.45,33.24,2477019.0,0.0
2018-03-26,33.9039,33.71,33.56,1.0,34.2,34.15,2509725.0,0.0
2018-03-27,33.1891,34.55,33.24,1.0,34.58,33.43,2178803.0,0.0
2018-03-28,33.2387,33.52,33.28,1.0,33.75,33.48,2709086.0,0.0
2018-03-29,33.6557,33.68,33.39,1.0,34.17,33.9,2489463.0,0.0
2018-04-02,32.4643,33.72,32.45,1.0,33.85,32.7,3284507.0,0.0
