date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,144.2916,145.0,141.45,1.0,147.09,145.88,3331891.0,0.0
2018-02-07,145.9138,145.6,144.8931,1.0,149.64,147.52,3097694.0,0.0
2018-02-08,138.8614,147.65,140.31,1.0,148.02,140.39,2239538.0,0.0
2018-02-09,142.9464,141.66,140.09,1.0,145.59,144.52,3501373.0,0.0
2018-02-12,143.0355,144.98,142.48,1.0,146.28,144.61,2172263.0,0.0
2018-02-13,143.5399,143.76,143.36,1.0,145.52,145.12,1362247.0,0.0
2018-02-14,145.6863,144.5,143.8,1.0,147.36,147.29,1985382.0,0.0
2018-02-15,145.4687,147.72,146.28,1.0,148.58,147.07,1779725.0,0.0
2018-02-16,145.3994,146.7,146.05,1.0,148.1,147.0,1511243.0,0.0
2018-02-20,143.8564,146.89,144.54,1.0,147.66,145.44,1269385.0,0.0
2018-02-21,142.1551,145.53,143.67,1.0,146.74,143.72,1578239.0,0.0
2018-02-22,141.5122,144.0,142.72,1.0,145.285,143.07,1996686.0,0.0
2018-02-23,142.442,143.28,142.19,1.0,144.01,144.01,1317098.0,0.0
2018-02-26,144.5488,144.19,144.03,1.0,146.6462,146.14,1800520.0,0.0
2018-02-27,142.62,146.11,144.19,1.0,146.58,144.19,1737746.0,0.0
2018-02-28,140.3747,144.68,141.83,1.0,145.67,141.92,1307567.0,0.0
2018-03-01,138.2877,142.03,139.18,1.0,143.35,139.81,1377033.0,0.0
2018-03-02,138.3372,139.04,137.49,1.0,140.02,139.86,1784650.0,0.0
2018-03-05,140.0187,139.51,139.11,1.0,142.48,141.56,1357036.0,0.0
2018-03-06,140.3846,141.75,140.4,1.0,142.22,141.93,1176263.0,0.0
2018-03-07,139.1087,140.8,139.57,1.0,141.14,140.64,1462748.0,0.0
2018-03-08,140.3649,140.76,140.22,1.0,142.3277,141.91,1192741.0,0.0
2018-03-09,142.4321,142.73,141.18,1.0,144.0,144.0,1562854.0,0.0
2018-03-12,141.532,144.19,142.17,1.0,145.08,143.09,1141693.0,0.0
2018-03-13,140.3945,144.15,141.77,1.0,144.31,141.94,1293091.0,0.0
2018-03-14,139.2274,142.7,140.19,1.0,142.7,140.76,1344699.0,0.0
2018-03-15,139.5241,141.04,140.68,1.0,142.41,141.06,1372376.0,0.0
2018-03-16,139.445,141.17,140.23,1.0,142.54,140.98,2621297.0,0.0
2018-03-19,138.7724,140.81,139.47,1.0,141.5,140.3,1404363.0,0.0
2018-03-20,139.7813,140.85,139.63,1.0,142.0278,141.32,1161158.0,0.0
2018-03-21,138.7328,141.68,140.22,1.0,141.75,140.26,1068015.0,0.0
2018-03-22,136.1413,139.63,137.38,1.0,140.625,137.64,1542574.0,0.0
2018-03-23,133.1048,137.72,134.38,1.0,138.19,134.57,1913561.0,0.0
2018-03-26,135.5281,136.09,135.21,1.0,137.56,137.02,1429608.0,0.0
2018-03-27,135.2116,137.41,136.04,1.0,138.648,136.7,1621778.0,0.0
2018-03-28,137.4569,136.54,135.52,1.0,138.99,138.26,1599326.0,0.71
2018-03-29,135.9755,138.53,136.74,1.0,138.76,136.77,1664551.0,0.0
2018-04-02,132.5257,136.64,131.14,1.0,137.0,133.3,3329822.0,0.0
2018-04-03,134.2953,133.46,133.1,1.0,135.27,135.08,1588953.0,0.0
2018-04-04,135.3889,133.28,132.31,1.0,136.43,136.18,1565404.0,0.0
2018-04-05,134.9813,136.61,135.41,1.0,137.15,135.77,1573285.0,0.0
2018-04-06,133.3509,134.98,133.42,1.0,136.69,134.13,1721821.0,0.0
2018-04-09,133.3807,134.54,133.53,1.0,136.35,134.16,1115292.0,0.0
