date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,116.3352,125.57,108.0,1.0,125.68,116.94,7543775.0,0.0
2018-02-07,113.9725,111.01,111.01,1.0,116.09,114.565,4169278.0,0.0
2018-02-08,110.5751,114.41,111.07,1.0,114.88,111.15,2672770.0,0.0
2018-02-09,106.556,104.35,96.81,1.0,108.61,107.11,6806650.0,0.0
2018-02-12,110.1076,108.58,108.35,1.0,113.32,110.68,2545953.0,0.0
2018-02-13,111.6396,110.73,109.54,1.0,113.47,112.22,2376887.0,0.0
2018-02-14,114.4052,111.59,111.32,1.0,115.62,115.0,2322376.0,0.0
2018-02-15,116.8426,116.47,114.62,1.0,117.58,117.45,2026591.0,0.0
2018-02-16,110.8736,116.84,110.84,1.0,117.39,111.45,2782025.0,0.0
2018-02-20,110.2071,110.96,110.03,1.0,113.025,110.78,1698961.0,0.0
2018-02-21,110.7244,111.24,110.75,1.0,113.1,111.3,1387749.0,0.0
2018-02-22,109.3913,111.34,109.59,1.0,112.07,109.96,977501.0,0.0
2018-02-23,108.1876,110.11,108.27,1.0,110.12,108.75,2047646.0,0.0
2018-02-26,110.7542,108.94,108.86,1.0,111.96,111.33,1566033.0,0.0
2018-02-27,109.6201,110.94,110.16,1.0,111.93,110.19,1249890.0,0.0
2018-02-28,111.4307,110.99,110.58,1.0,113.49,112.01,1759341.0,0.0
2018-03-01,111.0527,111.63,111.07,1.0,112.73,111.36,2780233.0,0.27
2018-03-02,114.6826,111.03,110.7,1.0,116.37,115.0,1907402.0,0.0
2018-03-05,115.0316,114.51,113.12,1.0,116.57,115.35,1957395.0,0.0
2018-03-06,117.8439,115.35,115.16,1.0,119.2,118.17,2139407.0,0.0
2018-03-07,118.4622,117.6,117.22,1.0,119.1,118.79,1488372.0,0.0
2018-03-08,119.5591,119.39,118.9,1.0,120.65,119.89,1233568.0,0.0
2018-03-09,124.1963,120.22,120.18,1.0,124.55,124.54,1390869.0,0.0
2018-03-12,123.4783,124.17,123.06,1.0,124.54,123.82,1243056.0,0.0
2018-03-13,119.589,124.56,119.46,1.0,124.56,119.92,1131281.0,0.0
2018-03-14,118.9608,120.55,118.95,1.0,120.55,119.29,812022.0,0.0
2018-03-15,118.2826,119.29,117.64,1.0,119.42,118.61,926133.0,0.0
2018-03-16,118.891,118.95,117.81,1.0,119.76,119.22,1118362.0,0.0
2018-03-19,118.2029,119.2,117.22,1.0,120.45,118.53,1251719.0,0.0
2018-03-20,119.5691,118.6,117.99,1.0,121.55,119.9,1159241.0,0.0
2018-03-21,117.0062,116.22,116.0,1.0,118.503,117.33,1429189.0,0.0
2018-03-22,112.3092,116.52,112.41,1.0,117.2907,112.62,1035300.0,0.0
2018-03-23,111.4017,112.64,111.355,1.0,113.84,111.71,1021370.0,0.0
2018-03-26,114.2737,112.94,112.26,1.0,115.29,114.59,731490.0,0.0
2018-03-27,111.7507,114.54,111.13,1.0,114.93,112.06,1007723.0,0.0
2018-03-28,111.6011,112.06,111.47,1.0,113.52,111.91,814189.0,0.0
2018-03-29,113.7851,112.46,112.09,1.0,115.36,114.1,1472700.0,0.0
2018-04-02,112.1696,114.08,111.3,1.0,115.13,112.48,1105552.0,0.0
2018-04-03,110.6837,112.15,109.17,1.0,112.52,110.99,1894000.0,0.0
2018-04-04,110.9031,109.66,109.02,1.0,111.81,111.21,1661325.0,0.0
2018-04-05,111.292,112.39,111.085,1.0,112.81,111.6,1020678.0,0.0
2018-04-06,109.0382,110.26,108.47,1.0,111.06,109.34,1301934.0,0.0
2018-04-09,109.7263,109.87,109.73,1.0,112.05,110.03,931036.0,0.0
2018-04-10,109.9756,110.62,109.84,1.0,111.58,110.28,893832.0,0.0
2018-04-11,108.1507,109.67,108.03,1.0,109.75,108.45,1181691.0,0.0
2018-04-12,109.3673,108.92,108.22,1.0,110.65,109.67,675614.0,0.0
2018-04-13,108.051,109.95,108.049,1.0,110.04,108.35,894964.0,0.0
2018-04-16,108.5097,109.08,108.58,1.0,109.739,108.81,568177.0,0.0
2018-04-17,109.7862,109.63,109.1,1.0,110.32,110.09,763864.0,0.0
2018-04-18,109.0283,110.25,109.3,1.0,110.67,109.33,563537.0,0.0
2018-04-19,109.5767,108.99,108.8,1.0,110.4,109.88,988333.0,0.0
2018-04-20,109.856,110.19,109.64,1.0,110.89,110.16,562829.0,0.0
2018-04-23,107.6421,110.74,107.82,1.0,110.86,107.94,818906.0,0.0
2018-04-24,105.2587,108.49,105.48,1.0,108.88,105.55,1069893.0,0.0
2018-04-25,105.9767,105.26,104.33,1.0,106.59,106.27,1061114.0,0.0
2018-04-26,106.5751,106.44,104.82,1.0,107.71,106.87,964265.0,0.0
2018-04-27,105.8969,106.67,105.16,1.0,107.45,106.19,853568.0,0.0
2018-04-30,106.4853,106.61,106.61,1.0,108.3069,106.78,803775.0,0.0
2018-05-01,106.9939,106.39,105.89,1.0,107.4,107.29,919721.0,0.0
2018-05-02,106.4953,106.85,106.43,1.0,108.81,106.79,1904040.0,0.0
2018-05-03,105.159,106.68,104.54,1.0,107.0,105.45,1857003.0,0.0
2018-05-04,102.2071,108.5,101.89,1.0,108.5,102.49,2096835.0,0.0
2018-05-07,102.8753,102.42,101.9,1.0,104.15,103.16,1315301.0,0.0
2018-05-08,102.0875,102.1,102.0,1.0,103.52,102.37,1149614.0,0.0
2018-05-09,103.6232,102.57,102.15,1.0,104.91,103.91,1165034.0,0.0
2018-05-10,105.1191,104.27,103.78,1.0,105.74,105.41,846884.0,0.0
