date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,53.4381,53.1,52.8787,1.0,54.82,53.81,4335556.0,0.0
2018-02-07,53.0707,53.91,53.3,1.0,54.9,53.44,4054160.0,0.0
2018-02-08,51.442,53.55,51.74,1.0,53.97,51.8,4784724.0,0.0
2018-02-09,52.3954,52.08,50.63,1.0,53.24,52.76,4504251.0,0.0
2018-02-12,52.7926,53.19,52.72,1.0,53.59,53.16,4559325.0,0.0
2018-02-13,54.2922,53.03,52.98,1.0,54.7,54.67,4698684.0,0.0
2018-02-14,55.464,54.27,54.06,1.0,56.095,55.85,4106511.0,0.0
2018-02-15,56.3479,56.07,55.4401,1.0,57.07,56.74,5258167.0,0.0
2018-02-16,55.0072,57.0,55.02,1.0,57.48,55.39,5438644.0,0.0
2018-02-20,55.8613,55.21,55.1,1.0,56.76,56.25,3264909.0,0.0
2018-02-21,54.9973,55.85,55.32,1.0,56.24,55.38,2635569.0,0.0
2018-02-22,53.9446,55.74,54.19,1.0,56.055,54.32,2830821.0,0.0
2018-02-23,54.7391,54.69,54.24,1.0,55.2,55.12,2823509.0,0.0
2018-02-26,55.2952,55.25,54.725,1.0,55.82,55.68,1977186.0,0.0
2018-02-27,53.7758,55.6,54.13,1.0,56.08,54.15,2437046.0,0.0
2018-02-28,52.6039,54.19,52.95,1.0,54.44,52.97,3077894.0,0.0
2018-03-01,51.7499,53.05,51.65,1.0,53.16,52.11,2594559.0,0.0
2018-03-02,52.9515,51.9,51.77,1.0,53.44,53.32,3410997.0,0.0
2018-03-05,53.0409,53.1,53.0,1.0,53.8,53.41,2390342.0,0.0
2018-03-06,52.8621,53.46,52.065,1.0,53.75,53.23,3460589.0,0.0
2018-03-07,51.7499,52.89,51.8,1.0,53.07,52.11,3806027.0,0.0
2018-03-08,52.4748,52.0,52.0,1.0,52.745,52.66,2073444.0,0.18
2018-03-09,51.9965,52.89,50.54,1.0,53.2,52.18,8597635.0,0.0
2018-03-12,52.1061,52.28,52.1,1.0,52.84,52.29,8700448.0,0.0
2018-03-13,51.7175,52.45,51.73,1.0,52.7,51.9,5224160.0,0.0
2018-03-14,51.0897,51.78,51.08,1.0,52.12,51.27,3212624.0,0.0
2018-03-15,50.8605,51.45,50.63,1.0,51.78,51.04,2531306.0,0.0
2018-03-16,50.7708,51.14,50.93,1.0,51.7,50.95,5103782.0,0.0
2018-03-19,50.6313,50.96,50.14,1.0,51.26,50.81,3741040.0,0.0
2018-03-20,50.0833,50.91,50.08,1.0,51.0,50.26,2601063.0,0.0
2018-03-21,50.6911,50.25,50.11,1.0,51.22,50.87,2815177.0,0.0
2018-03-22,50.0833,50.49,50.23,1.0,50.94,50.26,2484498.0,0.0
2018-03-23,49.0968,50.39,49.24,1.0,50.95,49.27,2817457.0,0.0
2018-03-26,51.5082,49.86,49.61,1.0,51.76,51.69,4721249.0,0.0
2018-03-27,52.1659,52.02,51.63,1.0,52.8,52.35,4249077.0,0.0
2018-03-28,51.6976,52.43,51.65,1.0,53.43,51.88,3730243.0,0.0
2018-03-29,51.2093,51.9,50.65,1.0,52.08,51.39,4046088.0,0.0
2018-04-02,50.5317,51.4,50.325,1.0,51.51,50.71,3175222.0,0.0
2018-04-03,52.6741,51.69,51.09,1.0,53.01,52.86,5425411.0,0.0
2018-04-04,53.6009,51.92,51.59,1.0,53.89,53.79,6509032.0,0.0
2018-04-05,52.6941,53.7,52.53,1.0,53.87,52.88,6397705.0,0.0
2018-04-06,52.6542,52.64,52.15,1.0,53.31,52.84,3243094.0,0.0
2018-04-09,52.6642,52.98,52.6,1.0,53.27,52.85,2654273.0,0.0
2018-04-10,51.9367,53.09,52.08,1.0,53.21,52.12,3985517.0,0.0
2018-04-11,50.8306,51.74,50.17,1.0,52.34,51.01,6767605.0,0.0
2018-04-12,49.884,51.15,49.65,1.0,51.245,50.06,6522450.0,0.0
2018-04-13,49.8939,50.18,49.765,1.0,51.35,50.07,2951414.0,0.0
2018-04-16,50.721,50.33,49.88,1.0,51.16,50.9,3180953.0,0.0
2018-04-17,50.9602,51.07,50.54,1.0,51.595,51.14,2222071.0,0.0
2018-04-18,50.9901,51.31,51.15,1.0,51.85,51.17,1281275.0,0.0
2018-04-19,50.7708,51.26,50.93,1.0,51.99,50.95,2446930.0,0.0
2018-04-20,49.1565,51.0,49.04,1.0,51.02,49.33,4512591.0,0.0
2018-04-23,49.5352,49.36,49.22,1.0,50.03,49.71,2307733.0,0.0
2018-04-24,49.7744,49.95,49.58,1.0,50.59,49.95,2477684.0,0.0
2018-04-25,50.2427,49.94,49.69,1.0,50.82,50.42,2375919.0,0.0
