date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,106.4156,109.06,106.93,1.0,110.29,108.55,4233183.0,0.0
2018-02-07,106.6116,108.3,107.82,1.0,109.91,108.75,2970920.0,0.0
2018-02-08,101.7688,108.5,103.79,1.0,109.17,103.81,4295438.0,0.0
2018-02-09,101.8178,104.15,100.76,1.0,104.75,103.86,3664093.0,0.0
2018-02-12,103.0432,104.5,103.83,1.0,105.66,105.11,3296677.0,0.0
2018-02-13,104.2686,105.13,104.72,1.0,106.75,106.36,1867265.0,0.0
2018-02-14,103.2883,106.07,104.01,1.0,106.26,105.36,2909155.0,0.0
2018-02-15,105.5235,105.63,104.62,1.0,107.99,107.64,2654615.0,0.0
2018-02-16,106.9744,107.53,107.53,1.0,110.09,109.12,2751605.0,0.0
2018-02-20,106.4352,108.77,108.52,1.0,109.72,108.57,2474808.0,0.0
2018-02-21,104.6902,108.76,106.74,1.0,109.26,106.79,2441834.0,0.0
2018-02-22,106.3273,107.39,106.9,1.0,109.51,108.46,2292683.0,0.0
2018-02-23,108.2684,108.79,108.445,1.0,110.44,110.44,1707771.0,0.0
2018-02-26,109.3468,110.57,109.85,1.0,111.56,111.54,1666855.0,0.0
2018-02-27,108.19,111.41,108.6,1.0,111.78,110.36,3275423.0,0.0
2018-02-28,107.8959,110.51,109.93,1.0,112.13,110.06,3350626.0,0.0
2018-03-01,103.9843,108.1,105.42,1.0,108.5,106.07,6252305.0,0.0
2018-03-02,102.504,105.25,103.65,1.0,105.69,104.56,3842742.0,0.0
2018-03-05,105.6019,104.02,104.02,1.0,107.99,107.72,2935853.0,0.0
2018-03-06,105.6117,107.61,107.34,1.0,108.93,107.73,2326663.0,0.0
2018-03-07,105.4843,106.93,106.93,1.0,108.1,107.6,2197670.0,0.0
2018-03-08,108.0723,108.58,107.9,1.0,110.6097,110.24,4051924.0,0.0
2018-03-09,108.8076,110.65,110.11,1.0,110.99,110.99,3950238.0,0.0
2018-03-12,109.1997,110.77,110.77,1.0,112.04,111.39,3419108.0,0.0
2018-03-13,109.4644,111.3,111.12,1.0,112.16,111.66,3020047.0,0.0
2018-03-14,109.8762,111.81,111.43,1.0,112.34,112.08,2412720.0,0.0
2018-03-15,108.4841,111.09,109.47,1.0,111.66,109.61,2913807.0,1.05
2018-03-16,107.9595,109.25,107.99,1.0,109.9715,109.08,5213670.0,0.0
2018-03-19,107.0787,108.98,107.4,1.0,109.06,108.19,2520265.0,0.0
2018-03-20,107.7517,108.35,108.32,1.0,110.03,108.87,3488405.0,0.0
2018-03-21,106.4848,109.22,107.29,1.0,109.51,107.59,1819174.0,0.0
2018-03-22,107.8309,107.28,107.14,1.0,110.195,108.95,3445775.0,0.0
2018-03-23,108.5336,109.72,109.47,1.0,110.89,109.66,4831364.0,0.0
2018-03-26,110.1864,110.53,110.08,1.0,111.53,111.33,2527847.0,0.0
2018-03-27,109.5332,111.43,110.24,1.0,112.25,110.67,2241895.0,0.0
2018-03-28,109.741,110.83,110.72,1.0,112.32,110.88,2014051.0,0.0
2018-03-29,108.4841,110.97,108.98,1.0,111.47,109.61,3418254.0,0.0
2018-04-02,107.6824,109.59,108.07,1.0,110.44,108.8,2733826.0,0.0
2018-04-03,106.2869,109.05,106.475,1.0,109.19,107.39,3879800.0,0.0
2018-04-04,107.7913,106.94,106.94,1.0,109.12,108.91,3047356.0,0.0
2018-04-05,108.6721,109.0,108.52,1.0,110.33,109.8,2773858.0,0.0
2018-04-06,106.9005,109.85,107.88,1.0,110.32,108.01,2273304.0,0.0
2018-04-09,107.7418,108.17,107.92,1.0,110.035,108.86,2418212.0,0.0
2018-04-10,102.5754,109.48,101.69,1.0,109.83,103.64,5920034.0,0.0
2018-04-11,103.7829,102.87,102.57,1.0,106.35,104.86,2665853.0,0.0
2018-04-12,102.7932,105.2,103.12,1.0,105.29,103.86,2088470.0,0.0
2018-04-13,102.6942,104.36,103.13,1.0,105.01,103.76,1393207.0,0.0
2018-04-16,103.2583,104.3,103.71,1.0,105.06,104.33,1738866.0,0.0
2018-04-17,105.0497,104.92,104.32,1.0,107.06,106.14,3159859.0,0.0
2018-04-18,105.4951,105.99,105.45,1.0,107.52,106.59,2084529.0,0.0
2018-04-19,101.5857,105.1,101.52,1.0,105.565,102.64,4308821.0,0.0
2018-04-20,101.5659,102.87,102.45,1.0,104.85,102.62,3004549.0,0.0
2018-04-23,103.872,103.28,102.97,1.0,105.03,104.95,3117396.0,0.0
2018-04-24,104.2678,105.4,104.79,1.0,106.41,105.35,3866615.0,0.0
2018-04-25,104.1194,104.98,104.64,1.0,105.37,105.2,1962249.0,0.0
2018-04-26,104.0204,105.22,104.75,1.0,105.885,105.1,3342301.0,0.0
2018-04-27,100.2693,102.92,100.5,1.0,103.12,101.31,4451614.0,0.0
2018-04-30,99.8339,99.99,98.85,1.0,103.78,100.87,6689277.0,0.0
2018-05-01,99.824,101.25,99.77,1.0,101.71,100.86,3706482.0,0.0
2018-05-02,99.7844,100.44,100.43,1.0,102.07,100.82,3714032.0,0.0
2018-05-03,100.5267,100.87,100.26,1.0,102.1,101.57,2083726.0,0.0
2018-05-04,102.2488,101.51,101.51,1.0,103.995,103.31,1861705.0,0.0
2018-05-07,101.5065,103.24,101.9,1.0,103.94,102.56,1675607.0,0.0
2018-05-08,101.6847,102.12,101.56,1.0,102.79,102.74,2732494.0,0.0
2018-05-09,102.7239,103.0,102.19,1.0,103.84,103.79,2456035.0,0.0
2018-05-10,103.8423,104.0,103.89,1.0,105.98,104.92,2175768.0,0.0
2018-05-11,102.5457,105.0,103.23,1.0,105.66,103.61,1476119.0,0.0
2018-05-14,102.229,103.68,102.54,1.0,103.99,103.29,1276852.0,0.0
2018-05-15,102.2191,102.79,101.71,1.0,103.33,103.28,2942708.0,0.0
2018-05-16,101.9321,103.08,102.51,1.0,103.44,102.99,1699598.0,0.0
2018-05-17,100.8632,103.13,101.49,1.0,103.179,101.91,1964613.0,0.0
2018-05-18,101.1799,101.92,101.6103,1.0,103.2,102.23,1983045.0,0.0
2018-05-21,101.0512,102.85,101.34,1.0,102.895,102.1,1610176.0,0.0
2018-05-22,100.6751,102.01,101.11,1.0,102.11,101.72,2585103.0,0.0
2018-05-23,101.1106,101.71,101.31,1.0,102.3258,102.16,1052755.0,0.0
2018-05-24,100.8038,102.29,101.44,1.0,102.55,101.85,1553224.0,0.0
2018-05-25,101.6847,102.0,101.9,1.0,103.26,102.74,1427365.0,0.0
2018-05-29,102.3973,102.5,102.45,1.0,104.1,103.46,2609866.0,0.0
2018-05-30,102.9515,103.37,103.02,1.0,104.44,104.02,1348085.0,0.0
2018-05-31,103.0802,103.57,102.95,1.0,104.29,104.15,3124243.0,0.0
2018-06-01,102.7338,104.3,102.81,1.0,104.3,103.8,1335410.0,0.0
2018-06-04,103.2682,104.39,103.58,1.0,104.99,104.34,2445056.0,0.0
2018-06-05,102.0904,104.37,102.8,1.0,104.48,103.15,2849947.0,0.0
2018-06-06,101.8331,103.11,101.9,1.0,103.32,102.89,2206542.0,0.0
2018-06-07,101.4273,103.18,101.87,1.0,103.3,102.48,1739872.0,0.0
2018-06-08,101.9816,102.71,102.06,1.0,103.2,103.04,2840601.0,0.0
2018-06-11,102.2686,102.96,102.7801,1.0,104.22,103.33,1941154.0,0.0
2018-06-12,103.6047,103.17,102.51,1.0,104.71,104.68,2966611.0,0.0
2018-06-13,100.0318,104.43,100.93,1.0,104.59,101.07,2606081.0,0.0
2018-06-14,101.17,99.99,99.99,1.0,101.94,101.17,3432962.0,1.05
2018-06-15,101.09,101.52,100.74,1.0,102.29,101.09,3324226.0,0.0
2018-06-18,100.96,100.74,100.41,1.0,101.12,100.96,2242034.0,0.0
