date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,68.2837,67.43,66.77,1.0,69.45,69.27,4472150.0,0.0
2018-02-07,68.1359,68.61,68.38,1.0,69.954,69.12,3122312.0,0.0
2018-02-08,65.8095,69.59,66.75,1.0,69.6,66.76,3679009.0,0.0
2018-02-09,66.115,67.3,64.801,1.0,67.62,67.07,5179102.0,0.0
2018-02-12,67.7908,67.57,67.56,1.0,68.95,68.77,3141417.0,0.0
2018-02-13,67.7711,68.61,68.23,1.0,69.07,68.75,2051565.0,0.0
2018-02-14,68.9245,68.27,68.09,1.0,70.07,69.92,2738592.0,0.0
2018-02-15,68.609,69.9,69.19,1.0,70.09,69.6,2499482.0,0.0
2018-02-16,68.5104,69.16,68.55,1.0,69.89,69.5,2283828.0,0.0
2018-02-20,68.4612,69.33,69.04,1.0,69.98,69.45,1866404.0,0.0
2018-02-21,68.5893,70.07,69.51,1.0,70.56,69.58,2914009.0,0.0
2018-02-22,67.6725,69.24,68.09,1.0,69.34,68.2,2454982.0,0.45
2018-02-23,68.2282,68.43,68.23,1.0,68.78,68.76,2025527.0,0.0
2018-02-26,68.1091,68.75,68.5,1.0,68.98,68.64,1643588.0,0.0
2018-02-27,66.968,68.74,67.48,1.0,68.8,67.49,3027680.0,0.0
2018-02-28,66.3925,67.85,66.9,1.0,68.09,66.91,3175760.0,0.0
2018-03-01,65.4697,66.61,65.67,1.0,67.3,65.98,2797450.0,0.0
2018-03-02,64.4675,65.71,64.52,1.0,65.79,64.97,3749460.0,0.0
2018-03-05,64.6858,65.13,64.815,1.0,65.85,65.19,3380750.0,0.0
2018-03-06,65.6384,65.6,65.1,1.0,66.15,66.15,2972082.0,0.0
2018-03-07,65.4995,65.84,65.13,1.0,66.08,66.01,2245902.0,0.0
2018-03-08,66.2139,66.45,66.38,1.0,66.97,66.73,2095528.0,0.0
2018-03-09,66.9482,67.0,66.72,1.0,67.51,67.47,2465357.0,0.0
2018-03-12,66.839,67.58,67.12,1.0,67.75,67.36,1926656.0,0.0
2018-03-13,67.0474,67.71,67.44,1.0,68.295,67.57,2222061.0,0.0
2018-03-14,66.4421,67.67,66.78,1.0,67.73,66.96,2151198.0,0.0
2018-03-15,66.2139,67.22,66.6808,1.0,67.335,66.73,2373526.0,0.0
2018-03-16,66.3925,66.82,66.3299,1.0,67.07,66.91,3790168.0,0.0
2018-03-19,67.107,67.17,66.98,1.0,68.0,67.63,3467056.0,0.0
2018-03-20,67.3253,68.01,67.71,1.0,68.95,67.85,4194999.0,0.0
