date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,39.58,38.73,37.78,1.0,39.66,39.58,3801636.0,0.0
2018-02-07,38.57,37.91,37.61,1.0,39.715,38.57,2701545.0,0.0
2018-02-08,36.82,38.48,36.79,1.0,38.4978,36.82,2997886.0,0.0
2018-02-09,37.68,37.33,36.23,1.0,38.02,37.68,2942433.0,0.0
2018-02-12,38.6,37.95,37.93,1.0,38.835,38.6,2402498.0,0.0
2018-02-13,37.9,39.13,37.54,1.0,39.13,37.9,2304832.0,0.0
2018-02-14,38.63,37.55,37.42,1.0,38.72,38.63,2681650.0,0.0
2018-02-15,39.07,38.78,38.3,1.0,39.21,39.07,2460301.0,0.0
2018-02-16,39.16,39.11,38.8101,1.0,39.46,39.16,1780186.0,0.0
2018-02-20,40.17,38.91,38.9,1.0,40.31,40.17,3094448.0,0.0
2018-02-21,39.26,40.18,39.255,1.0,40.34,39.26,2144707.0,0.0
2018-02-22,38.8,39.42,38.61,1.0,39.75,38.8,2609489.0,0.0
2018-02-23,39.74,39.04,39.04,1.0,39.76,39.74,1533685.0,0.0
2018-02-26,39.89,39.83,39.645,1.0,40.11,39.89,1653578.0,0.0
2018-02-27,39.39,40.01,39.39,1.0,40.1,39.39,1641147.0,0.0
2018-02-28,38.77,39.64,38.76,1.0,39.94,38.77,2604510.0,0.0
2018-03-01,38.23,38.84,37.91,1.0,39.02,38.23,3311587.0,0.0
2018-03-02,39.29,37.89,37.8,1.0,39.37,39.29,2336970.0,0.0
2018-03-05,39.5,38.95,38.73,1.0,39.8199,39.5,2222596.0,0.0
2018-03-06,38.98,39.51,38.86,1.0,39.57,38.98,2507614.0,0.0
2018-03-07,39.37,38.8,38.735,1.0,39.63,39.37,1940945.0,0.0
2018-03-08,39.3,39.38,39.06,1.0,39.81,39.3,3404621.0,0.0
2018-03-09,39.68,39.65,38.76,1.0,39.8,39.68,2503583.0,0.0
2018-03-12,39.7,39.83,39.61,1.0,40.05,39.7,3465065.0,0.0
2018-03-13,39.17,39.96,39.03,1.0,40.3,39.17,2272472.0,0.0
2018-03-14,38.83,39.25,38.67,1.0,39.54,38.83,2011477.0,0.0
2018-03-15,39.08,38.75,38.75,1.0,39.39,39.08,2001055.0,0.0
2018-03-16,38.59,39.21,38.41,1.0,39.33,38.59,6161594.0,0.0
