date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,96.25,93.03,92.85,1.0,96.55,96.25,9806803.0,0.0
2018-02-07,95.16,95.86,94.53,1.0,96.75,95.16,7249110.0,0.0
2018-02-08,91.02,95.28,90.98,1.0,95.48,91.02,6581417.0,0.0
2018-02-09,92.51,91.92,88.32,1.0,94.135,92.51,10465217.0,0.0
2018-02-12,91.51,93.23,91.1,1.0,93.8,91.51,6615844.0,0.0
2018-02-13,91.98,91.62,90.72,1.0,92.45,91.98,7778721.0,0.0
2018-02-14,94.39,92.08,91.9,1.0,94.6961,94.39,6909175.0,0.0
2018-02-15,96.14,95.33,95.0,1.0,97.43,96.14,7448737.0,0.0
2018-02-16,95.26,96.01,95.24,1.0,96.8,95.26,5663741.0,0.0
2018-02-20,93.85,94.79,93.461,1.0,95.4,93.85,4728819.0,0.0
2018-02-21,93.89,93.9,93.8,1.0,95.72,93.89,4113423.0,0.0
2018-02-22,93.78,94.31,93.71,1.0,95.55,93.78,4440778.0,0.0
2018-02-23,95.61,94.54,93.9435,1.0,95.66,95.61,3920356.0,0.0
2018-02-26,96.49,95.98,95.3204,1.0,96.71,96.49,4929307.0,0.0
2018-02-27,95.78,96.25,95.63,1.0,96.95,95.78,5407866.0,0.0
2018-02-28,87.12,89.96,87.11,1.0,91.75,87.12,27781162.0,0.0
2018-03-01,87.19,87.39,87.0,1.0,89.4171,87.19,11984078.0,0.0
2018-03-02,89.33,86.95,86.55,1.0,89.93,89.33,8720716.0,0.0
2018-03-05,89.04,88.76,87.7,1.0,89.81,89.04,8188770.0,0.0
2018-03-06,89.17,89.59,88.3714,1.0,89.75,89.17,5373843.0,0.0
2018-03-07,90.22,88.59,88.46,1.0,90.7,90.22,6554781.0,0.0
2018-03-08,91.19,90.54,90.17,1.0,91.45,91.19,5381508.0,0.0
2018-03-09,92.555,91.79,90.75,1.0,92.57,92.555,5996611.0,0.0
2018-03-12,92.28,92.55,91.43,1.0,93.09,92.28,8315308.0,0.0
2018-03-13,91.56,92.55,91.27,1.0,93.57,91.56,5166529.0,0.0
2018-03-14,91.61,92.23,91.395,1.0,93.34,91.61,6719665.0,0.0
2018-03-15,89.91,91.62,89.91,1.0,92.0,89.91,5827227.0,0.0
