date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,63.99,62.7,61.2265,1.0,64.26,63.99,4950572.0,0.0
2018-02-07,63.48,62.49,61.53,1.0,64.57,63.48,6060798.0,0.0
2018-02-08,61.22,63.27,61.18,1.0,63.49,61.22,2851672.0,0.0
2018-02-09,61.31,61.56,59.75,1.0,62.23,61.31,3400939.0,0.0
2018-02-12,62.49,61.68,61.27,1.0,63.11,62.49,2684521.0,0.0
2018-02-13,62.49,62.03,60.795,1.0,62.795,62.49,2428430.0,0.0
2018-02-14,62.22,62.2,61.93,1.0,62.9,62.22,2823216.0,0.0
2018-02-15,64.4,62.7,62.15,1.0,64.44,64.4,2217766.0,0.0
2018-02-16,64.22,64.4,63.99,1.0,64.83,64.22,1683532.0,0.0
2018-02-20,63.0,63.99,62.9256,1.0,64.5,63.0,1467623.0,0.0
2018-02-21,63.37,63.07,62.98,1.0,64.48,63.37,1441300.0,0.0
2018-02-22,62.91,63.41,62.73,1.0,64.12,62.91,1294389.0,0.0
2018-02-23,64.53,63.23,62.83,1.0,64.54,64.53,1518111.0,0.0
2018-02-26,64.25,64.68,63.99,1.0,65.0,64.25,1441708.0,0.0
2018-02-27,63.95,64.54,63.95,1.0,65.42,63.95,2575088.0,0.0
2018-02-28,64.16,64.29,64.05,1.0,65.17,64.16,2314302.0,0.0
2018-03-01,62.37,64.27,61.991,1.0,64.83,62.37,2506022.0,0.0
2018-03-02,62.94,62.14,62.1,1.0,63.29,62.94,4135381.0,0.0
2018-03-05,64.33,62.76,62.55,1.0,64.52,64.33,3450982.0,0.0
2018-03-06,64.98,64.64,64.42,1.0,65.05,64.98,2632056.0,0.0
2018-03-07,65.04,64.7,64.042,1.0,65.28,65.04,1986866.0,0.0
2018-03-08,63.66,64.99,63.395,1.0,65.13,63.66,2553833.0,0.0
2018-03-09,64.91,64.01,63.77,1.0,64.98,64.91,1728972.0,0.0
2018-03-12,64.64,64.92,64.45,1.0,65.07,64.64,1475228.0,0.0
2018-03-13,63.05,64.15,62.55,1.0,64.95,63.05,2033149.0,0.0
2018-03-14,62.04,63.0,61.65,1.0,63.22,62.04,3700195.0,0.0
2018-03-15,61.78,62.16,61.4,1.0,62.27,61.78,2212106.0,0.0
2018-03-16,61.26,61.89,60.69,1.0,62.17,61.26,3961760.0,0.0
2018-03-19,60.39,60.86,59.69,1.0,61.03,60.39,2930546.0,0.0
2018-03-20,59.44,60.55,59.32,1.0,60.81,59.44,3547513.0,0.0
2018-03-21,59.86,59.61,59.51,1.0,60.76,59.86,3877130.0,0.0
2018-03-22,57.47,58.48,57.44,1.0,59.47,57.47,2373797.0,0.0
2018-03-23,56.51,57.57,56.49,1.0,58.21,56.51,2308296.0,0.0
2018-03-26,57.77,57.2,56.65,1.0,57.81,57.77,2708726.0,0.0
2018-03-27,57.65,58.13,57.16,1.0,58.41,57.65,4014796.0,0.0
2018-03-28,58.64,57.87,57.87,1.0,59.05,58.64,4876259.0,0.0
2018-03-29,58.0,58.28,57.85,1.0,58.93,58.0,4517026.0,0.0
2018-04-02,57.1,57.48,56.01,1.0,58.05,57.1,4450042.0,0.0
2018-04-03,56.64,57.38,55.29,1.0,57.5204,56.64,6743474.0,0.0
2018-04-04,57.71,56.31,56.14,1.0,57.88,57.71,3625602.0,0.0
2018-04-05,58.12,57.94,57.635,1.0,58.435,58.12,3294548.0,0.0
2018-04-06,56.42,57.79,56.15,1.0,58.03,56.42,2983674.0,0.0
2018-04-09,56.57,56.86,56.54,1.0,57.37,56.57,3362919.0,0.0
2018-04-10,56.74,57.12,56.465,1.0,57.38,56.74,2460666.0,0.0
2018-04-11,56.88,56.18,56.16,1.0,57.43,56.88,2572437.0,0.0
2018-04-12,57.17,57.2,56.74,1.0,57.405,57.17,1618019.0,0.0
2018-04-13,56.91,57.56,56.56,1.0,57.56,56.91,1708724.0,0.0
2018-04-16,57.94,57.3,56.98,1.0,58.19,57.94,1875731.0,0.0
2018-04-17,59.04,58.49,57.821,1.0,59.31,59.04,3198810.0,0.0
2018-04-18,59.29,59.33,58.98,1.0,59.45,59.29,1847770.0,0.0
2018-04-19,58.92,58.95,58.47,1.0,59.21,58.92,2023685.0,0.0
2018-04-20,58.23,58.69,58.14,1.0,58.98,58.23,2332680.0,0.0
2018-04-23,58.56,59.4,58.075,1.0,59.44,58.56,2327468.0,0.0
2018-04-24,57.94,58.87,57.4,1.0,59.0,57.94,2386890.0,0.0
2018-04-25,58.34,57.75,57.35,1.0,58.41,58.34,1743143.0,0.0
