date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,89.8319,88.98,88.0368,1.0,91.38,90.77,2401737.0,0.0
2018-02-07,91.6133,90.47,90.47,1.0,93.645,92.57,2060819.0,0.0
2018-02-08,89.535,92.67,90.47,1.0,93.14,90.47,1503178.0,0.0
2018-02-09,88.4266,90.84,87.161,1.0,91.26,89.35,2478959.0,0.0
2018-02-12,90.2377,89.9,89.36,1.0,91.33,91.18,1355713.0,0.0
2018-02-13,91.7618,90.77,90.4,1.0,93.25,92.72,1161219.0,0.0
2018-02-14,91.4748,90.72,90.04,1.0,93.22,92.43,1478434.0,0.0
2018-02-15,91.9894,92.54,91.44,1.0,92.95,92.95,1380755.0,0.0
2018-02-16,91.6628,92.88,92.33,1.0,93.51,92.62,850599.0,0.0
2018-02-20,89.0402,92.5,89.64,1.0,92.96,89.97,1190495.0,0.0
2018-02-21,89.248,90.01,90.01,1.0,91.565,90.18,1210211.0,0.0
2018-02-22,89.1589,90.61,89.86,1.0,91.07,90.09,976407.0,0.0
2018-02-23,91.6727,90.32,90.151,1.0,92.67,92.63,977840.0,0.0
2018-02-26,93.652,93.0,92.415,1.0,94.67,94.63,844840.0,0.0
2018-02-27,92.504,94.81,93.46,1.0,95.67,93.47,1146169.0,0.0
2018-02-28,92.3951,93.72,92.99,1.0,94.69,93.36,1553956.0,0.0
2018-03-01,89.2282,92.71,89.54,1.0,93.19,89.7,1863346.0,0.46
2018-03-02,89.0392,88.54,88.15,1.0,89.95,89.51,1418570.0,0.0
2018-03-05,89.3078,89.21,87.75,1.0,89.97,89.78,1303700.0,0.0
2018-03-06,89.5167,90.17,89.64,1.0,90.84,89.99,941156.0,0.0
2018-03-07,89.5366,89.11,87.95,1.0,90.23,90.01,1183496.0,0.0
2018-03-08,89.1287,90.13,89.24,1.0,90.38,89.6,887285.0,0.0
2018-03-09,91.2575,90.01,89.26,1.0,91.79,91.74,1617535.0,0.0
2018-03-12,90.5512,92.04,90.7,1.0,92.51,91.03,783042.0,0.0
2018-03-13,91.2276,91.41,90.955,1.0,92.27,91.71,935088.0,0.0
2018-03-14,89.268,91.76,89.59,1.0,91.81,89.74,945014.0,0.0
2018-03-15,89.8052,89.98,89.7,1.0,90.73,90.28,744552.0,0.0
2018-03-16,91.6554,90.61,90.08,1.0,92.45,92.14,1732534.0,0.0
2018-03-19,92.1428,92.12,91.86,1.0,94.06,92.63,1253578.0,0.0
2018-03-20,92.5805,92.87,92.05,1.0,93.63,93.07,708432.0,0.0
2018-03-21,93.1276,93.1,93.04,1.0,94.43,93.62,893526.0,0.0
2018-03-22,92.1727,92.88,91.21,1.0,93.95,92.66,1215057.0,0.0
2018-03-23,90.3821,92.58,90.79,1.0,93.32,90.86,1481615.0,0.0
2018-03-26,92.2721,91.94,91.685,1.0,93.05,92.76,923919.0,0.0
2018-03-27,91.0784,92.93,91.25,1.0,93.71,91.56,931797.0,0.0
2018-03-28,91.2078,91.76,90.655,1.0,92.2,91.69,847195.0,0.0
2018-03-29,93.2171,91.88,91.88,1.0,94.13,93.71,1333236.0,0.0
2018-04-02,91.7449,93.53,91.63,1.0,93.69,92.23,1614137.0,0.0
2018-04-03,93.1375,92.6,92.2,1.0,93.68,93.63,1298477.0,0.0
2018-04-04,93.8637,92.58,92.43,1.0,94.58,94.36,1114916.0,0.0
2018-04-05,92.7993,94.96,92.24,1.0,94.98,93.29,1688406.0,0.0
2018-04-06,90.0041,92.76,89.76,1.0,93.1,90.48,1507323.0,0.0
2018-04-09,91.0884,90.63,90.45,1.0,92.49,91.57,1083152.0,0.0
2018-04-10,93.625,92.87,92.7,1.0,94.38,94.12,1655616.0,0.0
2018-04-11,93.4559,93.65,93.13,1.0,94.28,93.95,728779.0,0.0
2018-04-12,94.9082,94.24,94.15,1.0,96.31,95.41,1218676.0,0.0
2018-04-13,93.7742,95.43,93.88,1.0,95.99,94.27,1290330.0,0.0
2018-04-16,97.1066,97.05,96.03,1.0,98.66,97.62,2290926.0,0.0
2018-04-17,95.5249,98.34,95.22,1.0,98.5,96.03,1794318.0,0.0
2018-04-18,94.4407,96.58,94.94,1.0,96.58,94.94,1834730.0,0.0
2018-04-19,93.7941,94.49,94.0801,1.0,95.32,94.29,2094791.0,0.0
2018-04-20,93.1873,94.62,93.17,1.0,94.63,93.68,1151516.0,0.0
2018-04-23,93.2171,93.51,93.02,1.0,94.36,93.71,1047971.0,0.0
2018-04-24,91.8742,94.24,91.5,1.0,94.55,92.36,1267365.0,0.0
2018-04-25,92.103,92.55,92.16,1.0,93.115,92.59,1180025.0,0.0
2018-04-26,90.8397,93.07,90.29,1.0,93.325,91.32,1882355.0,0.0
2018-04-27,91.5161,91.28,90.76,1.0,92.16,92.0,972789.0,0.0
2018-04-30,91.546,92.09,91.81,1.0,92.74,92.03,1455982.0,0.0
2018-05-01,90.1732,92.04,90.13,1.0,92.185,90.65,1660082.0,0.0
2018-05-02,82.464,84.5,82.49,1.0,86.65,82.9,4962308.0,0.0
2018-05-03,82.1656,82.38,80.83,1.0,83.83,82.6,2740426.0,0.0
