date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,39.4461,38.92,38.5,1.0,39.8,39.67,45331594.0,0.0
2018-02-07,39.9234,39.5,39.37,1.0,40.4153,40.15,30929914.0,0.0
2018-02-08,37.9744,39.9,38.15,1.0,40.16,38.19,27950557.0,0.0
2018-02-09,38.3523,38.37,37.43,1.0,38.99,38.57,31157715.0,0.0
2018-02-12,38.3225,38.6,38.265,1.0,39.0699,38.54,30058674.0,0.0
2018-02-13,38.7401,38.16,38.1,1.0,39.17,38.96,16929924.0,0.0
2018-02-14,39.2074,38.82,38.5,1.0,39.62,39.43,21210689.0,0.0
2018-02-15,39.8538,39.76,39.26,1.0,40.12,40.08,20214222.0,0.0
2018-02-16,39.5654,39.99,39.69,1.0,40.42,39.79,21507181.0,0.0
2018-02-20,39.2472,39.54,39.04,1.0,39.69,39.47,16960531.0,0.0
2018-02-21,38.7898,39.45,39.0,1.0,39.84,39.01,13907780.0,0.0
2018-02-22,38.581,39.06,38.57,1.0,39.57,38.8,17664873.0,0.0
2018-02-23,39.277,39.15,38.91,1.0,39.65,39.5,16217289.0,0.0
2018-02-26,39.3566,39.53,39.37,1.0,39.74,39.58,13490098.0,0.0
2018-02-27,36.4531,38.0,36.59,1.0,38.2,36.66,68651933.0,0.0
2018-02-28,36.0056,36.9,35.75,1.0,37.075,36.21,68421940.0,0.0
2018-03-01,36.3337,36.44,36.2,1.0,36.869,36.54,34517640.0,0.0
2018-03-02,36.284,36.25,36.06,1.0,36.58,36.49,28854894.0,0.0
2018-03-05,36.5724,36.41,36.145,1.0,37.105,36.78,29259414.0,0.0
2018-03-06,36.6619,37.08,36.385,1.0,37.09,36.87,19795198.0,0.0
2018-03-07,35.9161,36.82,36.03,1.0,36.82,36.12,25136540.0,0.0
2018-03-08,36.6718,36.37,36.11,1.0,37.01,36.88,22524262.0,0.0
2018-03-09,36.9204,37.0,36.5,1.0,37.14,37.13,23395311.0,0.0
2018-03-12,36.7514,37.09,36.87,1.0,37.215,36.96,17397480.0,0.0
2018-03-13,36.2244,36.99,36.22,1.0,37.11,36.43,20335101.0,0.0
2018-03-14,35.8167,36.45,35.96,1.0,36.55,36.02,23342057.0,0.0
2018-03-15,35.9459,36.0,35.9,1.0,36.31,36.15,21791093.0,0.0
