date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,41.499,42.31,41.07,1.0,42.48,42.16,5288141.0,0.0
2018-02-07,41.499,42.18,42.07,1.0,42.75,42.16,3428170.0,0.0
2018-02-08,41.1151,42.01,41.71,1.0,42.65,41.77,5545028.0,0.0
2018-02-09,42.1191,41.86,40.48,1.0,43.12,42.79,5893354.0,0.0
2018-02-12,42.2077,42.84,42.42,1.0,43.13,42.88,2638592.0,0.0
2018-02-13,42.375,42.72,42.36,1.0,43.21,43.05,3039037.0,0.0
2018-02-14,42.2273,42.92,42.37,1.0,43.31,42.9,4997599.0,0.0
2018-02-15,43.4061,42.87,42.68,1.0,43.77,43.74,3668741.0,0.3575
2018-02-16,43.8626,43.8,43.62,1.0,44.38,44.2,2919068.0,0.0
2018-02-20,43.029,44.08,43.24,1.0,44.3686,43.36,2087519.0,0.0
2018-02-21,42.6916,43.39,43.0,1.0,43.96,43.02,3739199.0,0.0
2018-02-22,42.6816,43.14,42.86,1.0,43.4,43.01,2315547.0,0.0
2018-02-23,43.5252,43.08,43.0,1.0,43.88,43.86,3664178.0,0.0
2018-02-26,43.4358,44.23,43.65,1.0,44.32,43.77,2983549.0,0.0
2018-02-27,42.4236,43.95,42.75,1.0,43.95,42.75,3161375.0,0.0
2018-02-28,42.1259,42.8,42.45,1.0,42.95,42.45,3257073.0,0.0
2018-03-01,42.0366,42.49,41.98,1.0,43.01,42.36,3146565.0,0.0
2018-03-02,42.2649,42.38,42.22,1.0,42.82,42.59,4251277.0,0.0
2018-03-05,42.9595,42.58,42.45,1.0,43.445,43.29,3345227.0,0.0
2018-03-06,42.3641,43.23,42.505,1.0,43.23,42.69,2587364.0,0.0
2018-03-07,42.1656,42.66,42.26,1.0,42.81,42.49,2384893.0,0.0
2018-03-08,42.2351,42.5,42.425,1.0,42.73,42.56,2103349.0,0.0
2018-03-09,42.5328,42.57,42.51,1.0,42.87,42.86,2102243.0,0.0
2018-03-12,42.761,42.93,42.86,1.0,43.22,43.09,2701327.0,0.0
2018-03-13,42.632,43.21,42.78,1.0,43.37,42.96,1804962.0,0.0
2018-03-14,42.9893,43.07,43.01,1.0,43.48,43.32,1959147.0,0.0
2018-03-15,43.3763,43.33,43.28,1.0,43.86,43.71,3315559.0,0.0
2018-03-16,43.9419,43.83,43.68,1.0,44.41,44.28,9159618.0,0.0
2018-03-19,43.6442,44.26,43.69,1.0,44.39,43.98,3059179.0,0.0
2018-03-20,43.6542,44.0,43.81,1.0,44.21,43.99,2108007.0,0.0
2018-03-21,43.4755,44.02,43.65,1.0,44.399,43.81,2250361.0,0.0
2018-03-22,43.6145,43.76,43.76,1.0,44.74,43.95,3015792.0,0.0
2018-03-23,42.9198,43.79,43.15,1.0,44.37,43.25,2474201.0,0.0
2018-03-26,43.4855,43.4,43.31,1.0,43.84,43.82,2616360.0,0.0
2018-03-27,44.4084,43.87,43.68,1.0,45.005,44.75,3162305.0,0.0
2018-03-28,44.7259,44.97,44.67,1.0,45.28,45.07,4219196.0,0.0
2018-03-29,44.9442,45.16,45.096,1.0,45.58,45.29,3427816.0,0.0
2018-04-02,44.6664,45.42,44.72,1.0,45.63,45.01,3574872.0,0.0
2018-04-03,44.9343,44.72,44.72,1.0,45.48,45.28,3104456.0,0.0
2018-04-04,44.9641,45.19,44.92,1.0,45.525,45.31,3662698.0,0.0
2018-04-05,45.2122,45.18,44.8,1.0,45.65,45.56,3148202.0,0.0
2018-04-06,44.974,45.62,45.18,1.0,45.805,45.32,2814589.0,0.0
2018-04-09,44.7557,45.35,44.76,1.0,45.43,45.1,2964187.0,0.0
2018-04-10,44.2893,44.98,44.525,1.0,45.09,44.63,3027053.0,0.0
2018-04-11,44.2099,44.57,44.27,1.0,44.75,44.55,2149167.0,0.0
2018-04-12,43.6244,44.67,43.79,1.0,44.735,43.96,3344124.0,0.0
2018-04-13,43.8725,44.07,43.92,1.0,44.41,44.21,2157409.0,0.0
2018-04-16,44.6565,44.41,44.34,1.0,45.05,45.0,2404400.0,0.0
2018-04-17,44.9145,45.09,44.84,1.0,45.5,45.26,2733782.0,0.0
2018-04-18,44.7259,45.26,45.065,1.0,45.61,45.07,1879473.0,0.0
2018-04-19,45.0236,44.99,44.8115,1.0,45.38,45.37,3390756.0,0.0
2018-04-20,44.845,45.4,45.03,1.0,45.5,45.19,2736757.0,0.0
2018-04-23,45.0236,45.34,45.15,1.0,45.61,45.37,2030670.0,0.0
2018-04-24,45.4007,45.48,45.34,1.0,46.05,45.75,3012177.0,0.0
2018-04-25,45.5099,45.66,45.46,1.0,46.01,45.86,2483471.0,0.0
2018-04-26,46.0855,45.8,45.51,1.0,46.54,46.44,3434465.0,0.0
2018-04-27,46.8198,46.53,46.31,1.0,47.39,47.18,2931619.0,0.0
2018-04-30,46.8297,47.23,47.045,1.0,47.48,47.19,3330073.0,0.0
2018-05-01,46.6908,47.05,46.9,1.0,47.2,47.05,2540860.0,0.0
2018-05-02,46.5023,47.05,46.32,1.0,47.17,46.86,2280735.0,0.0
2018-05-03,46.47,46.46,45.95,1.0,46.68,46.47,2326449.0,0.3575
2018-05-04,46.45,46.39,46.21,1.0,46.63,46.45,2073679.0,0.0
2018-05-07,46.02,46.31,45.995,1.0,46.44,46.02,3172424.0,0.0
2018-05-08,44.99,46.0,44.9,1.0,46.01,44.99,3670805.0,0.0
2018-05-09,44.73,45.02,44.59,1.0,45.06,44.73,2399236.0,0.0
2018-05-10,45.21,45.04,44.81,1.0,45.25,45.21,2693940.0,0.0
2018-05-11,45.38,45.21,45.15,1.0,45.45,45.38,1705880.0,0.0
2018-05-14,45.25,45.41,44.95,1.0,45.46,45.25,2483018.0,0.0
2018-05-15,44.63,45.0,44.45,1.0,45.24,44.63,2535342.0,0.0
2018-05-16,44.4,44.64,44.16,1.0,44.735,44.4,2186651.0,0.0
2018-05-17,44.08,44.43,44.0,1.0,44.52,44.08,1619681.0,0.0
2018-05-18,44.11,44.19,43.8,1.0,44.4,44.11,2428756.0,0.0
2018-05-21,43.97,44.13,43.72,1.0,44.1602,43.97,2191261.0,0.0
2018-05-22,44.12,44.07,43.91,1.0,44.41,44.12,2079771.0,0.0
2018-05-23,44.76,44.22,44.125,1.0,44.81,44.76,2208566.0,0.0
