date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,24.5365,23.65,23.48,1.0,24.74,24.6,9374522.0,0.0
2018-02-07,23.3097,24.54,23.35,1.0,24.66,23.37,8006267.0,0.0
2018-02-08,22.9506,23.41,23.0,1.0,23.93,23.01,8786506.0,0.0
2018-02-09,23.579,23.19,22.595,1.0,23.8,23.64,9283486.0,0.0
2018-02-12,23.7785,24.01,23.55,1.0,24.27,23.84,7355167.0,0.0
2018-02-13,23.6688,23.84,23.58,1.0,23.9,23.73,3605208.0,0.0
2018-02-14,23.9381,23.49,23.29,1.0,24.26,24.0,5834655.0,0.0
2018-02-15,23.988,24.02,23.795,1.0,24.26,24.05,6191778.0,0.0
2018-02-16,23.8284,23.97,23.83,1.0,24.21,23.89,5298059.0,0.0
2018-02-20,23.8583,24.15,23.77,1.0,24.2,23.92,4659687.0,0.0
2018-02-21,23.19,23.92,23.24,1.0,23.96,23.25,7148558.0,0.0
2018-02-22,23.8184,23.5,23.35,1.0,24.25,23.88,7421447.0,0.0
2018-02-23,24.3969,24.48,24.01,1.0,25.49,24.46,8490547.0,0.0
2018-02-26,24.8757,24.76,24.5,1.0,25.0,24.94,5668264.0,0.0
2018-02-27,24.1775,24.92,24.24,1.0,25.27,24.24,4925824.0,0.0
2018-02-28,24.0977,24.46,24.15,1.0,24.65,24.16,4038469.0,0.0
2018-03-01,24.8557,24.17,24.14,1.0,25.0,24.92,6141706.0,0.0
2018-03-02,25.1948,24.88,24.71,1.0,25.35,25.26,6534317.0,0.0
2018-03-05,25.2447,25.16,25.13,1.0,25.65,25.31,5427891.0,0.0
2018-03-06,25.125,25.45,25.05,1.0,25.55,25.19,2887826.0,0.0
2018-03-07,25.3445,24.95,24.92,1.0,25.535,25.41,5962491.0,0.0
2018-03-08,24.8856,25.55,24.85,1.0,25.5791,24.95,3809441.0,0.0
2018-03-09,25.4542,25.08,25.07,1.0,25.57,25.52,3414384.0,0.0
2018-03-12,25.4542,25.66,25.1,1.0,25.66,25.52,3970845.0,0.0
2018-03-13,25.5739,25.51,25.26,1.0,25.77,25.64,4400500.0,0.0
2018-03-14,25.504,25.69,25.49,1.0,25.825,25.57,5106863.0,0.0
2018-03-15,24.9854,25.67,24.82,1.0,25.815,25.05,6688096.0,0.0
2018-03-16,24.9255,25.03,24.92,1.0,25.52,24.99,9446017.0,0.0
2018-03-19,24.347,24.72,24.315,1.0,24.86,24.41,6595719.0,0.0
2018-03-20,24.0079,24.7,23.95,1.0,24.73,24.07,11264934.0,0.0
2018-03-21,24.3271,24.19,23.98,1.0,24.56,24.39,16898620.0,0.0
2018-03-22,23.8982,24.18,23.95,1.0,24.51,23.96,6191261.0,0.0
2018-03-23,23.4494,24.08,23.43,1.0,24.3,23.51,5612182.0,0.0
2018-03-26,23.9082,23.98,23.32,1.0,24.0,23.97,8966968.0,0.0
2018-03-27,23.7286,24.01,23.465,1.0,24.19,23.79,6636220.0,0.0
2018-03-28,23.6588,23.83,23.59,1.0,24.05,23.72,5864468.0,0.0
2018-03-29,23.9181,23.88,23.82,1.0,24.19,23.98,7717634.0,0.0
2018-04-02,23.0903,23.85,22.75,1.0,23.85,23.15,6463191.0,0.0
2018-04-03,23.4793,23.3,22.97,1.0,23.6,23.54,3733558.0,0.0
2018-04-04,23.6488,23.25,23.16,1.0,23.76,23.71,4396190.0,0.0
2018-04-05,23.8782,23.76,23.64,1.0,24.07,23.94,5120008.0,0.0
2018-04-06,23.1102,23.8,22.82,1.0,23.92,23.17,4908649.0,0.0
2018-04-09,22.8908,23.13,22.94,1.0,23.34,22.95,3926221.0,0.0
2018-04-10,23.4893,23.25,23.11,1.0,23.87,23.55,5643743.0,0.0
2018-04-11,23.4394,23.52,23.275,1.0,23.7,23.5,4017872.0,0.0
2018-04-12,23.4992,23.57,23.365,1.0,23.68,23.56,6706532.0,0.0
2018-04-13,23.6089,23.55,23.395,1.0,23.86,23.67,8885660.0,0.0
2018-04-16,23.8982,23.89,23.59,1.0,24.19,23.96,4990448.0,0.0
2018-04-17,23.7785,23.87,23.51,1.0,23.96,23.84,5095835.0,0.0
2018-04-18,23.978,23.94,23.77,1.0,24.23,24.04,6013846.0,0.0
