date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,135.02,133.0,134.3584,135.78,132.8,2727423.0,0.0,1.0
2018-02-07,135.4,134.76,134.7366,136.84,134.65,1662492.0,0.0,1.0
2018-02-08,133.31,135.41,132.6568,135.76,133.31,1989509.0,0.0,1.0
2018-02-09,133.24,133.69,132.9156,134.06,131.82,2573920.0,0.33,1.0
2018-02-12,134.68,133.55,134.352,135.24,132.67,1270962.0,0.0,1.0
2018-02-13,134.06,134.2,133.7336,134.49,133.695,800711.0,0.0,1.0
2018-02-14,134.44,133.6,134.1126,134.69,133.37,803173.0,0.0,1.0
2018-02-15,136.14,134.99,135.8085,136.2,134.8,734365.0,0.0,1.0
2018-02-16,135.92,135.89,135.589,136.58,135.72,641701.0,0.0,1.0
2018-02-20,135.26,135.7,134.9306,136.04,134.97,789854.0,0.0,1.0
2018-02-21,136.58,135.39,136.2474,137.56,135.21,781211.0,0.0,1.0
2018-02-22,137.53,136.85,137.1951,138.68,136.85,1002333.0,0.0,1.0
2018-02-23,137.13,137.7,136.7961,137.89,136.68,1555115.0,0.0,1.0
2018-02-26,138.1,137.43,137.7637,138.44,137.43,951447.0,0.0,1.0
2018-02-27,137.67,138.14,137.3348,138.96,137.67,820103.0,0.0,1.0
2018-02-28,137.72,137.92,137.3846,139.36,137.72,1622141.0,0.0,1.0
2018-03-01,136.04,137.76,135.7087,138.04,135.74,2076425.0,0.0,1.0
2018-03-02,135.98,135.6,135.6489,136.31,135.26,1612289.0,0.0,1.0
2018-03-05,137.01,135.75,136.6764,137.45,135.48,1433432.0,0.0,1.0
2018-03-06,136.39,137.26,136.0579,137.26,136.13,1515037.0,0.0,1.0
2018-03-07,136.25,135.86,135.9182,136.81,135.57,1326824.0,0.0,1.0
2018-03-08,136.49,136.46,136.1576,136.8,135.61,695160.0,0.0,1.0
2018-03-09,137.82,136.68,137.4844,137.83,136.42,952266.0,0.0,1.0
2018-03-12,136.43,137.93,136.0978,138.0,136.38,922082.0,0.0,1.0
2018-03-13,136.04,136.97,135.7087,137.03,135.945,723389.0,0.0,1.0
2018-03-14,135.74,136.48,135.4095,136.63,135.43,582850.0,0.0,1.0
2018-03-15,135.5,135.98,135.17,136.51,135.35,741825.0,0.0,1.0
2018-03-16,135.87,135.6,135.5391,136.6,135.38,1491639.0,0.0,1.0
2018-03-19,136.38,135.7,136.0479,136.55,134.98,1020618.0,0.0,1.0
2018-03-20,136.52,136.47,136.1876,137.0,136.01,1247636.0,0.0,1.0
2018-03-21,136.06,136.68,135.7287,136.93,135.92,497928.0,0.0,1.0
2018-03-22,134.97,135.78,134.6413,136.09,134.51,1582150.0,0.0,1.0
2018-03-23,134.54,134.9,134.2124,135.55,134.4,1185981.0,0.0,1.0
2018-03-26,136.07,135.13,135.7387,136.36,134.79,569743.0,0.0,1.0
2018-03-27,135.97,135.99,135.6389,136.65,135.39,1167976.0,0.0,1.0
2018-03-28,135.3,136.2,134.9705,136.43,134.94,1289044.0,0.0,1.0
2018-03-29,134.85,135.55,134.5216,135.83,134.85,1299280.0,0.0,1.0
2018-04-02,134.41,134.9,134.0827,135.29,133.71,2145657.0,0.0,1.0
2018-04-03,135.38,134.44,135.0503,135.44,133.71,1124356.0,0.0,1.0
2018-04-04,135.01,134.48,134.6812,135.01,133.96,1291120.0,0.0,1.0
2018-04-05,135.31,135.25,134.9805,135.65,134.99,1413827.0,0.0,1.0
2018-04-06,133.9,135.01,133.5739,135.465,133.71,1252101.0,0.0,1.0
2018-04-09,133.87,134.0,133.544,134.89,133.79,1084004.0,0.0,1.0
2018-04-10,133.85,134.5,133.5241,134.73,133.76,1691839.0,0.0,1.0
2018-04-11,133.94,133.6,133.6138,134.05,133.51,901975.0,0.0,1.0
2018-04-12,133.96,134.2,133.6338,134.52,133.74,960305.0,0.0,1.0
2018-04-13,133.77,134.2,133.4443,134.42,133.41,772878.0,0.0,1.0
2018-04-16,134.66,133.97,134.3321,134.82,133.731,1045716.0,0.0,1.0
2018-04-17,135.02,134.9,134.6912,135.37,134.57,2434224.0,0.0,1.0
2018-04-18,135.01,135.26,134.6812,135.43,134.8,1668797.0,0.0,1.0
2018-04-19,133.36,135.07,133.0353,135.28,132.89,1731128.0,0.0,1.0
2018-04-20,133.04,133.36,132.716,134.14,132.64,1794643.0,0.0,1.0
