date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,73.5256,72.24,71.95,1.0,74.27,73.9,6342726.0,0.0
2018-02-07,76.1324,76.63,76.5,1.0,79.28,76.52,6991076.0,0.0
2018-02-08,74.7792,76.71,75.09,1.0,78.08,75.16,6100157.0,0.0
2018-02-09,75.9035,75.84,74.06,1.0,76.82,76.29,5844559.0,0.0
2018-02-12,77.0377,76.51,76.42,1.0,77.9,77.43,5594775.0,0.0
2018-02-13,77.7143,76.9,76.66,1.0,78.3,78.11,4091504.0,0.0
2018-02-14,79.4156,77.43,77.38,1.0,80.13,79.82,4625740.0,0.0
2018-02-15,80.9578,80.29,79.33,1.0,81.37,81.37,3212807.0,0.0
2018-02-16,80.5399,81.49,80.65,1.0,81.87,80.95,4510490.0,0.0
2018-02-20,81.1269,80.69,80.61,1.0,82.18,81.54,3889088.0,0.0
2018-02-21,81.5846,81.47,81.35,1.0,83.56,81.8,4540177.0,0.2
2018-02-22,81.3951,82.25,81.37,1.0,82.57,81.61,3323962.0,0.0
2018-02-23,82.3127,82.32,80.81,1.0,82.53,82.53,3444342.0,0.0
2018-02-26,82.7515,83.31,82.27,1.0,83.34,82.97,2657511.0,0.0
2018-02-27,82.2927,83.22,82.25,1.0,83.79,82.51,2873909.0,0.0
2018-02-28,81.804,82.98,81.86,1.0,83.55,82.02,2509926.0,0.0
2018-03-01,80.4376,82.24,80.11,1.0,82.5,80.65,3738979.0,0.0
2018-03-02,81.066,79.92,79.52,1.0,81.42,81.28,3055243.0,0.0
2018-03-05,82.0534,80.73,80.57,1.0,82.58,82.27,2532403.0,0.0
2018-03-06,82.8513,82.83,82.01,1.0,83.27,83.07,2907927.0,0.0
2018-03-07,83.0308,82.69,82.41,1.0,83.56,83.25,2706034.0,0.0
2018-03-08,83.0009,83.65,82.655,1.0,83.68,83.22,3087971.0,0.0
2018-03-09,84.4869,83.62,83.51,1.0,84.95,84.71,2905567.0,0.0
2018-03-12,83.8486,84.62,83.8,1.0,84.92,84.07,4491658.0,0.0
2018-03-13,83.5694,84.57,83.52,1.0,84.99,83.79,2253414.0,0.0
2018-03-14,83.4098,84.01,83.45,1.0,84.62,83.63,2216625.0,0.0
2018-03-15,84.6066,83.75,83.68,1.0,85.1,84.83,2946309.0,0.0
2018-03-16,84.3772,84.8,84.23,1.0,85.0,84.6,3944318.0,0.0
2018-03-19,83.5893,84.37,82.95,1.0,84.76,83.81,3077504.0,0.0
2018-03-20,84.088,84.03,83.91,1.0,84.69,84.31,3079020.0,0.0
2018-03-21,83.1305,84.25,83.05,1.0,84.565,83.35,3606406.0,0.0
2018-03-22,80.7568,82.51,80.66,1.0,83.0,80.97,5080977.0,0.0
2018-03-23,79.0513,81.06,79.2,1.0,81.46,79.26,2912173.0,0.0
2018-03-26,81.415,80.66,79.65,1.0,81.87,81.63,3286618.0,0.0
2018-03-27,79.8691,82.29,79.34,1.0,82.74,80.08,2994199.0,0.0
2018-03-28,79.4602,80.39,79.38,1.0,80.89,79.67,3753270.0,0.0
2018-03-29,80.288,80.1,79.77,1.0,81.615,80.5,4755618.0,0.0
2018-04-02,79.0014,80.46,78.46,1.0,81.27,79.21,4708289.0,0.0
2018-04-03,79.8392,79.92,78.99,1.0,80.72,80.05,3700225.0,0.0
2018-04-04,80.5074,78.62,78.58,1.0,81.18,80.72,3972672.0,0.0
2018-04-05,80.7069,81.05,80.06,1.0,81.48,80.92,2378914.0,0.0
2018-04-06,78.8618,80.31,78.54,1.0,80.86,79.07,3552935.0,0.0
2018-04-09,78.7022,79.43,78.87,1.0,80.23,78.91,3277966.0,0.0
2018-04-10,80.1883,80.3,80.1,1.0,81.08,80.4,3192927.0,0.0
2018-04-11,79.7195,79.65,79.46,1.0,80.26,79.93,2499323.0,0.0
2018-04-12,81.3353,80.38,80.08,1.0,81.85,81.55,3619295.0,0.0
2018-04-13,80.6072,82.23,80.19,1.0,82.23,80.82,2784667.0,0.0
2018-04-16,81.5547,81.49,81.0,1.0,82.255,81.77,2269365.0,0.0
2018-04-17,81.9736,82.39,81.48,1.0,82.5,82.19,3568884.0,0.0
2018-04-18,82.4822,82.45,81.63,1.0,83.145,82.7,2577173.0,0.0
2018-04-19,82.1531,82.56,82.09,1.0,83.24,82.37,2161077.0,0.0
2018-04-20,81.5547,82.19,81.39,1.0,82.56,81.77,3053681.0,0.0
2018-04-23,81.3552,81.98,81.23,1.0,82.2,81.57,2130668.0,0.0
2018-04-24,80.5872,82.17,80.35,1.0,82.32,80.8,3017172.0,0.0
2018-04-25,80.6969,80.59,79.905,1.0,81.15,80.91,2642728.0,0.0
2018-04-26,81.5148,81.33,80.79,1.0,81.81,81.73,3223772.0,0.0
2018-04-27,81.4051,81.86,81.52,1.0,82.675,81.62,2227700.0,0.0
2018-04-30,81.6045,82.01,81.72,1.0,82.5,81.82,2642925.0,0.0
2018-05-01,81.6045,81.78,81.46,1.0,82.17,81.82,2213383.0,0.0
2018-05-02,81.1657,81.68,81.12,1.0,82.18,81.38,3100196.0,0.0
2018-05-03,81.1458,80.95,80.0775,1.0,81.57,81.36,3338409.0,0.0
2018-05-04,81.9536,81.04,80.72,1.0,82.61,82.17,3799599.0,0.0
2018-05-07,77.655,78.726,76.83,1.0,78.88,77.86,9362817.0,0.0
2018-05-08,75.3511,77.61,75.05,1.0,77.899,75.55,7550996.0,0.0
2018-05-09,74.8324,75.86,74.76,1.0,75.97,75.03,6849482.0,0.0
2018-05-10,75.75,75.39,75.2,1.0,76.375,75.95,3198677.0,0.0
2018-05-11,76.3783,75.83,75.78,1.0,76.99,76.58,3678740.0,0.0
2018-05-14,75.6602,76.37,75.4401,1.0,76.83,75.86,3991851.0,0.0
2018-05-15,75.2613,75.67,75.01,1.0,76.33,75.46,2997715.0,0.0
2018-05-16,75.1915,75.57,75.17,1.0,75.9,75.39,2374613.0,0.0
2018-05-17,75.5804,75.05,74.97,1.0,76.21,75.78,3605672.0,0.0
2018-05-18,75.8398,75.92,75.55,1.0,76.7,76.04,3210541.0,0.0
2018-05-21,75.75,76.32,75.5,1.0,76.81,75.75,1912937.0,0.2
2018-05-22,75.24,75.91,75.139,1.0,76.03,75.24,4025479.0,0.0
2018-05-23,75.76,74.98,74.86,1.0,75.8,75.76,2844610.0,0.0
2018-05-24,75.93,75.91,75.47,1.0,76.4,75.93,3006445.0,0.0
2018-05-25,75.78,75.98,75.05,1.0,76.04,75.78,2872517.0,0.0
2018-05-29,74.41,75.47,73.97,1.0,75.48,74.41,3543475.0,0.0
2018-05-30,75.69,74.6,74.5,1.0,76.03,75.69,3449647.0,0.0
2018-05-31,75.35,74.92,74.92,1.0,76.22,75.35,6622155.0,0.0
2018-06-01,76.87,75.78,75.77,1.0,77.22,76.87,3089201.0,0.0
2018-06-04,77.22,76.86,76.72,1.0,77.45,77.22,2800111.0,0.0
2018-06-05,77.03,77.36,76.67,1.0,77.4,77.03,2295757.0,0.0
2018-06-06,78.14,77.17,77.1,1.0,78.17,78.14,2753477.0,0.0
2018-06-07,76.72,78.04,76.11,1.0,78.2,76.72,3468488.0,0.0
2018-06-08,77.11,76.58,75.94,1.0,77.13,77.11,2504721.0,0.0
2018-06-11,76.97,77.07,76.61,1.0,77.78,76.97,1917221.0,0.0
2018-06-12,78.25,76.97,76.95,1.0,78.3,78.25,3764800.0,0.0
2018-06-13,78.02,77.23,77.23,1.0,79.06,78.02,3484297.0,0.0
2018-06-14,78.55,78.15,78.11,1.0,78.97,78.55,3198388.0,0.0
2018-06-15,80.7,79.39,78.65,1.0,80.75,80.7,9461998.0,0.0
2018-06-18,80.01,79.89,78.63,1.0,80.35,80.01,4462863.0,0.0
2018-06-19,79.2,79.36,78.55,1.0,79.66,79.2,3156627.0,0.0
2018-06-20,78.82,79.25,78.46,1.0,79.295,78.82,3149699.0,0.0
2018-06-21,77.68,78.77,77.555,1.0,78.77,77.68,2714845.0,0.0
2018-06-22,78.7,78.17,77.25,1.0,79.0,78.7,5724112.0,0.0
2018-06-25,77.96,78.41,77.35,1.0,78.5,77.96,4442882.0,0.0
2018-06-26,78.45,78.14,77.79,1.0,78.7956,78.45,2800379.0,0.0
2018-06-27,77.38,79.43,77.35,1.0,79.43,77.38,3600998.0,0.0
2018-06-28,78.35,77.79,77.35,1.0,78.955,78.35,1475764.0,0.0
