date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,149.05,148.97,145.42,1.0,152.42,149.05,2790504.0,0.0
2018-02-07,148.1,149.98,147.92,1.0,151.77,148.1,1762191.0,0.0
2018-02-08,140.09,148.01,140.07,1.0,148.95,140.09,2181519.0,0.0
2018-02-09,138.98,140.64,133.58,1.0,141.39,138.98,2268018.0,0.0
2018-02-12,143.48,140.97,140.31,1.0,145.13,143.48,1714854.0,0.0
2018-02-13,141.66,142.22,141.01,1.0,143.37,141.66,924707.0,0.0
2018-02-14,146.86,140.66,140.12,1.0,147.28,146.86,1118761.0,0.0
2018-02-15,146.04,146.89,143.65,1.0,147.35,146.04,1380540.0,0.0
2018-02-16,146.52,145.59,144.86,1.0,147.52,146.52,994922.0,0.0
2018-02-20,147.15,147.0,145.98,1.0,149.21,147.15,1369208.0,0.0
2018-02-21,149.16,153.7,144.9,1.0,153.7,149.16,2899257.0,0.0
2018-02-22,149.18,150.39,147.95,1.0,151.02,149.18,1598981.0,0.0
2018-02-23,152.81,149.76,149.14,1.0,152.97,152.81,1250676.0,0.0
2018-02-26,154.95,153.92,153.01,1.0,157.01,154.95,1515768.0,0.0
2018-02-27,153.09,154.79,153.08,1.0,156.12,153.09,1124444.0,0.0
2018-02-28,150.8,154.34,150.79,1.0,155.02,150.8,1191365.0,0.0
2018-03-01,150.34,151.18,149.25,1.0,152.12,150.34,1215865.0,0.0
2018-03-02,150.57,149.5,147.75,1.0,151.07,150.57,1285887.0,0.0
2018-03-05,152.95,150.19,149.745,1.0,153.72,152.95,732305.0,0.0
2018-03-06,151.36,153.61,150.77,1.0,153.705,151.36,1018725.0,0.0
2018-03-07,152.55,150.22,150.03,1.0,152.84,152.55,1040845.0,0.0
2018-03-08,149.74,152.98,149.06,1.0,153.69,149.74,1210188.0,0.0
2018-03-09,153.29,151.29,150.98,1.0,153.77,153.29,1230378.0,0.0
2018-03-12,153.48,153.91,151.385,1.0,154.45,153.48,922565.0,0.0
2018-03-13,150.5,154.39,149.58,1.0,154.39,150.5,1003694.0,0.0
2018-03-14,150.21,151.04,149.61,1.0,151.9,150.21,729257.0,0.0
2018-03-15,148.26,150.51,147.38,1.0,151.6,148.26,837343.0,0.0
2018-03-16,148.49,148.55,147.71,1.0,150.33,148.49,1540448.0,0.0
2018-03-19,146.34,147.09,144.94,1.0,148.08,146.34,798166.0,0.0
2018-03-20,148.64,147.57,146.71,1.0,149.695,148.64,885980.0,0.0
2018-03-21,153.16,149.75,149.42,1.0,155.0,153.16,1442140.0,0.0
2018-03-22,153.02,151.92,151.92,1.0,153.96,153.02,1619867.0,0.0
2018-03-23,153.53,153.78,152.795,1.0,156.65,153.53,1178273.0,0.0
2018-03-26,157.22,155.24,154.03,1.0,157.31,157.22,1227365.0,0.0
2018-03-27,157.0,157.42,156.27,1.0,158.47,157.0,2090660.0,0.0
2018-03-28,143.25,147.37,141.36,1.0,150.46,143.25,12063369.0,0.0
2018-03-29,150.33,145.2,143.53,1.0,150.62,150.33,6112954.0,0.0
