date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,97.3051,94.19,92.74,1.0,98.0,97.6,4004725.0,0.0
2018-02-07,97.5843,97.51,97.45,1.0,99.53,97.88,2048208.0,0.0
2018-02-08,94.8127,98.18,95.07,1.0,98.36,95.1,2885023.0,0.0
2018-02-09,97.9631,96.09,93.83,1.0,99.5,98.26,3322348.0,0.0
2018-02-12,94.8027,98.77,93.32,1.0,99.08,95.09,4591623.0,0.0
2018-02-13,96.5674,94.94,94.82,1.0,97.93,96.86,2525212.0,0.0
2018-02-14,96.3779,96.31,96.05,1.0,97.33,96.67,2683342.0,0.0
2018-02-15,98.1526,97.51,96.3148,1.0,98.45,98.45,1898691.0,0.0
2018-02-16,97.4347,98.31,97.02,1.0,98.9,97.73,1767683.0,0.0
2018-02-20,94.2743,95.05,93.67,1.0,96.31,94.56,3097746.0,0.0
2018-02-21,94.9822,94.88,94.88,1.0,96.88,95.27,2183694.0,0.0
2018-02-22,95.8097,95.86,95.46,1.0,97.0,96.1,1230152.0,0.0
2018-02-23,96.9063,96.77,95.72,1.0,97.32,97.2,1643245.0,0.0
2018-02-26,97.2553,97.73,96.62,1.0,98.23,97.55,1406157.0,0.0
2018-02-27,95.2314,97.96,94.89,1.0,98.445,95.52,2112281.0,0.0
2018-02-28,94.3042,96.11,94.59,1.0,96.32,94.59,1810110.0,0.0
2018-03-01,95.0221,94.57,93.78,1.0,95.89,95.31,1861794.0,0.0
2018-03-02,93.9952,94.74,92.8,1.0,95.095,94.28,2879739.0,0.0
2018-03-05,93.1477,93.64,93.0601,1.0,94.01,93.43,2424826.0,0.0
2018-03-06,93.1577,93.51,91.85,1.0,94.195,93.44,4046058.0,0.0
2018-03-07,89.1199,89.58,87.54,1.0,90.64,89.39,5306223.0,0.0
2018-03-08,85.79,89.62,86.04,1.0,89.88,86.05,3852383.0,0.0
2018-03-09,86.6773,86.71,85.54,1.0,87.18,86.94,3480796.0,0.0
2018-03-12,88.3423,87.24,87.05,1.0,88.86,88.61,3608610.0,0.0
2018-03-13,89.2595,88.85,88.63,1.0,91.0,89.53,3972974.0,0.0
2018-03-14,88.9305,89.55,88.56,1.0,89.75,89.2,3885486.0,0.0
2018-03-15,93.1577,96.22,92.29,1.0,96.5,93.44,10222619.0,0.0
2018-03-16,95.1417,93.59,93.39,1.0,95.8,95.43,5084581.0,0.0
2018-03-19,93.7559,95.5,93.37,1.0,96.05,94.04,2412474.0,0.0
