date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,101.13,97.49,100.6213,101.71,95.68,1657984.0,0.0,1.0
2018-02-07,100.58,100.73,100.0741,102.44,100.52,1426031.0,0.0,1.0
2018-02-08,96.42,100.5,95.935,100.7,96.39,1475901.0,0.0,1.0
2018-02-09,98.34,97.5,97.8453,99.125,95.27,1513902.0,0.0,1.0
2018-02-12,99.07,98.71,98.5717,99.71,97.89,973018.0,0.0,1.0
2018-02-13,101.39,99.87,100.88,101.88,99.22,1282539.0,0.0,1.0
2018-02-14,101.51,100.76,100.9994,101.87,100.39,1201427.0,0.0,1.0
2018-02-15,103.09,102.17,102.5714,103.14,101.67,941297.0,0.0,1.0
2018-02-16,104.53,102.7,104.0042,104.79,102.35,771191.0,0.0,1.0
2018-02-20,102.26,104.0,101.7456,104.355,102.02,1105265.0,0.0,1.0
2018-02-21,101.91,102.4,101.3974,103.5,101.87,838851.0,0.0,1.0
2018-02-22,100.85,102.16,100.3427,102.64,100.65,992482.0,0.0,1.0
2018-02-23,102.6,101.0,102.0839,102.6,100.26,739421.0,0.0,1.0
2018-02-26,104.09,102.74,103.5664,104.09,102.61,1007066.0,0.0,1.0
2018-02-27,104.79,104.1,104.2629,106.0,103.9456,1526260.0,0.0,1.0
2018-02-28,103.05,104.99,102.5316,105.48,103.05,1553957.0,0.0,1.0
2018-03-01,100.41,103.03,99.9049,103.59,100.06,1217950.0,0.0,1.0
2018-03-02,101.44,100.14,100.9297,101.86,100.14,850160.0,0.0,1.0
2018-03-05,102.89,101.0,102.3724,103.08,100.54,472215.0,0.0,1.0
2018-03-06,104.14,103.58,103.6162,104.17,102.77,877665.0,0.0,1.0
2018-03-07,104.36,103.97,103.8351,105.91,103.39,1416188.0,0.0,1.0
2018-03-08,104.64,104.77,104.1136,105.16,103.65,753666.0,0.0,1.0
2018-03-09,106.99,105.21,106.4518,107.52,104.16,1027836.0,0.0,1.0
2018-03-12,105.6,106.99,105.0688,107.0,105.59,1018399.0,0.0,1.0
2018-03-13,104.99,106.15,104.4619,106.15,104.7,731835.0,0.0,1.0
2018-03-14,104.96,106.08,104.432,106.24,104.13,873084.0,0.0,1.0
2018-03-15,104.72,104.94,104.1932,105.47,104.45,660926.0,0.0,1.0
2018-03-16,104.35,105.06,103.8251,105.5,104.05,1351214.0,0.0,1.0
2018-03-19,103.86,104.37,103.3376,104.82,103.361,663661.0,0.0,1.0
2018-03-20,103.57,104.03,103.049,104.58,103.3,847301.0,0.0,1.0
2018-03-21,103.63,103.78,103.1087,104.31,103.29,694894.0,0.0,1.0
2018-03-22,102.3,103.16,101.7854,104.28,102.24,867055.0,0.0,1.0
2018-03-23,99.78,102.21,99.2781,102.86,99.6,855242.0,0.0,1.0
2018-03-26,100.42,100.54,99.9149,100.61,99.1811,758728.0,0.0,1.0
2018-03-27,99.95,100.56,99.4472,101.24,99.381,829177.0,0.0,1.0
2018-03-28,99.51,100.3,99.0094,100.66,98.83,1037869.0,0.0,1.0
2018-03-29,100.3,100.2,99.7955,100.81,99.19,733275.0,0.0,1.0
2018-04-02,97.81,100.35,97.318,100.42,96.59,1173698.0,0.0,1.0
2018-04-03,98.9,97.62,98.9,98.95,97.17,1066656.0,0.5,1.0
2018-04-04,99.29,97.91,99.29,99.57,97.27,910094.0,0.0,1.0
2018-04-05,99.83,99.7,99.83,100.73,98.99,1020255.0,0.0,1.0
2018-04-06,97.35,99.36,97.35,99.62,96.74,903409.0,0.0,1.0
2018-04-09,97.96,97.98,97.96,99.42,97.76,625156.0,0.0,1.0
2018-04-10,98.94,98.75,98.94,99.5,98.2,1351683.0,0.0,1.0
2018-04-11,99.06,98.63,99.06,99.63,98.3,789924.0,0.0,1.0
2018-04-12,100.25,99.54,100.25,100.87,99.18,974655.0,0.0,1.0
2018-04-13,99.76,100.53,99.76,101.05,99.29,1059967.0,0.0,1.0
2018-04-16,101.23,100.61,101.23,101.95,99.77,1068151.0,0.0,1.0
2018-04-17,100.8,101.66,100.8,101.8,99.58,1408326.0,0.0,1.0
2018-04-18,100.79,100.53,100.79,101.57,100.41,1495158.0,0.0,1.0
2018-04-19,101.49,100.31,101.49,102.59,98.97,1628593.0,0.0,1.0
2018-04-20,98.16,101.85,98.16,101.87,97.62,1781137.0,0.0,1.0
2018-04-23,99.45,98.4,99.45,99.48,97.52,1664734.0,0.0,1.0
2018-04-24,99.74,99.95,99.74,100.71,98.97,1116310.0,0.0,1.0
2018-04-25,101.15,99.66,101.15,101.24,99.01,954161.0,0.0,1.0
2018-04-26,101.36,101.1,101.36,102.08,100.36,871937.0,0.0,1.0
2018-04-27,102.74,101.42,102.74,103.0,101.42,1082887.0,0.0,1.0
2018-04-30,101.2,102.95,101.2,103.09,101.2,712517.0,0.0,1.0
2018-05-01,102.47,102.42,102.47,103.45,101.43,917017.0,0.0,1.0
2018-05-02,101.36,102.06,101.36,102.5,101.13,863971.0,0.0,1.0
2018-05-03,100.94,100.84,100.94,100.99,98.93,963122.0,0.0,1.0
2018-05-04,101.5,100.44,101.5,101.84,99.17,762092.0,0.0,1.0
2018-05-07,101.1,101.54,101.1,102.12,100.39,662359.0,0.0,1.0
2018-05-08,99.87,100.9,99.87,101.4,99.55,1313198.0,0.0,1.0
2018-05-09,100.64,99.89,100.64,100.77,99.26,612728.0,0.0,1.0
2018-05-10,101.69,100.88,101.69,102.62,100.71,673066.0,0.0,1.0
2018-05-11,102.5,101.66,102.5,102.77,101.2,502390.0,0.0,1.0
2018-05-14,102.93,102.71,102.93,103.25,102.43,595638.0,0.0,1.0
2018-05-15,102.13,102.13,102.13,102.62,101.74,475242.0,0.0,1.0
2018-05-16,101.8,102.39,101.8,102.755,101.71,854151.0,0.0,1.0
2018-05-17,101.71,101.84,101.71,102.13,101.33,705795.0,0.0,1.0
2018-05-18,102.15,101.85,102.15,102.52,100.73,1978104.0,0.0,1.0
2018-05-21,102.6,102.67,102.6,103.12,102.33,498286.0,0.0,1.0
2018-05-22,101.84,102.5,101.84,102.705,101.695,427735.0,0.0,1.0
2018-05-23,101.22,101.51,101.22,101.816,100.65,435396.0,0.0,1.0
2018-05-24,100.89,101.09,100.89,101.44,100.38,538055.0,0.0,1.0
2018-05-25,105.81,103.6,105.81,107.84,103.0,2772176.0,0.0,1.0
2018-05-29,106.35,106.07,106.35,106.92,105.5,1975463.0,0.0,1.0
2018-05-30,108.36,106.52,108.36,109.075,106.52,1548916.0,0.0,1.0
2018-05-31,106.53,108.57,106.53,108.57,106.49,1349158.0,0.0,1.0
2018-06-01,107.95,107.27,107.95,107.97,106.3801,675727.0,0.0,1.0
2018-06-04,107.3,107.98,107.3,108.39,107.25,725077.0,0.0,1.0
2018-06-05,106.72,107.02,106.72,107.48,106.06,562340.0,0.0,1.0
2018-06-06,107.99,106.85,107.99,108.01,106.79,535303.0,0.0,1.0
2018-06-07,107.6,108.4,107.6,108.49,107.35,470441.0,0.0,1.0
2018-06-08,109.72,109.1,109.72,110.45,108.6,1296991.0,0.0,1.0
2018-06-11,111.65,109.6,111.65,112.3,108.86,1657193.0,0.0,1.0
2018-06-12,111.01,111.47,111.01,111.59,110.61,828185.0,0.0,1.0
2018-06-13,110.67,111.5,110.67,111.52,110.52,519647.0,0.0,1.0
2018-06-14,110.94,111.0,110.94,111.42,110.37,768473.0,0.0,1.0
2018-06-15,111.31,110.61,111.31,111.39,109.98,1354944.0,0.0,1.0
2018-06-18,110.35,110.44,110.35,110.75,109.85,497660.0,0.0,1.0
2018-06-19,110.67,110.0,110.67,110.78,109.55,632632.0,0.0,1.0
2018-06-20,110.72,110.56,110.72,110.77,109.36,576919.0,0.0,1.0
2018-06-21,111.18,110.65,111.18,111.37,110.08,689703.0,0.0,1.0
2018-06-22,112.04,111.69,112.04,112.3,111.16,1101524.0,0.0,1.0
2018-06-25,113.14,114.27,113.14,116.49,112.52,1646791.0,0.0,1.0
2018-06-26,112.05,113.14,112.05,113.34,111.71,1399683.0,0.0,1.0
2018-06-27,110.36,109.56,110.36,110.83,107.46,1979191.0,0.0,1.0
2018-06-28,110.22,109.81,110.22,110.66,108.06,830910.0,0.0,1.0
