date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,96.8894,95.3,94.75,1.0,98.58,97.05,6617660.0,0.0
2018-02-07,95.0924,96.38,94.75,1.0,96.97,95.25,5326275.0,0.0
2018-02-08,92.0075,95.4,92.14,1.0,95.55,92.16,3426827.0,0.0
2018-02-09,94.3037,93.3,91.841,1.0,95.28,94.46,3684046.0,0.0
2018-02-12,95.2521,95.13,94.595,1.0,95.89,95.41,2234628.0,0.0
2018-02-13,94.8228,94.73,94.04,1.0,95.45,94.98,1994248.0,0.0
2018-02-14,95.941,94.39,94.12,1.0,96.17,96.1,1500671.0,0.0
2018-02-15,97.3087,96.99,96.38,1.0,97.78,97.47,1883192.0,0.0
2018-02-16,97.3786,97.34,96.82,1.0,98.42,97.54,1855195.0,0.0
2018-02-20,96.6897,97.15,96.58,1.0,97.74,96.85,2088084.0,0.0
2018-02-21,97.1889,96.69,96.63,1.0,98.9,97.35,2158046.0,0.0
2018-02-22,97.1989,97.88,97.06,1.0,98.44,97.36,1850957.0,0.0
2018-02-23,99.1656,97.71,97.64,1.0,99.39,99.33,1600101.0,0.0
2018-02-26,100.6631,99.52,99.25,1.0,101.49,100.83,3589206.0,0.0
2018-02-27,99.4052,100.84,99.54,1.0,101.8,99.57,2524021.0,0.0
2018-02-28,97.6182,99.8,97.76,1.0,100.2,97.78,2033922.0,0.0
2018-03-01,95.8311,97.75,95.145,1.0,98.0,95.99,2299886.0,0.0
2018-03-02,96.0608,95.52,94.91,1.0,96.42,96.22,2318770.0,0.0
2018-03-05,97.4185,95.64,95.385,1.0,97.99,97.58,1701657.0,0.0
2018-03-06,97.5882,97.73,96.89,1.0,97.77,97.75,1525899.0,0.0
2018-03-07,100.6531,97.24,96.95,1.0,101.23,100.82,3872602.0,0.0
2018-03-08,101.4418,101.04,100.66,1.0,101.66,101.61,2395843.0,0.0
2018-03-09,103.5683,102.13,101.665,1.0,104.07,103.74,3448059.0,0.0
2018-03-12,103.2289,103.92,102.86,1.0,104.29,103.4,2292182.0,0.0
2018-03-13,102.6299,103.89,102.565,1.0,104.29,102.8,2026832.0,0.0
2018-03-14,102.0109,102.98,101.85,1.0,103.48,102.18,1512933.0,0.0
2018-03-15,102.0508,102.38,101.97,1.0,102.66,102.22,1286716.0,0.0
2018-03-16,101.7613,102.51,101.89,1.0,102.665,101.93,2384539.0,0.0
2018-03-19,100.144,101.79,99.55,1.0,101.845,100.31,2067302.0,0.0
2018-03-20,100.3936,100.31,100.005,1.0,100.86,100.56,2307447.0,0.0
2018-03-21,99.6448,100.86,99.8,1.0,100.99,99.81,1928498.0,0.0
2018-03-22,97.3287,99.08,97.22,1.0,99.87,97.49,1834034.0,0.0
2018-03-23,95.7812,97.91,95.71,1.0,98.41,95.94,2389114.0,0.0
2018-03-26,97.9976,97.15,96.47,1.0,98.35,98.16,3169868.0,0.0
2018-03-27,97.0891,98.7,96.69,1.0,98.99,97.25,2027985.0,0.0
2018-03-28,96.52,97.49,96.35,1.0,97.97,96.52,2347561.0,0.16
2018-03-29,97.91,96.89,96.66,1.0,98.53,97.91,2275774.0,0.0
2018-04-02,96.1,97.62,95.02,1.0,97.81,96.1,2601255.0,0.0
2018-04-03,98.23,96.75,96.481,1.0,98.35,98.23,2172052.0,0.0
2018-04-04,99.06,96.85,96.16,1.0,99.26,99.06,2183069.0,0.0
2018-04-05,99.22,99.56,98.79,1.0,99.74,99.22,1624484.0,0.0
2018-04-06,96.66,98.53,95.77,1.0,99.02,96.66,1804079.0,0.0
2018-04-09,97.6,97.36,96.72,1.0,98.95,97.6,2019602.0,0.0
2018-04-10,99.52,98.81,98.81,1.0,100.54,99.52,2325495.0,0.0
