date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,106.17,102.88,106.17,106.2,101.76,16874001.0,0.0,1.0
2018-02-07,104.76,107.83,104.76,108.03,104.41,12327546.0,0.0,1.0
2018-02-08,101.35,105.47,101.35,105.8249,101.19,12497236.0,0.0,1.0
2018-02-09,103.09,102.55,103.09,103.75,100.26,12305151.0,0.0,1.0
2018-02-12,103.39,103.93,103.39,104.64,102.1,9538409.0,0.0,1.0
2018-02-13,104.12,102.64,104.12,104.31,102.4,8394693.0,0.0,1.0
2018-02-14,104.6,103.49,104.6,104.76,102.6901,7343291.0,0.0,1.0
2018-02-15,105.18,105.36,105.18,105.57,103.93,6405607.0,0.0,1.0
2018-02-16,106.53,105.19,106.53,107.345,105.19,8735301.0,0.0,1.0
2018-02-20,105.98,106.37,105.98,107.565,105.52,6549202.0,0.0,1.0
2018-02-21,105.05,106.0,105.05,106.91,105.02,6733937.0,0.0,1.0
2018-02-22,105.24,105.31,105.24,106.01,104.93,4425733.0,0.0,1.0
2018-02-23,107.25,105.75,107.25,107.36,105.43,6014657.0,0.0,1.0
2018-02-26,109.81,108.0,109.81,109.81,107.67,8108586.0,0.0,1.0
2018-02-27,104.87,108.0,104.87,108.16,104.85,14139077.0,0.0,1.0
2018-02-28,103.16,105.45,103.16,105.572,103.14,10695759.0,0.0,1.0
2018-03-01,102.57,103.2,102.57,104.03,101.33,10487306.0,0.0,1.0
2018-03-02,102.99,102.0,102.99,103.17,101.44,7835408.0,0.0,1.0
2018-03-05,103.41,102.71,103.41,103.97,102.42,5736713.0,0.0,1.0
2018-03-06,104.94,104.0,104.94,104.95,103.51,6216200.0,0.0,1.0
2018-03-07,103.59,103.72,103.59,104.24,102.77,6214836.0,0.0,1.0
2018-03-08,104.03,103.99,104.03,104.585,103.47,6533940.0,0.0,1.0
2018-03-09,104.73,104.43,104.73,104.75,103.6425,5590193.0,0.0,1.0
2018-03-12,105.17,104.715,105.17,105.94,104.715,6476237.0,0.0,1.0
2018-03-13,103.73,105.83,103.73,105.83,103.42,6679811.0,0.0,1.0
2018-03-14,103.9,104.53,103.9,104.65,103.47,6183056.0,0.0,1.0
2018-03-15,103.24,104.0,103.24,104.285,103.24,5128335.0,0.0,1.0
2018-03-16,102.87,103.56,102.87,104.27,102.84,10101026.0,0.0,1.0
2018-03-19,101.48,102.8,101.48,102.95,101.0,6361623.0,0.0,1.0
2018-03-20,101.35,101.54,101.35,102.15,100.75,8087735.0,0.0,1.0
2018-03-21,101.82,101.5,101.82,102.94,101.42,5917934.0,0.0,1.0
2018-03-22,100.6,101.29,100.6,101.64,100.41,8648198.0,0.0,1.0
2018-03-23,98.54,100.85,98.54,101.11,98.45,7380554.0,0.0,1.0
2018-03-26,100.65,99.86,100.65,100.78,99.0782,7262326.0,0.0,1.0
2018-03-27,99.36,100.88,99.36,101.18,98.89,7131436.0,0.0,1.0
2018-03-28,98.54,99.5,98.54,100.08,98.15,9099663.0,0.0,1.0
2018-03-29,100.44,99.01,100.44,101.28,98.86,9343626.0,0.0,1.0
2018-04-02,98.66,100.18,98.66,100.99,97.78,8203693.0,0.0,1.0
2018-04-03,99.42,98.8,99.42,99.49,97.7,8484678.0,0.0,1.0
2018-04-04,100.95,98.43,100.95,101.15,97.76,8759236.0,0.0,1.0
2018-04-05,102.11,101.36,102.11,102.38,100.98,6612756.0,0.0,1.0
2018-04-06,100.35,101.63,100.35,102.19,99.45,7162386.0,0.0,1.0
2018-04-09,99.7,100.7,99.7,101.51,99.58,7094275.0,0.0,1.0
