date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,22.66,21.34,21.06,1.0,22.89,22.66,4174717.0,0.0
2018-02-07,21.95,22.69,21.78,1.0,23.26,21.95,2634399.0,0.0
2018-02-08,21.58,22.11,21.58,1.0,22.64,21.58,3688416.0,0.0
2018-02-09,21.39,21.58,20.29,1.0,21.76,21.39,4989171.0,0.0
2018-02-12,21.87,21.65,21.52,1.0,22.25,21.87,2503861.0,0.0
2018-02-13,22.27,21.75,21.67,1.0,22.34,22.27,1350988.0,0.0
2018-02-14,22.68,22.13,22.02,1.0,22.74,22.68,1820009.0,0.0
2018-02-15,22.82,22.89,22.46,1.0,22.89,22.82,1388679.0,0.0
2018-02-16,22.65,22.74,22.51,1.0,22.91,22.65,1740420.0,0.0
2018-02-20,23.04,22.57,22.57,1.0,23.43,23.04,2493524.0,0.0
2018-02-21,22.89,23.02,22.84,1.0,23.27,22.89,1952948.0,0.0
2018-02-22,22.6,23.04,22.56,1.0,23.1,22.6,2314913.0,0.0
2018-02-23,22.74,22.69,22.39,1.0,22.88,22.74,1945010.0,0.0
2018-02-26,23.83,22.9,22.7,1.0,23.89,23.83,3370175.0,0.0
2018-02-27,24.75,23.68,23.0,1.0,25.27,24.75,9847154.0,0.0
2018-02-28,22.98,23.75,22.89,1.0,23.82,22.98,21294432.0,0.0
2018-03-01,22.7,22.95,22.4,1.0,23.3,22.7,7639971.0,0.0
2018-03-02,23.15,22.65,22.46,1.0,23.22,23.15,11290209.0,0.0
2018-03-05,23.01,23.0,22.76,1.0,23.34,23.01,7409542.0,0.0
2018-03-06,22.86,23.11,22.7,1.0,23.3,22.86,16387209.0,0.0
2018-03-07,22.39,22.71,21.455,1.0,22.71,22.39,10476978.0,0.0
2018-03-08,22.46,22.51,22.07,1.0,22.6,22.46,5037977.0,0.0
2018-03-09,22.49,22.67,22.335,1.0,22.86,22.49,6412841.0,0.0
2018-03-12,22.62,22.54,22.53,1.0,22.89,22.62,5108065.0,0.0
2018-03-13,22.45,22.76,22.33,1.0,23.0,22.45,5822100.0,0.0
2018-03-14,22.25,22.44,22.09,1.0,22.54,22.25,5001108.0,0.0
2018-03-15,21.61,22.05,21.475,1.0,22.24,21.61,8882017.0,0.0
2018-03-16,21.58,21.62,21.54,1.0,21.89,21.58,6833102.0,0.0
2018-03-19,21.24,21.55,21.02,1.0,21.66,21.24,5445911.0,0.0
2018-03-20,20.31,21.23,20.11,1.0,21.31,20.31,5577706.0,0.0
2018-03-21,20.5,20.22,20.195,1.0,20.65,20.5,6484509.0,0.0
2018-03-22,19.88,20.28,19.8,1.0,20.55,19.88,6415257.0,0.0
2018-03-23,19.42,19.97,19.42,1.0,20.03,19.42,4721106.0,0.0
2018-03-26,19.89,19.74,19.3,1.0,19.975,19.89,8354530.0,0.0
2018-03-27,19.73,19.89,19.64,1.0,20.32,19.73,4494447.0,0.0
2018-03-28,19.27,19.88,19.18,1.0,20.07,19.27,4535990.0,0.0
2018-03-29,19.52,19.27,19.08,1.0,19.71,19.52,8062517.0,0.0
2018-04-02,19.57,19.63,19.36,1.0,20.085,19.57,7426191.0,0.0
2018-04-03,20.17,19.7,19.449,1.0,20.19,20.17,4550388.0,0.0
2018-04-04,20.66,19.83,19.81,1.0,20.72,20.66,2915599.0,0.0
2018-04-05,20.73,20.71,20.52,1.0,20.835,20.73,4601869.0,0.0
2018-04-06,20.73,20.67,20.55,1.0,21.1,20.73,3982367.0,0.0
2018-04-09,20.67,20.86,20.58,1.0,20.97,20.67,2350138.0,0.0
2018-04-10,20.68,20.86,20.65,1.0,20.95,20.68,4209750.0,0.0
2018-04-11,20.55,20.61,20.35,1.0,20.66,20.55,3030741.0,0.0
2018-04-12,21.35,20.65,20.54,1.0,21.4,21.35,6226310.0,0.0
2018-04-13,21.04,21.38,20.9,1.0,21.48,21.04,3303215.0,0.0
2018-04-16,21.49,21.1,20.67,1.0,21.53,21.49,3006434.0,0.0
2018-04-17,21.96,21.72,21.55,1.0,22.06,21.96,5260507.0,0.0
2018-04-18,21.74,22.04,21.71,1.0,22.26,21.74,2866991.0,0.0
2018-04-19,21.63,21.73,21.51,1.0,21.99,21.63,2197299.0,0.0
2018-04-20,21.46,21.74,21.225,1.0,21.96,21.46,3521922.0,0.0
2018-04-23,22.14,21.48,21.24,1.0,22.255,22.14,4784618.0,0.0
2018-04-24,22.35,22.51,22.235,1.0,22.95,22.35,4195039.0,0.0
2018-04-25,22.56,22.31,21.78,1.0,22.63,22.56,3971520.0,0.0
2018-04-26,22.64,22.59,22.33,1.0,22.71,22.64,5188932.0,0.0
2018-04-27,22.5,22.69,22.22,1.0,22.77,22.5,11457558.0,0.0
2018-04-30,22.22,22.62,22.18,1.0,22.62,22.22,4275030.0,0.0
2018-05-01,22.55,22.58,22.1985,1.0,22.65,22.55,3360893.0,0.0
2018-05-02,22.28,22.48,22.26,1.0,22.85,22.28,4781992.0,0.0
2018-05-03,21.63,22.23,21.35,1.0,22.35,21.63,6047858.0,0.0
2018-05-04,21.88,21.54,21.54,1.0,22.16,21.88,3613756.0,0.0
2018-05-07,22.13,21.97,21.82,1.0,22.145,22.13,3050555.0,0.0
2018-05-08,21.83,22.67,21.54,1.0,23.36,21.83,5383304.0,0.0
2018-05-09,21.11,21.81,21.1,1.0,22.08,21.11,4919988.0,0.0
