date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,102.5375,103.36,101.101,1.0,105.08,104.5,2055926.0,0.0
2018-02-07,102.2137,104.23,103.91,1.0,106.6974,104.17,1331547.0,0.0
2018-02-08,97.1016,104.17,98.91,1.0,104.49,98.96,2036086.0,0.0
2018-02-09,100.2905,99.5,98.28,1.0,102.92,102.21,1982760.0,0.0
2018-02-12,103.0772,102.81,100.0,1.0,105.07,105.05,2383878.0,0.0
2018-02-13,103.1459,104.83,103.34,1.0,105.6,105.12,1614505.0,0.0
2018-02-14,103.2931,104.89,103.098,1.0,105.565,105.27,1722648.0,0.0
2018-02-15,103.4697,105.44,103.08,1.0,105.78,105.45,2390507.0,0.0
2018-02-16,100.2807,102.31,101.18,1.0,105.35,102.2,2246672.0,0.0
2018-02-20,97.7099,101.41,99.37,1.0,102.43,99.58,1973171.0,0.0
2018-02-21,96.1106,99.55,97.04,1.0,99.55,97.95,2907521.0,0.0
2018-02-22,98.9365,98.01,98.01,1.0,101.25,100.83,2091004.0,0.0
2018-02-23,100.2807,101.25,100.255,1.0,102.77,102.2,1425687.0,0.0
2018-02-26,99.6724,102.49,101.06,1.0,102.93,101.58,1300648.0,0.0
2018-02-27,98.4164,101.59,99.27,1.0,102.35,100.3,2286220.0,0.0
2018-02-28,98.75,100.91,99.62,1.0,101.62,100.64,1620476.0,0.0
2018-03-01,97.0427,100.05,98.43,1.0,101.2418,98.9,1298020.0,0.0
2018-03-02,96.3755,98.47,96.56,1.0,98.4916,98.22,1461590.0,0.0
2018-03-05,98.4753,97.54,97.47,1.0,100.79,100.36,1153172.0,0.0
2018-03-06,99.2799,100.37,100.17,1.0,101.9,101.18,1059729.0,0.0
2018-03-07,101.1246,100.99,100.73,1.0,103.285,103.06,1699507.0,0.0
2018-03-08,101.7722,103.03,102.135,1.0,103.82,103.72,1248045.0,0.0
2018-03-09,101.2031,103.75,101.9,1.0,104.17,103.14,1162042.0,0.0
2018-03-12,102.3904,103.67,103.53,1.0,105.12,104.35,1659497.0,0.0
2018-03-13,103.6758,104.72,104.66,1.0,105.95,105.66,1420419.0,0.0
2018-03-14,104.4804,105.14,104.57,1.0,105.7,105.47,1605264.0,1.01
2018-03-15,104.3417,105.68,104.68,1.0,105.89,105.33,838974.0,0.0
2018-03-16,105.3719,105.12,104.84,1.0,106.61,106.37,1465831.0,0.0
2018-03-19,103.7671,106.31,104.0,1.0,106.37,104.75,1247976.0,0.0
2018-03-20,103.9851,104.82,104.45,1.0,105.47,104.97,877283.0,0.0
2018-03-21,102.4001,104.78,102.99,1.0,105.3,103.37,1306771.0,0.0
