date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,79.7919,98.04,95.68,1.0,100.49,99.83,2116000.0,0.0
2018-02-07,79.8638,99.56,99.195,1.0,101.4518,99.92,1471410.0,0.0
2018-02-08,76.8905,100.04,96.12,1.0,100.04,96.2,1551388.0,0.0
2018-02-09,77.8097,97.52,94.33,1.0,98.4899,97.35,1772507.0,0.0
2018-02-12,78.545,98.27,97.3,1.0,99.35,98.27,1051677.0,0.0
2018-02-13,78.4251,97.78,97.33,1.0,98.64,98.12,830725.0,0.0
2018-02-14,79.68,96.22,96.22,1.0,100.04,99.69,1170046.0,0.0
2018-02-15,81.1986,101.07,99.87,1.0,101.64,101.59,1018102.0,0.0
2018-02-16,80.8949,101.46,101.06,1.0,102.59,101.21,759653.0,0.0
2018-02-20,80.0956,100.79,99.8,1.0,101.36,100.21,726172.0,0.0
2018-02-21,79.9118,100.22,99.95,1.0,102.28,99.98,704733.0,0.0
2018-02-22,81.5743,100.74,100.5,1.0,103.005,102.06,1468220.0,0.0
2018-02-23,82.1098,102.81,100.96,1.0,102.81,102.73,754260.0,0.0
2018-02-26,83.4366,103.47,102.85,1.0,104.6,104.39,1153414.0,0.0
2018-02-27,81.854,104.27,101.87,1.0,104.65,101.94,1208274.0,0.47
2018-02-28,80.3766,102.36,100.09,1.0,102.4699,100.1,928564.0,0.0
2018-03-01,78.6101,99.96,97.4,1.0,100.3,97.9,1231393.0,0.0
2018-03-02,78.6663,97.2,96.77,1.0,98.32,97.97,1015489.0,0.0
2018-03-05,79.148,97.41,97.04,1.0,98.92,98.57,1044103.0,0.0
2018-03-06,80.3043,99.18,98.93,1.0,100.16,100.01,1096009.0,0.0
2018-03-07,79.9028,99.08,98.11,1.0,99.9,99.51,830123.0,0.0
2018-03-08,80.4488,99.79,98.71,1.0,100.25,100.19,680384.0,0.0
2018-03-09,82.4562,100.83,100.705,1.0,102.96,102.69,1050142.0,0.0
2018-03-12,81.5007,102.59,100.88,1.0,102.59,101.5,949154.0,0.0
2018-03-13,80.7941,102.24,100.19,1.0,102.82,100.62,854383.0,0.0
2018-03-14,79.4933,101.32,98.67,1.0,101.32,99.0,951393.0,0.0
2018-03-15,79.5897,99.33,98.46,1.0,99.78,99.12,742638.0,0.0
2018-03-16,80.3605,99.2,98.57,1.0,100.41,100.08,1649043.0,0.0
2018-03-19,80.216,99.82,98.76,1.0,100.07,99.9,1109112.0,0.0
2018-03-20,83.4359,100.48,100.1,1.0,104.74,103.91,5024652.0,0.0
2018-03-21,82.7614,104.22,102.33,1.0,104.22,103.07,3009349.0,0.0
2018-03-22,79.4773,102.0,98.82,1.0,102.0,98.98,3078425.0,0.0
2018-03-23,78.9714,99.34,98.195,1.0,100.33,98.35,4088280.0,0.0
2018-03-26,80.1437,98.33,96.93,1.0,100.085,99.81,1898041.0,0.0
2018-03-27,78.7787,100.24,97.43,1.0,100.24,98.11,2046334.0,0.0
2018-03-28,77.253,98.27,95.76,1.0,98.32,96.21,1635587.0,0.0
2018-03-29,78.867,96.86,96.31,1.0,98.93,98.22,1577828.0,0.0
2018-04-02,76.98,97.93,94.45,1.0,98.25,95.87,1132495.0,0.0
2018-04-03,77.4779,96.23,95.19,1.0,96.665,96.49,1850636.0,0.0
2018-04-04,77.9918,94.87,94.44,1.0,97.28,97.13,1436210.0,0.0
2018-04-05,78.4414,97.71,96.85,1.0,98.63,97.69,1114170.0,0.0
2018-04-06,74.8281,96.71,92.28,1.0,96.98,93.19,1795251.0,0.0
2018-04-09,74.6755,93.63,92.91,1.0,94.71,93.0,1361578.0,0.0
2018-04-10,75.9121,94.48,94.0,1.0,95.47,94.54,1426207.0,0.0
2018-04-11,75.1172,93.74,93.27,1.0,94.55,93.55,882861.0,0.0
2018-04-12,75.2296,94.0,93.12,1.0,94.5,93.69,1427830.0,0.0
2018-04-13,75.3661,94.93,93.56,1.0,94.9599,93.86,1207972.0,0.0
2018-04-16,75.7194,94.74,94.22,1.0,94.895,94.3,1052909.0,0.0
2018-04-17,75.4785,94.75,93.94,1.0,95.25,94.0,1325972.0,0.0
2018-04-18,77.0764,94.94,94.43,1.0,96.55,95.99,1609289.0,0.0
2018-04-19,77.0844,95.82,95.49,1.0,97.42,96.0,1440835.0,0.0
2018-04-20,77.1005,96.02,95.18,1.0,96.46,96.02,1317571.0,0.0
2018-04-23,76.3778,95.96,94.6569,1.0,95.97,95.12,1399299.0,0.0
2018-04-24,74.266,95.87,91.955,1.0,96.71,92.49,2583250.0,0.0
2018-04-25,76.2333,92.68,92.03,1.0,95.35,94.94,2913467.0,0.0
2018-04-26,75.5829,94.79,93.22,1.0,94.99,94.13,3005954.0,0.0
2018-04-27,76.5545,88.1,86.79,1.0,97.04,95.34,3625636.0,0.0
2018-04-30,74.4346,94.97,92.32,1.0,95.62,92.7,3212522.0,0.0
2018-05-01,73.7521,92.27,90.43,1.0,92.62,91.85,1693039.0,0.0
2018-05-02,72.082,91.66,89.62,1.0,92.3992,89.77,2025297.0,0.0
2018-05-03,71.8812,89.45,87.96,1.0,89.97,89.52,1834502.0,0.0
2018-05-04,73.4791,89.13,88.8,1.0,92.16,91.51,1526474.0,0.0
2018-05-07,74.3222,91.83,91.63,1.0,93.21,92.56,1231822.0,0.0
2018-05-08,75.2697,92.72,92.01,1.0,93.885,93.74,2534616.0,0.0
2018-05-09,76.4339,76.0,75.74,1.238,77.37,76.89,4450701.0,0.0
2018-05-10,76.2251,76.82,76.32,1.0,77.34,76.68,1883806.0,0.0
2018-05-11,76.6725,76.34,76.0,1.0,77.23,77.13,1730295.0,0.0
2018-05-14,77.2987,77.27,77.27,1.0,78.82,77.76,2396442.0,0.0
2018-05-15,76.4935,77.37,76.6,1.0,77.37,76.95,1539902.0,0.0
2018-05-16,77.1397,77.4,77.015,1.0,78.08,77.6,1445944.0,0.0
2018-05-17,77.2987,77.6,77.03,1.0,78.34,77.76,1165906.0,0.0
2018-05-18,78.5512,77.68,77.62,1.0,79.56,79.02,1775266.0,0.0
2018-05-21,79.9131,79.57,79.57,1.0,80.75,80.39,1466541.0,0.0
2018-05-22,78.6407,80.57,79.09,1.0,80.655,79.11,853356.0,0.0
2018-05-23,79.2769,78.68,78.59,1.0,79.99,79.75,1985293.0,0.0
2018-05-24,79.7541,79.36,79.1325,1.0,80.5,80.23,1359522.0,0.0
2018-05-25,78.6705,79.78,79.0,1.0,80.19,79.14,1691217.0,0.0
2018-05-29,77.4081,78.41,77.38,1.0,78.97,77.87,1871689.0,0.0
