date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,93.698,92.58,91.15,1.0,94.925,94.38,2458106.0,0.0
2018-02-07,94.3929,93.85,93.825,1.0,96.225,95.08,1213455.0,0.0
2018-02-08,90.67,95.35,91.23,1.0,95.659,91.33,1775009.0,0.0
2018-02-09,92.0202,92.23,90.23,1.0,93.41,92.69,1646321.0,0.0
2018-02-12,93.5391,93.25,93.15,1.0,94.87,94.22,1335002.0,0.0
2018-02-13,94.0355,93.87,93.23,1.0,95.0,94.72,1960415.0,0.0
2018-02-14,94.9191,94.71,94.18,1.0,96.085,95.61,1276374.0,0.0
2018-02-15,96.9841,96.09,95.86,1.0,97.86,97.69,1836354.0,0.0
2018-02-16,95.8225,97.4,96.11,1.0,97.72,96.52,1214885.0,0.0
2018-02-20,94.2142,95.98,94.25,1.0,96.13,94.9,1169676.0,0.0
2018-02-21,94.6113,94.84,94.84,1.0,96.65,95.3,1150541.0,0.0
2018-02-22,94.5021,95.61,94.87,1.0,96.3799,95.19,861088.0,0.0
2018-02-23,94.661,95.48,94.21,1.0,95.7471,95.35,1401820.0,0.0
2018-02-26,95.624,95.57,95.38,1.0,96.38,96.32,806039.0,0.0
2018-02-27,92.2088,96.46,92.83,1.0,96.97,92.88,1660310.0,0.0
2018-02-28,91.5238,92.86,91.87,1.0,94.06,92.19,3204289.0,0.0
2018-03-01,91.8316,92.39,91.77,1.0,94.36,92.5,1115526.0,0.0
2018-03-02,94.7801,91.98,91.98,1.0,95.71,95.47,2294816.0,0.0
2018-03-05,93.7675,95.16,94.1,1.0,95.58,94.45,1857326.0,0.0
2018-03-06,93.4398,94.87,93.08,1.0,94.87,94.12,1468480.0,0.0
2018-03-07,92.7151,93.25,92.46,1.0,93.56,93.39,1714781.0,0.0
2018-03-08,92.9435,93.78,93.34,1.0,94.28,93.62,1410974.0,0.0
2018-03-09,94.1249,94.33,93.71,1.0,94.92,94.81,1033434.0,0.0
2018-03-12,94.0653,94.85,94.31,1.0,95.48,94.75,1253138.0,0.0
2018-03-13,93.7972,95.27,94.32,1.0,95.46,94.48,1572180.0,0.0
2018-03-14,93.5292,94.97,93.99,1.0,96.01,94.21,1280270.0,0.0
2018-03-15,92.9435,94.31,93.45,1.0,95.19,93.62,1459845.0,0.0
2018-03-16,93.8667,93.87,93.68,1.0,95.2,94.55,3015717.0,0.0
2018-03-19,93.688,94.18,93.66,1.0,95.09,94.37,1627921.0,0.0
2018-03-20,94.4227,94.69,94.45,1.0,96.37,95.11,1922451.0,0.0
2018-03-21,92.6357,95.04,93.21,1.0,95.68,93.31,1656145.0,0.0
2018-03-22,85.319,88.48,85.88,1.0,90.0,85.94,5244847.0,0.0
2018-03-23,83.6412,85.83,84.22,1.0,87.16,84.25,2713459.0,0.0
2018-03-26,84.2071,85.49,84.55,1.0,86.825,84.82,2121694.0,0.0
2018-03-27,83.6114,84.76,83.67,1.0,85.33,84.22,1430117.0,0.0
2018-03-28,83.7702,84.26,83.91,1.0,84.73,84.38,1857939.0,0.0
2018-03-29,84.6339,84.78,84.21,1.0,85.64,85.25,1319850.0,0.0
2018-04-02,83.4625,86.01,82.38,1.0,86.03,84.07,2188506.0,0.0
2018-04-03,83.9489,84.26,83.57,1.0,85.38,84.56,1381417.0,0.0
2018-04-04,86.2125,83.75,83.75,1.0,87.04,86.84,1829153.0,0.0
2018-04-05,86.0437,87.08,86.06,1.0,87.08,86.67,1852828.0,0.0
2018-04-06,86.2323,86.01,85.83,1.0,87.09,86.86,1757619.0,0.0
2018-04-09,86.55,87.29,86.48,1.0,87.905,86.55,2084316.0,0.63
2018-04-10,86.59,87.09,85.87,1.0,87.25,86.59,1698489.0,0.0
2018-04-11,86.5,86.32,86.04,1.0,87.04,86.5,970039.0,0.0
2018-04-12,86.85,87.13,86.67,1.0,87.69,86.85,1040852.0,0.0
2018-04-13,87.72,87.28,86.86,1.0,87.88,87.72,1785453.0,0.0
2018-04-16,88.95,88.0,87.995,1.0,89.12,88.95,1618540.0,0.0
2018-04-17,89.42,89.96,88.88,1.0,90.42,89.42,1318708.0,0.0
2018-04-18,89.76,89.55,89.34,1.0,90.58,89.76,1137848.0,0.0
2018-04-19,89.76,89.74,88.95,1.0,90.1,89.76,843946.0,0.0
2018-04-20,91.05,90.72,90.36,1.0,91.35,91.05,1773846.0,0.0
2018-04-23,91.05,91.02,89.85,1.0,91.35,91.05,1500336.0,0.0
2018-04-24,90.4,91.58,89.69,1.0,91.88,90.4,1004653.0,0.0
2018-04-25,91.12,90.51,90.06,1.0,91.49,91.12,890346.0,0.0
2018-04-26,92.85,91.64,91.64,1.0,93.5,92.85,1413546.0,0.0
2018-04-27,94.44,93.01,92.745,1.0,95.43,94.44,1346373.0,0.0
2018-04-30,92.86,94.69,92.72,1.0,94.69,92.86,2533701.0,0.0
2018-05-01,93.3,92.77,92.1549,1.0,93.41,93.3,956271.0,0.0
2018-05-02,91.99,92.83,91.78,1.0,93.35,91.99,1003077.0,0.0
2018-05-03,91.83,91.87,91.09,1.0,92.14,91.83,869509.0,0.0
2018-05-04,92.83,91.9,91.78,1.0,93.68,92.83,1198112.0,0.0
2018-05-07,91.91,92.84,91.44,1.0,92.84,91.91,1916472.0,0.0
2018-05-08,92.27,92.12,91.89,1.0,93.0,92.27,1150343.0,0.0
2018-05-09,91.84,92.24,91.1,1.0,92.25,91.84,1132331.0,0.0
2018-05-10,91.34,91.53,91.04,1.0,91.7178,91.34,1129310.0,0.0
2018-05-11,90.33,91.48,90.27,1.0,92.25,90.33,1895607.0,0.0
2018-05-14,86.97,90.26,86.67,1.0,90.33,86.97,2307538.0,0.0
2018-05-15,87.3,86.7,86.3,1.0,87.4544,87.3,1686035.0,0.0
2018-05-16,87.22,87.44,87.005,1.0,87.82,87.22,1148353.0,0.0
2018-05-17,85.94,87.0,84.99,1.0,87.78,85.94,2345775.0,0.0
2018-05-18,85.06,86.03,84.42,1.0,86.4,85.06,1745630.0,0.0
2018-05-21,86.22,85.11,84.37,1.0,86.43,86.22,1468036.0,0.0
2018-05-22,85.94,86.4,85.37,1.0,86.605,85.94,1431393.0,0.0
2018-05-23,85.71,85.25,84.62,1.0,86.03,85.71,1672023.0,0.0
2018-05-24,86.95,85.92,85.76,1.0,87.425,86.95,1719290.0,0.0
2018-05-25,87.88,87.12,86.94,1.0,88.9,87.88,1478409.0,0.0
2018-05-29,88.08,87.32,86.93,1.0,88.09,88.08,1492507.0,0.0
2018-05-30,88.97,88.56,88.14,1.0,89.05,88.97,1244670.0,0.0
2018-05-31,87.41,88.96,86.925,1.0,88.96,87.41,1792908.0,0.0
2018-06-01,88.5,88.29,87.858,1.0,89.5,88.5,1269010.0,0.0
2018-06-04,88.67,88.23,87.86,1.0,89.055,88.67,1286950.0,0.0
2018-06-05,89.26,88.49,87.61,1.0,89.425,89.26,1106089.0,0.0
2018-06-06,90.91,89.51,89.24,1.0,91.18,90.91,1061458.0,0.0
2018-06-07,91.4,92.29,91.12,1.0,92.54,91.4,1257810.0,0.0
2018-06-08,91.45,91.25,90.54,1.0,91.91,91.45,1378873.0,0.0
2018-06-11,92.31,91.88,91.4,1.0,92.405,92.31,1157776.0,0.0
2018-06-12,92.83,92.71,91.98,1.0,93.01,92.83,1705596.0,0.0
2018-06-13,92.38,92.97,92.36,1.0,93.73,92.38,924522.0,0.0
2018-06-14,92.19,92.53,91.57,1.0,92.9,92.19,1681126.0,0.0
2018-06-15,94.1,92.05,91.34,1.0,94.18,94.1,1904321.0,0.0
