date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,72.7567,75.15,72.93,1.0,75.25,74.49,7796870.0,0.0
2018-02-07,72.6688,74.46,74.18,1.0,75.56,74.4,4832731.0,0.0
2018-02-08,72.5907,74.09,73.8,1.0,75.87,74.32,6129484.0,0.0
2018-02-09,74.3293,74.32,73.86,1.0,76.72,76.1,6300640.0,0.0
2018-02-12,75.0228,76.12,75.66,1.0,77.25,76.81,4368195.0,0.0
2018-02-13,75.2865,76.54,75.82,1.0,77.3,77.08,3805284.0,0.0
2018-02-14,73.7237,76.62,75.45,1.0,76.66,75.48,4521744.0,0.0
2018-02-15,75.2962,74.77,74.6601,1.0,76.21,76.2,3908793.0,0.89
2018-02-16,75.7903,76.07,75.77,1.0,76.89,76.7,3794068.0,0.0
2018-02-20,74.7923,76.21,74.82,1.0,76.62,75.69,3875085.0,0.0
2018-02-21,74.4366,75.58,75.3,1.0,76.5,75.33,4215180.0,0.0
2018-02-22,74.6441,75.48,75.17,1.0,76.25,75.54,3103911.0,0.0
2018-02-23,76.3041,75.45,75.38,1.0,77.3,77.22,2806047.0,0.0
2018-02-26,76.9958,79.11,77.65,1.0,79.63,77.92,5225226.0,0.0
2018-02-27,75.4247,77.88,76.33,1.0,78.29,76.33,4043575.0,0.0
2018-02-28,74.4464,76.02,75.31,1.0,76.56,75.34,3269515.0,0.0
2018-03-01,74.6638,75.35,75.16,1.0,76.82,75.56,3209749.0,0.0
2018-03-02,74.4563,75.46,74.5797,1.0,76.3,75.35,3631350.0,0.0
2018-03-05,76.5709,75.22,74.87,1.0,77.67,77.49,3840629.0,0.0
2018-03-06,74.9603,77.23,75.63,1.0,77.39,75.86,3655394.0,0.0
2018-03-07,74.3575,75.41,74.925,1.0,75.7,75.25,9936928.0,0.0
2018-03-08,75.0887,75.53,75.24,1.0,76.03,75.99,4164624.0,0.0
2018-03-09,75.2271,75.9,75.52,1.0,76.15,76.13,3629195.0,0.0
2018-03-12,75.6421,76.12,76.055,1.0,76.73,76.55,3580066.0,0.0
2018-03-13,75.563,76.9,76.1899,1.0,77.33,76.47,6310207.0,0.0
2018-03-14,76.0868,76.71,76.45,1.0,77.33,77.0,3787330.0,0.0
2018-03-15,75.8298,76.87,76.29,1.0,77.63,76.74,4578654.0,0.0
2018-03-16,76.6698,76.9,76.7362,1.0,77.73,77.59,6561970.0,0.0
2018-03-19,76.1263,77.8,76.7061,1.0,77.87,77.04,5458855.0,0.0
2018-03-20,75.5235,77.02,76.33,1.0,77.37,76.43,3863322.0,0.0
2018-03-21,75.2765,76.43,75.84,1.0,77.22,76.18,4042914.0,0.0
