date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,42.79,41.72,41.72,1.0,43.1,42.79,18057076.0,0.0
2018-02-07,42.33,42.67,42.23,1.0,43.12,42.33,11286880.0,0.0
2018-02-08,41.02,42.5,41.01,1.0,42.95,41.02,12035201.0,0.0
2018-02-09,41.66,41.5,40.43,1.0,41.98,41.66,14727321.0,0.0
2018-02-12,42.32,41.95,41.64,1.0,42.64,42.32,11524798.0,0.0
2018-02-13,42.15,41.99,41.9,1.0,42.78,42.15,10116253.0,0.0
2018-02-14,42.44,41.83,41.75,1.0,42.67,42.44,9859820.0,0.0
2018-02-15,43.01,42.68,42.23,1.0,43.255,43.01,10275166.0,0.0
2018-02-16,43.34,43.16,42.91,1.0,43.64,43.34,9352182.0,0.0
2018-02-20,43.39,43.11,43.01,1.0,43.79,43.39,10873121.0,0.0
2018-02-21,43.12,43.52,43.06,1.0,43.7,43.12,8951460.0,0.0
2018-02-22,42.83,43.16,42.62,1.0,43.51,42.83,9534700.0,0.0
2018-02-23,43.68,43.27,42.815,1.0,43.785,43.68,11101710.0,0.0
2018-02-26,43.83,43.8,43.65,1.0,44.36,43.83,6366809.0,0.0
2018-02-27,43.15,43.82,43.13,1.0,43.95,43.15,9152950.0,0.0
2018-02-28,42.86,43.22,42.85,1.0,43.42,42.86,8344453.0,0.0
2018-03-01,42.27,43.01,42.05,1.0,43.11,42.27,8040493.0,0.0
2018-03-02,42.95,42.6,42.22,1.0,43.06,42.95,8070221.0,0.0
2018-03-05,43.19,42.79,42.62,1.0,43.545,43.19,5506131.0,0.0
2018-03-06,43.14,43.54,42.96,1.0,43.54,43.14,5324822.0,0.0
2018-03-07,43.93,42.97,42.8,1.0,44.0244,43.93,8126490.0,0.0
2018-03-08,43.68,44.16,43.41,1.0,44.3,43.68,8403029.0,0.0
2018-03-09,43.81,43.76,43.34,1.0,43.85,43.81,6982604.0,0.0
2018-03-12,43.9,44.03,43.43,1.0,44.035,43.9,9027742.0,0.0
2018-03-13,42.82,44.14,42.685,1.0,44.22,42.82,9432274.0,0.0
2018-03-14,42.83,42.97,42.65,1.0,43.14,42.83,10334526.0,0.0
2018-03-15,42.59,42.82,42.16,1.0,42.83,42.59,6648916.0,0.0
2018-03-16,42.46,42.62,42.38,1.0,42.74,42.46,13585087.0,0.0
2018-03-19,42.09,42.23,41.72,1.0,42.76,42.09,7638844.0,0.0
2018-03-20,41.96,42.08,41.71,1.0,42.19,41.96,7500870.0,0.0
2018-03-21,41.67,41.87,41.47,1.0,42.13,41.67,7080823.0,0.0
2018-03-22,40.58,41.24,40.56,1.0,41.55,40.58,9989000.0,0.0
2018-03-23,39.71,40.57,39.7,1.0,40.94,39.71,8970872.0,0.0
2018-03-26,41.01,40.3,39.585,1.0,41.06,41.01,8894872.0,0.0
2018-03-27,40.22,41.15,39.98,1.0,41.17,40.22,11000479.0,0.0
2018-03-28,40.11,40.13,39.64,1.0,40.815,40.11,14336456.0,0.0
2018-03-29,40.24,40.44,39.99,1.0,40.83,40.24,13438323.0,0.0
2018-04-02,39.36,40.04,38.9,1.0,40.3393,39.36,7721403.0,0.0
2018-04-03,39.61,39.47,39.22,1.0,39.895,39.61,9671723.0,0.0
2018-04-04,39.79,39.1,39.0,1.0,39.91,39.79,10205773.0,0.0
2018-04-05,40.03,40.11,39.61,1.0,40.31,40.03,6190805.0,0.0
2018-04-06,39.09,39.66,39.0,1.0,39.935,39.09,6019663.0,0.0
2018-04-09,38.88,39.21,38.82,1.0,39.55,38.88,7607474.0,0.0
2018-04-10,39.59,39.3,39.14,1.0,39.82,39.59,7617317.0,0.0
2018-04-11,39.83,40.41,39.511,1.0,41.09,39.83,17644406.0,0.0
2018-04-12,40.53,40.27,39.9515,1.0,40.89,40.53,14002474.0,0.0
2018-04-13,39.9,41.06,39.8,1.0,41.09,39.9,7340861.0,0.0
2018-04-16,40.19,40.22,39.81,1.0,40.66,40.19,6629224.0,0.0
2018-04-17,40.61,40.39,40.13,1.0,40.8,40.61,9474509.0,0.0
2018-04-18,41.75,42.85,41.145,1.0,42.9,41.75,19386289.0,0.0
2018-04-19,42.11,41.53,41.51,1.0,42.245,42.11,9700716.0,0.0
2018-04-20,42.2,42.28,42.06,1.0,43.0,42.2,13731605.0,0.0
2018-04-23,41.6,42.35,41.49,1.0,42.5,41.6,8673103.0,0.0
2018-04-24,41.18,41.85,40.81,1.0,42.18,41.18,7316938.0,0.0
2018-04-25,40.97,41.11,40.245,1.0,41.28,40.97,11161166.0,0.0
2018-04-26,38.68,38.84,38.09,1.0,39.07,38.68,21446653.0,0.0
2018-04-27,38.23,38.68,37.99,1.0,38.8862,38.23,15960098.0,0.0
2018-04-30,37.88,38.29,37.65,1.0,38.6199,37.88,10620362.0,0.0
2018-05-01,37.83,37.75,37.42,1.0,37.92,37.83,7301878.0,0.0
2018-05-02,37.18,37.83,37.08,1.0,37.99,37.18,11027808.0,0.0
2018-05-03,37.64,37.0,36.81,1.0,37.755,37.64,8942680.0,0.0
2018-05-04,38.0,37.33,37.21,1.0,38.19,38.0,6359290.0,0.0
2018-05-07,37.8,38.08,37.61,1.0,38.25,37.8,6773684.0,0.0
2018-05-08,38.1,37.73,37.4825,1.0,38.14,38.1,8953040.0,0.0
2018-05-09,38.23,38.3,38.18,1.0,38.84,38.23,9597472.0,0.0
2018-05-10,38.5,38.39,38.09,1.0,38.56,38.5,7215519.0,0.0
2018-05-11,38.26,38.38,38.11,1.0,38.76,38.26,7455910.0,0.0
2018-05-14,38.39,38.145,38.145,1.0,38.67,38.39,7462763.0,0.0
2018-05-15,38.08,38.12,37.69,1.0,38.21,38.08,6747247.0,0.0
2018-05-16,38.35,38.0,37.95,1.0,38.57,38.35,11002589.0,0.0
2018-05-17,38.4,38.23,38.23,1.0,38.84,38.4,6370421.0,0.0
2018-05-18,38.32,38.3,38.1649,1.0,38.575,38.32,6736578.0,0.0
2018-05-21,38.29,38.49,38.189,1.0,38.815,38.29,6599255.0,0.0
2018-05-22,37.77,38.4,37.69,1.0,38.49,37.77,9142228.0,0.0
2018-05-23,38.04,37.61,37.47,1.0,38.055,38.04,7347029.0,0.0
2018-05-24,37.79,38.03,37.63,1.0,38.24,37.79,6256208.0,0.0
2018-05-25,37.94,37.84,37.8,1.0,38.29,37.94,8736645.0,0.0
2018-05-29,37.53,37.73,37.36,1.0,37.88,37.53,8306041.0,0.0
2018-05-30,37.85,37.78,37.53,1.0,38.12,37.85,7908718.0,0.0
2018-05-31,37.72,37.78,37.18,1.0,37.81,37.72,10710686.0,0.0
2018-06-01,38.34,38.06,37.91,1.0,38.855,38.34,7831203.0,0.0
2018-06-04,39.07,38.47,38.39,1.0,39.125,39.07,8115338.0,0.0
2018-06-05,40.04,39.23,39.22,1.0,40.47,40.04,11216124.0,0.0
2018-06-06,39.95,40.07,39.3,1.0,40.11,39.95,6986651.0,0.0
2018-06-07,40.45,40.06,39.8352,1.0,40.86,40.45,11570738.0,0.0
