date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,130.9749,130.4,128.635,1.0,132.77,131.74,2818900.0,0.0
2018-02-07,132.3469,130.94,130.94,1.0,135.43,133.12,2026353.0,0.0
2018-02-08,127.018,133.23,127.66,1.0,133.64,127.76,2053309.0,0.0
2018-02-09,127.7736,128.88,125.74,1.0,129.804,128.52,2205136.0,0.0
2018-02-12,129.4041,129.24,129.01,1.0,131.03,130.16,1378768.0,0.0
2018-02-13,128.5888,129.09,127.19,1.0,129.965,129.34,1370193.0,0.0
2018-02-14,129.0462,128.48,128.1,1.0,130.41,129.8,1336601.0,0.0
2018-02-15,131.0047,130.68,130.33,1.0,131.77,131.77,1444633.0,0.0
2018-02-16,130.7264,131.22,130.95,1.0,132.91,131.49,1284283.0,0.0
2018-02-20,130.955,131.49,130.14,1.0,133.44,131.72,1380545.0,0.0
2018-02-21,129.1456,132.08,129.83,1.0,132.53,129.9,1589195.0,0.0
2018-02-22,128.6982,130.52,129.14,1.0,131.37,129.45,1328077.0,0.0
2018-02-23,130.0801,130.19,129.32,1.0,130.96,130.84,1511966.0,0.0
2018-02-26,131.2235,131.23,130.85,1.0,132.21,131.99,1093060.0,0.0
2018-02-27,130.3287,132.0,131.06,1.0,132.42,131.09,903719.0,0.0
2018-02-28,129.6924,131.45,130.44,1.0,132.05,130.45,1237640.0,0.0
2018-03-01,127.9625,129.9,128.08,1.0,131.055,128.71,1309326.0,0.0
2018-03-02,127.1174,128.22,127.23,1.0,129.06,127.86,1204626.0,0.0
2018-03-05,129.1953,127.3,127.3,1.0,130.4,129.95,1186629.0,0.0
2018-03-06,130.2491,130.29,129.36,1.0,131.64,131.01,933913.0,0.0
2018-03-07,132.0287,130.15,129.9,1.0,133.19,132.8,1999950.0,0.0
2018-03-08,133.5598,133.19,132.8,1.0,134.41,134.34,1818480.0,0.0
2018-03-09,134.1265,133.94,133.75,1.0,134.95,134.91,2129275.0,0.0
2018-03-12,135.9856,135.0,134.73,1.0,137.22,136.78,1445831.0,0.0
2018-03-13,136.0353,137.07,136.0011,1.0,137.51,136.83,1396000.0,0.0
2018-03-14,135.5184,137.37,136.05,1.0,137.73,136.31,1535182.0,0.0
2018-03-15,135.9061,136.39,135.92,1.0,136.92,136.7,1255664.0,0.0
2018-03-16,137.2781,136.84,136.695,1.0,138.44,138.08,1825923.0,0.0
2018-03-19,136.095,137.39,136.05,1.0,138.09,136.48,1298328.0,0.41
2018-03-20,136.2446,136.48,135.38,1.0,137.01,136.63,1131116.0,0.0
2018-03-21,136.0352,136.62,136.13,1.0,137.82,136.42,922072.0,0.0
2018-03-22,133.7417,135.5,133.93,1.0,136.3,134.12,1080602.0,0.0
2018-03-23,131.8769,134.55,132.25,1.0,135.14,132.25,1281063.0,0.0
2018-03-26,134.3599,133.61,132.62,1.0,134.85,134.74,1121684.0,0.0
2018-03-27,134.5992,134.92,134.19,1.0,137.02,134.98,1397095.0,0.0
2018-03-28,134.9283,135.54,134.96,1.0,136.71,135.31,1224448.0,0.0
2018-03-29,136.6833,135.93,134.94,1.0,137.93,137.07,1319154.0,0.0
2018-04-02,133.5921,136.71,132.79,1.0,137.0,133.97,1112024.0,0.0
2018-04-03,136.5138,134.66,133.98,1.0,137.42,136.9,1611019.0,0.0
2018-04-04,138.4783,135.28,134.89,1.0,139.02,138.87,1525604.0,0.0
2018-04-05,140.8515,139.58,139.12,1.0,141.87,141.25,1666084.0,0.0
2018-04-06,139.3857,140.52,139.0,1.0,141.99,139.78,1791781.0,0.0
2018-04-09,139.8544,140.63,139.92,1.0,141.91,140.25,1470637.0,0.0
2018-04-10,141.2404,141.45,140.58,1.0,142.64,141.64,1323276.0,0.0
2018-04-11,140.2532,140.67,139.85,1.0,141.1435,140.65,1047065.0,0.0
2018-04-12,140.9812,141.27,140.7,1.0,142.07,141.38,921725.0,0.0
2018-04-13,140.7817,142.1,140.815,1.0,142.125,141.18,847875.0,0.0
2018-04-16,146.5454,142.31,141.29,1.0,147.05,146.96,3491096.0,0.0
2018-04-17,147.6523,147.78,145.9,1.0,148.51,148.07,1550869.0,0.0
2018-04-18,149.4173,148.41,147.86,1.0,150.46,149.84,1416133.0,0.0
2018-04-19,148.5597,149.98,148.49,1.0,149.98,148.98,1129009.0,0.0
2018-04-20,148.1309,148.78,147.61,1.0,149.17,148.55,1160731.0,0.0
2018-04-23,148.7293,148.22,148.22,1.0,149.6199,149.15,1334310.0,0.0
2018-04-24,145.8374,149.4,144.89,1.0,149.64,146.25,1538401.0,0.0
2018-04-25,144.7605,146.03,143.74,1.0,146.03,145.17,1830411.0,0.0
2018-04-26,145.7676,145.78,144.82,1.0,146.82,146.18,1021377.0,0.0
2018-04-27,146.2961,145.93,144.65,1.0,147.09,146.71,1196853.0,0.0
2018-04-30,144.3616,147.38,144.42,1.0,147.99,144.77,2107748.0,0.0
2018-05-01,146.715,136.0,136.0,1.0,147.48,147.13,1998444.0,0.0
2018-05-02,143.8331,145.58,143.73,1.0,146.85,144.24,1641513.0,0.0
2018-05-03,143.7733,143.41,142.92,1.0,145.11,144.18,1432074.0,0.0
2018-05-04,144.9799,143.74,143.2,1.0,146.45,145.39,949904.0,0.0
