date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,75.94,73.76,72.95,1.0,76.13,75.94,6303347.0,0.0
2018-02-07,74.95,75.38,74.92,1.0,76.33,74.95,3662487.0,0.0
2018-02-08,73.35,74.73,73.29,1.0,75.9377,73.35,3232414.0,0.0
2018-02-09,71.71,73.82,68.84,1.0,74.28,71.71,8612201.0,0.0
2018-02-12,72.89,72.1,72.07,1.0,73.71,72.89,3653999.0,0.0
2018-02-13,73.59,71.94,71.41,1.0,74.0536,73.59,3674491.0,0.0
2018-02-14,74.93,73.13,72.795,1.0,75.08,74.93,3863178.0,0.0
2018-02-15,74.07,75.19,74.07,1.0,75.7,74.07,3235968.0,0.0
2018-02-16,75.23,74.19,74.11,1.0,75.64,75.23,2970392.0,0.0
2018-02-20,76.05,74.58,74.14,1.0,76.33,76.05,3922779.0,0.0
2018-02-21,75.83,76.05,75.82,1.0,77.19,75.83,3080191.0,0.0
2018-02-22,74.72,75.72,74.36,1.0,76.5,74.72,2396171.0,0.0
2018-02-23,77.0,75.33,74.77,1.0,77.12,77.0,3652324.0,0.0
2018-02-26,77.64,77.45,76.755,1.0,77.95,77.64,3987129.0,0.0
2018-02-27,78.64,77.57,76.56,1.0,79.65,78.64,5105971.0,0.0
2018-02-28,75.45,80.0,75.41,1.0,80.5,75.45,6889836.0,0.0
2018-03-01,74.07,75.26,73.42,1.0,76.15,74.07,4574508.0,0.0
2018-03-02,74.77,73.71,73.1852,1.0,75.25,74.77,3982436.0,0.0
2018-03-05,74.76,74.3,74.22,1.0,75.59,74.76,3699342.0,0.0
2018-03-06,74.58,74.35,74.18,1.0,75.6,74.58,4048813.0,0.0
2018-03-07,73.42,73.75,72.51,1.0,74.34,73.42,5405606.0,0.0
2018-03-08,79.72,85.05,79.06,1.0,85.07,79.72,38570195.0,0.0
2018-03-09,80.75,80.0,79.66,1.0,81.13,80.75,9067144.0,0.0
2018-03-12,78.25,80.61,78.25,1.0,80.67,78.25,7014948.0,0.0
2018-03-13,77.0,78.52,76.71,1.0,78.73,77.0,7984443.0,0.0
2018-03-14,76.7,77.24,75.9,1.0,77.54,76.7,8336571.0,0.0
2018-03-15,76.33,76.62,76.0,1.0,77.03,76.33,3991631.0,0.0
2018-03-16,76.02,76.85,75.885,1.0,76.91,76.02,5306990.0,0.0
2018-03-19,72.99,75.78,72.88,1.0,75.85,72.99,7106409.0,0.0
2018-03-20,72.42,73.53,72.21,1.0,73.86,72.42,6193431.0,0.0
2018-03-21,71.68,72.2,71.57,1.0,72.82,71.68,5757593.0,0.0
2018-03-22,70.47,71.18,70.36,1.0,71.98,70.47,4587148.0,0.0
2018-03-23,70.16,70.55,69.77,1.0,71.14,70.16,5041004.0,0.0
2018-03-26,71.7,70.66,69.2204,1.0,71.88,71.7,7506729.0,0.0
2018-03-27,70.37,71.93,69.94,1.0,72.52,70.37,5783654.0,0.0
2018-03-28,69.73,70.56,69.7,1.0,70.95,69.73,5565354.0,0.0
2018-03-29,69.08,70.21,69.005,1.0,70.49,69.08,4558988.0,0.0
2018-04-02,67.87,68.89,66.93,1.0,68.9386,67.87,4445157.0,0.0
2018-04-03,69.01,68.18,67.34,1.0,69.83,69.01,2920836.0,0.0
2018-04-04,70.04,68.4,68.05,1.0,71.02,70.04,6806653.0,0.0
2018-04-05,69.18,70.28,69.02,1.0,70.64,69.18,3209202.0,0.0
2018-04-06,67.88,68.69,67.37,1.0,69.29,67.88,3195176.0,0.0
2018-04-09,68.03,68.23,67.75,1.0,69.5,68.03,4428888.0,0.0
2018-04-10,69.82,68.6,68.4,1.0,70.19,69.82,3692462.0,0.0
2018-04-11,69.72,69.26,69.0,1.0,70.03,69.72,2868636.0,0.0
2018-04-12,71.61,69.98,69.9,1.0,72.17,71.61,3753707.0,0.0
2018-04-13,71.62,71.9,71.045,1.0,72.48,71.62,2930781.0,0.0
2018-04-16,71.99,71.83,71.5,1.0,73.11,71.99,5858572.0,0.0
