date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,72.0469,73.64,71.95,1.0,74.35,73.76,2303368.0,0.0
2018-02-07,71.9493,72.79,72.61,1.0,74.46,72.77,1747213.0,0.89
2018-02-08,71.2077,72.57,71.99,1.0,73.7,72.02,1543485.0,0.0
2018-02-09,73.2939,72.33,72.14,1.0,74.86,74.13,1613646.0,0.0
2018-02-12,73.7883,74.25,73.42,1.0,75.0,74.63,1248526.0,0.0
2018-02-13,74.2035,74.56,73.65,1.0,75.28,75.05,757531.0,0.0
2018-02-14,73.1456,74.53,73.73,1.0,74.92,73.98,792022.0,0.0
2018-02-15,75.4493,74.29,73.85,1.0,76.4,76.31,1584467.0,0.0
2018-02-16,75.8547,76.24,76.24,1.0,77.0,76.72,1349061.0,0.0
2018-02-20,74.5792,76.25,74.84,1.0,76.71,75.43,903487.0,0.0
2018-02-21,73.6004,75.42,74.43,1.0,76.05,74.44,1195044.0,0.0
2018-02-22,74.1838,74.7,74.3,1.0,75.83,75.03,1752284.0,0.0
2018-02-23,76.8632,74.81,73.55,1.0,77.86,77.74,1993294.0,0.0
2018-02-26,76.0821,77.96,76.55,1.0,78.0,76.95,1074558.0,0.0
2018-02-27,75.1824,77.0,76.02,1.0,78.36,76.04,1845776.0,0.0
2018-02-28,74.9649,76.4,75.8,1.0,76.7123,75.82,1772300.0,0.0
2018-03-01,75.0242,75.87,75.57,1.0,77.23,75.88,1797949.0,0.0
2018-03-02,75.6767,75.81,75.66,1.0,76.81,76.54,1660416.0,0.0
2018-03-05,77.6838,76.46,76.05,1.0,78.85,78.57,1493560.0,0.0
2018-03-06,76.8434,78.38,77.2,1.0,78.38,77.72,1452107.0,0.0
2018-03-07,75.8942,77.41,76.23,1.0,77.72,76.76,1456628.0,0.0
2018-03-08,75.7954,77.04,76.23,1.0,77.04,76.66,1378993.0,0.0
2018-03-09,75.914,76.82,76.19,1.0,76.95,76.78,1599998.0,0.0
2018-03-12,76.3589,76.92,76.59,1.0,77.3,77.23,1019033.0,0.0
2018-03-13,76.2205,77.39,76.85,1.0,78.19,77.09,823836.0,0.0
2018-03-14,76.6259,77.34,77.07,1.0,77.9088,77.5,993595.0,0.0
2018-03-15,76.6556,77.53,77.19,1.0,78.415,77.53,1067575.0,0.0
2018-03-16,77.9903,77.79,77.65,1.0,79.01,78.88,3452803.0,0.0
2018-03-19,77.6542,78.88,78.16,1.0,79.24,78.54,1288288.0,0.0
2018-03-20,77.8717,78.36,78.21,1.0,79.01,78.76,1509971.0,0.0
2018-03-21,77.3674,78.75,77.45,1.0,79.0,78.25,1096368.0,0.0
2018-03-22,77.4663,78.35,77.931,1.0,80.15,78.35,1125431.0,0.0
2018-03-23,76.4776,78.62,77.19,1.0,79.15,77.35,824061.0,0.0
2018-03-26,77.2587,77.48,77.3,1.0,78.27,78.14,736798.0,0.0
2018-03-27,78.3957,78.22,77.92,1.0,80.11,79.29,1028305.0,0.0
2018-03-28,78.109,79.57,78.65,1.0,80.05,79.0,1299900.0,0.0
2018-03-29,77.8915,79.21,78.76,1.0,79.7,78.78,1301651.0,0.0
2018-04-02,78.0002,78.96,78.28,1.0,79.889,78.89,1222519.0,0.0
2018-04-03,78.2968,78.73,78.43,1.0,79.74,79.19,1175225.0,0.0
2018-04-04,78.3463,79.2,78.64,1.0,80.04,79.24,1156056.0,0.0
2018-04-05,78.8604,79.26,77.89,1.0,79.96,79.76,1311932.0,0.0
2018-04-06,78.0892,80.02,78.76,1.0,80.02,78.98,1041057.0,0.0
2018-04-09,78.0694,79.0,78.74,1.0,79.62,78.96,928172.0,0.0
2018-04-10,77.6245,79.17,78.32,1.0,79.7,78.51,1497202.0,0.0
2018-04-11,77.5652,78.46,78.16,1.0,78.88,78.45,753440.0,0.0
2018-04-12,76.4776,78.58,77.15,1.0,78.8172,77.35,709943.0,0.0
2018-04-13,77.7629,77.5,77.5,1.0,78.77,78.65,1360652.0,0.0
2018-04-16,78.7319,78.94,78.82,1.0,79.83,79.63,1255781.0,0.0
2018-04-17,79.246,79.6,79.17,1.0,80.4,80.15,1247755.0,0.0
2018-04-18,78.6627,80.31,79.49,1.0,80.5945,79.56,1457906.0,0.0
2018-04-19,79.1175,79.5,79.01,1.0,80.36,80.02,1896901.0,0.0
2018-04-20,78.0892,80.01,78.62,1.0,80.13,78.98,1416409.0,0.0
2018-04-23,78.3562,79.33,78.86,1.0,79.74,79.25,879397.0,0.0
2018-04-24,79.1966,79.5,79.38,1.0,80.89,80.1,1386613.0,0.0
2018-04-25,78.5242,79.38,78.21,1.0,80.15,79.42,1221633.0,0.0
2018-04-26,80.3732,79.64,79.26,1.0,81.33,81.29,1715539.0,0.0
2018-04-27,81.1839,81.08,80.94,1.0,82.42,82.11,1949921.0,0.0
2018-04-30,80.6698,82.16,81.57,1.0,82.4396,81.59,1061438.0,0.0
2018-05-01,80.3138,81.62,80.99,1.0,81.83,81.23,935926.0,0.0
2018-05-02,80.6895,81.05,80.82,1.0,81.72,81.61,1926989.0,0.0
2018-05-03,81.4212,81.5,80.82,1.0,82.63,82.35,1596679.0,0.0
2018-05-04,81.2729,82.32,82.03,1.0,82.62,82.2,972854.0,0.0
2018-05-07,80.6302,82.18,81.39,1.0,82.42,81.55,917772.0,0.0
2018-05-08,78.5045,80.93,78.94,1.0,80.96,79.4,1539068.0,0.0
2018-05-09,78.02,78.64,77.57,1.0,78.892,78.02,1025270.0,0.89
2018-05-10,78.96,78.62,78.03,1.0,79.06,78.96,727249.0,0.0
2018-05-11,78.85,79.15,78.67,1.0,79.22,78.85,493225.0,0.0
2018-05-14,78.55,79.06,78.11,1.0,79.13,78.55,1228099.0,0.0
2018-05-15,77.55,78.16,77.09,1.0,78.38,77.55,1015744.0,0.0
2018-05-16,76.97,77.67,76.58,1.0,77.77,76.97,894820.0,0.0
2018-05-17,76.26,76.99,76.02,1.0,77.15,76.26,1292529.0,0.0
2018-05-18,76.14,76.3,75.45,1.0,76.51,76.14,1012942.0,0.0
2018-05-21,76.25,76.43,75.78,1.0,76.48,76.25,877697.0,0.0
2018-05-22,76.68,76.56,76.09,1.0,77.09,76.68,989234.0,0.0
2018-05-23,78.74,76.92,76.79,1.0,78.79,78.74,1958781.0,0.0
2018-05-24,79.48,78.52,78.19,1.0,79.55,79.48,1252780.0,0.0
2018-05-25,79.73,79.48,79.48,1.0,80.16,79.73,1128167.0,0.0
2018-05-29,79.62,79.57,79.24,1.0,80.46,79.62,1607544.0,0.0
2018-05-30,80.32,79.51,79.185,1.0,80.41,80.32,1981992.0,0.0
2018-05-31,80.91,80.41,79.89,1.0,81.13,80.91,1740695.0,0.0
2018-06-01,80.11,80.68,79.6,1.0,80.78,80.11,1599104.0,0.0
2018-06-04,78.3,80.37,78.25,1.0,80.53,78.3,1651624.0,0.0
2018-06-05,77.71,78.29,77.58,1.0,78.62,77.71,1226615.0,0.0
2018-06-06,76.4,77.71,76.23,1.0,77.84,76.4,877292.0,0.0
2018-06-07,76.63,75.89,75.83,1.0,77.21,76.63,5445749.0,0.0
2018-06-08,76.89,76.83,76.03,1.0,77.04,76.89,2166521.0,0.0
2018-06-11,76.05,76.87,75.91,1.0,77.06,76.05,3538450.0,0.0
2018-06-12,76.98,76.1,76.05,1.0,77.17,76.98,4268281.0,0.0
2018-06-13,76.31,76.98,76.23,1.0,77.52,76.31,1998602.0,0.0
2018-06-14,76.71,76.48,76.2,1.0,77.0,76.71,1965984.0,0.0
2018-06-15,78.21,76.73,76.17,1.0,78.26,78.21,2890294.0,0.0
2018-06-18,78.4,78.0,77.8,1.0,79.04,78.4,3414826.0,0.0
2018-06-19,79.98,78.64,78.64,1.0,80.0,79.98,2606899.0,0.0
2018-06-20,80.25,80.0,79.48,1.0,80.4,80.25,3330876.0,0.0
2018-06-21,79.84,80.19,79.58,1.0,80.82,79.84,1844358.0,0.0
2018-06-22,80.21,80.23,79.7,1.0,80.72,80.21,2309335.0,0.0
2018-06-25,81.02,80.4,80.19,1.0,81.2,81.02,2770299.0,0.0
2018-06-26,80.9,80.81,80.68,1.0,81.74,80.9,1613149.0,0.0
2018-06-27,81.74,80.9,80.786,1.0,81.91,81.74,1641021.0,0.0
2018-06-28,81.45,81.71,81.13,1.0,82.14,81.45,619593.0,0.0
