date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-06-04,54.0,55.24,53.48,1.0,55.48,54.0,51172100.0,0.0
2018-06-05,54.0,54.0,54.0,1.0,54.0,54.0,2904786.0,0.0
2018-06-06,52.29,54.05,52.11,1.0,54.19,52.29,3642973.0,0.0
2018-06-07,51.93,52.25,51.74,1.0,52.56,51.93,2928630.0,0.0
2018-06-08,51.32,52.26,51.26,1.0,52.51,51.32,1830776.0,0.0
2018-06-11,51.57,51.46,50.89,1.0,51.76,51.57,2490703.0,0.0
2018-06-12,52.25,51.83,51.47,1.0,52.46,52.25,2956130.0,0.0
2018-06-13,52.18,52.4,51.67,1.0,53.12,52.18,2088989.0,0.0
2018-06-14,51.95,52.45,51.63,1.0,52.75,51.95,2494432.0,0.0
2018-06-15,52.78,52.06,51.65,1.0,53.16,52.78,5928826.0,0.0
2018-06-18,52.93,52.78,52.26,1.0,53.22,52.93,1874817.0,0.0
2018-06-19,53.97,53.24,53.09,1.0,54.0,53.97,2585688.0,0.0
2018-06-20,54.2,53.72,53.3,1.0,54.46,54.2,1355965.0,0.0
2018-06-21,54.17,54.39,53.91,1.0,54.77,54.17,1951191.0,0.0
2018-06-22,54.44,54.06,53.96,1.0,54.55,54.44,2453877.0,0.0
2018-06-25,54.91,54.36,54.03,1.0,55.09,54.91,2031643.0,0.0
2018-06-26,55.21,54.57,54.57,1.0,55.85,55.21,2018132.0,0.0
2018-06-27,55.46,55.1,55.01,1.0,55.81,55.46,1506724.0,0.0
2018-06-28,55.98,55.37,55.3,1.0,56.16,55.98,517948.0,0.0
