date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,127.08,125.06,123.37,1.0,127.62,127.08,2464717.0,0.0
2018-02-07,129.7,126.75,126.05,1.0,131.78,129.7,1953586.0,0.0
2018-02-08,123.78,129.97,123.7,1.0,130.33,123.78,1846933.0,0.0
2018-02-09,126.27,124.58,121.4,1.0,127.47,126.27,1447347.0,0.0
2018-02-12,126.89,126.85,124.87,1.0,128.21,126.89,1158046.0,0.0
2018-02-13,127.35,126.2,125.12,1.0,128.16,127.35,1015654.0,0.0
2018-02-14,130.21,126.33,125.97,1.0,130.63,130.21,1573619.0,0.0
2018-02-15,134.68,131.16,130.53,1.0,134.7,134.68,1456619.0,0.0
2018-02-16,133.82,134.27,133.38,1.0,135.33,133.82,894700.0,0.0
2018-02-20,134.32,133.81,133.0,1.0,135.93,134.32,1296838.0,0.0
2018-02-21,134.25,134.39,134.22,1.0,136.9,134.25,932608.0,0.0
2018-02-22,133.67,134.26,133.34,1.0,136.02,133.67,1146496.0,0.0
2018-02-23,135.64,134.11,133.01,1.0,135.69,135.64,864002.0,0.0
2018-02-26,136.72,136.0,134.95,1.0,137.53,136.72,849825.0,0.0
2018-02-27,135.23,136.93,135.23,1.0,137.8358,135.23,852777.0,0.0
2018-02-28,133.67,135.49,133.62,1.0,136.52,133.67,1184288.0,0.0
2018-03-01,132.91,133.64,130.89,1.0,134.69,132.91,1688607.0,0.0
2018-03-02,134.56,132.07,131.67,1.0,135.0,134.56,1106210.0,0.0
2018-03-05,136.24,133.93,133.5,1.0,136.9,136.24,1699258.0,0.0
2018-03-06,137.85,136.61,135.47,1.0,137.99,137.85,1298849.0,0.0
2018-03-07,137.77,136.29,135.17,1.0,137.84,137.77,839334.0,0.0
2018-03-08,138.25,138.0,136.76,1.0,138.82,138.25,895596.0,0.0
2018-03-09,139.32,139.01,137.64,1.0,140.07,139.32,984648.0,0.0
2018-03-12,140.04,139.5,138.72,1.0,140.76,140.04,1184856.0,0.0
2018-03-13,140.83,140.89,139.94,1.0,141.65,140.83,1203174.0,0.0
2018-03-14,141.0,141.0,139.92,1.0,141.76,141.0,1474949.0,0.0
2018-03-15,141.1,141.5,139.99,1.0,142.1,141.1,1029209.0,0.0
2018-03-16,142.34,141.45,140.64,1.0,143.22,142.34,1928180.0,0.0
2018-03-19,139.4,141.84,137.98,1.0,142.07,139.4,1428150.0,0.0
2018-03-20,141.34,139.69,138.915,1.0,141.9356,141.34,816757.0,0.0
2018-03-21,139.07,141.18,138.41,1.0,141.32,139.07,1695172.0,0.0
2018-03-22,137.3,138.12,137.15,1.0,140.33,137.3,1334039.0,0.0
2018-03-23,135.32,137.85,135.05,1.0,139.37,135.32,1251087.0,0.0
2018-03-26,140.28,136.9,136.11,1.0,140.73,140.28,1168145.0,0.0
2018-03-27,138.11,141.32,137.21,1.0,142.35,138.11,1415076.0,0.0
2018-03-28,136.77,138.37,136.33,1.0,139.36,136.77,1273834.0,0.0
2018-03-29,139.52,137.51,135.865,1.0,140.485,139.52,1486617.0,0.0
2018-04-02,135.45,139.24,133.45,1.0,139.57,135.45,1576182.0,0.0
2018-04-03,136.67,135.79,134.72,1.0,137.05,136.67,1533716.0,0.0
2018-04-04,138.76,134.78,133.97,1.0,139.1,138.76,1562690.0,0.0
2018-04-05,140.91,139.37,138.9,1.0,142.31,140.91,1437165.0,0.0
2018-04-06,137.51,140.07,135.9066,1.0,140.66,137.51,1776081.0,0.0
2018-04-09,137.37,138.0,136.64,1.0,139.49,137.37,1209224.0,0.0
2018-04-10,140.3,139.07,138.49,1.0,141.34,140.3,1072549.0,0.0
2018-04-11,137.47,139.42,137.41,1.0,139.98,137.47,1374466.0,0.0
2018-04-12,139.28,138.09,137.725,1.0,139.61,139.28,1202353.0,0.0
2018-04-13,137.84,140.34,136.91,1.0,140.34,137.84,1668774.0,0.0
2018-04-16,138.12,138.97,137.53,1.0,139.615,138.12,1481403.0,0.0
2018-04-17,139.21,138.93,133.84,1.0,139.65,139.21,1511483.0,0.0
2018-04-18,139.52,138.32,138.01,1.0,140.46,139.52,1477694.0,0.0
2018-04-19,138.56,139.23,137.76,1.0,140.18,138.56,1041127.0,0.0
2018-04-20,137.09,138.79,136.44,1.0,139.43,137.09,1541413.0,0.0
2018-04-23,137.19,137.75,136.56,1.0,138.89,137.19,1707568.0,0.0
2018-04-24,134.67,137.62,132.3,1.0,137.85,134.67,2118290.0,0.0
2018-04-25,129.52,124.01,123.0,1.0,130.75,129.52,5385460.0,0.0
2018-04-26,129.61,129.51,127.4548,1.0,131.11,129.61,1994411.0,0.0
2018-04-27,129.29,129.45,128.27,1.0,129.91,129.29,1332213.0,0.0
2018-04-30,127.36,129.46,127.29,1.0,130.21,127.36,1520620.0,0.0
2018-05-01,132.59,128.91,128.26,1.0,132.71,132.59,2920392.0,0.0
2018-05-02,131.68,132.01,130.34,1.0,132.85,131.68,1600485.0,0.0
2018-05-03,132.82,131.19,129.7214,1.0,133.29,132.82,1245667.0,0.0
2018-05-04,134.77,131.93,131.1101,1.0,135.51,134.77,1092608.0,0.0
2018-05-07,136.09,135.01,135.01,1.0,137.23,136.09,1230461.0,0.0
2018-05-08,134.83,135.45,133.97,1.0,136.18,134.83,1250166.0,0.0
2018-05-09,135.23,134.91,133.34,1.0,135.7,135.23,953111.0,0.0
2018-05-10,136.78,135.85,135.48,1.0,137.39,136.78,922438.0,0.0
2018-05-11,138.11,136.54,136.045,1.0,138.3,138.11,883734.0,0.0
2018-05-14,138.06,138.0,137.2,1.0,138.98,138.06,981724.0,0.0
2018-05-15,136.43,137.26,135.4201,1.0,137.42,136.43,847100.0,0.0
2018-05-16,136.42,136.69,136.0,1.0,137.345,136.42,732635.0,0.0
2018-05-17,135.83,136.0,135.22,1.0,136.605,135.83,630167.0,0.0
2018-05-18,135.95,135.53,134.79,1.0,136.36,135.95,1235253.0,0.0
2018-05-21,137.24,136.5,136.16,1.0,137.48,137.24,788242.0,0.0
2018-05-22,136.63,137.36,136.47,1.0,137.51,136.63,733891.0,0.0
2018-05-23,139.06,136.15,136.09,1.0,139.5,139.06,1400988.0,0.0
2018-05-24,137.57,139.39,136.5,1.0,139.98,137.57,1425526.0,0.0
2018-05-25,135.95,137.5,135.25,1.0,137.82,135.95,1002330.0,0.0
2018-05-29,135.93,135.38,134.38,1.0,136.08,135.93,924990.0,0.0
2018-05-30,137.45,136.34,136.28,1.0,138.85,137.45,826500.0,0.0
2018-05-31,137.31,138.11,136.98,1.0,139.4,137.31,1335035.0,0.0
2018-06-01,141.91,138.17,137.12,1.0,142.23,141.91,1532702.0,0.0
2018-06-04,142.78,141.92,140.73,1.0,143.76,142.78,1225504.0,0.0
2018-06-05,141.86,143.06,141.04,1.0,143.2,141.86,981149.0,0.0
2018-06-06,141.97,141.37,140.165,1.0,141.97,141.97,1308312.0,0.0
2018-06-07,142.01,142.37,140.33,1.0,142.76,142.01,1277636.0,0.0
2018-06-08,142.82,141.37,141.37,1.0,143.38,142.82,1005640.0,0.0
2018-06-11,146.27,143.1,142.59,1.0,146.94,146.27,1516940.0,0.0
2018-06-12,148.52,146.99,146.745,1.0,149.17,148.52,1648827.0,0.0
2018-06-13,151.98,150.0,149.6,1.0,153.66,151.98,1892799.0,0.0
2018-06-14,151.56,152.47,150.175,1.0,153.5,151.56,1638715.0,0.0
2018-06-15,152.51,151.82,151.07,1.0,153.87,152.51,2100152.0,0.0
2018-06-18,153.11,151.75,150.9,1.0,154.145,153.11,1199120.0,0.0
2018-06-19,153.6,152.0,151.44,1.0,153.75,153.6,1571203.0,0.0
2018-06-20,153.9,153.82,153.3701,1.0,155.2225,153.9,1322022.0,0.0
2018-06-21,152.18,153.71,151.44,1.0,154.1825,152.18,1195076.0,0.0
2018-06-22,152.87,152.77,151.76,1.0,154.1,152.87,1106297.0,0.0
2018-06-25,149.99,152.87,148.82,1.0,152.87,149.99,1258970.0,0.0
2018-06-26,150.23,150.28,149.31,1.0,151.2,150.23,856645.0,0.0
2018-06-27,144.76,147.99,144.18,1.0,149.65,144.76,1856683.0,0.0
2018-06-28,145.29,144.89,144.42,1.0,146.6,145.29,638344.0,0.0
