date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,35.8231,36.51,35.57,1.0,36.82,36.47,12536091.0,0.0
2018-02-07,35.5087,36.47,36.09,1.0,37.69,36.15,8551612.0,0.0
2018-02-08,35.3418,36.16,35.95,1.0,36.85,35.98,11310814.0,0.0
2018-02-09,36.2061,36.15,35.87,1.0,37.1,36.86,10812904.0,0.0
2018-02-12,36.5106,36.9,36.555,1.0,37.33,37.17,7405279.0,0.0
2018-02-13,36.3535,37.04,36.42,1.0,37.18,37.01,7406502.0,0.0
2018-02-14,36.2896,36.57,36.22,1.0,37.06,36.6,7657961.0,0.345
2018-02-15,37.182,36.72,36.62,1.0,37.51,37.5,6477369.0,0.0
2018-02-16,37.4596,37.6,37.43,1.0,37.98,37.78,8604700.0,0.0
2018-02-20,37.3605,37.73,37.47,1.0,38.1,37.68,8864763.0,0.0
2018-02-21,36.7457,37.68,37.02,1.0,37.76,37.06,14745519.0,0.0
2018-02-22,36.9242,37.18,36.93,1.0,37.52,37.24,7502859.0,0.0
2018-02-23,37.9157,37.36,37.18,1.0,38.28,38.24,5313944.0,0.0
2018-02-26,37.7075,38.29,37.86,1.0,38.4,38.03,4889297.0,0.0
2018-02-27,36.9242,38.03,37.24,1.0,38.485,37.24,6648851.0,0.0
2018-02-28,36.7259,37.3,37.04,1.0,37.66,37.04,7505537.0,0.0
2018-03-01,36.6268,37.18,36.65,1.0,37.55,36.94,5238368.0,0.0
2018-03-02,36.6069,36.97,36.5,1.0,37.14,36.92,5339856.0,0.0
2018-03-05,37.3605,36.85,36.67,1.0,37.75,37.68,5684546.0,0.0
2018-03-06,36.8548,37.69,37.02,1.0,37.73,37.17,6533954.0,0.0
2018-03-07,36.5078,37.05,36.57,1.0,37.2,36.82,4875134.0,0.0
2018-03-08,37.1324,36.86,36.74,1.0,37.52,37.45,4472454.0,0.0
2018-03-09,37.182,37.49,37.005,1.0,37.57,37.5,7047586.0,0.0
2018-03-12,37.2118,37.55,37.22,1.0,37.65,37.53,8514331.0,0.0
2018-03-13,37.1225,37.67,37.205,1.0,38.03,37.44,5329194.0,0.0
2018-03-14,37.5092,37.51,37.51,1.0,38.08,37.83,5324060.0,0.0
2018-03-15,37.5489,37.83,37.695,1.0,38.21,37.87,5385059.0,0.0
2018-03-16,38.0545,37.96,37.895,1.0,38.54,38.38,10255671.0,0.0
2018-03-19,37.8959,38.43,37.91,1.0,38.565,38.22,4559888.0,0.0
2018-03-20,37.9851,38.29,38.145,1.0,38.59,38.31,9868597.0,0.0
2018-03-21,37.7472,38.36,37.95,1.0,38.73,38.07,5770878.0,0.0
2018-03-22,38.0446,38.1,38.1,1.0,39.08,38.37,5613211.0,0.0
2018-03-23,37.3902,38.42,37.63,1.0,38.58,37.71,4488244.0,0.0
2018-03-26,37.7769,37.9,37.75,1.0,38.16,38.1,3385318.0,0.0
2018-03-27,38.1438,38.14,37.99,1.0,38.85,38.47,4867389.0,0.0
2018-03-28,38.2132,38.58,38.46,1.0,38.97,38.54,7685256.0,0.0
2018-03-29,38.6792,38.81,38.76,1.0,39.32,39.01,6223842.0,0.0
2018-04-02,37.9356,39.1,37.97,1.0,39.1601,38.26,7398704.0,0.0
2018-04-03,38.4214,38.25,38.18,1.0,38.93,38.75,6064150.0,0.0
2018-04-04,38.4512,38.66,38.25,1.0,38.8,38.78,4286123.0,0.0
2018-04-05,38.6693,38.8,38.41,1.0,39.12,39.0,4427988.0,0.0
2018-04-06,38.3024,38.98,38.4456,1.0,39.09,38.63,3475642.0,0.0
2018-04-09,38.2628,38.71,38.49,1.0,38.89,38.59,3835251.0,0.0
2018-04-10,38.3421,38.58,38.41,1.0,38.85,38.67,5598181.0,0.0
2018-04-11,38.1537,38.65,38.39,1.0,38.65,38.48,3765381.0,0.0
2018-04-12,37.4398,38.12,37.4532,1.0,38.535,37.76,9585065.0,0.0
2018-04-13,38.0149,38.06,38.0312,1.0,38.72,38.34,5489899.0,0.0
2018-04-16,38.2628,38.52,38.27,1.0,38.6851,38.59,4767873.0,0.0
2018-04-17,38.7387,38.7,38.62,1.0,39.16,39.07,4972972.0,0.0
2018-04-18,38.6098,39.18,38.94,1.0,39.54,38.94,4157449.0,0.0
2018-04-19,38.6296,38.9,38.58,1.0,39.03,38.96,3196216.0,0.0
2018-04-20,38.2727,38.99,38.4,1.0,39.0,38.6,4593102.0,0.0
2018-04-23,38.3322,38.72,38.485,1.0,39.06,38.66,4383282.0,0.0
2018-04-24,38.8478,38.84,38.74,1.0,39.62,39.18,5237632.0,0.0
2018-04-25,38.8279,39.01,38.7,1.0,39.19,39.16,3818549.0,0.0
2018-04-26,39.175,39.22,39.15,1.0,39.65,39.51,4011043.0,0.0
2018-04-27,39.5121,39.42,39.41,1.0,39.96,39.85,3301544.0,0.0
2018-04-30,39.3435,39.92,39.61,1.0,39.99,39.68,6805284.0,0.0
2018-05-01,39.8095,40.0,39.88,1.0,40.43,40.15,14136045.0,0.0
2018-05-02,40.0376,40.38,39.92,1.0,40.59,40.38,8072866.0,0.0
2018-05-03,40.5036,40.3,40.04,1.0,41.185,40.85,8154002.0,0.0
2018-05-04,40.7317,40.9,40.88,1.0,41.205,41.08,4187142.0,0.0
2018-05-07,40.9498,41.13,41.1,1.0,41.56,41.3,6937907.0,0.0
2018-05-08,40.3945,41.17,40.57,1.0,41.19,40.74,9582960.0,0.0
2018-05-09,39.6311,40.71,39.91,1.0,40.79,39.97,6292873.0,0.0
2018-05-10,40.2557,40.3,40.16,1.0,40.62,40.6,4839529.0,0.0
2018-05-11,40.2954,40.55,40.345,1.0,40.76,40.64,3392956.0,0.0
2018-05-14,40.34,40.45,40.08,1.0,40.55,40.34,4226823.0,0.345
2018-05-15,40.21,40.08,39.87,1.0,40.31,40.21,8295860.0,0.0
2018-05-16,39.79,40.11,39.58,1.0,40.27,39.79,4343638.0,0.0
2018-05-17,39.35,39.84,39.25,1.0,40.0,39.35,6401714.0,0.0
2018-05-18,39.44,39.42,39.105,1.0,39.665,39.44,6491563.0,0.0
2018-05-21,39.64,39.54,39.11,1.0,39.71,39.64,4903840.0,0.0
2018-05-22,39.87,39.63,39.62,1.0,40.115,39.87,5331018.0,0.0
2018-05-23,40.3,39.95,39.9,1.0,40.35,40.3,6601515.0,0.0
2018-05-24,40.53,40.18,39.935,1.0,40.55,40.53,6119197.0,0.0
2018-05-25,40.67,40.49,40.42,1.0,40.885,40.67,4390173.0,0.0
2018-05-29,40.71,40.49,40.33,1.0,40.89,40.71,6144225.0,0.0
2018-05-30,41.22,40.68,40.45,1.0,41.39,41.22,6727140.0,0.0
2018-05-31,41.39,41.17,40.9099,1.0,41.715,41.39,6176581.0,0.0
2018-06-01,40.99,41.39,40.41,1.0,41.4,40.99,6910550.0,0.0
2018-06-04,40.54,41.09,40.42,1.0,41.34,40.54,6684668.0,0.0
2018-06-05,40.43,40.7,40.23,1.0,40.75,40.43,4926430.0,0.0
2018-06-06,39.71,40.65,39.65,1.0,40.65,39.71,6190366.0,0.0
2018-06-07,40.14,39.74,39.625,1.0,40.53,40.14,6096995.0,0.0
2018-06-08,40.0,40.08,39.74,1.0,40.31,40.0,5415304.0,0.0
2018-06-11,39.93,40.0,39.725,1.0,40.22,39.93,4346327.0,0.0
2018-06-12,40.49,39.93,39.91,1.0,40.56,40.49,7251344.0,0.0
2018-06-13,40.52,40.61,40.36,1.0,41.125,40.52,5449404.0,0.0
2018-06-14,41.07,40.52,40.4,1.0,41.115,41.07,5081679.0,0.0
2018-06-15,41.49,40.97,40.58,1.0,41.57,41.49,11009624.0,0.0
2018-06-18,41.72,41.43,41.43,1.0,41.84,41.72,4843900.0,0.0
2018-06-19,41.61,41.75,41.245,1.0,42.14,41.61,6770706.0,0.0
2018-06-20,41.8,41.7,41.405,1.0,41.94,41.8,3896691.0,0.0
2018-06-21,41.43,41.71,41.19,1.0,41.9142,41.43,6894976.0,0.0
2018-06-22,41.5,41.59,41.35,1.0,41.73,41.5,5138103.0,0.0
2018-06-25,41.85,41.59,41.49,1.0,42.105,41.85,6911176.0,0.0
2018-06-26,42.03,41.95,41.8,1.0,42.215,42.03,10904010.0,0.0
2018-06-27,42.2,42.03,41.9,1.0,42.345,42.2,5636528.0,0.0
2018-06-28,42.21,42.33,42.11,1.0,42.61,42.21,1893060.0,0.0
