date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,63.734,61.93,61.01,1.0,64.43,64.16,2911488.0,0.0
2018-02-07,62.9791,64.02,63.28,1.0,64.87,63.4,3271065.0,0.0
2018-02-08,62.0255,63.48,62.43,1.0,64.6,62.44,3562325.0,0.0
2018-02-09,61.3003,62.75,61.09,1.0,63.52,61.71,3584727.0,0.0
2018-02-12,62.7308,62.48,62.01,1.0,63.69,63.15,3187824.0,0.0
2018-02-13,62.6612,63.03,62.62,1.0,63.27,63.08,1311970.0,0.0
2018-02-14,62.7407,62.53,62.47,1.0,63.31,63.16,1630509.0,0.0
2018-02-15,62.4923,63.7,62.46,1.0,63.82,62.91,2138045.0,0.0
2018-02-16,63.3963,62.69,62.69,1.0,64.29,63.82,3317924.0,0.0
2018-02-20,63.4062,63.78,63.55,1.0,64.44,63.83,1869615.0,0.0
2018-02-21,63.0586,63.92,63.45,1.0,64.73,63.48,1814513.0,0.0
2018-02-22,63.0387,63.64,63.21,1.0,64.17,63.26,1653021.0,0.2
2018-02-23,63.2978,63.52,63.12,1.0,63.55,63.52,1771569.0,0.0
2018-02-26,63.2878,63.92,63.11,1.0,63.93,63.51,1311842.0,0.0
2018-02-27,62.3013,63.7,62.49,1.0,64.01,62.52,1399892.0,0.0
2018-02-28,60.4478,62.88,60.65,1.0,62.88,60.66,2095609.0,0.0
2018-03-01,59.6904,60.68,59.43,1.0,60.995,59.9,2307070.0,0.0
2018-03-02,59.8001,59.6,59.11,1.0,60.23,60.01,2014718.0,0.0
2018-03-05,60.8863,59.71,59.38,1.0,61.41,61.1,2378398.0,0.0
2018-03-06,62.0123,61.28,61.02,1.0,62.27,62.23,1614643.0,0.0
2018-03-07,61.5738,61.56,61.35,1.0,62.16,61.79,1025091.0,0.0
2018-03-08,61.7532,62.11,61.71,1.0,62.26,61.97,1269876.0,0.0
2018-03-09,63.2978,62.45,61.88,1.0,63.55,63.52,1236291.0,0.0
2018-03-12,62.5404,63.69,62.43,1.0,63.69,62.76,1829384.0,0.0
2018-03-13,62.3511,63.2,62.5,1.0,63.58,62.57,727838.0,0.0
2018-03-14,61.4842,62.76,61.29,1.0,63.01,61.7,1423556.0,0.0
2018-03-15,61.4443,61.88,61.58,1.0,62.3,61.66,1138147.0,0.0
2018-03-16,61.8628,61.56,61.56,1.0,62.43,62.08,1586910.0,0.0
2018-03-19,60.7567,61.87,60.48,1.0,61.895,60.97,1658776.0,0.0
2018-03-20,60.4677,61.02,60.62,1.0,61.24,60.68,903366.0,0.0
2018-03-21,60.6571,60.86,60.59,1.0,61.445,60.87,978278.0,0.0
2018-03-22,59.4812,60.42,59.68,1.0,60.9,59.69,1331862.0,0.0
2018-03-23,57.6875,59.72,57.75,1.0,60.165,57.89,1730263.0,0.0
2018-03-26,59.2121,58.58,58.45,1.0,59.49,59.42,1202060.0,0.0
2018-03-27,58.0662,59.42,58.01,1.0,59.42,58.27,1954927.0,0.0
2018-03-28,58.096,58.44,58.09,1.0,59.2,58.3,1365818.0,0.0
2018-03-29,58.684,58.55,58.455,1.0,59.28,58.89,1911539.0,0.0
2018-04-02,56.9202,58.9,56.59,1.0,59.06,57.12,1226648.0,0.0
2018-04-03,57.5978,57.27,57.04,1.0,57.86,57.8,1245168.0,0.0
2018-04-04,58.7637,57.0,56.95,1.0,59.11,58.97,2399551.0,0.0
2018-04-05,59.7403,59.28,59.25,1.0,60.34,59.95,1880855.0,0.0
2018-04-06,58.5146,59.4,58.12,1.0,59.85,58.72,1457126.0,0.0
2018-04-09,57.9665,59.21,58.11,1.0,59.21,58.17,1072644.0,0.0
2018-04-10,58.5046,58.89,58.5,1.0,59.42,58.71,1289477.0,0.0
2018-04-11,58.5146,58.33,58.19,1.0,59.01,58.72,1001463.0,0.0
2018-04-12,58.6441,58.91,58.52,1.0,59.15,58.85,1638712.0,0.0
2018-04-13,58.1459,59.3,58.145,1.0,59.44,58.35,1185900.0,0.0
2018-04-16,58.7139,58.71,58.3401,1.0,59.36,58.92,1148662.0,0.0
2018-04-17,58.953,59.42,58.98,1.0,59.43,59.16,1043569.0,0.0
2018-04-18,58.7238,59.45,58.87,1.0,59.6099,58.93,1979388.0,0.0
2018-04-19,57.3088,58.59,56.885,1.0,58.96,57.51,1345972.0,0.0
2018-04-20,56.9002,57.54,56.82,1.0,57.7,57.1,1802163.0,0.0
2018-04-23,57.0597,57.35,56.57,1.0,57.52,57.26,2561429.0,0.0
2018-04-24,54.9371,56.61,54.88,1.0,57.04,55.13,2865160.0,0.0
2018-04-25,55.834,55.14,54.79,1.0,56.44,56.03,1518037.0,0.0
2018-04-26,56.4419,56.25,55.63,1.0,56.81,56.64,2388702.0,0.0
2018-04-27,56.681,55.45,55.05,1.0,57.91,56.88,3817866.0,0.0
2018-04-30,54.4987,56.88,54.69,1.0,56.88,54.69,2446990.0,0.0
2018-05-01,55.545,54.75,53.92,1.0,55.77,55.74,2484018.0,0.0
2018-05-02,54.3791,55.57,54.44,1.0,55.735,54.57,2193086.0,0.0
2018-05-03,54.11,54.27,53.56,1.0,54.85,54.3,1722015.0,0.0
2018-05-04,55.1663,54.21,53.97,1.0,55.64,55.36,1599709.0,0.0
2018-05-07,54.8275,55.5,54.73,1.0,55.51,55.02,1092258.0,0.0
2018-05-08,55.2261,55.48,54.92,1.0,55.6,55.42,1385648.0,0.0
2018-05-09,55.0567,55.43,54.71,1.0,55.49,55.25,1227432.0,0.0
2018-05-10,55.6148,55.33,55.15,1.0,55.84,55.81,1195146.0,0.0
2018-05-11,55.9237,55.81,55.68,1.0,56.43,56.12,1336137.0,0.0
2018-05-14,55.9536,55.66,55.44,1.0,56.17,56.15,1769297.0,0.0
2018-05-15,55.7642,55.96,55.15,1.0,56.12,55.96,2132634.0,0.0
2018-05-16,56.2127,56.01,55.76,1.0,56.66,56.41,1843777.0,0.0
2018-05-17,56.7906,56.24,56.24,1.0,57.26,56.99,1961745.0,0.0
2018-05-18,57.5779,56.96,56.89,1.0,58.25,57.78,4846638.0,0.0
2018-05-21,57.538,58.03,57.51,1.0,58.22,57.74,1521033.0,0.0
2018-05-22,56.7209,57.73,56.91,1.0,57.96,56.92,1443336.0,0.0
2018-05-23,56.8803,56.77,56.31,1.0,57.1599,57.08,2124963.0,0.0
2018-05-24,56.97,56.89,56.66,1.0,57.38,56.97,1525165.0,0.2
2018-05-25,57.5,56.82,56.76,1.0,57.58,57.5,1800784.0,0.0
2018-05-29,56.8,57.07,56.45,1.0,58.61,56.8,1614751.0,0.0
2018-05-30,57.42,57.2,56.74,1.0,57.77,57.42,1115918.0,0.0
2018-05-31,56.17,57.46,56.0,1.0,57.48,56.17,1402760.0,0.0
2018-06-01,56.8,56.5,56.35,1.0,57.26,56.8,1071432.0,0.0
2018-06-04,57.13,57.01,56.67,1.0,57.43,57.13,1104534.0,0.0
2018-06-05,57.92,57.12,57.12,1.0,58.08,57.92,2747864.0,0.0
2018-06-06,57.92,58.02,57.625,1.0,58.29,57.92,2194493.0,0.0
2018-06-07,57.64,57.95,57.49,1.0,58.33,57.64,1638037.0,0.0
2018-06-08,58.52,57.73,57.58,1.0,58.6,58.52,2211583.0,0.0
2018-06-11,57.82,58.61,57.785,1.0,58.75,57.82,1539013.0,0.0
2018-06-12,57.99,57.93,57.59,1.0,58.07,57.99,1836878.0,0.0
2018-06-13,56.24,58.18,56.2,1.0,58.18,56.24,2293840.0,0.0
2018-06-14,56.8,56.5,56.28,1.0,56.95,56.8,2417352.0,0.0
2018-06-15,56.87,56.6,55.97,1.0,56.99,56.87,3819534.0,0.0
2018-06-18,56.0,56.53,55.96,1.0,56.88,56.0,2093575.0,0.0
2018-06-19,56.61,55.65,55.1501,1.0,56.68,56.61,3376290.0,0.0
2018-06-20,56.36,56.82,56.13,1.0,56.82,56.36,1250581.0,0.0
2018-06-21,55.5,56.3,55.33,1.0,56.32,55.5,1141859.0,0.0
2018-06-22,55.25,55.33,55.03,1.0,55.8,55.25,3056178.0,0.0
2018-06-25,54.33,55.14,54.095,1.0,55.2,54.33,1275136.0,0.0
2018-06-26,54.57,54.72,54.19,1.0,55.05,54.57,1342571.0,0.0
2018-06-27,53.3,54.55,53.28,1.0,54.77,53.3,1751051.0,0.0
2018-06-28,53.11,53.28,52.63,1.0,53.38,53.11,749618.0,0.0
