date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,95.1324,95.35,92.4466,1.0,96.2125,95.72,5540494.0,0.0
2018-02-07,96.1759,95.74,95.48,1.0,98.21,96.77,3098311.0,0.0
2018-02-08,92.1707,96.82,92.69,1.0,97.99,92.74,3010367.0,0.0
2018-02-09,94.4466,93.39,92.12,1.0,95.72,95.03,2290480.0,0.0
2018-02-12,94.5659,95.77,94.9,1.0,96.38,95.15,1546321.0,0.0
2018-02-13,95.5796,95.08,94.425,1.0,96.29,96.17,1143084.0,0.0
2018-02-14,95.4107,95.68,95.33,1.0,96.405,96.0,1589021.0,0.0
2018-02-15,95.9672,96.32,95.53,1.0,96.57,96.56,1495647.0,0.0
2018-02-16,97.2195,96.54,96.54,1.0,98.16,97.82,1096751.0,0.0
2018-02-20,96.7225,97.24,96.291,1.0,98.01,97.32,1469580.0,0.0
2018-02-21,96.5536,97.55,97.14,1.0,98.92,97.15,1214953.0,0.0
2018-02-22,97.4282,97.64,97.26,1.0,99.15,98.03,2204822.0,0.0
2018-02-23,99.2072,98.61,98.08,1.0,99.84,99.82,1639632.0,0.0
2018-02-26,99.3066,100.01,99.71,1.0,101.1,99.92,2011842.0,0.0
2018-02-27,97.8357,99.95,98.43,1.0,100.22,98.44,1203646.0,0.0
2018-02-28,96.5834,98.5,97.15,1.0,99.49,97.18,1880562.0,0.0
2018-03-01,95.3709,97.25,95.52,1.0,97.57,95.96,1350759.0,0.0
2018-03-02,96.3051,95.28,94.75,1.0,97.06,96.9,1260836.0,0.0
2018-03-05,98.9786,96.24,96.24,1.0,99.63,99.59,2357011.0,0.0
2018-03-06,98.104,99.82,98.44,1.0,100.18,98.71,1419539.0,0.0
2018-03-07,97.9649,97.91,97.79,1.0,98.75,98.57,1398498.0,0.0
2018-03-08,98.6705,99.14,98.53,1.0,99.35,99.28,1172676.0,0.0
2018-03-09,100.1514,99.9,99.39,1.0,100.83,100.77,1693233.0,0.0
2018-03-12,100.6085,100.78,100.3,1.0,101.59,101.23,2354955.0,0.0
2018-03-13,99.7936,101.22,99.99,1.0,101.69,100.41,1490988.0,0.0
2018-03-14,99.7041,100.39,99.85,1.0,100.98,100.32,1214914.0,0.0
2018-03-15,99.8035,100.39,99.85,1.0,101.05,100.1,782549.0,0.32
2018-03-16,100.3419,100.28,100.26,1.0,100.88,100.64,1440224.0,0.0
2018-03-19,99.7537,100.39,99.38,1.0,100.7,100.05,690395.0,0.0
2018-03-20,100.6211,100.34,99.85,1.0,101.05,100.92,914592.0,0.0
2018-03-21,100.2821,101.11,100.48,1.0,101.74,100.58,1023464.0,0.0
2018-03-22,97.2312,99.97,97.41,1.0,99.97,97.52,1710885.0,0.0
2018-03-23,94.579,97.63,94.84,1.0,98.295,94.86,1600232.0,0.0
2018-03-26,95.8752,95.79,94.55,1.0,96.35,96.16,1583555.0,0.0
2018-03-27,94.3996,96.54,94.08,1.0,96.79,94.68,1291286.0,0.0
2018-03-28,95.0377,94.86,93.95,1.0,96.01,95.32,1644714.0,0.0
2018-03-29,96.0148,95.73,94.95,1.0,97.2101,96.3,1244759.0,0.0
2018-04-02,94.4295,95.9,93.92,1.0,96.57,94.71,2329864.0,0.0
2018-04-03,94.7186,94.78,93.87,1.0,95.34,95.0,2589172.0,0.0
2018-04-04,95.7157,93.8,93.71,1.0,96.21,96.0,2107539.0,0.0
2018-04-05,97.1713,96.64,96.49,1.0,97.995,97.46,1870510.0,0.0
2018-04-06,95.2471,96.58,95.12,1.0,97.08,95.53,1480698.0,0.0
2018-04-09,95.7157,96.04,95.4001,1.0,97.36,96.0,1688909.0,0.0
2018-04-10,96.5432,97.09,96.54,1.0,97.62,96.83,1054889.0,0.0
2018-04-11,96.0547,96.08,96.05,1.0,97.42,96.34,1212716.0,0.0
2018-04-12,96.3936,96.92,96.5628,1.0,97.17,96.68,665034.0,0.0
2018-04-13,95.945,97.31,95.86,1.0,97.41,96.23,972172.0,0.0
2018-04-16,97.0018,97.06,96.5,1.0,97.54,97.29,793742.0,0.0
2018-04-17,97.3209,97.88,97.22,1.0,97.88,97.61,2055618.0,0.0
2018-04-18,97.2411,98.0,97.33,1.0,98.0,97.53,1599040.0,0.0
2018-04-19,96.7725,97.43,96.6,1.0,97.8,97.06,908693.0,0.0
2018-04-20,95.7256,96.84,95.78,1.0,97.22,96.01,1155952.0,0.0
2018-04-23,95.4165,96.43,95.46,1.0,96.63,95.7,1158108.0,0.0
2018-04-24,94.4893,95.95,94.3675,1.0,96.28,94.77,1355349.0,0.0
2018-04-25,93.8313,94.8,93.87,1.0,94.835,94.11,1571409.0,0.0
2018-04-26,94.7186,94.7,94.52,1.0,95.5,95.0,1798710.0,0.0
2018-04-27,94.4195,95.09,94.54,1.0,95.59,94.7,2038594.0,0.0
2018-04-30,94.6887,95.13,94.895,1.0,96.31,94.97,2914459.0,0.0
2018-05-01,99.3648,97.0,96.37,1.0,99.71,99.66,4051831.0,0.0
2018-05-02,98.1983,99.76,98.11,1.0,100.12,98.49,2866199.0,0.0
2018-05-03,99.1156,98.0,97.77,1.0,99.46,99.41,2282434.0,0.0
2018-05-04,100.3619,99.02,98.605,1.0,100.84,100.66,2020921.0,0.0
2018-05-07,101.9073,100.65,100.475,1.0,102.25,102.21,2203500.0,0.0
2018-05-08,102.8844,101.8,101.71,1.0,103.5,103.19,2751938.0,0.0
2018-05-09,103.6022,103.39,102.94,1.0,103.93,103.91,3287541.0,0.0
2018-05-10,104.5993,103.7,103.64,1.0,105.02,104.91,1965741.0,0.0
2018-05-11,104.5793,104.73,104.05,1.0,105.0,104.89,2149333.0,0.0
2018-05-14,104.3899,105.0,104.11,1.0,105.0,104.7,1926333.0,0.0
2018-05-15,104.3899,104.15,103.36,1.0,104.72,104.7,1580891.0,0.0
2018-05-16,104.5295,104.7,104.17,1.0,104.98,104.84,1329156.0,0.0
2018-05-17,103.5125,104.51,103.55,1.0,104.95,103.82,1686650.0,0.0
2018-05-18,103.8116,103.75,103.6,1.0,104.55,104.12,1338697.0,0.0
2018-05-21,104.1406,104.72,104.22,1.0,104.905,104.45,824620.0,0.0
2018-05-22,103.1934,104.49,103.12,1.0,104.49,103.5,1348229.0,0.0
2018-05-23,103.5624,103.0,102.7001,1.0,103.93,103.87,1022739.0,0.0
2018-05-24,103.4926,103.96,103.3,1.0,104.19,103.8,1299831.0,0.0
2018-05-25,103.1536,103.76,103.35,1.0,103.85,103.46,837610.0,0.0
2018-05-29,102.0768,102.89,101.82,1.0,103.01,102.38,902908.0,0.0
2018-05-30,102.9542,102.54,102.54,1.0,103.63,103.26,1161833.0,0.0
2018-05-31,101.9172,103.32,102.1301,1.0,103.56,102.22,1639976.0,0.0
2018-06-01,102.9143,102.95,102.65,1.0,103.3935,103.22,1108528.0,0.0
2018-06-04,103.4626,102.92,102.92,1.0,103.94,103.77,2946426.0,0.0
