date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,65.375,128.29,125.52,1.0,131.19,130.75,2853542.0,0.0
2018-02-07,64.585,129.78,128.57,1.0,130.985,129.17,2344931.0,0.0
2018-02-08,66.525,142.15,132.76,1.0,142.16,133.05,3312639.0,0.0
2018-02-09,68.73,134.8,133.77,1.0,138.44,137.46,2363688.0,0.0
2018-02-12,69.32,138.13,137.8,1.0,140.63,138.64,1829401.0,0.0
2018-02-13,69.515,137.81,136.4861,1.0,139.54,139.03,790870.0,0.0
2018-02-14,69.2,138.51,137.16,1.0,139.11,138.4,1281142.0,0.0
2018-02-15,70.225,139.1,137.88,1.0,140.49,140.45,908565.0,0.0
2018-02-16,71.36,140.5,140.4601,1.0,143.42,142.72,1173432.0,0.0
2018-02-20,70.855,141.85,141.29,1.0,143.42,141.71,1117879.0,0.0
2018-02-21,69.895,142.57,139.71,1.0,142.98,139.79,1049925.0,0.0
2018-02-22,71.055,140.17,140.17,1.0,142.8,142.11,890053.0,0.0
2018-02-23,73.095,143.0,142.62,1.0,146.26,146.19,1444604.0,0.0
2018-02-26,72.68,146.87,144.98,1.0,147.36,145.36,1134112.0,0.0
2018-02-27,72.105,145.74,144.11,1.0,147.43,144.21,1468650.0,0.0
2018-02-28,71.695,145.1,143.38,1.0,146.01,143.39,1285094.0,0.0
2018-03-01,70.935,143.85,140.97,1.0,144.59,141.87,1555917.0,0.0
2018-03-02,71.99,141.31,140.66,1.0,144.34,143.98,1346642.0,0.0
2018-03-05,72.465,142.81,142.39,1.0,145.26,144.93,966518.0,0.0
2018-03-06,72.11,144.99,143.59,1.0,145.12,144.22,1001615.0,0.0
2018-03-07,72.53,143.67,143.66,1.0,145.39,145.06,781088.0,0.0
2018-03-08,73.05,145.46,145.46,1.0,146.8,146.1,619807.0,0.0
2018-03-09,74.115,146.86,146.43,1.0,148.42,148.23,907568.0,0.0
2018-03-12,73.82,148.53,147.35,1.0,148.65,147.64,945903.0,0.0
2018-03-13,73.75,147.83,146.58,1.0,148.49,147.5,1965742.0,0.0
2018-03-14,73.795,147.94,146.82,1.0,148.34,147.59,1554502.0,0.0
2018-03-15,73.835,147.46,147.13,1.0,148.71,147.67,843059.0,0.0
2018-03-16,74.22,148.02,147.27,1.0,148.91,148.44,1440696.0,0.0
2018-03-19,73.62,147.8,145.71,1.0,148.39,147.24,736744.0,0.0
2018-03-20,73.46,73.71,72.86,2.0,73.99,73.46,1703241.0,0.0
2018-03-21,73.17,73.63,73.02,1.0,74.3,73.17,2016899.0,0.0
2018-03-22,71.34,72.86,71.25,1.0,72.99,71.34,1575681.0,0.0
2018-03-23,70.01,71.29,70.0,1.0,71.89,70.01,1975142.0,0.0
2018-03-26,71.28,70.98,70.07,1.0,71.54,71.28,1918546.0,0.0
2018-03-27,70.28,71.7,69.77,1.0,71.92,70.28,1725794.0,0.0
2018-03-28,70.74,70.43,70.06,1.0,71.41,70.74,2524537.0,0.0
2018-03-29,71.31,71.25,70.1601,1.0,71.9,71.31,1585983.0,0.0
2018-04-02,70.54,71.04,69.68,1.0,71.55,70.54,2350088.0,0.0
2018-04-03,70.97,70.64,70.14,1.0,71.41,70.97,1920852.0,0.0
2018-04-04,71.13,70.3,69.8,1.0,71.44,71.13,2663316.0,0.0
2018-04-05,71.24,71.68,70.93,1.0,71.92,71.24,1461968.0,0.0
2018-04-06,69.84,70.56,69.67,1.0,71.2683,69.84,1434074.0,0.0
2018-04-09,70.13,70.1,70.02,1.0,71.19,70.13,1424472.0,0.0
2018-04-10,71.13,70.86,70.7,1.0,71.56,71.13,1690987.0,0.0
2018-04-11,70.85,70.55,70.435,1.0,71.35,70.85,1167643.0,0.0
2018-04-12,70.98,71.11,70.734,1.0,71.34,70.98,1258974.0,0.0
2018-04-13,70.9,71.16,70.6,1.0,71.37,70.9,1304504.0,0.0
2018-04-16,71.59,71.49,71.15,1.0,71.9,71.59,1091529.0,0.0
2018-04-17,72.29,72.16,71.8,1.0,72.62,72.29,1724709.0,0.0
2018-04-18,72.12,72.47,71.84,1.0,72.49,72.12,1150665.0,0.0
2018-04-19,71.75,71.95,71.53,1.0,72.37,71.75,958163.0,0.0
2018-04-20,71.34,71.68,71.0,1.0,72.11,71.34,1212109.0,0.0
2018-04-23,71.09,71.42,70.88,1.0,71.74,71.09,805725.0,0.0
2018-04-24,70.9,71.52,70.45,1.0,71.7,70.9,1625860.0,0.0
2018-04-25,70.16,70.81,69.66,1.0,70.93,70.16,1393756.0,0.0
2018-04-26,71.32,70.4,70.32,1.0,71.72,71.32,1345051.0,0.0
2018-04-27,71.47,71.12,70.97,1.0,71.91,71.47,1547429.0,0.0
2018-04-30,70.86,71.51,70.82,1.0,72.15,70.86,2548402.0,0.0
2018-05-01,71.63,70.85,70.83,1.0,71.83,71.63,2547569.0,0.0
