date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,41.4448,41.13,40.8,1.0,42.84,41.83,2536232.0,0.0
2018-02-07,41.1674,41.86,41.53,1.0,42.42,41.55,1821170.0,0.0
2018-02-08,40.4441,41.49,40.63,1.0,41.81,40.82,1852420.0,0.0
2018-02-09,39.9883,41.25,38.79,1.0,41.71,40.36,2569159.0,0.0
2018-02-12,41.0386,40.59,40.43,1.0,41.77,41.42,1412172.0,0.0
2018-02-13,40.7116,41.09,40.22,1.0,41.34,41.09,1195593.0,0.0
2018-02-14,41.8015,40.83,40.55,1.0,42.41,42.19,1409151.0,0.0
2018-02-15,42.4752,42.39,41.91,1.0,43.15,42.87,2105025.0,0.0
2018-02-16,43.6444,42.33,40.41,1.0,44.95,44.05,4332735.0,0.0
2018-02-20,43.2976,44.0,43.4,1.0,46.1,43.7,2305713.0,0.0
2018-02-21,43.3768,43.45,43.45,1.0,44.9,43.78,2039942.0,0.0
2018-02-22,43.1787,43.82,43.5,1.0,44.7,43.58,1176037.0,0.0
2018-02-23,43.8524,43.89,43.44,1.0,44.31,44.26,783636.0,0.0
2018-02-26,44.5063,44.53,44.27,1.0,45.43,44.92,2034915.0,0.0
2018-02-27,43.5651,44.96,43.96,1.0,45.21,43.97,1236763.0,0.0
2018-02-28,41.96,44.09,42.33,1.0,44.18,42.35,1411395.0,0.0
2018-03-01,40.8206,42.39,41.1,1.0,42.49,41.2,1684442.0,0.0
2018-03-02,41.9006,41.0,40.73,1.0,42.51,42.29,1843208.0,0.0
2018-03-05,43.04,42.28,42.18,1.0,43.62,43.44,1998695.0,0.0
2018-03-06,43.7236,43.55,43.55,1.0,44.34,44.13,1544488.0,0.0
2018-03-07,43.9614,43.56,43.56,1.0,44.52,44.37,1557777.0,0.0
2018-03-08,44.0902,44.4,43.93,1.0,44.63,44.5,1234090.0,0.0
2018-03-09,45.1603,44.92,44.58,1.0,45.77,45.58,1443020.0,0.0
2018-03-12,44.7441,45.67,45.03,1.0,46.15,45.16,1052821.0,0.0
2018-03-13,44.1893,45.14,44.45,1.0,45.64,44.6,1253035.0,0.0
2018-03-14,43.8524,45.06,44.17,1.0,45.32,44.26,617579.0,0.0
2018-03-15,43.4462,44.29,43.76,1.0,44.47,43.85,1000899.0,0.0
2018-03-16,44.1298,43.8,43.71,1.0,44.73,44.54,1036046.0,0.0
2018-03-19,43.5354,44.29,43.3,1.0,44.46,43.94,940082.0,0.0
2018-03-20,43.6939,44.2,44.04,1.0,44.68,44.1,843991.0,0.0
2018-03-21,44.5063,44.12,43.89,1.0,45.25,44.92,1310292.0,0.0
2018-03-22,42.8715,44.36,43.21,1.0,44.71,43.27,1446961.0,0.0
2018-03-23,41.7222,43.39,41.97,1.0,43.665,42.11,936890.0,0.0
2018-03-26,42.4653,42.84,42.15,1.0,42.97,42.86,1361300.0,0.0
2018-03-27,41.7718,42.92,41.87,1.0,43.09,42.16,1565679.0,0.0
2018-03-28,41.5934,42.16,41.505,1.0,42.57,41.79,942021.0,0.19
2018-03-29,43.1262,42.14,42.14,1.0,43.53,43.33,1435938.0,0.0
2018-04-02,42.3399,42.99,42.0,1.0,43.345,42.54,1498883.0,0.0
2018-04-03,42.7977,42.64,42.04,1.0,43.02,43.0,1333082.0,0.0
2018-04-04,43.8428,42.47,42.23,1.0,44.16,44.05,1808914.0,0.0
2018-04-05,44.5992,44.32,44.02,1.0,45.31,44.81,1320291.0,0.0
2018-04-06,42.9769,44.28,42.7,1.0,44.45,43.18,1686932.0,0.0
2018-04-09,43.2456,43.44,43.18,1.0,44.17,43.45,1048418.0,0.0
2018-04-10,44.3703,44.15,44.15,1.0,45.27,44.58,1733974.0,0.0
2018-04-11,46.0424,44.3,44.06,1.0,46.69,46.26,2686697.0,0.0
2018-04-12,45.694,46.38,45.16,1.0,46.42,45.91,1718914.0,0.0
2018-04-13,45.4552,46.31,45.5,1.0,46.38,45.67,1189431.0,0.0
2018-04-16,45.7438,46.35,45.8,1.0,46.47,45.96,772883.0,0.0
2018-04-17,46.0324,46.25,46.05,1.0,47.01,46.25,1156153.0,0.0
2018-04-18,46.5599,46.6,46.34,1.0,47.08,46.78,952194.0,0.0
2018-04-19,47.4159,46.78,46.78,1.0,47.7,47.64,1829161.0,0.0
2018-04-20,47.0874,47.5,47.2,1.0,47.91,47.31,1542376.0,0.0
2018-04-23,46.6794,47.33,46.81,1.0,48.1,46.9,1547746.0,0.0
2018-04-24,45.3954,47.36,45.22,1.0,47.47,45.61,1924980.0,0.0
2018-04-25,45.7836,45.64,45.29,1.0,46.24,46.0,982355.0,0.0
2018-04-26,45.0272,46.31,44.97,1.0,46.31,45.24,1498369.0,0.0
2018-04-27,44.8281,45.14,44.57,1.0,45.45,45.04,1066973.0,0.0
2018-04-30,44.2011,45.17,44.27,1.0,45.25,44.41,1758826.0,0.0
2018-05-01,44.5295,44.15,43.74,1.0,44.89,44.74,1317228.0,0.0
2018-05-02,45.0371,44.54,44.54,1.0,45.99,45.25,1326830.0,0.0
2018-05-03,44.7585,44.97,44.31,1.0,45.24,44.97,1239452.0,0.0
2018-05-04,45.5248,44.64,44.57,1.0,45.92,45.74,865858.0,0.0
2018-05-07,46.1718,45.96,45.73,1.0,47.16,46.39,1340856.0,0.0
2018-05-08,46.5998,46.43,46.195,1.0,46.85,46.82,1475948.0,0.0
2018-05-09,47.595,47.1,46.78,1.0,47.87,47.82,1645549.0,0.0
2018-05-10,47.6548,48.02,47.26,1.0,48.02,47.88,1234252.0,0.0
2018-05-11,43.3252,46.7,42.82,1.0,46.7,43.53,5418757.0,0.0
2018-05-14,44.2011,43.37,42.6,1.0,44.89,44.41,2502264.0,0.0
2018-05-15,43.3153,44.02,42.835,1.0,44.25,43.52,2268266.0,0.0
2018-05-16,43.1262,43.25,42.725,1.0,43.6681,43.33,1476150.0,0.0
2018-05-17,43.8925,43.4,43.31,1.0,44.39,44.1,1627840.0,0.0
2018-05-18,44.3603,44.12,44.05,1.0,44.77,44.57,1490398.0,0.0
2018-05-21,44.7784,44.84,44.76,1.0,45.35,44.99,895899.0,0.0
2018-05-22,44.3802,45.1,44.555,1.0,45.37,44.59,1186943.0,0.0
2018-05-23,43.2058,44.24,42.94,1.0,44.325,43.41,1184534.0,0.0
2018-05-24,42.9868,43.33,42.85,1.0,43.5,43.19,1401196.0,0.0
2018-05-25,42.0811,42.9,42.08,1.0,43.03,42.28,880649.0,0.0
2018-05-29,41.3048,41.79,41.19,1.0,42.22,41.5,1794717.0,0.0
2018-05-30,42.32,41.86,41.71,1.0,42.65,42.52,849829.0,0.0
2018-05-31,41.1455,42.46,40.96,1.0,42.46,41.34,1543093.0,0.0
2018-06-01,40.6976,41.52,40.89,1.0,41.71,40.89,1666613.0,0.0
2018-06-04,40.6479,41.06,40.7,1.0,41.68,40.84,1182309.0,0.0
2018-06-05,40.8967,40.85,40.73,1.0,41.31,41.09,2614369.0,0.0
2018-06-06,41.7128,41.35,40.99,1.0,41.93,41.91,1001597.0,0.0
2018-06-07,41.9119,41.93,41.7,1.0,42.39,42.11,733203.0,0.0
2018-06-08,41.9716,41.95,41.55,1.0,42.33,42.17,1254843.0,0.0
2018-06-11,42.1209,42.22,41.96,1.0,42.52,42.32,986281.0,0.0
2018-06-12,42.2404,42.29,42.05,1.0,42.56,42.44,921842.0,0.0
2018-06-13,41.3744,42.45,41.52,1.0,42.49,41.57,803470.0,0.0
2018-06-14,41.3446,41.7,41.38,1.0,41.96,41.54,942928.0,0.0
2018-06-15,40.618,41.35,40.31,1.0,41.35,40.81,1482620.0,0.0
2018-06-18,40.9465,40.51,40.26,1.0,41.18,41.14,1507687.0,0.0
2018-06-19,40.0208,40.64,39.74,1.0,40.89,40.21,1305871.0,0.0
2018-06-20,40.628,40.57,39.9575,1.0,40.92,40.82,925619.0,0.0
2018-06-21,40.2,40.42,40.03,1.0,40.59,40.2,1393231.0,0.19
2018-06-22,40.79,40.79,40.72,1.0,41.37,40.79,1132697.0,0.0
2018-06-25,39.65,40.41,39.45,1.0,40.56,39.65,963799.0,0.0
2018-06-26,40.0,39.97,39.52,1.0,40.325,40.0,897881.0,0.0
2018-06-27,40.5,40.22,40.2,1.0,41.3445,40.5,1638881.0,0.0
2018-06-28,40.03,40.36,39.61,1.0,40.47,40.03,498433.0,0.0
