date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,36.42,35.01,36.243,36.44,34.76,7236600.0,0.0,1.0
2018-02-07,35.7,36.41,35.5265,36.96,35.62,3977790.0,0.0,1.0
2018-02-08,34.09,35.68,33.9243,35.96,34.05,3691203.0,0.0,1.0
2018-02-09,35.19,34.38,35.0189,35.475,33.75,5164099.0,0.0,1.0
2018-02-12,35.95,35.74,35.7752,36.39,35.73,3072881.0,0.0,1.0
2018-02-13,36.19,35.56,36.0141,36.38,35.56,1649092.0,0.0,1.0
2018-02-14,36.18,35.99,36.0041,36.4,35.8,2238907.0,0.0,1.0
2018-02-15,36.65,36.21,36.4718,36.73,36.14,2010671.0,0.0,1.0
2018-02-16,37.04,36.56,36.86,37.26,36.56,2045648.0,0.0,1.0
2018-02-20,36.61,36.84,36.432,37.12,36.55,2332991.0,0.0,1.0
2018-02-21,36.56,36.78,36.3823,37.15,36.54,2822555.0,0.0,1.0
2018-02-22,36.73,36.7,36.5515,36.94,36.59,1571910.0,0.0,1.0
2018-02-23,37.62,37.04,37.4371,37.62,36.72,1684471.0,0.0,1.0
2018-02-26,38.4,37.67,38.2133,38.41,37.6089,1396809.0,0.0,1.0
2018-02-27,37.14,37.99,36.9595,38.19,37.11,3358687.0,0.0,1.0
2018-02-28,36.42,37.27,36.243,37.45,36.41,2673387.0,0.0,1.0
2018-03-01,35.53,36.55,35.3573,36.69,35.43,3827041.0,0.0,1.0
2018-03-02,35.93,35.37,35.7553,36.03,35.1,2516577.0,0.0,1.0
2018-03-05,36.15,35.58,35.9743,36.62,35.55,2771692.0,0.0,1.0
2018-03-06,37.02,36.19,36.84,37.025,36.08,2068490.0,0.0,1.0
2018-03-07,36.51,36.77,36.3325,36.83,36.24,1651924.0,0.0,1.0
2018-03-08,36.79,36.63,36.6112,36.97,36.45,1183479.0,0.0,1.0
2018-03-09,37.21,37.0,37.0291,37.22,36.84,1605222.0,0.0,1.0
2018-03-12,37.5,37.25,37.3177,37.8,37.12,1885173.0,0.0,1.0
2018-03-13,36.85,37.64,36.85,37.67,36.73,2224251.0,0.18,1.0
2018-03-14,37.23,37.05,37.23,37.3,36.9,2803837.0,0.0,1.0
2018-03-15,36.7,37.15,36.7,37.2,36.7,1416338.0,0.0,1.0
2018-03-16,36.62,36.93,36.62,37.13,36.61,2747634.0,0.0,1.0
2018-03-19,36.25,36.43,36.25,36.63,35.93,1851520.0,0.0,1.0
2018-03-20,36.18,36.34,36.18,36.485,36.03,1736472.0,0.0,1.0
2018-03-21,36.3,36.1,36.3,36.63,36.09,1351913.0,0.0,1.0
2018-03-22,36.18,35.83,36.18,36.54,35.6711,2521537.0,0.0,1.0
2018-03-23,35.45,36.26,35.45,36.525,35.42,3093276.0,0.0,1.0
2018-03-26,36.58,36.08,36.58,36.655,35.7,2760079.0,0.0,1.0
2018-03-27,36.08,36.84,36.08,36.84,35.85,5624129.0,0.0,1.0
2018-03-28,35.5,36.2,35.5,36.28,35.45,5972646.0,0.0,1.0
2018-03-29,36.37,35.7,36.37,36.4599,35.455,5445675.0,0.0,1.0
2018-04-02,35.68,36.13,35.68,36.29,35.275,3668062.0,0.0,1.0
2018-04-03,35.59,35.84,35.59,35.84,35.14,4469951.0,0.0,1.0
2018-04-04,35.67,35.28,35.67,35.79,34.935,4941486.0,0.0,1.0
2018-04-05,36.0,35.87,36.0,36.1,35.4,4682696.0,0.0,1.0
2018-04-06,35.34,35.78,35.34,36.06,35.03,4951851.0,0.0,1.0
2018-04-09,35.33,35.44,35.33,35.97,35.24,3798499.0,0.0,1.0
2018-04-10,35.8,35.7,35.8,36.12,35.36,4209837.0,0.0,1.0
2018-04-11,35.65,35.22,35.65,36.05,35.22,4626173.0,0.0,1.0
2018-04-12,36.07,35.73,36.07,36.185,35.67,4255521.0,0.0,1.0
2018-04-13,36.41,36.16,36.41,36.59,36.07,2925628.0,0.0,1.0
2018-04-16,36.51,36.71,36.51,36.77,36.31,2700330.0,0.0,1.0
2018-04-17,37.09,36.85,37.09,37.36,36.65,2862576.0,0.0,1.0
2018-04-18,36.82,37.06,36.82,37.235,36.78,2042584.0,0.0,1.0
2018-04-19,36.68,36.78,36.68,37.4,36.575,1850853.0,0.0,1.0
2018-04-20,36.18,36.55,36.18,36.76,36.06,2231738.0,0.0,1.0
2018-04-23,36.03,36.18,36.03,36.31,35.81,1585735.0,0.0,1.0
2018-04-24,35.52,36.19,35.52,36.36,35.33,1948585.0,0.0,1.0
2018-04-25,36.13,35.6,36.13,36.55,35.32,4156974.0,0.0,1.0
2018-04-26,35.84,36.27,35.84,36.67,35.8,2080088.0,0.0,1.0
2018-04-27,35.99,35.65,35.99,36.35,35.41,2043276.0,0.0,1.0
2018-04-30,36.07,36.14,36.07,36.605,36.06,3560610.0,0.0,1.0
2018-05-01,36.12,35.86,36.12,36.21,35.66,1531748.0,0.0,1.0
2018-05-02,36.13,36.03,36.13,36.525,35.78,6719354.0,0.0,1.0
2018-05-03,36.33,36.0,36.33,36.61,35.2678,6757073.0,0.0,1.0
2018-05-04,37.16,36.14,37.16,37.19,35.91,4802819.0,0.0,1.0
2018-05-07,37.48,37.35,37.48,37.7,37.17,1865002.0,0.0,1.0
2018-05-08,37.45,38.34,37.45,38.71,37.3,5004082.0,0.0,1.0
2018-05-09,37.24,37.5,37.24,37.74,37.1,2387507.0,0.0,1.0
2018-05-10,37.46,37.49,37.46,37.74,37.21,2458602.0,0.0,1.0
2018-05-11,37.48,37.45,37.48,37.595,37.185,1334782.0,0.0,1.0
2018-05-14,37.29,37.39,37.29,37.54,37.0,1967969.0,0.0,1.0
2018-05-15,37.35,36.99,37.35,37.415,36.93,1783821.0,0.0,1.0
2018-05-16,37.71,37.33,37.71,37.8,37.3065,2194022.0,0.0,1.0
2018-05-17,37.28,37.68,37.28,37.89,37.26,2606447.0,0.0,1.0
2018-05-18,37.27,37.41,37.27,37.41,37.09,3188140.0,0.0,1.0
2018-05-21,37.45,37.36,37.45,37.64,37.3,2059867.0,0.0,1.0
2018-05-22,37.74,37.52,37.74,38.13,37.52,1847124.0,0.0,1.0
2018-05-23,38.24,37.87,38.24,38.525,37.87,2518874.0,0.0,1.0
2018-05-24,38.5,38.41,38.5,38.92,38.09,2301621.0,0.0,1.0
2018-05-25,38.52,38.44,38.52,38.82,38.31,2496052.0,0.0,1.0
2018-05-29,38.25,38.15,38.25,38.5,37.93,2745018.0,0.0,1.0
2018-05-30,38.25,38.51,38.25,38.69,38.09,2064622.0,0.0,1.0
2018-05-31,38.17,38.34,38.17,38.84,37.91,2043987.0,0.0,1.0
2018-06-01,38.27,38.26,38.27,38.47,38.02,2544262.0,0.0,1.0
2018-06-04,38.44,38.3,38.44,38.67,38.3,2627754.0,0.0,1.0
2018-06-05,38.74,38.53,38.74,38.84,38.39,2278169.0,0.0,1.0
2018-06-06,38.85,38.74,38.85,38.95,38.605,3811215.0,0.0,1.0
2018-06-07,39.23,38.8,39.23,39.24,38.64,2622918.0,0.0,1.0
2018-06-08,39.55,39.09,39.55,39.78,39.09,1865318.0,0.0,1.0
2018-06-11,39.92,39.47,39.92,40.74,39.38,3622841.0,0.0,1.0
2018-06-12,40.39,40.08,40.39,40.74,40.0,3999418.0,0.0,1.0
2018-06-13,43.41,43.52,43.41,43.7,43.08,11240971.0,0.0,1.0
2018-06-14,44.42,44.05,44.42,44.49,43.83,6044329.0,0.0,1.0
2018-06-15,44.56,44.62,44.56,44.83,44.18,5754183.0,0.0,1.0
2018-06-18,44.37,44.43,44.37,44.675,44.15,4685151.0,0.0,1.0
2018-06-19,44.29,43.92,44.29,44.8,43.82,3701829.0,0.0,1.0
2018-06-20,47.5,47.35,47.5,48.015,46.93,34370095.0,0.0,1.0
2018-06-21,48.04,48.11,48.04,48.86,47.75,11376883.0,0.0,1.0
2018-06-22,48.35,48.31,48.35,48.76,48.19,7423234.0,0.0,1.0
2018-06-25,47.89,48.25,47.89,48.33,47.57,5228747.0,0.0,1.0
2018-06-26,47.42,47.88,47.42,48.26,47.22,5742818.0,0.0,1.0
