date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,36.8,35.43,36.6238,36.81,35.15,11513466.0,0.0,1.0
2018-02-07,36.06,36.84,35.8873,37.41,35.99,7355387.0,0.0,1.0
2018-02-08,34.56,36.09,34.3945,36.35,34.53,9516625.0,0.0,1.0
2018-02-09,35.73,34.77,35.5589,35.95,34.12,16276901.0,0.0,1.0
2018-02-12,36.4,36.34,36.2257,36.9,36.18,12275628.0,0.0,1.0
2018-02-13,36.58,35.99,36.4048,36.82,35.87,7123304.0,0.0,1.0
2018-02-14,36.55,36.19,36.375,36.835,36.19,6903701.0,0.0,1.0
2018-02-15,36.96,36.7,36.783,37.07,36.495,5134833.0,0.0,1.0
2018-02-16,37.46,36.89,37.2806,37.71,36.86,5508046.0,0.0,1.0
2018-02-20,37.13,37.32,36.9522,37.61,37.03,5956242.0,0.0,1.0
2018-02-21,37.06,37.14,36.8825,37.69,37.03,4509093.0,0.0,1.0
2018-02-22,37.16,37.24,36.9821,37.42,37.01,5237733.0,0.0,1.0
2018-02-23,38.01,37.4,37.828,38.04,37.13,4936699.0,0.0,1.0
2018-02-26,38.81,38.07,38.6242,38.87,38.02,5024693.0,0.0,1.0
2018-02-27,37.63,38.41,37.4498,38.68,37.6,13520026.0,0.0,1.0
2018-02-28,36.82,37.76,36.6437,37.98,36.82,12730904.0,0.0,1.0
2018-03-01,35.92,36.82,35.748,37.11,35.82,14516840.0,0.0,1.0
2018-03-02,36.37,35.86,36.1958,36.465,35.53,12111025.0,0.0,1.0
2018-03-05,36.65,36.14,36.4745,37.135,36.0,7910316.0,0.0,1.0
2018-03-06,37.54,36.64,37.3602,37.55,36.525,7878395.0,0.0,1.0
2018-03-07,37.02,37.24,36.8427,37.48,36.67,7465016.0,0.0,1.0
2018-03-08,37.18,37.18,37.002,37.445,36.93,4969777.0,0.0,1.0
2018-03-09,37.73,37.32,37.5493,37.75,37.27,6118212.0,0.0,1.0
2018-03-12,37.98,37.73,37.7981,38.27,37.58,6027801.0,0.0,1.0
2018-03-13,37.41,38.0,37.41,38.16,37.24,5740687.0,0.18,1.0
2018-03-14,37.69,37.52,37.69,37.7799,37.39,5020094.0,0.0,1.0
2018-03-15,37.15,37.64,37.15,37.73,37.13,5535143.0,0.0,1.0
2018-03-16,37.14,37.3,37.14,37.6,37.13,11425140.0,0.0,1.0
2018-03-19,36.78,36.95,36.78,37.12,36.415,7249051.0,0.0,1.0
2018-03-20,36.69,36.91,36.69,37.09,36.56,10553021.0,0.0,1.0
2018-03-21,36.86,36.65,36.86,37.18,36.6,7668752.0,0.0,1.0
2018-03-22,36.75,36.54,36.75,37.11,36.19,10271922.0,0.0,1.0
2018-03-23,36.12,36.78,36.12,37.075,36.09,6616963.0,0.0,1.0
