date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,110.383,111.09,109.74,1.0,113.565,112.22,874889.0,0.0
2018-02-07,109.5175,112.2,111.25,1.0,114.2,111.34,605756.0,0.0
2018-02-08,106.3403,111.32,108.1,1.0,112.295,108.11,636722.0,0.0
2018-02-09,108.1109,108.86,106.64,1.0,110.655,109.91,757556.0,0.0
2018-02-12,108.4355,110.43,106.82,1.0,110.91,110.24,674598.0,0.0
2018-02-13,108.4551,109.92,108.21,1.0,110.875,110.26,599868.0,0.0
2018-02-14,109.006,108.3,106.41,1.0,112.97,110.82,1014633.0,0.0
2018-02-15,110.265,111.09,111.09,1.0,113.0,112.1,524820.0,0.0
2018-02-16,112.5765,111.88,111.88,1.0,114.77,114.45,634496.0,0.0
2018-02-20,112.6847,114.18,113.725,1.0,116.3,114.56,727096.0,0.0
2018-02-21,109.2912,114.56,111.09,1.0,114.835,111.11,595528.0,0.0
2018-02-22,112.2126,111.62,111.62,1.0,114.78,114.08,383363.0,0.0
2018-02-23,114.0323,114.42,113.6,1.0,115.985,115.93,476775.0,0.0
2018-02-26,115.0455,116.36,115.39,1.0,116.99,116.96,484321.0,0.0
2018-02-27,111.6224,116.7,113.48,1.0,117.44,113.48,595553.0,0.0
2018-02-28,112.0749,114.12,113.33,1.0,115.52,113.94,452709.0,0.0
2018-03-01,114.052,113.45,113.06,1.0,116.98,115.95,726508.0,0.0
2018-03-02,114.4553,115.49,114.13,1.0,116.45,116.36,502188.0,0.0
2018-03-05,114.6028,116.15,115.81,1.0,117.475,116.51,444183.0,0.0
2018-03-06,115.0455,116.4,115.07,1.0,117.22,116.96,335499.0,0.0
2018-03-07,115.3602,116.81,116.45,1.0,117.7,117.28,375204.0,0.0
2018-03-08,115.2717,117.84,116.74,1.0,118.17,117.19,367426.0,0.0
2018-03-09,114.4159,117.14,114.78,1.0,117.14,116.32,391785.0,0.0
2018-03-12,115.3996,116.09,116.0,1.0,117.72,117.32,437210.0,0.0
2018-03-13,116.8652,116.65,116.49,1.0,118.12,117.81,421215.0,1.0
2018-03-14,116.9941,118.11,116.85,1.0,118.59,117.94,410984.0,0.0
2018-03-15,116.2303,118.39,116.73,1.0,118.39,117.17,577447.0,0.0
2018-03-16,116.9445,117.0,116.5,1.0,118.4,117.89,795911.0,0.0
2018-03-19,115.5558,117.56,115.87,1.0,117.56,116.49,688818.0,0.0
2018-03-20,114.3158,116.51,114.38,1.0,117.33,115.24,450405.0,0.0
2018-03-21,113.7504,115.49,113.98,1.0,115.74,114.67,322317.0,0.0
2018-03-22,113.1155,114.34,113.92,1.0,116.27,114.03,488389.0,0.0
2018-03-23,111.6077,114.47,112.11,1.0,114.84,112.51,556229.0,0.0
2018-03-26,112.3417,113.14,111.82,1.0,113.45,113.25,446874.0,0.0
2018-03-27,112.5699,113.16,111.96,1.0,115.33,113.48,667132.0,0.0
2018-03-28,115.7244,113.76,113.76,1.0,117.04,116.66,543695.0,0.0
2018-03-29,115.1788,117.19,115.37,1.0,117.28,116.11,463801.0,0.0
2018-04-02,114.7225,116.21,114.64,1.0,116.84,115.65,507230.0,0.0
2018-04-03,116.0815,115.7,114.43,1.0,117.2418,117.02,370229.0,0.0
2018-04-04,117.629,115.9,115.9,1.0,118.86,118.58,353679.0,0.0
2018-04-05,117.3314,118.53,117.0,1.0,118.57,118.28,479480.0,0.0
