date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,211.5584,206.32,203.9,1.0,213.09,212.46,2864214.0,0.0
2018-02-07,214.0378,212.41,212.01,1.0,218.615,214.95,1943608.0,0.0
2018-02-08,205.1756,216.13,205.97,1.0,217.23,206.05,1923074.0,0.0
2018-02-09,211.1999,208.12,206.96,1.0,214.33,212.1,2552565.0,0.0
2018-02-12,208.6408,214.17,207.87,1.0,215.09,209.53,2693774.0,0.0
2018-02-13,210.9111,207.91,207.5,1.0,212.69,211.81,2525484.0,0.0
2018-02-14,217.3238,211.1,210.6,1.0,218.4,218.25,2467772.0,0.0
2018-02-15,224.4435,224.38,220.72,1.0,225.4,225.4,2622946.0,0.0
2018-02-16,223.2386,225.6,222.501,1.0,225.9989,224.19,1921075.0,0.0
2018-02-20,220.8886,223.0,221.18,1.0,224.08,221.83,1006509.0,0.0
2018-02-21,219.8132,221.44,220.73,1.0,224.89,220.75,1144236.0,0.0
2018-02-22,219.2058,221.68,219.755,1.0,222.58,220.14,867343.0,0.0
2018-02-23,220.0621,221.45,219.87,1.0,222.16,221.0,1022289.0,0.0
2018-02-26,225.8176,222.97,222.01,1.0,227.275,226.78,1443896.0,0.0
2018-02-27,222.9399,226.49,223.87,1.0,227.78,223.89,1081324.0,0.0
2018-02-28,221.506,224.6,222.45,1.0,226.39,222.45,1002951.0,0.0
2018-03-01,218.22,222.98,218.0,1.0,225.595,219.15,2009589.0,0.0
2018-03-02,222.3922,217.73,217.65,1.0,224.02,223.34,2058715.0,0.0
2018-03-05,223.6867,220.64,219.3,1.0,224.76,224.64,1965585.0,0.0
2018-03-06,223.856,225.08,223.16,1.0,225.435,224.81,1337306.0,0.0
2018-03-07,225.3197,222.55,221.38,1.0,226.48,226.28,1238314.0,0.0
2018-03-08,225.6882,227.0,224.48,1.0,227.05,226.65,984546.0,0.0
2018-03-09,228.9742,227.94,226.74,1.0,230.0,229.95,1305897.0,0.0
2018-03-12,223.6867,229.5,223.93,1.0,229.95,224.64,1217105.0,0.0
2018-03-13,222.4022,225.92,222.83,1.0,226.87,223.35,1161722.0,0.0
2018-03-14,220.7492,224.59,220.59,1.0,224.62,221.69,1002595.0,0.0
2018-03-15,221.6554,222.51,221.2559,1.0,223.8699,222.6,853511.0,0.0
2018-03-16,221.7948,223.46,221.275,1.0,223.88,222.74,1968291.0,0.0
2018-03-19,222.9498,222.65,221.05,1.0,224.33,223.9,862479.0,0.0
2018-03-20,224.4236,224.41,224.1001,1.0,226.9,225.38,788830.0,0.0
2018-03-21,222.8005,225.37,223.74,1.0,226.1677,223.75,846146.0,0.0
2018-03-22,217.4433,222.25,217.83,1.0,223.98,218.37,1163530.0,0.0
2018-03-23,217.8814,218.5,218.5,1.0,224.47,218.81,1429467.0,0.0
2018-03-26,222.5217,221.93,220.87,1.0,223.82,223.47,1276783.0,0.0
2018-03-27,220.1319,225.0,219.79,1.0,225.78,221.07,1114901.0,0.0
2018-03-28,216.3579,221.72,216.7,1.0,221.8753,217.28,1722428.0,0.0
2018-03-29,219.9626,219.59,218.02,1.0,223.458,220.9,1945518.0,0.0
2018-04-02,217.9511,220.51,215.55,1.0,222.03,218.88,1345437.0,0.0
2018-04-03,219.385,219.95,217.21,1.0,221.45,220.32,1387657.0,0.0
2018-04-04,217.6126,215.15,214.27,1.0,218.7,218.54,2753319.0,0.0
2018-04-05,220.2812,220.44,218.35,1.0,221.71,221.22,2209212.0,0.0
2018-04-06,214.8245,219.48,213.7701,1.0,220.66,215.74,1496133.0,0.0
2018-04-09,214.0478,217.01,214.54,1.0,218.25,214.96,1256927.0,0.0
2018-04-10,213.5399,217.89,213.91,1.0,218.31,214.45,1703374.0,0.0
2018-04-11,215.402,214.0,214.0,1.0,217.4785,216.32,1173569.0,0.0
2018-04-12,218.22,216.37,216.16,1.0,219.24,218.22,1248239.0,0.93
2018-04-13,218.41,219.42,217.18,1.0,219.82,218.41,942629.0,0.0
2018-04-16,218.4,219.73,218.34,1.0,220.49,218.4,1381439.0,0.0
2018-04-17,221.41,219.28,219.24,1.0,222.81,221.41,1143123.0,0.0
2018-04-18,225.49,224.62,223.51,1.0,227.7,225.49,1470672.0,0.0
2018-04-19,224.98,225.55,222.98,1.0,225.72,224.98,1027343.0,0.0
2018-04-20,223.11,225.88,222.48,1.0,225.88,223.11,1280058.0,0.0
2018-04-23,225.96,222.92,222.92,1.0,226.12,225.96,1822547.0,0.0
2018-04-24,222.02,227.75,218.08,1.0,229.74,222.02,2912523.0,0.0
2018-04-25,214.53,215.91,207.2,1.0,217.99,214.53,4555812.0,0.0
2018-04-26,211.75,214.92,210.46,1.0,215.52,211.75,2415280.0,0.0
2018-04-27,203.71,211.74,203.28,1.0,212.0,203.71,2217862.0,0.0
2018-04-30,201.31,203.79,201.24,1.0,205.25,201.31,2569934.0,0.0
2018-05-01,197.3,201.15,194.47,1.0,201.15,197.3,2926508.0,0.0
2018-05-02,195.68,197.3,195.51,1.0,200.5,195.68,1906427.0,0.0
2018-05-03,195.0,194.85,191.0,1.0,196.71,195.0,2053788.0,0.0
2018-05-04,195.07,193.96,193.19,1.0,195.75,195.07,1499409.0,0.0
2018-05-07,196.45,195.97,195.0,1.0,198.57,196.45,1281433.0,0.0
2018-05-08,199.62,196.97,196.01,1.0,199.93,199.62,2150214.0,0.0
2018-05-09,201.05,200.3,199.59,1.0,202.11,201.05,1755137.0,0.0
2018-05-10,201.67,201.71,200.9,1.0,203.0,201.67,1092360.0,0.0
2018-05-11,203.92,201.36,201.36,1.0,204.4737,203.92,1296865.0,0.0
2018-05-14,203.07,203.68,201.11,1.0,204.44,203.07,1522397.0,0.0
2018-05-15,201.65,202.16,200.08,1.0,202.83,201.65,1012215.0,0.0
2018-05-16,200.5,202.0,200.23,1.0,202.7,200.5,1009864.0,0.0
2018-05-17,201.76,200.43,200.3,1.0,202.1,201.76,1207736.0,0.0
2018-05-18,202.52,201.38,201.38,1.0,203.64,202.52,2016935.0,0.0
2018-05-21,205.77,204.14,203.29,1.0,206.07,205.77,1088121.0,0.0
2018-05-22,204.37,205.63,204.09,1.0,205.77,204.37,1299227.0,0.0
2018-05-23,205.56,202.81,202.38,1.0,205.77,205.56,1111468.0,0.0
2018-05-24,208.73,205.63,205.19,1.0,208.88,208.73,1408995.0,0.0
2018-05-25,208.12,208.25,207.02,1.0,208.69,208.12,1179897.0,0.0
